"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M911.26T1004.032"," 9381.0390"," 8653.0194","    0.0000","20948.5632","18796.8566","22254.8975","21713.6429","21321.3314","10204.7800"," 2088.6994","18074.1740","  683.5845","15781.3393","16545.8263"," 7585.8891","    0.0000","16952.2145","10186.2282"
"M1106.454T890.453"," 7009.0568","12362.6463","  494.1768","15566.5547","10267.7041"," 9079.0450","13968.7499","14125.7940"," 7199.3188"," 5676.8943","11408.2936","    0.0000","11162.2852"," 9433.2911","11446.8700","  317.0000","12907.7532","11102.3115"
"M269.05T89.726","34600.3191","33651.5804","  188.7939","25949.7273","22948.3315","15110.6294","14315.5769","16272.7713","11171.4688","18483.9942"," 7869.4949","  636.9487","20424.3133","19958.3921"," 7055.2586","  451.0000","35789.0459","21156.8551"
"M289.084T863.831","3066.3077","2684.5271"," 255.1460","5703.5584","3474.7814","3685.0177","2889.7911","3954.8057","2742.3489","1948.5347","4623.1804"," 377.9374","2215.2566","4400.9253","2224.9106","   0.0000","2771.0211","3081.6369"
"M473.196T813.174","35431.66","35170.81","    0.00","52783.16","37893.71","27760.93","36553.23","35550.77","14169.29","22186.03","43896.90","    0.00","26131.25","31902.86","36832.11","    0.00","42502.23","63180.58"
"M559.066T758.189"," 6328.008"," 6136.307","    0.000","12078.122"," 6617.283"," 8387.117","11403.142"," 8788.518"," 5006.076"," 6808.937","10205.468","    0.000"," 6730.464"," 2619.030"," 6367.607","    0.000"," 7665.942"," 8283.594"
"M449.004T832.738"," 4201.3328"," 2989.2429","    0.0000"," 7147.5320"," 1873.2147","  995.8056"," 5274.7669"," 4153.0917","  460.8426","    0.0000","  172.5924","    0.0000"," 3148.7671","10309.1378"," 7083.2812","  227.0000","    0.0000"," 1208.4337"
"M336.86T96.244","19576.8523","22578.7538","  674.6814","25983.3584","28024.7008","14036.7621","32200.3391","51753.4800","10778.5565","25123.5500","48137.8153"," 1181.7681","25540.4533","34035.9491","39850.5044","  827.0000","13279.5081","34641.4546"
"M343.102T681.368"," 9376.493"," 5578.774","    0.000","10039.916"," 5691.753"," 2277.279"," 8256.681"," 9848.258"," 6865.757"," 5748.065","10983.811","    0.000"," 6983.568"," 8992.285"," 7622.393","    0.000","13871.837","11046.711"
"M497.261T974.778","10995.1618","18084.7616","    0.0000","12846.1410","13478.8762","14051.6266","14786.5571","12143.0098","10313.1365"," 7615.7653","16609.9671","  416.0816","10241.2488"," 9518.6127","11899.4618","  379.0000","23343.1316","12623.5031"
