"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M943.31T12.55","10501.120"," 8310.858","12726.064"," 9125.294","10920.492","10132.111","10716.769","10312.795"," 9341.343","10496.140","10729.761","12115.402","10768.066","11233.600","10922.498","10565.399"," 9637.594"," 8897.055"," 8897.055","10824.376","11267.702"
"M944.82T17.56","34078.77","32972.62","31702.81","28342.70","26001.77","32590.88","24439.62","29305.94","32054.62","32402.92","31249.91","29310.58","35092.96","30972.64","26240.57","27404.22","20485.08","26036.39","26036.39","30021.80","32951.88"
"M944.82T12.55","24729.05","25438.09","23383.29","22919.76","30385.85","26560.88","22965.31","22809.69","25919.53","26320.73","23227.44","24896.75","25842.16","21391.98","25242.66","23452.52","24268.59","26693.84","26693.84","24651.73","26493.24"
"M945.81T17.56","12264.22","13638.79","13103.19","12607.41","13770.85","14891.01","12511.42","11191.13","13838.21","14912.60","11896.24","12784.27","12539.51","12979.99","13583.38","13893.03"," 8550.26","13951.42","13951.42","13095.17","13744.05"
"M945.82T11.61","10378.875"," 7558.608"," 8790.545"," 8337.629"," 9911.778"," 9634.986"," 9743.267"," 9271.533"," 9578.650"," 9430.206"," 9747.586"," 8883.960"," 8955.004"," 8293.216"," 9103.582"," 9444.844"," 9036.295"," 9662.902"," 9662.902"," 8685.980","11124.503"
"M946.82T16.55","36648.82","34854.25","37534.93","30494.73","34045.47","36180.21","31135.13","33985.63","32273.05","61580.19","41331.62","65635.30","33027.12","26731.96","33856.43","36310.39","23442.31","45135.26","45135.26","36049.83","38596.46"
"M947.81T17.56"," 9182.005","10176.438"," 8432.832"," 8388.821"," 9134.935","10715.826"," 6916.298"," 9717.845"," 7692.780"," 8455.290"," 9629.434"," 8793.172","10784.326","12442.122","10049.409","11049.310"," 5648.012"," 7817.884"," 7817.884","11394.080"," 8411.486"
"M947.82T12.55","10702.970","11125.276","12862.472","11431.985","11300.375","11462.485"," 8995.437","10347.234","10136.639","13745.112","10708.028","19663.184","10457.547"," 8218.582"," 9709.039"," 8702.568","10900.444","10291.152","10291.152","11045.036","14033.976"
"M948.8T18.56","13411.850","13610.710","14777.950","14657.412","14806.286","15923.890","10044.919","18417.930","15266.070","14754.130","14515.416","13813.664","14852.533","13566.578","12816.334","15991.832"," 7853.499","15794.090","15794.090","14170.384","12218.555"
"M949.48T13.55"," 8607.609"," 7757.124"," 8528.898"," 7983.109"," 8099.485"," 8982.421"," 9989.894"," 6219.572"," 7678.747"," 7763.879"," 8603.185"," 8764.333"," 5519.595"," 7860.091"," 8351.899","10435.137"," 7636.814","12963.485","12963.485"," 8679.962"," 8086.003"
"M950.31T12.55"," 6804.060"," 6397.671"," 6587.315"," 6316.705"," 7599.012"," 7999.791"," 7029.733"," 7254.496"," 6965.124"," 5644.884"," 6010.650"," 6693.571"," 6357.178"," 5974.242"," 7066.413","10064.101"," 6747.270"," 7692.801"," 7692.801"," 7207.558","10831.418"
"M951.8T17.69"," 8362.675"," 8677.956"," 9509.578"," 9699.730"," 9367.286","11440.113"," 7050.162"," 9604.982"," 8997.542","10092.761"," 8479.362","18064.749","10310.731"," 8656.672"," 9868.592"," 9397.339"," 6509.360","11717.780","11717.780"," 6904.652","10076.469"
"M953.15T13.55","28435.05","25217.43","28305.54","28936.16","27145.19","28229.71","29795.19","31062.04","29346.05","28776.07","28497.24","28673.17","30087.00","29191.31","28853.43","31138.95","25978.75","24519.12","24519.12","25353.83","28504.42"
"M954.14T16.72","16483.302"," 9010.952","12439.891","15489.530","12199.511","15420.590","10086.942"," 9897.182"," 9736.666","11830.741","15464.254","10861.730"," 7767.232","11515.620","15663.434","11376.515"," 8478.480","10211.880","10211.880","10990.874"," 8844.696"
"M955.32T13.55"," 9659.291","14726.046","14302.075","14790.769","13855.891","13234.122","12483.338","15042.431","13542.016","15189.432","13235.588","14095.433"," 7466.849","13289.750","14464.645","14087.022","12778.471","15603.260","15603.260","13921.640","14969.421"
"M955.81T17.56","31047.05","29155.20","29884.24","31485.23","29851.29","30767.12","25640.69","28031.81","28952.14","30233.65","28201.02","45659.33","30037.84","29565.21","27901.85","29978.31","18990.99","24301.67","24301.67","31155.19","28733.03"
"M956.3T12.55","6752.855","6976.868","7536.312","6962.731","9202.217","7922.235","6715.415","6704.721","6293.627","8467.609","7797.267","7758.671","7365.615","7887.592","5595.345","6956.039","7583.466","7943.760","7943.760","8603.734","7257.708"
