"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"M516.89T18.56",-0.059131,-0.0005986,0.0057747,-0.042797,0.023371,-0.026663,0.011874,-0.021066,-0.025233,-0.033411,0.025255,-0.00047116,0.011524,0.011756,-0.0034898,0.014163,-0.016503,0.01887,-0.0091108,-0.0079406,0.00028181
"M534.88T17.56",-0.017897,0.034941,-0.025636,-0.0036622,0.026025,0.03005,0.026274,-0.0090532,-0.0096517,-0.0073719,-0.025159,-0.045819,-0.034578,-0.0061907,-0.0012313,-0.015555,-0.022774,0.025582,-0.020018,-0.00011625,-0.012616
"M536.9T12.55",0.026168,-0.0075006,0.063407,-0.0039098,0.045437,-0.0070153,0.030515,-0.042286,0.019635,-0.04232,-0.0028257,-0.0054061,-0.010349,0.0087802,-0.029782,0.008115,0.03143,0.0075447,-0.019263,0.0071535,-0.0031153
"M536.9T17.56",-0.067943,0.015601,0.027217,-0.011538,-0.03829,0.023575,-0.013819,0.047574,0.0086477,0.021317,-0.0098853,-0.0093394,0.012642,-0.012992,0.005046,0.0072999,-0.01862,0.0077687,-0.010736,-0.0044392,0.0010546
"M544.89T18.56",-0.050076,0.02679,0.00039917,0.01615,0.032958,0.015907,0.011091,0.0090856,-0.011324,-0.00040407,-0.015777,0.00036265,0.01931,0.017338,0.016674,-0.012649,-0.0019279,0.040647,0.019961,-0.0041329,-0.0035244
"M544.89T11.54",0.0068153,0.0077817,-0.053178,-0.016888,0.053603,0.018389,0.027305,-0.0098134,-0.004743,0.0095651,0.031097,-0.0073041,0.020026,-0.0015463,-0.0092461,-0.011465,-0.031154,0.050228,0.021497,-0.00073841,0.010362
"M549.19T881.43",0.08256,0.19576,-0.018491,-0.03453,-0.070083,-0.013637,0.076005,0.0025432,0.0090728,0.018685,-0.038129,-0.010761,-0.027942,-0.026685,-0.019227,-0.0053627,0.015441,-0.0078913,0.019845,-0.0083329,0.0023397
"M564.89T12.55",-0.048132,-0.028121,0.021521,-0.045837,-0.019758,0.0070343,0.0040443,0.0098166,-0.030181,0.029901,0.0063597,0.010386,0.030803,-0.0057281,0.01263,0.028732,0.015382,-0.0096135,-0.014871,0.0014693,-0.0016842
"M565.89T17.56",-0.012188,0.018071,-0.011185,-0.02168,-0.032266,0.060473,-0.0045174,-0.014038,0.013363,-0.061016,0.0020981,0.0059829,-0.044038,0.023645,0.0055047,0.0061769,-0.019747,-0.018969,-0.010632,-0.0096321,0.0069174
"M569.88T19.56",-0.022667,0.034226,0.034895,0.043248,-0.0077077,0.041585,0.048787,0.012616,-0.037638,-0.006477,-0.018314,0.028886,0.010531,0.00028806,0.048801,-0.024997,-0.052904,0.0096803,-0.01814,-0.017974,0.0023635
"M573.47T1437.42",0.066244,0.14112,0.019316,-0.059728,-0.036938,0.013575,-0.026754,0.0065383,0.016694,-0.011799,0.022219,0.0084855,-0.012713,0.0098342,-0.0043815,0.0049011,-0.00034586,0.023145,-0.0072703,-0.001952,-0.0021392
"M575.48T1420.61",0.05682,0.19743,0.037231,-0.049375,-0.053465,0.0069209,-0.068214,-0.02468,0.005804,0.010606,-0.0040521,-0.0075412,0.020663,0.051149,-0.028967,-0.041669,-0.0038071,0.034741,-0.03196,0.012465,-0.022532
"M575.48T1555.33",0.049621,0.13281,0.033966,-0.061602,-0.1067,0.015677,-0.058342,-0.016078,0.047259,0.013602,0.0029429,-0.0031401,0.066347,0.057609,-0.077959,-0.028525,-0.0059863,0.019609,0.0097103,0.010737,-0.014942
"M579.89T13.55",-0.0070518,0.0069993,0.0024451,0.0074992,0.015481,-0.0057821,0.031139,0.0029622,0.0461,0.040675,0.0065736,0.051835,-0.038116,0.066931,-0.0056957,0.035548,-0.045179,0.018561,0.018522,0.0025239,-0.0019545
"M589.43T1437.43",0.024937,-0.0081766,0.031894,-0.024943,0.025355,-0.070023,-0.057786,0.056411,0.0094547,-0.019725,0.013238,0.059687,0.0041854,-0.023454,-0.00029469,0.0094307,-0.016828,-0.05285,-0.031427,0.0010027,0.0099848
"M592.89T17.56",-0.021745,0.053567,-0.014384,0.033333,-0.0054933,0.0066953,-0.015931,0.0075055,0.015579,-0.0033989,-0.015411,-0.0013613,0.015511,-0.0092581,0.0026411,-0.0016229,0.028241,0.041669,-0.0043472,-0.0040319,-0.0078432
"M593.89T12.55",-0.0014482,-0.017705,0.0070254,-0.0059817,0.040166,0.0060785,0.0091815,0.024478,0.055687,0.017058,0.0076794,0.022029,0.0105,0.01626,-0.0012254,-0.0059959,-0.0084358,0.053992,0.025834,0.0041716,-0.010847
"M603.37T16.56",-0.026635,0.014391,-0.04558,-0.0034288,0.018148,-0.0096896,-0.016371,0.018358,0.014862,0.037248,-0.044869,-0.0058381,0.0056289,0.00066833,-0.041166,-0.0094427,0.015009,0.062625,-0.0012835,-0.0047449,0.00082608
"M604.89T12.55",-0.0072705,0.0073105,-0.039683,-0.035102,0.037151,0.024722,0.027974,0.025854,-0.024489,0.026476,-0.020929,0.0005512,0.0027274,-0.0080728,-0.031188,0.0010334,0.034279,0.012185,-0.051266,0.0042952,0.0016429
"M612.87T18.56",-0.017824,0.043925,0.011518,-0.01565,-0.002719,0.0017518,0.017001,-0.025279,-0.016973,0.035344,-0.0057635,0.00098326,-0.012869,-0.0035947,-0.023477,0.029442,-0.032727,0.016373,0.044438,-0.0031791,-0.00083215
"M612.88T11.54",-0.011143,-0.0019716,-0.02708,-0.021119,0.048789,0.034818,-0.00061809,0.012195,-0.0095333,-0.004312,0.028099,-0.00011576,0.031294,-0.0082243,-0.036815,-0.054704,0.013695,0.06191,0.026044,-0.0039852,0.0171
"M618.85T19.56",0.0015029,0.044874,0.0072966,0.013937,-0.016964,-0.050594,0.041219,0.021566,0.0040439,0.0005516,-0.05205,-0.013766,-0.025359,-0.015992,-0.0021007,0.0040104,0.0048268,0.01801,0.0038543,-0.00079851,0.0018466
"M624.87T18.56",-0.047408,-0.0057581,0.044136,0.016823,-0.024946,-0.0021995,0.029427,0.0099628,-0.028517,-0.041216,-0.01029,-0.021963,0.018672,-0.0034147,0.022108,0.020604,-0.051621,0.004896,-0.01067,-0.014848,0.0017968
