"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M338.34T1639.2","3612552.896","2075317.316","825777.442","1084133.441","10369224.78","4199462.973","1214330.311","1176764.43","842480.426","3284529.32","1085794.191","487734.908","853820.673","1158976.368","3376693.898","5799986.82","586486.443","1532441.336","1532441.336","963209.568","1752235.383"
"M341.27T1369.82","665227.44","317235.688","257595.854","349016.309","870669.229","637652.901","267207.467","287459.373","410731.045","907036.004","525230.652","225393.476","291191.481","274363.688","636469.517","602931.344","207023.495","246041.238","246041.238","267798.96","269622.395"
"M349.25T12.55","9482.12","7736.701","6747.734","6689.893","7765.783","6268.672","8138.316","7240.036","7317.243","8350.695","8643.218","7717.271","9059.094","7081.678","7174.849","7924.934","7220.087","5095.324","5095.324","8585.68","9119.501"
"M352.92T20.57","18174.976","16958.724","16295.88","17974.774","17300.104","18433.813","13873.989","17005.996","15049.76","16366.424","18067.215","20421.389","17637.682","14896.365","15359.888","16952.523","13557.76","15807.942","15807.942","14597.662","17538.37"
"M360.93T17.56","40105.651","31680.758","30942.898","35024.76","32322.678","31661.946","19525.475","30356.736","41165.732","37169.174","30971.783","67714.928","31660.698","30715.872","40651.59","39341.672","18205.666","27367.322","27367.322","30164.222","32695.149"
"M372.36T1639.49","170029.489","246273.886","233071.425","248105.458","222047.9","194935.445","177770.765","227765.427","202132.883","225826.832","208386.945","191617.339","234049.502","237536.856","166011.079","186972.44","168833.055","208986.386","208986.386","223256.756","159417.609"
"M372.36T1624.16","212305.901","277433.853","511418.425","249078.162","232948.04","226061.623","197744.477","299468.987","284474.723","231734.649","217011.502","201868.384","240121.239","281583.824","190668.714","211825.319","192652.142","253304.486","253304.486","226110.413","182836.974"
"M380.92T18.56","25242.638","23903.496","21668.496","22356.089","22549.446","21717.468","16634.057","22139.931","22998.212","24234.486","21439.169","27407.5","23782.088","18115.746","19699.169","23249.54","15621.098","15907.889","15907.889","21438.122","23308.977"
"M382.31T1622.76","145000.8","165664.234","138854.086","181491.345","164776.498","189684.291","170498.036","147834.253","192587.236","180325.913","137142.531","182570.558","152616.586","194350.75","139005.765","173845.572","146575.14","160580.215","160580.215","164090.101","152704.279"
"M385.29T1369.89","1184904.182","620647.936","258170.178","576120.563","1235346.23","986367.9","331926.255","660012.337","482083.854","1272435.092","1037128.578","526457.006","558091.588","307656.653","989168.018","1068821.233","423460.908","510284.331","510284.331","412582.216","720462.475"
"M392.9T19.57","11408.771","11541.62","10974.588","11046.304","11559.968","11474.725","8494.619","10267.082","11594.475","11711.692","10454.033","12337.259","11629.158","11673.954","9875.22","10229.688","8035.007","8724.857","8724.857","10744.136","10122.84"
"M400.92T17.56","8301.862","7177.468","8292.089","7342.595","6693.777","7619.093","6557.806","7211.179","7425.285","8005.946","7591.965","7347.698","9035.024","6808.979","6953.42","7052.024","6267.292","7423.949","7423.949","8822.388","8498.211"
"M408.91T18.56","29449.744","28645.68","26530.275","28421.478","28218.402","29292.851","20713.966","25067.008","28556.765","24025.923","26140.186","31377.852","27475.594","25313.714","27233.456","28565.44","19354.275","22825.14","22825.14","28960.622","32214.351"
"M408.91T11.54","14022.97","16619.71","13983.043","14250.624","15419.053","15381.889","13952.161","14667.572","14078.108","16957.311","15517.327","16951.534","14167.558","13371.996","13706.27","15933.319","15717.813","12089.327","12089.327","15496.35","20800.214"
"M409.18T18.56","8879.713","9264.99","7078.581","6456.024","7469.857","8352.254","6972.969","8511.97","8699.549","9260.536","9376.65","9253.033","8378.256","8295.527","8621.023","8454.886","5992.151","8383.752","8383.752","9087.18","7072.113"
"M411.2T18.56","12134.294","10222.576","10238.805","10275.658","10513.429","10833.442","10342.219","8267.875","9145.634","9729.119","9795.683","11421.179","10666.052","10509.644","10989.832","11507.768","6860.398","10163.255","10163.255","11921.658","11661.752"
"M420.91T18.56","10680.175","10479.344","9317.235","11412.718","9387.072","8977.116","8246.947","8991.784","9003.573","7945.766","7929.442","16874.472","9150.669","9069.294","10081.635","9204.511","6732.58","10598.03","10598.03","9560.596","10576.848"
"M428.92T12.55","9136.376","8328.912","9875.538","8873.223","7579.162","9630.323","8165.068","8680.237","9784.477","9266.971","9557.164","8861.895","11287.892","9027.449","9259.855","9824.128","9280.923","8834.894","8834.894","10256.678","9999.91"
"M428.92T17.56","12305.627","12870.496","10341.053","10539.815","13386.256","11553.213","10011.874","13013.226","11635.554","11236.742","11427.416","12116.781","9626.794","11860.497","13396.068","14242.6","8973.536","10349.445","10349.445","10567.608","13652.897"
"M468.42T1623.34","401633.462","533971.584","528947.767","534944.347","648291.994","546693.23","643525.166","426574.912","811128.341","565619.609","603651.967","586780.383","519042.952","590892.648","765754.908","563759.115","542007.461","628074.78","628074.78","549716.086","495555.145"
"M468.91T17.56","40130.679","45610.422","46344.278","37752.92","39125.024","46417.426","38771.968","35779.157","43188.633","45006.616","43375.897","74659.122","45895.274","43614.452","44601.404","46186.144","29462.322","33982.817","33982.817","43558.284","47826.257"
