"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M420.91T18.56"," 0.13180956"," 0.18374516"," 0.01606433"," 0.23836746","-0.03484999","-0.10592062","-0.16646522","-0.15644094","-0.08734039","-0.35480152","-0.28992119"," 0.84954050","-0.08960579","-0.09814916"," 0.13549010","-0.09912462","-0.46497372"," 0.12355796"," 0.12355796"," 0.02977825"," 0.11568187"
"M428.92T12.55","-0.07767466","-0.16848165"," 0.23449669","-0.14346515","-0.42621437"," 0.09776055","-0.15783714","-0.19951478"," 0.15076176","-0.05269933"," 0.10561811","-0.18156075"," 0.42375862","-0.05491087"," 0.08209689"," 0.09575264"," 0.16424573","-0.14496399","-0.14496399"," 0.27913788"," 0.11865784"
"M428.92T17.56"," 0.07831482"," 0.26182097","-0.12951046","-0.22051849"," 0.29112471"," 0.01083510","-0.17223447"," 0.17643994"," 0.04065705","-0.10111417"," 0.01138176"," 0.01570215","-0.35639209"," 0.05071259"," 0.35598440"," 0.37207490","-0.34421576","-0.24848159","-0.24848159","-0.12126832"," 0.27716858"
"M468.42T1623.34","-0.59519191","-0.06387012","-0.05557827","-0.14301913"," 0.20522943","-0.06291818"," 0.27073548","-0.50730026"," 0.57502096","-0.05751432"," 0.11175597","-0.02227647","-0.15954866"," 0.05152935"," 0.52122855","-0.04725795"," 0.03027769"," 0.11681122"," 0.11681122","-0.02211391","-0.26281070"
"M468.91T17.56","-0.12717831"," 0.15356080"," 0.20168032","-0.22460094","-0.12489624"," 0.14507561","-0.06257991","-0.31477601"," 0.04516529"," 0.04855309"," 0.05632072"," 0.82037084"," 0.11296615"," 0.03874228"," 0.13271654"," 0.10450849","-0.46257859","-0.38404408","-0.38404408"," 0.07708176"," 0.14795627"
"M480.89T18.57","-0.04660797"," 0.25194586"," 0.11291553","-0.32961389","-0.14205984"," 0.24951114","-0.05005082"," 0.17718176"," 0.07863053"," 0.22355986"," 0.09935142"," 0.02104171","-0.16870204"," 0.02436726"," 0.28102794","-0.03596208","-0.71961045","-0.21474774","-0.21474774"," 0.16550887"," 0.23706068"
"M496.91T17.56"," 0.08150984"," 0.16817195"," 0.15681862","-0.14622118"," 0.18861459"," 0.16476267","-0.36043496","-0.04802545","-0.27489347"," 0.18140160"," 0.09248913","-0.19187456"," 0.24118723"," 0.02088966"," 0.14693965"," 0.15064628","-0.53799230","-0.19368854","-0.19368854"," 0.15975149"," 0.19363631"
"M501.91T13.55"," 0.222597823"," 0.200311988"," 0.242369726","-0.015006242"," 0.158419662","-0.338592621"," 0.145898017"," 0.064942140","-0.009956741","-0.446549505","-0.136593897","-0.034258352","-0.136885004"," 0.378548576","-0.233899420","-0.076284930"," 0.023625308","-0.011895565","-0.011895565"," 0.213896473","-0.198791869"
"M502.87T19.22"," 0.02450375","-0.03646223"," 0.16662244"," 0.21461077"," 0.14188262"," 0.17521264","-0.49847114","-0.16189830","-0.04802187"," 0.09166280"," 0.24395123","-0.06088994"," 0.24595867","-0.12959728"," 0.29245295","-0.22529218","-0.51758214","-0.11204807","-0.11204807"," 0.25393554"," 0.05151782"
"M516.89T18.56"," 0.23265396"," 0.07843052"," 0.20850092","-0.11157964","-0.25486238"," 0.22981899"," 0.07210041"," 0.11065773","-0.36784141","-0.04211470","-0.13777005"," 0.84504723","-0.10596620","-0.20842172","-0.03222906"," 0.07317449","-0.32574886","-0.27981269","-0.27981269"," 0.11738493"," 0.17839021"
"M534.88T17.56"," 0.34359944"," 0.18644264","-0.10443992","-0.06484033"," 0.35956191"," 0.19988388"," 0.02118684","-0.08824272","-0.17972057"," 0.26471257"," 0.12146003","-0.17963901"," 0.03518965","-0.03740894","-0.01246872","-0.12592545","-0.52166849","-0.29863804","-0.29863804"," 0.27391863"," 0.10567465"
