"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"M651.317T893.83",0.0086719,-0.026627,0.029604,-0.052618,0.00019434
"M1167.557T907.179",-0.0028104,-0.0080507,-0.048084,-0.060366,-0.019445
"M221.066T891.624",0.019619,-0.0060665,-0.061635,0.037019,-0.0057627
"M204.085T413.719",0.10989,0.051837,-0.014027,-0.014445,0.032852
"M621.125T857.148",-0.0097716,-0.025175,-0.075908,-0.02395,-0.069757
"M1009.554T1308.282",0.0076768,-0.010146,0.043649,-0.048058,0.0041603
"M483.178T941.182",0.030612,-0.0041652,-0.0031552,-0.077734,-0.041134
"M1057.411T880.24",0.027923,-0.06044,0.0015487,0.041419,0.023604
"M469.208T948.545",0.035859,-0.010121,0.062916,0.043755,0.0015844
"M673.289T892.945",0.017442,-0.042139,0.044153,-0.037042,-0.030486
"M833.365T968.818",0.020024,-0.065151,0.020179,0.020243,-0.068184
"M893.38T934.735",0.061791,-0.045922,-0.0014107,0.046841,0.013057
"M393.176T847.594",0.025607,-0.033745,0.011898,-0.027615,-0.011592
"M981.364T901.259",0.022378,-0.049483,-0.027233,0.032622,-0.020831
"M653.935T315.929",0.030189,-0.031531,0.0073929,-0.033354,0.010416
"M865.491T1326.551",0.0011658,-0.030941,0.051323,-0.044228,-0.012811
"M449.202T630.506",0.019982,-0.020886,0.029023,-0.0067092,0.0050452
"M437.065T776.272",-0.01345,-0.017849,-0.042129,-0.010128,0.029892
"M268.959T125.12",0.010429,-0.045342,0.017886,-0.035609,0.004405
"M551.272T837.928",0.043606,-0.029451,0.015107,0.037088,0.0040073
"M456.197T892.811",0.032045,-0.029232,0.0055523,-0.018059,-0.029171
"M356.995T88.504",0.044381,0.0082366,0.016703,-0.01618,0.056605
"M391.157T830.263",0.061009,-0.091676,0.02709,0.041009,0.010389
"M567.778T908.116",-0.030703,-0.0072206,-0.0068321,0.0087247,-0.064924
"M559.667T1200.71",-0.019433,-0.026744,0.044242,-0.0087282,0.058813
"M455.193T892.238",0.036614,-0.038499,0.012992,-0.0043346,-0.096296
"M651.363T1268.695",-0.013769,0.025824,0.0088503,-0.065451,0.0027787
"M1255.613T888.434",-0.01673,-0.017997,0.0132,-0.055228,0.021315
"M701.195T940.853",-0.0021988,-0.0044091,0.035355,-0.039569,-0.019701
"M587.201T848.147",0.041419,0.00023774,0.015606,-0.035579,-0.038529
"M1014.419T974.744",0.064563,-0.036191,0.021774,0.018343,-0.05809
"M383.555T317.319",0.02161,-0.0006052,0.029064,-0.037533,0.01281
"M593.857T757.673",-0.036358,0.016869,-0.042036,-0.034004,0.00097658
"M569.35T895.921",-0.03269,0.011057,0.011855,-0.029151,-0.019047
"M423.224T921.021",-0.0016646,-0.069067,0.062616,-0.07983,0.044737
"M325.2T1323.486",0.022852,0.0094652,0.013997,-0.010233,0.047817
"M269.103T792.774",0.0067906,-0.033396,-0.025891,-0.042257,0.065256
"M637.025T106.841",0.0082654,-0.042931,-0.029091,-0.031454,-0.017694
"M334.932T113.331",0.0080136,0.0076388,0.024093,-0.016852,-0.02152
"M433.784T801.352",0.011692,-0.066385,0.051433,-0.015629,0.015066
"M1048.557T894.929",-0.025915,0.030041,0.035081,0.012919,-0.020874
"M295.104T156.471",0.034698,0.012553,0.0043639,-0.023124,0.040917
"M398.263T1317.762",0.035478,0.030869,0.013819,-0.015252,0.019534
"M653.828T318.352",0.010491,-0.022452,0.005636,-0.017372,-0.037035
"M1103.415T879.391",0.034833,-0.062302,0.013296,0.018978,0.031263
"M997.975T1403.846",0.017067,0.0027926,-0.027172,-0.050733,0.023302
"M1039.403T917.165",0.049589,-0.052137,-0.012395,0.038296,0.018903
"M1037.324T316.098",0.029296,-0.033759,-0.0162,-0.024054,0.030423
"M509.218T928.864",0.039214,-0.020243,0.026459,-0.00086393,-0.01986
"M1308.415T315.705",0.024048,-0.044022,-0.034268,0.0072153,0.038667
"M311.186T1077.614",0.041191,0.010296,0.034232,-0.017506,0.019044
"M969.321T316.442",0.024161,-0.043911,-0.043213,-0.01908,0.040837
"M333.083T110.42",0.035115,-0.010731,-0.014078,-0.018997,0.0056376
"M1063.398T908.83",0.031573,-0.033093,0.057712,-0.033292,0.089499
"M361.512T316.902",0.033232,-0.050041,0.0060448,-0.013988,0.03174
"M485.178T783.442",0.014515,-0.055335,0.064942,-0.029086,0.019322
"M449.205T834.832",0.043415,-0.081603,0.016269,0.0206,0.03411
"M439.083T756.683",0.03902,0.034224,-0.0051377,0.015803,-0.0095032
"M479.19T902.518",-0.0020285,-0.065484,0.042002,-0.024557,0.0022832
"M413.081T316.361",0.020186,-0.013363,0.016102,-0.0047633,-0.025446
"M417.177T763.775",-0.030442,-0.018663,0.05934,0.0072742,-0.071772
"M225.002T107.866",0.040583,-0.010863,0.028106,-0.066848,0.014866
"M947.485T901.595",0.025711,0.0035781,-0.074187,0.020378,-0.007111
"M399.165T851.906",0.037412,-0.031132,0.031182,-0.0079729,0.0017487
"M895.304T938.238",0.049768,-0.013655,-0.01736,0.043292,-0.024894
"M455.081T744.378",0.038236,0.020323,0.016704,-0.038466,0.0018767
"M430.136T769.014",0.047797,-0.055604,0.023018,-0.020679,-0.085385
"M590.274T907.848",-0.0037982,0.040735,-0.060367,0.012689,-0.016115
"M353.181T807.324",0.029342,-0.053587,0.04466,-0.020466,-0.038509
"M419.115T799.29",0.018241,0.022107,0.031537,-0.015576,-0.019527
"M139.002T112.479",0.023559,0.00011207,-0.029434,-0.039022,0.034959
"M1095.872T896.96",0.012498,0.053345,0.046436,-0.013543,0.019761
"M429.646T308.971",0.023878,-0.026275,-0.015501,-0.038812,0.021736
"M968.4T974.568",0.041873,-0.040962,0.016105,0.066153,-0.053281
"M1015.586T1347.819",0.024535,-0.03713,0.022298,-0.022212,-0.011586
"M1033.603T1229.397",0.010148,-0.040198,0.047386,-0.027692,-0.0058064
"M533.169T900.984",0.026615,-0.0014898,0.021506,-0.055242,0.065164
"M1095.01T894.541",-0.024046,-0.041946,-0.024737,-0.0057021,-0.010558
"M1209.581T888.373",-0.016972,-0.012598,-0.062709,-0.023396,0.037894
"M492.868T66.13",0.01099,-0.0025583,-0.0013132,-0.053034,-0.0089363
"M567.276T907.878",-0.00062934,0.029036,-0.068416,0.013044,-0.036895
"M664.226T813.714",0.032321,-0.01534,0.0015882,0.073094,-0.037872
"M1035.397T978.889",0.034123,-0.045264,0.03657,0.036005,-0.057348
"M1162.051T893.06",-0.025996,-0.0047738,-0.003665,-0.045465,0.0017894
"M812.842T69.273",-0.012701,-0.051322,-0.017708,-0.04421,-0.018615
"M691.153T854.793",-0.0083234,0.013409,-0.052693,0.015007,-0.043917
"M433.351T780.04",0.015793,0.013732,0.034281,0.0013181,-0.061541
"M1363.57T899.951",0.017135,0.033339,-0.056573,-0.037732,-0.026782
"M410.078T615.621",0.082834,0.077906,-0.018741,0.04745,0.082734
"M1125.418T877.844",0.037021,-0.068727,-0.018769,0.041032,0.0186
"M483.183T857.732",0.041174,-0.00043401,0.0024172,-0.046065,-0.074328
"M1323.575T889.628",-0.02037,-0.025651,0.0040311,-0.045143,0.029977
"M695.298T853.355",0.028276,-0.023681,-0.094261,-0.00063438,-0.0019287
"M331.103T255.151",0.021683,-0.020082,-0.0053661,-0.057519,-0.033067
