"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M937.388T970.431",0.80584,0.82167,0.82193,0.82192,0.82192
"M252.965T98.618",0.80388,0.80503,0.80505,0.80508,0.80508
"M384.097T310.658",0.80326,0.76961,0.76915,0.76916,0.76916
"M316.385T321.843",0.80132,0.77987,0.77994,0.77993,0.77993
"M549.174T847.493",0.79559,0.763,0.76268,0.76268,0.76268
"M427.009T107.872",0.7945,0.76211,0.76164,0.76167,0.76167
"M781.183T974.609",0.79328,0.75844,0.75798,0.75798,0.75798
"M753.298T903.043",0.79229,0.83501,0.83455,0.83453,0.83453
"M998.861T1404.179",0.79075,0.81149,0.81113,0.81117,0.81117
"M470.098T771.956",0.78895,0.75416,0.75398,0.75396,0.75396
"M969.4T973.77",0.78758,0.89528,0.89474,0.8948,0.8948
"M633.053T106.254",0.78679,0.75242,0.75199,0.752,0.752
"M272.963T113.946",0.78556,0.75755,0.75739,0.75739,0.75739
"M565.054T1199.484",0.78452,0.78347,0.78314,0.78317,0.78317
"M451.007T107.467",0.78341,0.75685,0.75644,0.75648,0.75648
"M650.407T1378.088",0.78183,0.781,0.78063,0.78063,0.78063
"M354.957T108.842",0.77795,0.74396,0.74379,0.74381,0.74381
"M501.206T823.684",0.77375,1.011,1.0105,1.0104,1.0104
"M421.636T753.774",0.77322,0.79045,0.79025,0.79024,0.79024
"M895.29T938.858",0.77162,0.78561,0.78982,0.78988,0.78988
"M419.228T901.259",0.77074,0.9189,0.91836,0.91834,0.91834
"M847.188T757.14",0.76976,0.73819,0.73775,0.73774,0.73775
"M1162.051T893.06",0.76946,0.73722,0.73687,0.7369,0.7369
"M435.217T805.716",0.76825,0.8361,0.83613,0.83612,0.83612
"M433.777T806.208",0.76756,0.76276,0.76401,0.764,0.764
"M547.234T852.079",0.76574,0.83821,0.83789,0.83788,0.83788
"M323.019T128.103",0.76368,0.75886,0.75839,0.75837,0.75837
"M287.076T110.312",0.76317,0.73142,0.731,0.731,0.731
"M517.099T802.454",0.76139,0.75234,0.75236,0.75235,0.75235
"M564.68T1183.74",0.76128,0.77133,0.77113,0.77124,0.77124
"M613.854T887.38",0.76097,0.74869,0.74866,0.74871,0.74871
"M593.763T756.056",0.76078,0.77326,0.77337,0.77337,0.77337
"M431.769T791.594",0.75808,0.94905,0.94873,0.94871,0.94871
"M456.197T892.811",0.75714,0.76332,0.76284,0.76284,0.76284
"M569.273T895.199",0.75469,0.72386,0.72389,0.72387,0.72387
"M533.169T900.984",0.75333,0.72012,0.71975,0.7198,0.7198
"M1035.397T978.889",0.75264,0.79723,0.79791,0.79791,0.79792
"M377.049T427.197",0.75169,0.74897,0.75007,0.75006,0.75006
