"","PC1","PC2","PC3","PC4","PC5","PC6"
"M356.995T88.504",0.04198,-0.012236,0.029911,-0.01423,0.052645,0.0055214
"M391.157T830.263",0.067365,0.070037,-0.045466,0.023787,0.028856,-0.0064409
"M567.778T908.116",-0.028888,0.011018,-0.019461,0.022947,-0.059179,0.0019822
"M559.667T1200.71",-0.016087,0.041799,0.018528,0.0021922,0.063806,0.0066096
"M455.193T892.238",0.038876,0.02925,-0.0084813,0.042891,-0.086676,0.0051161
"M651.363T1268.695",-0.015639,-0.0082946,0.062682,-0.021876,-0.017137,0.0055331
"M1255.613T888.434",-0.014372,0.033212,0.043629,-0.029237,0.001916,0.0054469
"M701.195T940.853",-0.0016113,0.018502,0.041824,0.017047,-0.020398,0.0046281
"M587.201T848.147",0.03988,-0.0021679,0.03457,0.013117,-0.042077,0.0014464
"M1014.419T974.744",0.065573,0.018618,-0.017143,0.047125,-0.039743,-0.0053809
"M383.555T317.319",0.02093,0.0075164,0.043503,0.0010458,0.0083002,-0.0070434
"M593.857T757.673",-0.036665,-0.010177,0.013467,-0.050437,-0.026206,0.0070884
"M569.35T895.921",-0.032462,0.0049974,0.027055,0.0040543,-0.02368,-0.0017213
"M423.224T921.021",0.0050368,0.092339,0.069023,-0.019039,0.028272,-0.011591
"M325.2T1323.486",0.021139,-0.0095269,0.022111,-0.010555,0.045668,0.0017605
"M269.103T792.774",0.0096114,0.03165,0.018917,-0.075407,0.031988,0.0042524
"M637.025T106.841",0.011915,0.036852,-0.00039679,-0.040042,-0.041168,0.0009868
"M334.932T113.331",0.0070562,-0.0015648,0.023937,0.022359,-0.016574,0.0010734
"M433.784T801.352",0.017601,0.073297,0.013261,0.016762,0.021691,0.00327
"M1048.557T894.929",-0.027674,-0.016371,0.0088639,0.048708,0.00014014,0.0071465
"M295.104T156.471",0.032229,-0.015553,0.030055,-0.020986,0.031538,0.0067628
"M398.263T1317.762",0.031284,-0.03246,0.031544,0.0030832,0.019744,0.0063214
"M653.828T318.352",0.012217,0.022031,0.0067686,0.0076861,-0.039576,0.0068293
"M1103.415T879.391",0.03939,0.0499,-0.024384,-0.0027856,0.036355,0.0078482
"M997.975T1403.846",0.016106,-0.004436,0.034064,-0.05605,-0.0070302,0.0011112
"M1039.403T917.165",0.052573,0.027746,-0.046149,-0.0069199,0.024105,-0.0019102
"M1037.324T316.098",0.031323,0.024993,0.0070581,-0.043058,0.010916,0.0035047
"M509.218T928.864",0.039699,0.014646,0.0059644,0.027603,-0.0097521,-0.0015665
"M1308.415T315.705",0.027186,0.027147,-0.027704,-0.048164,0.02282,0.014009
"M311.186T1077.614",0.03876,-0.0097878,0.03506,0.015496,0.024376,0.00084983
"M969.321T316.442",0.027268,0.029338,-0.0099966,-0.069453,0.011778,0.00044809
"M333.083T110.42",0.034768,0.0011898,0.0096046,-0.023962,-0.0072314,0.0064025
"M1063.398T908.83",0.033631,0.041943,0.047733,-0.010568,0.087668,-0.0043627
"M361.512T316.902",0.036689,0.042515,0.0028343,-0.023057,0.022728,0.0054279
"M485.178T783.442",0.019317,0.067313,0.033171,0.021747,0.026193,-0.00241
