"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M768.448T1315.096","-0.427922636","-0.745575161","-0.474231017","-0.322505131","-0.082696645","-0.553137667"," 0.492965738"," 1.196294731"," 0.352373494"," 0.211943788"," 0.003853117"," 0.348637388"
"M531.078T845.355","-0.13940916","-0.07156111","-0.48727021","-0.17123382","-0.48948578","-0.42680858"," 0.39950670"," 1.37211816"," 0.39727984"," 0.55259611","-1.09705082"," 0.16131868"
"M309.118T727.508","-0.1527203","-0.3857459","-0.2828100","-0.1633769","-0.7073901","-0.3877529"," 0.4831350"," 1.4725148"," 0.4212980"," 0.6081966","-0.6156144","-0.2897340"
"M345.183T1137.887","-0.1305603","-0.5537605","-0.2077592","-0.0124057","-0.1238399","-0.9655564"," 0.3792961"," 0.9569978"," 0.2633884"," 0.2706719"," 0.3221504","-0.1986226"
"M1076.649T1193.389"," 0.22644341","-0.02738774"," 0.24160932"," 0.65739534","-0.31178644","-0.24406675"," 0.03480588","-0.32308681","-1.27870434"," 0.59247229","-0.07053424"," 0.50284009"
"M919.515T1328.715","-0.2443676","-0.2029246","-0.4449900","-0.2653521"," 0.2792896","-0.6959038"," 0.3796578"," 1.1634166"," 0.1554030"," 0.1094976","-0.0506202","-0.1831062"
"M277.217T1196.341"," 0.3301132","-0.1317158","-0.3387553"," 0.4138447","-0.9238135","-0.1137232"," 0.4301941"," 0.6672786","-0.6235671"," 0.3858782","-0.6523379"," 0.5566039"
"M655.999T943.196","-0.39396850","-0.01075875","-0.07674338"," 0.09269997","-0.02725474","-0.51301603"," 0.37143180"," 1.34949533"," 0.40096252"," 0.21528571","-0.35955458","-1.04857937"
"M565.05T98.887"," 0.64467197","-0.03784938","-0.25379306","-0.43747706","-0.24174169","-0.89233977","-0.02163972"," 0.90709417"," 0.11206403"," 0.86410599","-0.38649253","-0.25660297"
"M277.129T811.716","-0.3152573","-0.8357804","-0.1915573","-0.5415365","-0.1553510","-0.7909591"," 0.3434272"," 0.8770952"," 0.7494132"," 0.4500629"," 0.1414982"," 0.2689449"
"M655.038T106.771","-0.49376947","-0.47072063"," 0.07945137","-0.07178647"," 0.18749669","-0.47963736"," 0.20454581"," 0.66615096"," 0.61049979"," 0.14725917"," 0.05867180","-0.43816166"
"M1075.647T1193.908"," 0.33847094"," 0.14215869"," 0.33854416"," 0.59221357","-2.77776568"," 0.02317547"," 0.21898436"," 0.10088711","-0.55865165"," 0.49665992"," 0.55858488"," 0.52673824"
"M649.026T106.128","-0.71502218","-0.63959127","-0.41497916"," 0.03613413"," 0.02779238","-0.51707064"," 0.50039610"," 0.95368758"," 0.51912154","-0.02302318"," 0.15805174"," 0.11450297"
"M1097.561T894.34"," 0.03480109"," 0.17134809","-0.41958947","-0.06495728","-0.29374219","-0.79111867"," 0.42483453"," 1.44153447"," 0.23341059"," 0.62667315","-1.09895962","-0.26423470"
"M1014.585T1248.122","-0.4188287","-0.2908360","-0.2173943","-0.1511329"," 0.3045322","-0.6399546"," 0.3742035"," 0.9644327"," 0.2255022","-0.0567792"," 0.1827483","-0.2764932"
"M868.517T1202.592","-0.18326893"," 0.00183071","-0.36662347","-0.22129283"," 0.53955702","-0.83622328"," 0.38577675"," 1.08016003","-0.08535228","-0.01808879","-0.08583601","-0.21063891"
"M1015.588T1248.088","-0.36274959","-0.26825147","-0.46712542","-0.19271992"," 0.32945123","-0.54856908"," 0.39373328"," 0.97426592"," 0.24720727","-0.08495094"," 0.16385453","-0.18414579"
"M921.374T936.829","-0.5326921070","-1.2233393194","-0.3710989623"," 0.0361352953","-0.2012324723","-0.3025667505"," 0.3998200913"," 1.2482670420"," 0.7335256456"," 0.3718208033","-0.1594069661"," 0.0007677002"
"M851.794T1356.146","-0.16386965","-0.09128810","-0.63058135","-0.49332101","-0.03861972","-0.45226850"," 0.50871161"," 1.10899594"," 0.15730772"," 0.42535652","-0.10602938","-0.22439406"
"M451.007T107.467","-0.59562691","-0.49710389","-0.17749513"," 0.03200732"," 0.18415520","-0.40760428"," 0.34718239"," 1.07929461"," 0.44047008"," 0.13306443","-0.02293818","-0.51540565"
"M808.919T1196.341"," 0.10569641","-0.75811833","-0.33488185"," 0.23159841","-0.44149217","-0.61136199"," 0.70145733","-0.00963705"," 0.11873166","-0.06355994"," 0.19602464"," 0.86554288"
"M1013.97T1244.591","-0.337435577","-0.328055026","-0.260259763"," 0.009455909"," 0.186105710","-1.028797928"," 0.524266437"," 0.976982968"," 0.164929351","-0.140158999"," 0.193605532"," 0.039361386"
"M1100.582T1225.322","-0.47421661","-0.54886171","-0.11408279","-0.37577049","-0.05885522","-0.49042241"," 0.28214686"," 1.21341175"," 0.42198936"," 0.06992256"," 0.03882213"," 0.03591657"
"M649.302T900.549","-0.5497541","-0.6309252","-0.3419209","-0.2322357","-0.1795317","-0.3624647"," 0.2852377"," 1.1745043"," 0.4773614"," 0.1491675","-0.0238241"," 0.2343856"
"M575.766T1053.433","-0.2011847062","-0.1481200029","-1.1802756915"," 0.3129449603"," 0.0057677623","-0.4042664952"," 0.0781070805"," 0.4098847362"," 0.4034225558"," 0.2389423217"," 0.4840498746"," 0.0007276045"
"M1161.883T894.146","-0.28379344"," 0.09557301"," 0.17116104","-0.25844584","-0.53469259","-0.84760239"," 0.62786878"," 0.97087224"," 0.81568359"," 0.04293568","-0.73679985","-0.06276023"
"M286.972T107.919","-0.552947398","-0.433983486","-0.305232269"," 0.131603398","-0.008604198","-0.305379358"," 0.317973010"," 1.207935057"," 0.335083416"," 0.139427296","-0.171185051","-0.354690417"
"M581.318T900.123","-0.53185192","-0.61276851","-0.08438527","-0.25650359","-0.48409384","-0.63003548"," 0.35715696"," 1.09747345"," 0.42994194"," 0.34765393"," 0.15635126"," 0.21106106"
"M1014.585T1348.471","-0.4982740","-0.7789925","-0.2654318","-0.2268892","-0.1142890","-0.5295009"," 0.3667874"," 1.0762890"," 0.4590458"," 0.1470258"," 0.2248878"," 0.1393415"
"M799.289T814.54","-0.1518408","-0.4087635","-0.5074459","-0.1284870","-0.2742164","-0.7445193"," 0.4805321"," 0.4411059"," 0.4811267"," 0.3272251"," 0.1584674"," 0.3268157"
"M883.503T1155.003","-0.34466960","-0.18804283","-0.27628995","-0.48083067"," 0.30420162","-0.65054350"," 0.37119833"," 1.17747519"," 0.15952024"," 0.04079476","-0.06168469","-0.05112892"
"M527.103T89.251","-2.04776746"," 0.00147743","-0.04215964"," 0.50747248"," 0.69240250","-0.22247590"," 0.70359568"," 1.34780727"," 0.38769547","-1.75562747"," 0.08670058"," 0.34087905"
"M1053.272T316.465","-0.6139631","-0.6068172","-0.3268901","-0.0446507","-0.4293169","-0.5710366"," 0.3927767"," 0.8188885"," 0.7212149"," 0.2504449"," 0.2291082"," 0.1802415"
"M1097.037T893.528","-0.35203591"," 0.06645364","-0.52391536","-0.91514654","-0.11353558","-0.36756420"," 0.73057004"," 1.42753275"," 0.55333980"," 0.57149632","-0.48632380","-0.59087116"
"M987.494T1327.158","-0.44354527","-0.26312591","-0.36794365","-0.26163035"," 0.26651951","-0.61530071"," 0.38388503"," 1.13444689"," 0.28746217"," 0.04390156","-0.03921868","-0.12545059"
"M863.484T1242.374","-0.198114252","-0.016196146","-0.427155111","-0.423238466"," 0.262330470","-0.796161310"," 0.358175932"," 1.339475184"," 0.188793469","-0.006461746","-0.099251378","-0.182196646"
"M869.849T1307.413","-0.4825653","-0.4425024","-0.1058995","-0.2308832","-0.1698435","-0.7026136"," 0.7124330"," 1.1690147"," 0.3849177"," 0.0978606","-0.2260317","-0.0038869"
"M867.515T1204.699","-0.18814444"," 0.03428488","-0.36912492","-0.20076134"," 0.69699762","-0.88551152"," 0.37442053"," 1.00587513","-0.23669526","-0.11134238"," 0.15719954","-0.27719785"
"M1071.559T892.477","-0.29131346","-0.08431011","-0.36075774","-0.50626532","-0.36307206","-0.46641368"," 0.58834610"," 1.39986549"," 0.49861421"," 0.53912493","-0.57926408","-0.37455428"
"M751.392T1268.098","-0.36523619"," 0.07493011","-0.73071088","-0.26837290"," 0.36569867","-0.67126982"," 0.45602875"," 1.16932433"," 0.16324860"," 0.14614528","-0.21179823","-0.12798773"
"M306.171T797.884","-0.456906554"," 0.706741261"," 0.003034635"," 0.481306464"," 0.653461051"," 0.083871308","-0.648921627"," 0.406224747"," 0.314311137","-0.912175790","-0.126127960","-0.504818672"
"M1000.263T316.358","-0.80360811","-0.58763491","-0.10829473"," 0.24799860","-0.27973664","-0.45084665"," 0.30565395"," 0.82906465"," 0.53701428"," 0.43405886","-0.10345610","-0.02021321"
"M699.398T1124.853","-0.6775110"," 0.3238453","-0.4170867","-0.1864953"," 0.2226195","-0.8440284"," 0.3408388"," 1.0683221"," 0.2615068"," 0.4131675","-0.1193098","-0.3858686"
"M767.194T317.413","-0.36530362","-0.61482842","-0.15924035","-0.93414874","-0.08918269","-0.45616221"," 0.42253910"," 0.95608851"," 0.63883613"," 0.34827091"," 0.02552725"," 0.22760412"
"M280.961T95.439","-0.6970173","-0.4814416"," 0.1156394","-0.1403123","-0.0300659","-0.5472589"," 0.3633999"," 1.2515938"," 0.6165604"," 0.1188128","-0.1929638","-0.3769465"
"M650.407T1378.088","-0.62384359","-0.79654814","-0.44848122","-0.09422659","-0.34349759","-0.58022870"," 0.47376325"," 1.30886262"," 0.69375915"," 0.17837879"," 0.11395382"," 0.11810821"
"M653.891T318.024","-0.46365474","-0.66168780","-0.70251393"," 0.03512446","-0.05743527","-0.49026296"," 0.42354578"," 1.05883311"," 0.53006472"," 0.04954380"," 0.12805918"," 0.15038365"
"M560.841T1187.938"," 0.01536226","-0.23572560","-0.04259834","-0.40561314","-1.11929296","-0.24067977"," 0.23589524"," 0.75796085"," 0.09041365"," 0.64517877","-0.06942179"," 0.36852084"
"M354.957T108.842","-0.58686294","-0.50975611","-0.37710968","-0.14472800"," 0.03589045","-0.45521569"," 0.36523788"," 1.20492338"," 0.58763929"," 0.13856444","-0.18041235","-0.07817067"
"M590.775T907.789","-0.05603621"," 0.13025758"," 0.05616757"," 0.04770723","-0.28739201","-1.01500429"," 0.12439832"," 1.37701772"," 0.09964217"," 0.61035528","-0.60333837","-0.48377499"
"M455.14T941.827","-0.815686586","-1.280988470"," 0.083210982"," 0.061320907"," 0.308098643","-0.667975933"," 0.231498844"," 0.807611706"," 0.484248513"," 0.360191841"," 0.005470516"," 0.422999037"
"M478.858T67.274","-0.73244837","-0.13712620","-0.30258091"," 0.30353018"," 0.01957225","-0.37813287"," 0.41683076"," 0.90489705","-0.12319449","-0.25667760"," 0.14621751"," 0.13911269"
"M991.585T1378.099","-0.4936985330","-0.2741853730","-0.3784140440","-0.3092605955"," 0.4849883517","-0.7746515995"," 0.2945078003"," 0.8841428687"," 0.0991639918"," 0.1665564768"," 0.3005250472"," 0.0003256085"
"M184.986T90.923","-0.32455378","-0.78299861","-0.29385391"," 0.04133022","-0.34262822","-0.87403164","-0.01685483"," 1.52872863"," 0.48740387"," 0.05483235","-0.21553042"," 0.73815633"
"M206.082T164.917","-0.16777272","-0.08771542"," 0.22430972"," 0.89605823"," 1.18154855"," 0.30792707"," 0.26824162","-0.97386833","-0.16164641","-0.18310158","-0.50796052","-0.79602021"
"M1161.521T895.466","-0.27714899"," 0.03867778","-0.18359570","-0.42376184","-0.39492291","-0.62474890"," 0.51023696"," 1.47035263"," 0.48449520"," 0.27569818","-0.59539161","-0.27989080"
"M418.218T902.438","-0.57667030","-0.99051330"," 0.08578723","-0.45703473","-0.01894743","-0.71287052"," 0.36927479"," 1.17171408"," 0.57344140"," 0.26103025"," 0.08398833"," 0.21080021"
"M632.783T316.499","-0.607871181","-0.628634973","-0.184826795"," 0.011838951","-0.416321646","-0.432686419"," 0.803002317"," 0.648825121"," 0.122704845"," 0.305814125","-0.004524062"," 0.382679717"
"M1074.325T1193.301","-0.031878612"," 0.535068309"," 0.669223494"," 0.659952767","-1.986249913"," 0.004204071"," 0.370688257"," 0.516793631","-0.746219096","-0.127741866","-0.571886391"," 0.708045349"
"M451.218T291.531","-0.3684612","-0.7678044","-0.1560860","-0.5231998","-0.2481153","-0.7277707"," 0.4899917"," 1.2284591"," 0.5290996"," 0.4667185","-0.1483258"," 0.2254942"
"M344.099T126.621","-0.56600061","-0.89961883","-0.11808792","-0.10218141","-0.18390097","-0.48357931"," 0.39311952"," 1.08644678"," 0.43818756"," 0.36567550","-0.02390833"," 0.09384801"
