"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M589.228T896.878","  2019.591"," 24321.582"," 49432.362"," 69535.283"," 59500.000"," 55760.024"," 62300.000"," 52800.000"," 83163.393","  3383.002","102191.767","     0.000"," 45681.160"," 49000.000"," 57040.066"," 63849.123"," 64742.988"," 96400.000"
"M617.489T1624.961"," 89331.79","117002.53","178159.56","230807.57","247000.00","336486.53","262000.00","325000.00","322768.17"," 71725.82","467331.44","137437.22","246421.27","365000.00","236456.36","280149.60","228825.19","276000.00"
"M535.409T1440.116","109958.99"," 99747.13","110307.36","168446.35","147000.00","117830.61","156000.00","215000.00","273711.83"," 52800.08","218933.96"," 48198.50","131365.06","166000.00","171975.47","191143.51","203617.33","165000.00"
"M673.432T1355.711"," 13628.26","163104.37","174641.86","161917.57","159000.00","170442.84","157000.00","174000.00","150591.26"," 19517.94","194914.76"," 31389.87","145661.53","119000.00","173137.06","195017.33","186224.14","202000.00"
"M817.317T940.819"," 14439.39"," 44197.55"," 97452.08","157911.83","152000.00","153473.81","239000.00","160000.00","200632.06"," 30482.18","149283.05"," 31295.83","155674.99","181000.00","183947.37","195643.67","217119.93","154000.00"
"M438.146T926.75","  3205.809"," 50703.909"," 69619.004","145821.692"," 97200.000"," 98395.849","134000.000"," 93700.000","104474.432","  2844.271","110000.288","  6159.405"," 87106.540"," 82200.000"," 87350.213"," 69568.122"," 76117.177","109000.000"
"M535.375T1490.352","127001.47","120584.55","172386.85","194845.03","176000.00","137076.32","177000.00","247000.00","231613.80"," 79513.85","263495.05"," 67239.63","156692.30","188000.00","205164.37","220938.22","227138.56","197000.00"
"M808.52T1220.972","  8213.04","120697.15","159858.19"," 50551.56"," 52500.00"," 63695.34"," 45200.00"," 30800.00"," 45389.75"," 10077.11"," 46258.90"," 15597.07"," 47163.13"," 37200.00"," 46740.93"," 28625.01"," 58426.20"," 59300.00"
"M577.49T1591.335","135842.0","152439.2","164729.2","216002.9","216000.0","279259.4","190000.0","270000.0","254996.1","102007.7","309666.4","106120.8","231100.5","228000.0","226532.0","243198.7","211319.4","254000.0"
"M1059.419T884.787","   810.8953"," 71001.1830","205845.5800","137583.5180","223000.0000"," 73948.2950"," 98000.0000","233000.0000","251100.0830","  1271.8575","351432.3790","  2780.8960","107488.4434","130000.0000"," 89554.0330","235989.8160","181580.0210","315000.0000"
"M813.332T1056.081"," 3272.869","11942.724","42455.745","85113.502","70900.000","44266.014","88200.000","67200.000","87189.783","    0.000","54107.162"," 2515.619","55681.067","90400.000","53796.629","50424.292","56288.423","60500.000"
"M869.334T919.017"," 13744.47"," 53492.95","107737.70","165720.88","156000.00","108493.75","162000.00","152000.00","139916.31"," 12469.38","117993.47"," 14597.44","113498.76","132000.00","125126.98","116718.46","105782.95","117000.00"
