"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M1085.421T973.898","2067.7404","16936.01","42844.698","39370.151","59800","43807.161","46000","52500","85924.806","3957.2852","57430.33","1964.0316","63343.8351","60800","55622.957","71519.151","68305.752","62300"
"M1114.854T834.347","1632.2042","18760.064","39563.037","51423.471","38500","38679.597","32400","21700","23021.589","5239.2299","10167.475","16697.9195","28041.9727","33900","30195.053","34730.724","45129.218","30700"
"M987.579T1163.004","3790.8404","262791.614","292594.352","175855.759","138000","219407.718","149000","147000","179227.086","11778.7768","145291.469","2884.6405","164060.4205","167000","176429.36","113984.482","199217.9","179000"
"M441.224T1179.269","21410.8204","204453.412","236661.998","71925.386","67900","101269.672","89600","98500","90716.888","19551.3025","75087.616","15295.1596","83939.4958","92200","91236.93","82182.654","91593.239","82400"
"M899.349T990.311","9439.3442","36165.836","46198.488","80806.453","59500","55254.179","95800","63700","70914.6","6700.3149","70731.452","7022.509","63950.9175","64900","65914.277","55894.897","68165.655","62900"
"M659.418T1406.262","20041.8402","41430.614","45006.678","62706.236","79700","63426.708","48300","98800","86844.916","24062.352","45771.089","25324.895","63719.4718","73700","67784.269","96218.587","75766.659","92100"
"M841.471T1389.363","11133.0174","49892.71","48079.15","60880.243","50200","52988.957","63100","79800","67697.389","4701.369","98147.197","12351.9222","62567.3732","72800","69035.571","75696.56","60264.215","78100"
"M655.418T1389.36","15634.8247","135264.745","132831.438","147693.546","143000","128895.229","129000","185000","153174.454","20453.2298","145605.827","22387.8042","122554.1057","140000","128792.795","202295.446","159099.94","135000"
"M575.479T1473.048","53767.9902","330893.103","375060.77","616729.292","582000","604621.6","483000","673000","619324.84","49585.9596","644739.478","10280.1445","493930.3513","394000","480147.216","709622.62","446816.53","563000"
"M575.481T1540.694","55946.6022","330893.103","375060.77","616845.483","589000","604896.897","483000","676000","619595.562","49567.2153","643868.214","10281.0416","493930.3513","397000","480239.923","709890.255","447113.369","571000"
"M684.476T1302.601","13097.9795","73296.677","89611.488","85455.616","84700","74305.472","63500","70200","63881.172","6989.1055","54439.822","11649.7717","58708.3981","59000","65792.225","77628.578","72040.012","71800"
"M331.187T1104.601","23353.744","294471.293","357966.739","354493.088","326000","401204.188","343000","171000","230103.078","26853.907","170578.066","22405.6023","401873.1447","279000","423320.611","262856.22","328619.036","290000"
"M549.424T1386.472","81933.5463","177754.677","268521.32","339992.926","284000","228902.476","276000","485000","370673.474","94674.485","336726.319","82403.0942","259504.9943","255000","241989.791","430165.555","274975.311","226000"
