"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M657.063T941.851",0.031474,-0.057078,-0.046641,0.053276,0.0021653,0.023532,-0.0021577
"M632.663T319.55",0.031344,0.016342,0.0089874,-0.015949,0.049781,-0.0042177,0.0046925
"M809.433T1339.33",0.032282,-0.026111,0.020404,0.032465,0.024341,0.021427,0.0092386
"M654.008T318.692",0.033795,0.016078,0.024004,0.00026405,0.06142,0.041748,0.007748
"M923.402T931.508",0.04439,0.045913,-0.0097896,-0.020579,0.0066834,0.012622,0.0029858
"M428.2T856.891",0.039983,0.010867,0.0051268,-0.0038019,-0.02795,0.026345,0.00038828
"M281.069T746.743",0.032446,-0.020695,0.0096645,0.0037548,0.027801,-0.043843,0.017137
"M703.247T844.715",0.037691,0.01577,-0.0026056,0.0081876,0.0078633,0.036455,-0.0028799
"M590.015T907.684",0.031363,-0.055793,-0.006742,-0.0046501,-0.010167,0.0019212,0.01342
"M455.081T704.884",0.032277,-0.014366,-0.018933,-0.0041374,-0.03465,-0.040716,-3.4778e-07
"M970.813T317.253",0.031775,0.037167,-0.04412,0.0032194,-0.0058708,0.0376,0.013315
"M997.575T1403.78",0.031781,-0.021084,-0.01199,-0.010369,0.0016704,0.0078262,0.0028026
"M1053.286T316.584",0.031564,0.018264,0.0044663,0.0064012,0.00081287,0.0098002,0.0033312
"M1163.085T907.707",0.011798,-0.052995,-0.086323,0.0056948,-0.064573,-0.027982,-0.0067696
"M421.636T753.774",0.035784,-0.047834,0.01893,0.063516,-0.0020856,0.056073,0.0022912
"M709.31T874.193",0.039885,-0.0068874,0.0042461,-0.012278,-0.0070802,-0.0057749,0.0083429
"M361.589T316.501",0.031825,-0.010168,-0.0044926,0.0058441,0.06101,-0.00029288,-0.019791
"M517.099T802.454",0.030579,-0.043413,0.049519,0.013746,-0.068217,-0.031141,-0.016245
"M982.374T904.236",0.041026,0.018666,-0.0030093,0.017074,-0.026353,0.010353,0.0068
"M383.433T314.152",0.030749,-0.037588,-0.0026255,-0.009945,0.019368,7.8038e-05,-0.011303
"M362.298T315.255",0.035071,-0.020222,-0.0051029,-0.015509,-0.0022439,0.0016494,-0.0061516
"M481.183T769.795",0.040686,-0.018045,-0.088912,-0.0033892,-0.022906,0.00025511,0.016657
"M407.173T414.983",0.036041,-0.043104,-0.0094539,-0.090047,-0.037496,-0.049275,0.00027661
"M1297.451T316.098",0.027717,0.068918,-0.0076044,-0.0077547,-0.031818,0.033171,-0.024127
"M727.283T864.823",0.029668,0.016841,-0.010352,-0.01075,-0.0061097,0.027584,0.0029527
"M847.495T1389.03",0.030472,-0.052994,0.041097,-0.0085672,-0.02515,0.007924,0.002588
"M1031.84T1213.333",0.028658,-0.017462,-0.025229,-0.017922,0.034993,0.056287,-0.010604
"M937.515T1306.76",0.03223,-0.012875,0.046898,-0.01284,0.019372,0.031378,-0.0049346
"M570.518T894.146",0.031665,-0.060391,0.014478,-0.034786,0.026706,-0.054689,0.00083515
"M1162.717T895.445",0.030305,-0.058863,0.03208,0.013078,0.013291,-0.077148,0.01566
"M289.446T802.654",0.026539,-0.071812,0.041528,0.060008,-0.052068,0.047368,0.00032542
"M970.001T316.098",0.025514,0.014527,-0.074675,0.046964,-0.047698,0.021642,-0.026484
"M647.193T836.421",0.040225,0.005499,0.039038,0.021102,-0.0071554,-0.0051556,-0.01434
"M968.365T965.957",0.038458,0.061852,0.044084,0.0031646,0.036444,-0.023177,0.0047634
"M863.184T809.21",0.030439,-0.040097,-0.051357,0.014533,-0.093337,-0.0069577,-0.035627
"M565.23T844.341",0.031307,-0.022801,-0.011681,-0.017297,0.029584,-0.015151,-0.0034457
"M293.118T1042.937",0.059877,0.020548,-0.032435,0.12884,0.035533,-0.06274,-0.072698
"M483.209T897.853",0.034642,-0.0025084,0.013827,-0.0092653,0.016521,-0.014157,0.013812
"M1094.047T894.516",0.032869,-0.060982,0.020251,-0.010359,0.01226,-0.0087237,-0.0050717
"M317.087T121.975",0.035771,-0.015177,0.014893,-0.0035007,-0.0073489,0.016692,0.010626
"M909.388T926.435",0.043985,0.051604,0.061803,0.010447,-0.0085632,-0.014848,0.010239
"M549.258T834.983",0.038808,0.082888,0.031669,0.027817,0.0085042,-0.030505,0.023153
"M415.744T872.34",0.033752,0.0093185,0.04076,0.0093918,-0.0095422,0.017656,-0.028327
"M451.125T735.96",0.036721,0.006903,0.021192,0.032112,-0.015705,-0.01016,0.011578
"M361.481T320.767",0.031522,-0.017318,0.028281,0.0032831,0.061603,-0.031335,0.0085983
"M409.075T744.412",0.033284,-0.033105,0.0022261,0.0077394,0.026563,-0.033045,0.011818
"M457.136T788.61",0.038805,0.031582,0.028156,0.0027495,-0.00010805,0.015494,0.0064816
"M311.138T170.155",0.034406,-0.020797,0.010303,-0.013888,-0.0065678,-0.056926,0.019009
"M593.763T756.056",0.034404,-0.060138,0.0048893,0.01744,-0.0056642,0.040378,0.014743
"M392.068T765.784",0.031247,-0.026859,-0.008145,0.014392,-0.013765,-0.051079,0.00058825
"M433.661T789.942",0.032617,-0.0078251,0.019234,-0.006609,-0.022722,0.0092999,-0.016309
"M919.493T1102.884",0.031886,-0.032486,-0.043028,-0.05105,0.016357,0.061201,0.013923
"M437.044T765.875",0.037943,0.0044716,0.0035343,0.013344,0.026052,-0.028768,-0.026315
"M715.427T310.719",0.032574,-0.044317,-0.0017132,0.038871,0.0061734,-0.023134,-0.00096443
"M1095.84T892.791",0.038334,-0.061685,-0.069441,0.098612,0.058417,0.017656,-0.013441
"M485.168T916.74",0.034556,-0.0053156,0.038399,0.0068281,-0.022583,-0.0067793,-0.00098238
"M313.119T883.187",0.03883,0.093421,0.03313,0.03609,-0.0048137,0.020682,0.01848
"M433.039T456.919",0.05345,0.056076,-0.12848,0.1156,-0.0021988,-0.022696,0.047666
"M447.259T942.596",0.035477,-0.027258,0.0049091,0.0071346,0.026352,0.00088245,-0.008213
"M355.067T660.488",0.029759,-0.024574,0.016767,-0.011325,-0.054403,-0.022667,-0.0089806
"M1134.038T907.684",0.0098876,-0.025569,-0.026134,-0.053672,-0.11345,-0.01195,0.035626
"M819.254T316.358",0.030378,0.02678,-0.021989,-0.018778,0.0058571,0.025922,-0.011181
"M383.609T322.831",0.032162,-0.033633,0.0060946,0.0087867,0.017178,0.021348,0.0019899
"M341.31T626.276",0.042674,-0.0095172,-0.027176,-0.0040731,0.018508,-0.0054683,-0.006297
"M579.151T798.32",0.033144,-0.023257,0.0037396,0.062925,-0.10837,-0.017233,0.0012541
"M784.154T761.471",0.03398,-0.016696,0.011611,-0.0086363,0.030158,-0.019895,0.013095
"M323.187T1016.246",0.032296,-0.026769,-0.035322,-0.020701,-0.0033823,0.022102,-0.0088056
"M1099.581T1224.487",0.030965,-0.00039135,0.026566,-0.031514,0.011675,0.0082062,-0.0044712
"M206.988T126.118",0.030356,-0.027856,0.027257,0.024745,-0.012761,0.017189,0.00077304
"M685.228T857.881",0.039342,0.035864,-0.026199,-0.025724,0.032821,-0.019423,-0.00065435
"M441.162T763.637",0.033039,0.010484,0.059699,0.008061,-0.028936,0.021254,0.010246
"M963.275T732.778",0.034276,0.005867,-0.0067846,0.0051567,-0.0062642,0.038381,-0.027434
"M991.316T318.206",0.030747,0.018407,0.0086124,0.021209,-0.011152,0.033798,-0.015853
"M867.206T809.129",0.041307,-0.039729,0.080555,0.057868,-0.012609,0.033095,-0.022853
"M403.064T798.991",0.029844,-0.072006,-0.0057909,0.036235,-0.043975,0.041867,-0.0044706
"M836.522T1479.692",0.033303,-0.036165,0.005231,-0.017601,0.011981,0.01942,0.0070207
"M399.275T1363.391",0.035807,-0.021054,-0.02178,0.0016282,-0.018408,-0.02095,-0.023422
"M548.179T817.387",0.037067,0.044969,-0.012243,0.017229,-0.037649,0.0096889,0.0084153
"M524.183T892.811",0.033827,0.0099031,0.011909,-0.011006,-0.013371,0.0072669,-0.0064387
"M518.153T824.178",0.035378,0.010179,5.339e-05,0.0025104,0.021256,-0.02289,-0.00076884
"M1096.548T894.929",0.032108,-0.04759,0.029611,-0.024967,-0.0032501,0.0085748,-0.0046734
"M999.268T316.316",0.031258,0.010309,-0.034209,-0.022584,-0.0077342,0.027623,0.02032
"M266.366T1577.236",0.029646,-0.033214,0.024469,-0.016188,0.017315,-0.01159,0.010137
"M836.743T1479.398",0.03167,-0.017307,0.0034468,0.011454,0.021498,-0.011709,-0.00025783
"M252.965T98.618",0.030633,-0.031617,0.097307,0.058841,0.0090703,0.010912,-0.0021831
"M529.154T821.794",0.03454,0.01152,-0.0010538,0.030157,-0.037328,-0.053256,-0.0010124
"M487.212T857.117",0.036968,-0.0053529,-0.033355,0.0017105,0.025264,-0.027176,-0.025263
"M1323.386T316.247",0.030405,0.046488,-0.02066,-0.0092934,-0.0117,0.02962,-0.0098773
"M501.206T823.684",0.037502,0.064934,0.072873,-0.013768,-0.017536,-0.052462,0.015669
"M438.049T766.588",0.034947,-0.016172,-0.014251,0.014512,0.047584,-0.061738,-0.022335
"M1013.583T1347.533",0.032871,-0.0069098,0.016939,-0.011472,0.019452,0.011762,0.0083005
"M407.045T415.442",0.034815,-0.021294,0.0010744,-0.0072121,0.024844,0.013907,0.020813
"M331.068T223.104",0.041405,-0.020039,0.018638,-0.020723,-0.0038683,-0.034873,0.025513
"M384.092T841.195",0.023468,-0.021354,-0.066134,0.032434,0.032769,0.0033779,-0.012972
"M1611.697T937.933",0.053997,0.024143,0.010383,0.025425,0.033965,-0.024122,-0.0069051
"M653.913T316.046",0.035196,-0.010772,-0.013792,-0.034302,-0.025487,0.031735,-0.0078802
"M969.317T316.321",0.028529,0.042714,-0.019826,-0.016057,5.8699e-05,0.034048,0.0025522
"M311.104T1075.82",0.029481,0.032204,0.05721,0.047865,0.0092069,0.080705,-0.017655
"M380.071T778.258",0.049743,0.024593,-0.053007,0.043332,-0.087728,0.013011,0.01042
"M638.078T817.768",0.024714,0.056136,0.030283,-0.014524,-0.057327,0.013498,0.010787
"M651.317T893.83",0.03169,-0.012915,-0.0015075,-0.013747,0.0088965,-0.016851,3.5072e-05
"M1167.557T907.179",0.035054,-0.013079,-0.048328,-0.055764,0.057126,0.062229,-0.012442
"M221.066T891.624",0.031243,0.024593,-0.046505,-0.0015573,-0.0036877,-0.032083,0.004854
"M204.085T413.719",0.054818,-0.031674,-0.01811,0.051223,-0.083954,0.00015021,0.034683
"M621.125T857.148",0.037005,0.0012733,-0.054028,-0.075194,-0.054608,-0.031101,-0.0051887
"M1009.554T1308.282",0.029545,-0.034674,0.02677,-0.00042393,0.016641,0.012126,0.010287
"M483.178T941.182",0.033194,-0.02346,-0.029606,-0.081138,-0.0035101,0.037085,0.0059781
"M1057.411T880.24",0.039279,0.04543,0.021573,0.020978,0.030747,-0.035789,-0.010876
"M469.208T948.545",0.037837,0.01865,0.0012641,0.065717,0.0013765,0.004465,-0.017824
"M673.289T892.945",0.03511,-0.0027365,0.019456,-0.02331,-0.012115,-0.013676,-0.00046463
"M833.365T968.818",0.042266,0.019486,0.044514,-0.024031,-0.054419,-0.019207,-0.010301
"M893.38T934.735",0.044264,0.056345,0.043815,0.021324,0.015091,0.011545,0.049417
"M393.176T847.594",0.034251,-0.0022895,0.0087788,-0.010626,-0.023678,-0.024586,0.0060195
"M981.364T901.259",0.034278,0.0053001,0.072638,-0.013713,-0.019904,0.0031961,0.012712
"M653.935T315.929",0.033024,-0.0002846,0.01591,-0.0041233,-0.0229,0.028362,-0.0025392
"M865.491T1326.551",0.031756,-0.029342,0.044639,-0.0091053,0.0083726,0.028974,0.001888
"M449.202T630.506",0.031041,-0.0032688,0.00046643,0.020456,-0.017922,0.0034338,-0.0011948
"M437.065T776.272",0.031181,-0.020097,0.013166,0.00052697,0.029115,0.023535,0.029584
"M268.959T125.12",0.029873,-0.012366,0.046962,-0.01717,0.0048435,-0.027153,0.00049064
"M551.272T837.928",0.037117,0.022051,0.039557,0.022657,0.019525,0.016406,-0.016065
"M456.197T892.811",0.036842,0.0022492,0.00051266,-0.018406,-0.017991,0.00061124,0.012537
"M356.995T88.504",0.037029,-0.017227,0.0098093,0.058456,-0.020127,0.060943,-0.0064281
"M391.157T830.263",0.041521,0.10409,0.0756,0.018153,-0.024623,-0.012601,-0.015809
"M567.778T908.116",0.027576,-0.044608,0.03543,-0.025344,-0.032155,-0.02136,-0.00013964
"M559.667T1200.71",0.031496,-0.030109,0.053566,0.047882,0.045062,-0.030262,0.0075196
