"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"M1015.586T1347.819",0.033143,-0.01747,-0.0080392,0.012641,0.019704,0.0091758
"M1033.603T1229.397",0.029355,-0.010568,-0.0084001,0.011855,-0.00036398,0.0018774
"M533.169T900.984",0.037439,0.032899,0.023847,-0.022308,-0.024567,0.013317
"M1095.01T894.541",0.026878,0.017989,-0.0054367,0.051579,0.078122,0.047155
"M1209.581T888.373",0.032147,-0.03976,0.025694,-0.028329,-0.029202,-0.027928
"M492.868T66.13",0.027618,-0.0057555,0.01786,-0.035235,0.037681,0.0031691
"M567.276T907.878",0.028028,-0.070986,0.043075,-0.017353,0.01,-0.022457
"M664.226T813.714",0.037232,-0.0036809,-0.017673,0.058595,-0.035657,-0.0014675
"M1035.397T978.889",0.0372,0.065277,-0.059256,-0.030167,0.025546,0.0047817
"M1162.051T893.06",0.033459,-0.053498,0.041059,-0.0053381,0.018198,0.018763
"M812.842T69.273",0.035048,-0.00067494,0.013095,0.076287,0.031951,-0.031802
"M691.153T854.793",0.036437,-0.015469,0.034609,-0.003206,-0.0052931,-0.028262
"M433.351T780.04",0.037287,-0.030092,0.01889,-0.056826,0.022186,0.023682
"M1363.57T899.951",0.036423,-0.011496,0.05514,-0.009498,0.008867,-0.053993
"M410.078T615.621",0.053701,0.072166,0.043015,-0.055968,-0.07283,0.11217
"M1125.418T877.844",0.038294,0.011737,-0.073336,0.038318,-0.0057322,0.022322
"M483.183T857.732",0.03841,0.016363,0.018174,0.0036202,0.071868,-0.054552
"M1323.575T889.628",0.034271,-0.013293,0.029143,-0.0015935,-0.043955,-0.033648
"M695.298T853.355",0.039185,-0.022631,-0.0088148,0.011024,0.033328,-0.032608
