"","Fold Change","log2(FC)"
"M553.051T758.396",3.3311,1.736
"M655.999T943.196",3.3295,1.7353
"M313.093T320.692",3.327,1.7342
"M999.268T316.316",3.325,1.7333
"M723.577T942.094",3.3222,1.7321
"M371.09T764.993",3.3187,1.7306
"M539.134T89.251",3.3132,1.7282
"M505.3T1291.082",3.3127,1.728
"M653.861T317.501",3.3091,1.7264
"M341.088T439.204",3.3051,1.7247
"M545.298T995.647",3.3018,1.7233
"M232.059T185.959",3.2981,1.7216
"M941.462T1306.809",3.2943,1.72
"M537.08T758.19",3.289,1.7176
"M415.161T821.344",3.2867,1.7167
"M669.182T316.584",3.2864,1.7165
"M836.743T1479.398",3.2863,1.7164
"M377.049T427.197",3.2841,1.7155
"M477.088T1628.76",3.2796,1.7135
"M851.154T319.552",3.2764,1.7121
"M289.065T88.687",3.2752,1.7116
"M657.266T958.998",3.2701,1.7094
"M429.486T320.767",3.2664,1.7077
"M1037.324T316.098",3.2653,1.7072
"M264T169.106",3.2621,1.7058
"M469.095T760.602",3.26,1.7049
"M941.508T1318.851",3.2566,1.7034
"M565.23T844.341",3.2546,1.7025
"M287.076T110.312",3.2501,1.7005
"M306.936T1813.234",3.2437,1.6976
"M861.451T1062.153",3.2237,1.6887
"M437.065T776.272",3.2206,1.6873
"M357.576T759.445",3.2096,1.6824
"M383.433T314.152",3.2084,1.6819
"M757.441T1176.453",3.2015,1.6788
"M651.317T893.83",3.1995,1.6778
"M204.975T113.721",3.1993,1.6778
"M1323.386T316.247",3.1916,1.6743
"M1162.522T896.44",3.1689,1.664
"M413.108T298.268",3.1613,1.6605
"M515.105T113.414",3.1547,1.6575
"M613.854T887.38",3.1458,1.6534
"M286.972T107.919",3.1421,1.6517
"M269.15T1584.952",3.1375,1.6496
"M1009.607T1323.757",3.136,1.6489
"M522.878T65.745",3.1357,1.6488
"M206.988T126.118",3.1296,1.646
"M387.02T108.554",3.1275,1.645
"M449.202T630.506",3.1203,1.6417
"M1053.286T316.584",3.1194,1.6413
"M632.663T319.55",3.111,1.6374
"M329.088T425.59",3.1053,1.6347
"M385.113T791.317",3.095,1.6299
"M445.037T424.564",3.0912,1.6282
"M1031.288T315.245",3.0852,1.6253
"M970.768T318.573",3.0782,1.6221
"M1000.263T316.358",3.0695,1.618
"M819.254T316.358",3.0665,1.6166
"M798.851T67.54",3.0596,1.6133
"M991.316T318.206",3.0519,1.6097
"M413.167T733.785",3.047,1.6074
"M1163.56T905.015",3.0468,1.6073
"M429.414T851.13",3.0377,1.603
"M453.035T765.753",3.0348,1.6016
"M859.153T942.886",3.0335,1.601
"M1204.518T908.598",3.0321,1.6003
"M309.465T1630.61",3.0284,1.5985
"M633.753T316.098",3.0281,1.5984
"M313.275T1417.53",3.0245,1.5967
"M970.001T316.098",3.0216,1.5953
"M1100.582T1225.322",3.009,1.5893
"M338.162T1582.434",3.0087,1.5891
"M316.508T323.984",3.0063,1.588
"M419.228T901.259",3.0051,1.5874
"M613.564T887.981",3.0018,1.5858
"M451.007T107.467",2.9965,1.5833
"M413.104T602.912",2.9951,1.5826
"M637.025T106.841",2.994,1.5821
"M431.769T791.594",2.9812,1.5759
"M463.182T861.112",2.979,1.5748
"M630.654T314.128",2.9733,1.5721
"M575.708T1045.732",2.9609,1.5661
"M969.321T316.442",2.9607,1.5659
