"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6"
"M1390.547T1005.094",0.77987,0.9942,0.99523,1.0075,1.0075,1.0075
"M1030.642T1193.369",0.77947,0.89266,0.88707,0.88724,0.88723,0.88723
"M453.035T765.753",0.77855,0.8858,0.87959,0.87987,0.87986,0.87986
"M309.478T1627.463",0.77732,0.83363,0.82774,0.82737,0.82736,0.82736
"M384.092T841.195",0.77701,0.91683,0.91673,0.91699,0.91698,0.91698
"M559.667T1200.71",0.77579,0.95034,0.94407,0.94298,0.94298,0.94298
"M343.102T681.368",0.77519,0.85288,0.85593,0.85585,0.85585,0.85585
"M1263.489T907.902",0.77461,0.78922,0.78964,0.78895,0.78895,0.78895
"M545.846T78.22",0.77354,0.75348,0.76204,0.76119,0.76122,0.76122
"M1009.554T1308.282",0.7711,0.79909,0.80007,0.79909,0.79909,0.79909
"M570.518T894.146",0.77092,0.97857,0.97571,0.97854,0.97853,0.97853
"M527.309T1189.176",0.76956,0.71486,0.71019,0.71052,0.71057,0.71057
"M577.255T863.306",0.76915,0.85214,0.8613,0.86443,0.86442,0.86442
"M799.289T814.54",0.76549,0.93888,0.93284,0.93169,0.93168,0.93168
"M540.867T1245.744",0.76409,1.1191,1.116,1.1179,1.1179,1.1179
"M325.2T1323.486",0.76399,0.71742,0.71267,0.71362,0.71362,0.71363
"M865.489T1291.829",0.76385,0.79734,0.80067,0.79959,0.79958,0.79958
"M985.574T1225.672",0.76231,0.7526,0.7553,0.75455,0.75454,0.75454
"M847.495T1389.03",0.76197,0.88751,0.89458,0.8935,0.8935,0.8935
"M475.877T67.555",0.76082,0.71429,0.72037,0.73439,0.73439,0.73439
"M389.108T489.956",0.76067,0.78149,0.8274,0.82646,0.82657,0.82657
"M267.196T1364.412",0.75981,0.70562,0.70148,0.70603,0.70603,0.70603
"M779.158T89.251",0.75916,0.86677,0.86306,0.86269,0.86272,0.86272
"M651.363T1268.695",0.75814,0.87893,0.89169,0.89287,0.89286,0.89286
"M655.999T943.196",0.7575,0.8835,0.88794,0.88675,0.88674,0.88674
"M266.366T1577.236",0.75486,0.83566,0.83216,0.83111,0.8311,0.8311
"M517.099T802.454",0.75278,0.92216,0.92,0.91879,0.91882,0.91882
"M597.052T106.853",0.7515,0.9832,0.97848,0.97709,0.97709,0.97709
"M559.053T88.871",0.74935,0.84705,0.84769,0.84735,0.84735,0.84735
"M861.451T1062.153",0.74818,0.74353,0.78229,0.78454,0.78453,0.78453
"M420.999T106.905",0.74506,1.2754,1.2663,1.2646,1.2646,1.2646
"M1204.491T868.846",0.7435,0.70943,0.70618,0.71117,0.71116,0.71116
"M579.301T894.416",0.74319,0.7741,0.77242,0.77155,0.77155,0.77155
