"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M402.053T876.272"," 495.8184"," 377.8076"," 501.4473","2199.9429","2180.7500","   0.0000","5405.3766","1341.9420","1537.7598","2333.2165","3799.3056","   0.0000","2975.4070"," 717.3607","6066.4312"," 215.0000"," 155.9042","   0.0000"
"M753.298T903.043"," 4355.359"," 2691.013"," 7437.113"," 4928.686"," 4625.873","    0.000"," 7583.311"," 8820.766"," 7377.194"," 6054.807"," 9154.750","    0.000"," 5651.385"," 5385.989"," 5248.190","    0.000"," 6016.045","11527.823"
"M610.83T67.188"," 8322.758","11757.826","14063.497"," 8867.321"," 9415.040"," 4540.928","14990.293"," 7444.328"," 2369.796","10717.543"," 7943.427"," 7376.719","11346.136","16649.393","16205.807"," 2560.000","10961.562","10097.178"
"M475.366T1425.395","2962.100","3854.808","4253.127","5904.316","6144.205","   0.000","9802.936","5517.740","9032.751","7186.411","4957.854","   0.000","4818.906","5584.632","5759.277","   0.000","6520.609","5603.164"
"M485.063T759.194","17140.58","15341.80","29462.40","15221.60","13590.71","    0.00","35906.36","17412.98"," 9563.19","21286.13","26758.34","    0.00","18656.08","13438.29","16882.30","    0.00","21018.62","28946.44"
"M1044.425T908.907"," 7089.805"," 2247.422"," 5607.450","10881.657","10576.944","    0.000"," 4932.559","11163.738","12366.178","10292.912","10352.410","    0.000","11865.539","10136.414","10804.834","    0.000","10943.383","16870.389"
"M1331.507T909.803"," 9343.6587","10276.4163","11122.6037"," 9184.3599"," 8247.0668","  495.6456","11890.3455"," 8273.9861","10919.6796","10239.1755","12383.8662"," 1388.7181","10684.0958"," 7954.9225"," 9373.0265","  328.0000"," 6152.4265"," 6728.9701"
"M507.209T930.4"," 93455.64"," 39366.26","117174.08"," 95772.64","176288.48","     0.00","317478.83","118609.83"," 60116.47","124671.35","166020.79","     0.00"," 70767.15"," 87618.94","125712.44","   327.00","209227.99","197782.38"
"M238.892T97.993"," 4898.2155"," 4179.2160"," 6898.0461"," 6296.5725"," 5480.5400","  466.2258"," 7896.9067"," 5481.7351"," 7106.4609"," 6333.4806","12044.4600","  600.8451"," 5581.7428"," 5961.2055"," 6090.0811","  404.0000"," 3955.9488"," 5486.3440"
"M1143.426T942.716"," 7937.815"," 2085.781","14676.166","12999.400"," 8773.035","    0.000","14672.486","15427.998","13086.359","19308.470","16369.707","    0.000","13679.040","19276.392","11826.646","    0.000","17962.134","20469.282"
