"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg"
"Label","Control","Control","Control","Fusarium","Fusarium","Fusarium","Fusarium"
"M632.663T319.55","-0.42603376","-0.78462447","-0.28845882"," 0.28709609"," 0.73624849"," 0.53556893","-0.05979645"
"M809.433T1339.33","-0.39666554","-0.53640611","-0.61195504"," 0.29487775"," 0.99231809"," 0.20888284"," 0.04894801"
"M654.008T318.692","-0.3754107","-0.8738942","-0.3880970"," 0.5085319"," 0.8162656"," 0.4197124","-0.1071079"
"M923.402T931.508","-0.6766743","-1.2569395","-0.3303249"," 0.4301301"," 0.8400480"," 0.6827336"," 0.3110271"
"M428.2T856.891","-0.6576491","-0.9531211","-0.3939530"," 0.3447131"," 0.9453601"," 0.3333120"," 0.3813380"
"M281.069T746.743","-0.47936391","-0.53936980","-0.47106963"," 0.03601189"," 0.98061644"," 0.45370775"," 0.01946727"
"M703.247T844.715","-0.5440150","-0.9156792","-0.4705613"," 0.4438600"," 0.8295589"," 0.4132056"," 0.2436310"
"M590.015T907.684","-0.7313514","-0.2392888","-0.5315214"," 0.1332588"," 1.0374062"," 0.1790021"," 0.1524946"
"M455.081T704.884","-0.6472804","-0.5413269","-0.4053032","-0.0223180"," 0.8456125"," 0.3947343"," 0.3758817"
"M970.813T317.253","-0.5383569","-0.8629249","-0.3888899"," 0.4484399"," 0.4326275"," 0.5151951"," 0.3939092"
"M997.575T1403.78","-0.6557955","-0.4902150","-0.4302401"," 0.2309553"," 0.8530173"," 0.3306587"," 0.1616191"
"M1053.286T316.584","-0.4147009","-0.8172918","-0.3487245"," 0.2735062"," 0.7079527"," 0.3742403"," 0.2250180"
"M1163.085T907.707","-0.6419098"," 0.3117634","-0.4459730","-0.1493923"," 0.2853525"," 0.1498375"," 0.4903218"
"M421.636T753.774","-0.456764932","-0.467004346","-0.850863259"," 0.395803718"," 1.158366210"," 0.006906855"," 0.213555755"
"M709.31T874.193","-0.7022071","-0.8031782","-0.4243407"," 0.2170467"," 1.0513078"," 0.4224145"," 0.2389569"
"M361.589T316.501","-0.45897544","-0.56967645","-0.52432731"," 0.30041281"," 0.83139725"," 0.51015567","-0.08898652"
"M517.099T802.454","-0.48912899","-0.45489313","-0.36641910","-0.14112862"," 1.17512095","-0.07403821"," 0.35048710"
"M982.374T904.236","-0.5764721","-1.0162783","-0.4979973"," 0.2999462"," 0.9177849"," 0.4247683"," 0.4482484"
"M383.433T314.152","-0.63659058","-0.35879893","-0.46757750"," 0.19046581"," 0.94653462"," 0.30359175"," 0.02237483"
"M362.298T315.255","-0.7068559","-0.5807056","-0.4208220"," 0.2155728"," 0.9591511"," 0.3556339"," 0.1780258"
"M481.183T769.795","-1.0073447","-0.5432664","-0.7063453"," 0.2819949"," 0.8043922"," 0.6473193"," 0.5232500"
"M407.173T414.983","-1.11362546","-0.41154938","-0.10252818","-0.07776107"," 1.11779161"," 0.39337278"," 0.19429969"
"M1297.451T316.098","-0.33856248","-1.09802359","-0.07543636"," 0.37256437"," 0.30171950"," 0.39104800"," 0.44669057"
"M727.283T864.823","-0.5209715","-0.7363991","-0.2792205"," 0.3380561"," 0.6030030"," 0.3485516"," 0.2469804"
"M847.495T1389.03","-0.60741568","-0.35046510","-0.36856494"," 0.09442880"," 1.16031014","-0.03708142"," 0.10878820"
"M1031.84T1213.333","-0.656545797","-0.417117958","-0.427990316"," 0.491220493"," 0.674459319"," 0.329664511"," 0.006309748"
"M937.515T1306.76","-0.47156901","-0.68580365","-0.29151549"," 0.32899038"," 1.00679423"," 0.15493314","-0.04182959"
"M570.518T894.146","-0.72758286","-0.22975861","-0.38467668","-0.07077843"," 1.18091301"," 0.35812437","-0.12624080"
"M1162.717T895.445","-0.45853532","-0.26057420","-0.52944437","-0.21504445"," 1.21838919"," 0.27065661","-0.02544745"
"M289.446T802.654","-0.3870158","-0.1571800","-0.6839286"," 0.1654061"," 1.1301745","-0.3619197"," 0.2944636"
"M970.001T316.098","-0.4617312","-0.5159354","-0.6076194"," 0.2605642"," 0.2980395"," 0.3694206"," 0.6572616"
"M647.193T836.421","-0.4342232","-0.9843789","-0.4700619"," 0.2076540"," 1.1181706"," 0.3205662"," 0.2422732"
"M968.365T965.957","-0.21989862","-1.35474105","-0.22475179"," 0.25992635"," 0.82389159"," 0.63377580"," 0.08179773"
"M863.184T809.21","-0.811512485","-0.270379719","-0.565877227"," 0.006773512"," 0.792737475"," 0.146941653"," 0.701316791"
"M565.23T844.341","-0.63160069","-0.45331718","-0.42228784"," 0.17188053"," 0.86721637"," 0.45671668"," 0.01139214"
"M293.118T1042.937","-0.3855265","-1.3540797","-1.3708834"," 0.2271704"," 1.3381076"," 1.0107306"," 0.5344810"
"M483.209T897.853","-0.53068361","-0.73629629","-0.36532710"," 0.18233172"," 0.93706963"," 0.42680683"," 0.08609883"
"M1094.047T894.516","-0.6828061","-0.2806777","-0.5000449"," 0.1059050"," 1.2004721"," 0.1806706","-0.0235191"
"M317.087T121.975","-0.6124100","-0.6829590","-0.4235562"," 0.2668335"," 1.0092931"," 0.2519991"," 0.1907994"
