"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M1057.414T847.292"," 65932.348","  4614.013"," 84671.608"," 79770.872","117579.073"," 99317.076","163034.645","173263.024","112602.614","241000.000"," 77004.102","  4758.634","100128.200"," 79299.074","164000.000","117000.000","  4722.458","135037.172","101000.000","137952.177"
"M991.383T954.894"," 98687.065"," 13923.361"," 43112.471"," 51556.363","158081.303"," 76602.005"," 60443.481","237015.199","166589.021","373000.000","150601.928","  4158.548"," 88286.562"," 74392.997","173000.000","176000.000","  6801.407","184674.777","105000.000","245621.011"
"M593.234T877.183","133523.62"," 66069.32","127322.08","104705.26","142846.33","143943.79"," 95937.44","197139.45","114863.70","230000.00","132866.93"," 30014.38","130520.63","150770.80","146000.00","176000.00"," 19779.77","137849.59","144000.00","150773.96"
"M649.243T924.482"," 78487.782"," 39818.750"," 89687.321"," 95325.482"," 88766.598"," 97944.242"," 80818.959","105833.498"," 97397.341","126000.000"," 99240.883","  9160.877"," 93149.520","111062.954"," 98200.000","100000.000"," 15047.268","114848.667"," 95700.000","103886.027"
"M393.25T1170.538","144183.70","152508.08","160265.93","159435.07","139899.79","138435.42","170635.29","112070.89","109493.92","144000.00","103413.32"," 40621.84","140267.61","174348.37","143000.00","149000.00"," 44711.14","132795.46","132000.00","107388.90"
"M897.335T957.42"," 63217.08"," 27127.69"," 81049.42"," 70111.76"," 81093.04"," 73981.84"," 98901.54"," 89496.76"," 95042.03","149000.00"," 97560.36"," 15488.11"," 97419.10","102254.32","102000.00"," 95400.00"," 10819.51","110386.49","106000.00","109384.13"
"M617.489T1624.961","135787.39","107744.79","186163.45","210026.66","167334.99","173794.09"," 76061.20","174038.01","310839.34","113000.00"," 78425.29","127215.12","398553.82","193298.85","306000.00","262000.00","137437.22","246421.27","365000.00","236456.36"
"M747.539T1372.761"," 16997.15"," 38698.08"," 61911.88"," 30436.73"," 23990.26"," 36022.27"," 15418.60","116435.07"," 28192.53"," 43100.00"," 26162.54"," 13849.89"," 37262.51"," 77252.25"," 30800.00"," 31100.00"," 11863.94"," 82156.66"," 47800.00"," 32774.16"
"M866.357T1023.188"," 71895.60"," 23082.46","108764.01"," 95210.01","105939.20"," 90190.85","157533.68","125398.37","106175.18","169000.00"," 95110.77"," 23251.29","137265.15","138151.02","151000.00","146000.00"," 21840.73","137059.51","138000.00","137472.38"
"M819.302T866.333"," 47291.445"," 21713.769"," 60067.035"," 72920.195"," 90120.255"," 73642.089","108741.598","149108.217","105096.508","231000.000"," 88704.256","  8948.872"," 90032.936"," 90145.653","112000.000"," 94600.000","  3374.791","147313.247"," 89400.000","125141.626"
