"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M861.315T941.124","-0.5177939972","-1.3380212715","-0.1637058820"," 0.0002379434"," 0.1673424665","-0.0793433731","-0.4051016503"," 0.3227631233"," 0.2233262650"," 0.7975430413"," 0.2544221492"," 0.1030812660"," 0.2150112040"," 0.1540136913"," 0.2662250242"
"M809.525T1340.052","-0.06689644","-0.23663807"," 0.50514153"," 0.60415067"," 0.03788571"," 0.08456489","-1.26601681"," 0.51119572"," 0.16240801"," 0.06698212","-0.37783510"," 0.38233142"," 0.04142178","-0.12623153","-0.32246389"
"M537.533T1295.888","-0.47362547"," 0.14679761","-0.32653635","-0.45316781"," 0.14060123"," 0.09092273"," 1.62002108","-0.12548813","-0.22613702","-0.14198860","-0.24212426","-0.27078594","-0.29945646"," 0.69086053","-0.12989315"
"M561.396T1195.638","-0.40550182","-0.10209953","-0.22047768","-0.24527118","-0.25679839","-0.16990677"," 1.97598216","-0.26449440","-0.36639662","-0.09636848","-0.13175476","-0.31993859","-0.29381224"," 0.85196118"," 0.04487712"
"M393.235T1355.605","-0.285492705","-0.259687421"," 0.096325510"," 0.323595161"," 0.162395337","-0.334674150"," 0.355256413","-0.059504904","-0.201129362","-0.116581145","-0.085144328","-0.007355231"," 0.307243354"," 0.061461760"," 0.043291711"
"M903.354T957.42","-0.35587048","-0.98139560","-0.25066909","-0.26656397","-0.04339099","-0.20934082"," 0.36458927"," 0.29163152","-0.01995743"," 0.77755564"," 0.07370671"," 0.19202337"," 0.11531773"," 0.23545856"," 0.07690558"
"M576.484T1418.277","-0.407798866","-0.501206005","-0.097718890","-0.044500838"," 0.058320058","-0.288329635"," 0.267697197","-0.089886768"," 0.790977105","-0.355070210","-0.915529246"," 0.526898861"," 0.002067605"," 0.468579525"," 0.585500106"
"M1077.401T940.951","-0.54285604","-1.97926823"," 0.10452420"," 0.14514526"," 0.29024951","-0.37542054"," 0.04115511"," 0.25302190"," 0.21494634"," 0.45534706"," 0.15705800"," 0.33861791"," 0.26312513"," 0.40842942"," 0.22592497"
"M735.275T891.807"," 0.005994656","-1.402263818","-0.126922103","-0.329875623"," 0.288835810"," 0.319651020"," 0.201864546"," 0.039501755","-0.177706441"," 0.336354458"," 0.223057373","-0.014130096","-0.089987105"," 0.381868915"," 0.343756653"
"M530.218T901.604","-0.76289586","-1.16005895"," 0.27107278"," 0.01242236"," 0.06120114","-0.14928834","-0.29891047"," 0.21483234"," 0.10538175"," 0.57532446","-0.38197392"," 0.49873366"," 0.29570798"," 0.41569192"," 0.30275916"
"M903.341T917.809","-0.33304640","-0.97575019","-0.14216376","-0.31624635","-0.18782868","-0.22227696"," 0.54204252"," 0.29681853","-0.07601336"," 0.72227789"," 0.08983145"," 0.18863140"," 0.10572159"," 0.25077336"," 0.05722897"
"M495.181T880.56","-0.10202170","-1.20107030","-0.26302494","-0.20043643"," 0.06545936","-0.10009239"," 0.20136497"," 0.45851636"," 0.21176973"," 0.63939974"," 0.05359480","-0.02197308","-0.27934197"," 0.32806200"," 0.20979386"
"M825.34T905.493","-0.506848694","-1.084651269"," 0.100274879","-0.342781307","-0.103440283","-0.196142183","-0.278724592"," 0.312313130"," 0.302872255"," 0.775539361"," 0.147186538"," 0.007083428"," 0.394442578"," 0.298629719"," 0.174246440"
"M967.56T1352.622"," 0.3922975003","-0.1305634582"," 0.1794491142","-0.0343947688"," 0.2694132232","-0.0313410634","-1.0758909996"," 0.1541326780"," 0.2260610726"," 0.4278897277","-0.8032648415"," 0.4533075002","-0.0531720464"," 0.0258484724"," 0.0002278894"
"M855.342T925.437","-0.37968697","-1.55335652","-0.06973371","-0.19495037"," 0.06038879","-0.09656398"," 0.07958370"," 0.22113053"," 0.12534549"," 0.64734842"," 0.26155216"," 0.03846094"," 0.18914380"," 0.37850170"," 0.29283603"
"M806.333T841.952","-0.59270336","-1.06795638","-0.25697846","-0.47411455"," 0.04736258","-0.13993730"," 0.92496185"," 0.13271765"," 0.17415648"," 0.61439752","-0.16032369"," 0.03018982"," 0.14024227"," 0.41149364"," 0.21649194"
"M950.358T940.951","-0.513641523","-1.155963482"," 0.012204245"," 0.010057660","-0.021286065","-0.117092312"," 0.119940662"," 0.005789973"," 0.023272732"," 0.599819515"," 0.190074319"," 0.248854448"," 0.054855478"," 0.220153988"," 0.322960361"
"M826.526T1130.872"," 0.109833539","-0.475579547","-0.530809080"," 0.102759758"," 0.011084971","-0.016837465"," 1.407915216"," 0.020131332","-0.182876242"," 0.135805752","-0.474664406"," 0.115890647","-0.231026079","-0.001208742"," 0.009580347"
"M771.505T1209.593"," 0.49095541","-0.10575782","-0.38470318","-0.16186633"," 0.35597444"," 0.25018190"," 0.31266759","-0.30812258"," 0.15997275"," 0.32054071","-0.55914705","-0.02441706","-0.63310198"," 0.13594631"," 0.15087689"
"M566.199T909.479","-0.09390770","-1.09017200","-0.54116136","-0.15109369"," 0.33909145","-0.26335625"," 0.16678636"," 0.31322274"," 0.19531928"," 0.63209100"," 0.18252372"," 0.05595701","-0.02099815"," 0.04877866"," 0.22691894"
"M850.319T858.821","-0.58193872","-1.06185532","-0.36948954","-0.36398279"," 0.03696577"," 0.05558149"," 0.55576914"," 0.21928058"," 0.07796750"," 0.84699790","-0.11085690"," 0.20874832"," 0.11574315"," 0.34093628"," 0.03013314"
