"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"M879.468T1338.726",-0.024041,-0.032982,0.0034092,0.040126,-0.014752,0.0010104,-0.003053,-0.018601,0.00094621,-0.010413,0.018468,-0.016107,-0.018616,0.0079816,0.0041399
"M826.503T1348.634",0.00315,0.0065883,0.034665,0.023147,-0.018905,-0.0045189,0.0032212,-0.029842,-0.0043387,0.0058171,0.012371,-0.017423,0.0071161,0.0039253,0.0035446
"M808.523T1304.698",0.0029383,-0.015515,0.018201,0.026172,0.00094131,0.012108,0.011854,-0.027163,-0.0034103,0.0079472,0.012903,0.002866,-0.0015047,-0.0030693,-0.0046669
"M647.463T1423.013",0.011642,0.0026359,0.043158,0.034183,0.014868,0.012361,0.008842,0.0326,-0.01073,0.018269,-0.0080214,0.0021104,-0.015941,0.010687,0.0070539
"M613.48T1389.147",-0.0068621,-0.0006103,0.035657,0.018089,0.021423,0.030628,0.02976,-0.037561,0.013041,-0.0082807,-0.002829,0.0041933,0.024112,0.045423,0.0016751
"M556.445T1212.039",0.033126,0.030747,0.022929,-0.035951,0.032058,0.011122,0.006899,0.020341,0.0037382,-0.015801,-0.033566,-0.025748,0.047636,0.062576,0.0048133
"M937.593T1423.395",-0.025297,-0.021655,0.025347,0.01172,-0.011455,0.015541,0.018595,-0.0092775,0.017391,-0.020168,0.0072616,-0.015555,0.015948,-0.0085039,-0.0029329
"M645.457T1372.456",0.011137,0.0020364,0.019234,0.023501,0.0096397,0.010877,0.0022576,0.020755,-0.013689,-0.0017807,-0.0061153,0.024354,-0.018935,0.021202,0.010211
"M668.506T1440.08",0.0060772,0.0047991,0.035721,0.023566,-0.0015362,0.056061,0.0057089,0.0043636,-0.051278,-0.0087491,0.0043309,-0.013992,0.025037,0.0031119,-0.00064227
"M330.262T1591.258",-0.011346,-0.013364,-0.013775,0.0077884,-0.0063361,0.011864,0.0035739,-0.0070694,0.010802,0.0064211,0.0053347,0.0094702,0.00046637,-0.0049414,0.0024726
"M668.509T1456.373",-0.0011664,-9.8644e-05,0.03101,0.02411,-0.0031404,0.0692,-0.0059488,-0.0041782,-0.031908,-0.0022406,0.011908,-0.0075147,0.034487,0.0027798,0.0096617
"M514.252T1322.055",0.00070773,-0.016951,0.014109,0.024621,0.014005,0.035082,-0.005689,-0.014276,0.011046,0.0070021,-0.0001055,0.030405,-0.0083244,-0.017459,0.0025528
"M863.507T1099.137",0.0038685,0.014137,0.025726,0.019853,0.0012964,0.021836,-0.026656,-0.019431,0.0028372,-0.020554,0.0099802,-0.018208,0.0025809,0.0059983,0.0010302
"M775.529T1416.7",-0.017388,-0.013107,0.01906,0.021313,0.012437,0.008953,0.031259,-0.017824,0.032907,0.0030776,-0.0014246,0.0081363,0.0016788,-0.011742,-0.003211
"M645.449T1440.08",0.0088934,-0.0004684,0.019649,0.031138,0.0068606,0.013234,-0.0050167,0.018928,-0.01762,-0.006184,0.0015472,0.028356,-0.0046865,0.015226,0.0094377
"M937.594T1308.231",-0.0034675,0.014395,0.03833,0.0098455,-0.026203,0.0063248,0.016428,-8.7423e-05,0.0074528,-0.019754,0.0049641,0.014054,-0.0071008,-0.019188,0.0090277
"M826.525T1272.551",0.00071966,0.0060322,0.035006,0.02439,-0.018003,-0.0071112,0.0039005,-0.024191,-0.0072029,0.00083302,0.01834,-0.012538,0.0031408,0.00042892,0.0017607
