"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"M764.837T11.106","6235.52","6235.52","6235.52","6235.52","6578.7479","9402.122","9274.278","8720.272","6964.071","6998.362","8907.235","8562.62","12726.064","7667.945","7097.123","7589.82","8447.587","10310.785","10128.236","7636.366","9270.195","8238.032","6732.261","7059.783","11695.104","8339.574","6202.226","8607.264","7782.303","6837.169","8157.346","8262.3547","8884.574","9869.824","7505.747","7169.794","7433.482","9798.066","6690.312","11542.524","11542.524","9179.456","9598.71","7858.216","7273.995","6322.299","7808.403","8084.18","8576.25","6921.697","8535.834","6557.684","8452.582","9027.41"
"M767.839T17.122","13487.941","13487.941","13487.941","13487.941","14621.2423","14499.619","13674.635","12164.368","19890.196","12507.766","8471.338","15725.718","15921.967","16974.531","13608.838","15761.142","18875.07","15539.249","15731.397","16543.314","11680.873","17643.017","12288.034","16051.096","18732.336","14479.308","16693.022","16533.342","15612.34","10718.16","15853.535","22158.276","13972.548","21774.034","12742","6236.654","14591.644","9598.71","12482.558","20765.127","20765.127","14515.416","15676.663","12935.757","15656.46","14811.85","14449.059","10800.223","12109.554","12360.859","14443.2","12624.261","18491.308","12611.722"
"M767.841T12.14","8212.501","8212.501","8212.501","8212.501","6844.9257","8639.865","9495.38","9260.171","8073.943","7641.705","13638.533","8579.581","9524.564","9472.449","6379.575","7786.779","7136.501","9301.968","7449.837","20051.989","8464.266","7115.343","8067.014","8310.309","6508.542","5826.53","20476.155","6589.346","8280.701","7743.107","7600.863","9339.5284","7966.179","8146.238","7627.761","15641.895","8710.052","7922.486","16766.634","13918.412","13918.412","8264.503","8740.142","6516.962","8174.096","8492.822","7730.362","7335.942","9763.284","8005.87","8434.213","7782.125","7765.967","7701.973"
"M768.855T17.124","34067.099","34067.099","34067.099","34067.099","49087.5842","42372.677","53006.002","55257.861","69750.72","32393.664","45767.262","47211.461","52784.461","51771.93","54554.133","45062.06","61651.362","51736.746","58982.418","41348.228","59497.815","44622.015","53802.008","51405.756","62411.011","60986.412","42555.302","49560.023","44046.829","28999.453","32247.935","55147.3937","52583.278","51716.838","55268.151","40958.508","65606.23","46966.518","109348.004","44173.625","44173.625","48992.538","66934.697","59201.292","51764.83","61030.654","43140.868","64611.125","30711.237","72167.694","62739.656","60809.884","60695.542","51223.359"
"M771.182T13.584","20952.866","20952.866","20952.866","20952.866","22142.465","24548.179","24454.492","22694.357","22372.918","19943.666","21333.157","20981.385","24194.129","22179.368","23299.595","23155.999","20460.039","23429.419","25325.102","22326.99","22039.211","22678.303","23851.813","24456.106","23734.492","21883.185","24591.305","24591.638","24175.179","18236.896","22286.946","23428.3126","22801.612","26110.651","23020.369","21229.335","23389.96","24995.974","24069.693","21981.879","21981.879","24208.694","23965.033","24535.891","24401.858","22249.561","22666.98","26401.896","21421.904","27013.183","26398.52","25233.474","20399.014","24754.762"
"M771.505T1357.807","30094.836","30094.836","30094.836","30094.836","25879.4792","2421602.297","981472.121","1618005.261","1472819.041","1349200.531","2376410.34","2129698.097","1183344.967","966360.336","1170353.288","1368429.513","798823.294","2687171.234","1449831.583","20585.303","361145.356","16264.654","34128.08","1735722.387","1426160.401","1158535.899","1019486.049","762931.072","697102.206","17563.4","1607509.719","31576.7458","758411.654","39206.687","1167389.781","1534893.169","1590090.895","822903.441","24645.584","1603853.621","1603853.621","815041.755","1716776.571","688965.98","1047086.624","1455717.472","298692.378","591875.921","491085.214","1805801.018","1316781.963","723849.471","1294981.873","1355538.819"
"M772.843T17.125","38382.356","38382.356","38382.356","38382.356","54386.1992","53590.369","77113.872","74221.397","58636.757","45543.965","54488.46","60246.066","58088.795","75950.203","65239.941","59252.228","50682.314","57435.298","66343.871","57302.067","73949.59","55962.359","58644.339","74330.324","57790.017","45488.914","56096.501","73742.977","48538.688","27233.068","35422.228","61451.8441","58705.204","63914.097","61808.118","52771.93","72801.752","52728.322","59111.513","48435.441","48435.441","73236.589","59117.066","70873.46","57481.025","49719.812","64954.074","72991.832","32472.633","70439.013","72168.82","73070.556","70195.958","75720.482"
"M773.342T12.107","7207.314","7207.314","7207.314","7207.314","7251.5321","7195.183","7622.75","8054.572","8247.401","8586.614","10449.411","8671.126","7383.141","8682.562","6824.949","7826.5","7343.442","11526.183","13756.587","10151.326","15095.294","9224.354","8214.281","7911.93","8212.916","9412.687","7754.789","8237.059","5199.817","8568.829","8560.599","8892.2114","10776.593","6557.361","8100.33","7259.323","7134.618","9737.188","8038.809","6595.632","6595.632","11372.014","7115.282","10208.504","11229.588","6895.48","8463.456","10375.032","7037.819","10986.491","6823.101","10306.828","8695.173","9709.178"
"M773.843T17.12","12525.556","12525.556","12525.556","12525.556","13711.4233","14100.174","14495.594","15214.603","15180.619","9494.447","12607.71","11877.888","14395.414","12916.728","15457.783","12372.123","13224.786","13939.694","11899.592","13171.818","13763.249","12769.748","16093.851","15511.775","12188.186","11717.296","15025.664","14047.468","14720.289","12045.392","11222.239","15380.1317","12465.689","24334.77","15968.879","14517.726","16618.83","13288.098","14638.488","13576.612","13576.612","14999.486","16809.492","14402.557","13707.626","15538.683","10637.702","14058.842","11116.801","16387.502","15402.068","13021.415","16555.518","15674.703"
"M774.824T18.125","14678.758","14678.758","14678.758","14678.758","31431.6882","20178.354","23302.041","12983.085","22181.194","13792.567","22123.423","23328.675","21870.997","21159.262","22076.264","22736.962","21072.324","22128.186","21839.322","31269.756","21708.477","19339.803","21687.246","22149.318","24350.804","18896.52","19632.213","18733.385","18446.554","14223.645","15852.356","29777.064","22191.455","32490.488","22324.305","20689.386","23940.911","21435.157","29341.33","18024.406","18024.406","21618.662","23093.794","21407.826","21076.046","21482.254","19337.908","23105.916","14403.117","22723.9","21375.936","20993.351","19708.95","22451.152"
