"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Mock","Mock","Mock","Xanthomonas","Xanthomonas"
"M643.039T106.784","-0.55635816","-0.26877551"," 0.21606134"," 0.01023953"," 0.59883281"
"M415.744T872.34","-0.05681479","-0.71189665"," 0.01459844"," 0.34372684"," 0.41038616"
"M451.125T735.96"," 0.01684675","-0.67312646","-0.14580576"," 0.28989794"," 0.51218753"
"M409.075T744.412","-0.21481741","-0.06922341","-0.23029558","-0.15820785"," 0.67254425"
"M457.136T788.61","-0.09454735","-0.87420927"," 0.03706942"," 0.17258075"," 0.75910645"
"M311.138T170.155","-0.4252393","-0.3934535","-0.0981136"," 0.3081762"," 0.6086302"
"M593.763T756.056"," 0.1398290"," 0.5119101"," 0.1557825","-1.1616486"," 0.3541270"
"M392.068T765.784","-0.20689002"," 0.04664475","-0.15886724"," 0.04557498"," 0.27353752"
"M433.661T789.942","-0.3721395","-0.5216489","-0.1077976"," 0.3676562"," 0.6339297"
"M919.493T1102.884","-0.75426535"," 0.11124565"," 0.05735277"," 0.29975134"," 0.28591558"
"M870.649T1317.21","-0.0143805","-0.1305908","-0.0517368"," 0.5933883","-0.3966802"
"M437.044T765.875","-0.2058452","-0.6366035","-0.2577960"," 0.4773548"," 0.6228899"
"M861.253T1033.436","-0.16351993","-0.28081799","-0.01128538","-0.41769113"," 0.87331443"
"M715.427T310.719","-0.01752356"," 0.18059964","-0.37145802"," 0.55089486","-0.34251292"
"M1095.84T892.791","-0.09350368"," 0.34053875","-1.07202918"," 0.36046043"," 0.46453368"
"M485.168T916.74","-0.2418829","-0.6388541","-0.1167672"," 0.4899078"," 0.5075964"
"M355.433T783.665","-0.01199676","-0.55200932","-0.47482299"," 0.01901528"," 1.01981378"
"M313.119T883.187"," 0.3956140","-1.2496685"," 0.2044586"," 0.4797921"," 0.1698039"
"M433.039T456.919"," 0.2937326","-0.5964623","-0.6180274","-0.4295845"," 1.3503415"
"M447.259T942.596","-0.2555491","-0.1998539","-0.2240742"," 0.3348596"," 0.3446177"
"M355.067T660.488","-0.15879789"," 0.03549486"," 0.46203656","-0.27008375","-0.06864978"
