"","PC1","PC2","PC3","PC4","PC5"
"M579.151T798.32",-0.019445,0.045283,0.0022423,0.020102,0.0017731
"M784.154T761.471",0.033981,0.00075022,-0.017728,0.0039307,-0.00023515
"M323.187T1016.246",0.039416,-0.0231,-0.044698,-0.0036928,0.0015935
"M1099.581T1224.487",0.026987,-0.006849,0.015145,-0.035354,-8.7605e-05
"M206.988T126.118",0.020487,0.01911,-0.019345,0.025087,-0.00211
"M489.691T902.138",0.050478,-0.025464,0.056299,0.032511,0.0061865
"M472.901T67.482",0.026534,0.050599,-0.012312,-0.014649,0.00013317
"M685.228T857.881",0.036105,-0.0084643,0.030932,-0.031208,-0.001839
"M441.162T763.637",0.035073,0.013107,0.028593,-0.004158,0.0060257
"M1137.546T907.004",-0.0085543,0.039166,0.0076412,-0.063068,0.00058906
"M963.275T732.778",0.02753,0.028442,-0.0072669,0.0012157,0.0028972
"M991.316T318.206",0.033045,0.0084887,0.014665,0.011603,-0.0018002
"M867.206T809.129",-0.015677,0.0083729,0.056548,0.032295,-0.0057395
"M403.064T798.991",-0.03004,0.026389,-0.047508,0.013678,-0.0010734
"M836.522T1479.692",0.029299,-0.020386,-0.033093,-0.011178,0.00028707
"M399.275T1363.391",0.014484,-0.019567,-0.017826,-0.024299,0.0013433
"M548.179T817.387",0.032425,-0.021459,0.054741,-0.016657,0.0035047
"M524.183T892.811",0.038144,0.0041907,0.003085,-0.011288,0.00072371
"M518.153T824.178",0.029234,0.0047846,0.019659,-0.0020484,0.0027708
"M1096.548T894.929",-0.020751,0.032823,-0.019943,-0.037187,-0.0039357
"M999.268T316.316",0.03829,-0.013644,-0.01494,-0.015991,0.0035238
"M393.081T756.691",0.033378,-0.024975,-0.027867,-0.012947,-0.0015657
"M836.743T1479.398",0.029755,0.0050256,-0.021373,0.020841,0.0016282
"M529.154T821.794",0.039775,-0.021803,0.01518,0.012374,-0.0032355
"M487.212T857.117",0.041187,-0.012376,-0.025316,0.01282,-0.0032058
"M322.969T105.104",0.0072468,-0.030603,0.022619,-0.044708,0.0049308
"M475.146T746.942",0.035881,0.01426,-0.041556,-0.015517,-0.00029228
"M1323.386T316.247",0.032169,-0.024797,0.039101,-0.025626,0.003156
"M438.049T766.588",0.036548,-0.020591,-0.018198,0.026938,-0.0064513
"M1013.583T1347.533",0.034397,-0.014535,0.00044644,-0.0080184,0.0059437
"M407.045T415.442",0.030029,-0.0106,-0.020559,-0.0025999,-0.0021392
"M331.068T223.104",0.027517,0.021696,-0.01263,-0.029764,-0.0018714
"M384.092T841.195",-0.00082992,0.026914,-0.050098,0.039929,0.002116
"M1611.697T937.933",0.050231,-0.0012773,0.039122,0.017941,0.0081874
"M465.105T746.988",-0.0066842,0.025615,-0.06732,0.0078459,0.0018999
"M653.913T316.046",0.034165,-0.0075461,-0.024362,-0.034834,0.00049708
"M969.317T316.321",0.038437,-0.0038777,0.015621,-0.014877,0.0012526
"M354.082T204.227",-0.029744,-0.087525,-0.02819,-0.011146,-0.0071116
"M311.104T1075.82",0.054499,-0.01811,0.019091,0.032547,-0.001565
"M380.071T778.258",0.039321,0.054549,-0.016976,0.019696,0.0030199
"M638.078T817.768",0.037058,0.015225,0.034506,-0.021844,0.0026331
"M735.222T927.83",0.047101,-0.013796,-0.0045545,-0.013091,0.0084193
"M651.317T893.83",0.024659,-0.015391,-0.0053213,-0.019592,-0.0015506
"M1167.557T907.179",-0.03035,0.030556,-0.012315,-0.05841,-0.00037488
"M221.066T891.624",0.040773,0.021194,-0.023941,0.011524,0.0022172
"M204.085T413.719",0.068455,-0.046203,-0.03619,0.030455,-0.0018477
"M621.125T857.148",0.02102,0.013267,-0.031356,-0.08432,-0.0038943
"M453.101T88.055",0.0063039,0.0035093,0.025155,0.052072,-0.0029576
"M1009.554T1308.282",0.022896,-0.02217,-0.014591,0.00023336,-0.001753
"M483.178T941.182",0.039146,-0.011417,-0.050429,-0.045206,0.0042967
"M1057.411T880.24",0.042139,0.020447,0.041318,0.017966,0.0010209
"M478.295T1238.56",-0.00090345,-0.030548,0.018618,-0.030391,0.0019185
"M469.208T948.545",0.046267,0.012836,-0.00063184,0.054183,-0.0076189
