"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M413.091T89.817",1.1755,1.1938,1.1894,1.1893
"M1071.439T878.893",1.1749,1.2232,1.2189,1.2187
"M585.15T892.945",1.1713,1.1237,1.1229,1.1228
"M673.289T892.945",1.17,1.1269,1.1223,1.1222
"M657.109T89.959",1.1695,1.1459,1.1413,1.1411
"M671.034T89.795",1.1686,1.136,1.1315,1.1315
"M1069.501T1402.821",1.168,1.1773,1.1731,1.173
"M445.095T115.802",1.1678,1.1223,1.1176,1.1175
"M969.939T315.438",1.1674,1.1954,1.1916,1.1918
"M432.997T107.064",1.1672,1.1179,1.1137,1.1137
"M1106.454T890.453",1.167,1.1213,1.1173,1.1171
"M427.009T107.872",1.1662,1.126,1.1234,1.1233
"M395.28T1470.273",1.165,1.1196,1.1149,1.1148
"M320.919T92.078",1.1646,1.1285,1.1243,1.1242
"M632.847T316.374",1.1643,1.1379,1.1335,1.1335
"M494.168T786.301",1.1643,1.2035,1.2075,1.2073
"M1305.428T315.265",1.1631,1.1299,1.1267,1.1265
"M665.182T815.828",1.1621,1.1679,1.1639,1.1638
"M893.38T934.735",1.1591,1.2022,1.1998,1.1999
"M615.195T761.983",1.1586,1.1108,1.1074,1.1073
"M1007.373T920.82",1.1584,1.1251,1.1205,1.1203
"M589.773T907.878",1.1582,1.1253,1.1238,1.1238
"M367.08T114.463",1.1577,1.1164,1.1118,1.1117
"M310.969T105.491",1.1577,1.1101,1.1082,1.1081
"M511.24T944.134",1.157,1.1084,1.1057,1.1056
"M353.181T807.324",1.1569,1.1436,1.1403,1.1402
"M460.969T105.772",1.1546,1.1409,1.1389,1.1388
"M305.082T1122.457",1.1544,1.152,1.1481,1.1481
"M359.123T830.487",1.1536,1.1604,1.1567,1.1567
"M457.136T788.61",1.1535,1.1591,1.1545,1.1544
"M861.166T878.352",1.1513,1.1164,1.1121,1.1121
"M402.187T763.436",1.1494,1.1259,1.1216,1.1215
"M433.777T806.208",1.1478,1.1054,1.1046,1.1046
"M497.261T974.778",1.1473,1.1007,1.1009,1.1008
"M957.374T926.518",1.1465,1.1435,1.1393,1.1392
"M417.764T850.924",1.1449,1.1266,1.1226,1.1225
"M562.892T1151.046",1.1402,1.1145,1.1099,1.1098
"M433.039T456.919",1.14,1.0988,1.1406,1.1408
"M475.146T746.942",1.1399,1.0919,1.0894,1.0895
"M1005.392T917.562",1.1388,1.0959,1.0917,1.0916
"M299.07T414.239",1.1384,1.2202,1.2293,1.2301
"M919.334T939.971",1.1365,1.09,1.0868,1.0867
"M1014.585T1348.471",1.1357,1.09,1.0867,1.0865
"M776.814T66.22",1.1352,1.0879,1.0834,1.0834
"M311.138T170.155",1.1351,1.0874,1.0831,1.083
"M1097.514T1402.931",1.135,1.0944,1.09,1.0899
"M548.979T106.308",1.1346,1.0878,1.0833,1.0833
"M619.26T816.529",1.1338,1.086,1.0865,1.0864
"M769.419T945.253",1.1332,1.0854,1.0816,1.0817
"M445.207T780.093",1.1332,1.0977,1.0967,1.0966
"M485.178T783.442",1.1329,1.0914,1.0885,1.0884
"M1164.559T899.737",1.1327,1.1097,1.1071,1.1076
"M295.104T156.471",1.1321,1.1025,1.0999,1.0998
"M413.081T316.361",1.1318,1.086,1.0814,1.0813
"M703.247T844.715",1.1317,1.0863,1.0843,1.0842
"M969.317T316.321",1.1312,1.0965,1.0933,1.0931
"M1095.01T894.541",1.1304,1.1574,1.1534,1.1533
"M269.103T792.774",1.1302,1.0825,1.0782,1.0781
"M1013.583T1347.533",1.1298,1.0822,1.0783,1.0782
"M375.104T216.821",1.1289,1.0867,1.0822,1.0822
"M581.283T805.632",1.1275,1.1027,1.098,1.0979
"M695.12T755.765",1.1274,1.1223,1.1438,1.1439
"M970.813T317.253",1.1274,1.0832,1.08,1.0798
"M1008.375T923.099",1.1273,1.1559,1.1545,1.1544
"M708.241T861.396",1.1273,1.0826,1.0781,1.0781
"M319.083T845.914",1.1256,1.0868,1.0822,1.0821
"M524.183T892.811",1.1255,1.0886,1.0841,1.084
"M1095.063T894.34",1.1243,1.0796,1.0763,1.0762
"M430.136T769.014",1.1242,1.2174,1.2136,1.2137
"M968.4T974.568",1.1233,1.1574,1.156,1.1559
"M851.338T916.834",1.123,1.0782,1.0761,1.076
"M1297.451T316.098",1.1228,1.1228,1.1209,1.1208
"M461.037T823.98",1.1225,1.1902,1.1882,1.1881
"M809.324T904.082",1.1217,1.1264,1.1219,1.1218
"M567.778T908.116",1.1209,1.1112,1.107,1.107
"M640.844T67.188",1.1196,1.1318,1.1299,1.1297
"M630.629T315.233",1.1179,1.0711,1.0666,1.0665
"M309.119T137.634",1.1176,1.111,1.1082,1.1081
"M751.173T317.266",1.1174,1.0739,1.0703,1.0701
"M503.143T589.731",1.117,1.1202,1.1156,1.1154
"M562.835T1148.266",1.1163,1.1862,1.1879,1.1877
"M433.038T831.69",1.116,1.1918,1.1885,1.1886
"M630.654T314.128",1.1159,1.0704,1.0664,1.0663
"M653.913T316.046",1.1149,1.0679,1.0638,1.0639
"M784.154T761.471",1.1146,1.0679,1.0641,1.064
"M1129.441T885.407",1.1145,1.0676,1.0666,1.0665
"M1308.932T316.358",1.1141,1.0909,1.0883,1.0882
"M1039.403T917.165",1.1134,1.1699,1.1651,1.165
"M274.971T109.977",1.1129,1.0706,1.0728,1.0726
"M467.156T971.498",1.1126,1.0816,1.077,1.0771
"M203.204T105.674",1.1121,1.1023,1.0979,1.0978
"M836.522T1479.692",1.111,1.0847,1.0801,1.0801
"M654.008T318.692",1.1098,1.0804,1.0775,1.0774
"M909.388T926.435",1.1092,1.2055,1.2009,1.2008
"M443.058T752.856",1.1083,1.0631,1.061,1.0609
"M277.129T811.716",1.1074,1.0805,1.0763,1.0761
"M289.065T88.687",1.1035,1.0591,1.0551,1.0555
"M265.093T134.502",1.1023,1.0566,1.0536,1.0535
"M895.304T938.238",1.1022,1.093,1.0886,1.0885
"M385.113T835.894",1.1019,1.0904,1.093,1.0934
"M173.008T106.871",1.1012,1.0637,1.0656,1.0655
"M863.373T951.624",1.0998,1.1244,1.1237,1.1237
"M401.049T776.54",1.0995,1.0549,1.0505,1.0505
"M1015.586T1347.819",1.0981,1.0538,1.0511,1.0509
"M555.158T835.854",1.098,1.0638,1.0613,1.0616
"M870.809T67.494",1.0963,1.3733,1.3758,1.3757
"M470.098T771.956",1.0959,1.0539,1.0496,1.0495
"M543.282T933.008",1.0944,1.0747,1.0702,1.0701
"M627.229T851.009",1.0934,1.077,1.0826,1.0825
"M669.182T316.584",1.0914,1.0455,1.0413,1.0412
"M1095.906T894.31",1.0912,1.0577,1.0598,1.0599
"M927.368T972.44",1.0909,1.0991,1.0996,1.0995
"M306.936T1813.234",1.0897,1.0609,1.0611,1.0609
"M569.181T807.905",1.0894,1.0622,1.0589,1.0588
