"","FC","log2(FC)","raw.pval","-log10(p)"
"M1094.047T894.516",2.0427,1.0305,0.087345,1.0588
"M1296.442T316.362",0.41143,-1.2813,0.088714,1.052
"M272.073T418.674",0.075039,-3.7362,0.089059,1.0503
"M951.343T881.927",0.31143,-1.683,0.091384,1.0391
"M1014.419T974.744",0.17334,-2.5283,0.091439,1.0389
"M923.402T931.508",0.25839,-1.9524,0.091669,1.0378
"M447.959T106.92",0.32796,-1.6084,0.092585,1.0335
"M475.146T746.942",0.38636,-1.372,0.092637,1.0332
"M559.276T958.275",0.37371,-1.42,0.092688,1.033
"M459.149T771.729",0.46815,-1.095,0.092755,1.0327
"M409.172T733.287",0.27089,-1.8842,0.093094,1.0311
"M547.234T852.079",0.29422,-1.765,0.093874,1.0275
"M435.217T805.716",0.27845,-1.8445,0.094133,1.0263
"M339.058T415.891",0.30258,-1.7246,0.094389,1.0251
"M1611.697T937.933",0.26711,-1.9045,0.095544,1.0198
"M402.187T763.436",0.42313,-1.2408,0.095565,1.0197
"M521.224T935.29",0.38012,-1.3955,0.096153,1.017
"M431.759T791.911",0.36842,-1.4406,0.096581,1.0151
"M1143.444T941.11",0.30597,-1.7086,0.096863,1.0138
"M413.179T861.909",0.080186,-3.6405,0.097291,1.0119
"M861.166T878.352",0.42227,-1.2438,0.097645,1.0104
"M413.167T733.785",0.40644,-1.2989,0.097961,1.0089
"M448.965T106.062",0.49086,-1.0266,0.099044,1.0042
"M830.24T316.247",0.37611,-1.4108,0.099327,1.0029
"M1308.932T316.358",0.44938,-1.154,0.099368,1.0028
"M333.191T983.058",0.25198,-1.9886,0.099476,1.0023
