"","Comp 1","Comp 2","Comp 3","Comp 4"
"M354.093T750.969",-0.0087419,-0.046272,0.076964,0.00016383
"M398.263T1317.762",0.036793,0.026579,0.027644,0.0033088
"M807.166T938.699",0.031302,-0.018696,-0.0034408,-0.064357
"M653.828T318.352",0.027158,-0.00097537,-0.0044197,-0.019719
"M1103.415T879.391",0.036239,-0.046353,-0.0095316,0.036938
"M355.571T782.72",0.024985,-0.029687,0.056709,0.018355
"M633.572T315.643",0.028982,-0.014556,0.034086,0.0067114
"M1039.403T917.165",0.043488,-0.054053,1.3093e-06,0.029227
"M1037.324T316.098",0.035121,-0.01536,-0.0007816,-0.00098285
"M509.218T928.864",0.034036,-0.023382,0.010121,-0.0031068
"M1308.415T315.705",0.042577,-0.007837,-0.015805,0.016593
"M311.186T1077.614",0.025257,-0.012742,0.050161,0.0060543
"M969.321T316.442",0.040178,-0.0048199,-0.026336,0.0034824
"M333.083T110.42",0.022444,-0.029545,0.031452,-0.019675
"M1063.398T908.83",0.048936,-0.0019122,0.024137,0.051841
"M969.813T316.499",0.02751,-0.036091,-0.00070756,-0.010468
"M459.959T106.348",0.02951,0.013162,-0.035608,-0.072854
"M485.178T783.442",0.037764,-0.0069472,-0.025288,0.027675
"M371.133T805.134",0.027973,-0.045619,-0.038406,0.033134
"M439.083T756.683",0.028735,0.020624,0.016828,-0.00069666
"M985.784T316.247",0.040901,-0.016616,-0.02138,-0.0048468
"M479.19T902.518",0.034262,-0.015079,-0.028781,0.011682
"M413.081T316.361",0.034575,0.0063971,0.0033909,-0.0055412
"M417.177T763.775",0.029325,-0.0071502,0.028498,-0.021407
"M225.002T107.866",0.037194,0.014062,-0.0075764,-0.021075
"M547.145T895.878",0.031215,-0.02836,0.050129,-0.02723
"M947.485T901.595",0.0166,-0.023642,-0.0040201,-0.032606
"M399.165T851.906",0.03652,-0.016846,-0.0045686,0.010519
"M895.304T938.238",0.039696,-0.0295,-0.0067321,0.0062338
"M455.081T744.378",0.023705,0.00087318,0.046266,-0.026259
"M430.136T769.014",0.04534,-0.067683,0.027761,-0.055069
"M590.274T907.848",-0.03782,-0.023568,0.03359,-0.028843
"M353.181T807.324",0.041408,-0.025358,-0.018571,-0.011593
"M456.925T66.979",0.001337,-0.054179,0.029586,-0.031961
"M419.115T799.29",0.015052,0.00024077,0.044114,-0.016152
"M698.988T986.183",0.018173,0.029167,0.042567,-0.054908
