"","Fold Change","log2(FC)"
"M997.575T1403.78",0.42748,-1.2261
"M621.037T758.225",0.42807,-1.2241
"M968.4T974.568",0.4281,-1.224
"M310.969T105.491",0.4293,-1.22
"M461.037T823.98",0.43,-1.2176
"M1085.513T1348.399",0.43011,-1.2172
"M265.426T1576.148",2.3242,1.2167
"M555.17T790.902",0.43197,-1.211
"M723.346T899.128",0.43218,-1.2103
"M395.28T1470.273",0.43264,-1.2088
"M649.026T106.128",0.43298,-1.2076
"M1297.451T316.098",0.43324,-1.2068
"M474.881T66.41",0.43329,-1.2066
"M632.993T321.252",0.43456,-1.2024
"M375.104T216.821",0.43457,-1.2023
"M1053.272T316.465",0.43462,-1.2022
"M485.178T783.442",0.43465,-1.2021
"M555.158T835.854",0.43464,-1.2021
"M465.141T849.089",0.43484,-1.2015
"M871.351T913.248",0.4349,-1.2013
"M309.119T137.634",0.43518,-1.2003
"M443.191T791.98",0.43535,-1.1998
"M1106.454T890.453",0.43566,-1.1987
"M863.373T951.624",0.43665,-1.1955
"M460.969T105.772",0.43734,-1.1932
"M895.304T938.238",0.43778,-1.1917
"M413.091T89.817",0.43818,-1.1904
"M1069.501T1402.821",0.43853,-1.1892
"M703.247T844.715",0.43997,-1.1845
"M851.338T916.834",0.44031,-1.1834
"M1014.782T1351.411",0.44037,-1.1832
"M545.298T995.647",0.4404,-1.1831
"M511.24T944.134",0.44076,-1.1819
"M551.272T837.928",0.44094,-1.1813
"M467.156T971.498",0.44158,-1.1793
"M345.119T282.765",0.44169,-1.1789
"M967.394T924.933",0.44237,-1.1767
"M1097.561T894.34",2.258,1.175
"M173.008T106.871",0.44331,-1.1736
"M475.187T823.258",0.44346,-1.1731
"M657.109T89.959",0.44352,-1.1729
"M1005.392T917.562",0.44409,-1.1711
"M671.034T89.795",0.44407,-1.1711
"M927.368T972.44",0.44441,-1.17
"M610.849T834.902",0.44568,-1.1659
"M567.778T908.116",2.2435,1.1657
"M353.228T471.773",0.44576,-1.1657
"M590.015T907.684",2.2432,1.1656
"M969.317T316.321",0.44636,-1.1637
"M617.133T750.744",0.44647,-1.1634
"M921.374T936.829",0.44759,-1.1597
"M524.183T892.811",0.44776,-1.1592
"M769.419T945.253",0.4478,-1.1591
"M1095.01T894.541",2.233,1.159
"M708.241T861.396",0.44846,-1.157
"M562.835T1148.266",0.44845,-1.157
"M289.065T88.687",0.44904,-1.1551
"M728.269T963.544",0.44916,-1.1547
"M1308.932T316.358",0.44938,-1.154
"M507.151T845.473",0.45005,-1.1518
"M349.057T865.046",0.4509,-1.1491
"M919.334T939.971",0.45161,-1.1468
"M1095.906T894.31",0.4517,-1.1466
"M1095.063T894.34",2.2136,1.1464
"M277.129T811.716",0.4523,-1.1446
"M311.138T170.155",0.45293,-1.1426
"M481.183T807.444",0.45317,-1.1419
"M320.919T92.078",0.45345,-1.141
"M776.814T66.22",0.4539,-1.1396
"M445.207T780.093",0.4539,-1.1395
"M1014.585T1348.471",0.45397,-1.1393
"M503.126T874.193",0.45488,-1.1364
"M743.317T783.373",0.45546,-1.1346
"M970.813T317.253",0.45569,-1.1339
"M548.979T106.308",0.45593,-1.1331
"M653.913T316.046",0.4589,-1.1237
"M271.07T418.897",0.4594,-1.1222
"M427.124T881.088",0.46068,-1.1182
"M443.058T752.856",0.46319,-1.1103
"M268.959T125.12",0.46371,-1.1087
"M562.892T1151.046",0.46395,-1.108
"M429.387T309.562",0.46463,-1.1059
"M988.804T68.066",0.46535,-1.1036
"M269.103T792.774",0.46581,-1.1022
"M1013.583T1347.533",0.46709,-1.0982
"M569.181T807.905",0.46715,-1.098
"M630.629T315.233",0.46754,-1.0968
"M459.149T771.729",0.46815,-1.095
"M1097.514T1402.931",0.46865,-1.0934
