"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M1035.703T1411.385","-0.74316027"," 0.31338392"," 0.48201902"," 0.01985666"," 0.78596937","-1.14298264","-0.98978617"," 0.56459763"," 0.07805271","-0.55979837","-0.26680617","-0.47565522"," 0.58927514"," 1.01076482","-0.35280630"," 0.54084143","-0.03280704","-0.78315555"," 0.12797377","-0.70967622","-0.27974910"," 0.63836868"," 1.59778745","-2.06776591"," 0.04203272","-0.10560961"," 1.13945332","-0.15063054","-0.02828939"," 0.75830186"
"M881.576T1491.938","-0.69031923"," 0.59240187"," 0.16992239","-0.10017307"," 0.79401240","-0.81091246","-0.87409879"," 0.36195462"," 0.26096639","-0.45181599","-0.69058495","-0.50250241"," 0.68981182"," 1.48841628","-0.61249830"," 0.46376065","-0.27597608","-0.59116653"," 0.04001539","-0.21699946","-0.39362634"," 0.67512369"," 1.94456314","-0.83361047","-0.41859438","-0.62602184"," 0.72256081","-0.43199450","-0.05808750"," 0.37547282"
"M641.509T1471.536","-0.01398929","-0.62989428","-0.38835570","-0.34472624"," 0.03037888"," 0.10948630","-0.33843089"," 0.89155846"," 0.10777836","-0.08142583"," 0.01983009","-0.54273311","-0.54595355","-0.05483033"," 0.07225247"," 1.20139355","-0.31663268","-0.06426355","-0.16073243","-0.28184899"," 0.10064947"," 0.49716845","-0.52321937","-0.07204953","-0.25310752","-0.06527881"," 1.58720456"," 0.16532311","-0.45668512"," 0.35113354"
"M434.105T1421.35","-0.280416316"," 0.094668902"," 0.337273273"," 0.059646923","-0.080885774","-0.414568012","-0.778834888"," 0.246167722"," 0.099778689","-0.140024910","-0.006513032"," 0.024245056"," 0.322237349"," 0.028805727","-0.434414371"," 0.490271238"," 0.092974161","-0.213406188"," 0.281800563","-0.121587846","-0.376858556"," 0.479106858","-0.042308473","-0.298044563"," 0.040013106","-0.197923693"," 1.083373218","-0.809182162","-0.125801185"," 0.640407184"
"M395.294T1607.927","-0.085485071","-0.006592924"," 0.254045160"," 0.099213262","-0.011092616"," 0.104806214","-1.712367597"," 0.095163101","-0.094149692","-0.017063460","-0.002970096"," 0.299952633","-0.015443031","-0.422019744"," 0.162659368"," 0.264244721"," 0.266675407","-0.021766769"," 0.034458506","-0.192935364"," 0.088483668"," 0.379136763","-0.773445647"," 0.104730938"," 0.140852348"," 0.085707470"," 0.585923909"," 0.039913735"," 0.097376280"," 0.251988527"
"M609.518T1624.418","-0.647571046","-0.486244685"," 0.340356472","-0.146923865"," 0.072874520","-0.170673569","-1.251023869"," 0.177244187"," 0.297226280","-0.263739840","-0.366515300"," 0.373009283","-0.030266632","-0.319654249"," 0.093109847"," 0.149471809"," 0.152633265"," 0.030666851"," 0.052678894","-0.448537863"," 0.127708807"," 0.207785804"," 0.039683940","-0.008379342"," 0.673598997"," 0.406851565"," 0.481980341"," 0.208398966"," 0.024686567"," 0.229563865"
"M426.382T1540.699","-0.229280601"," 0.028516017"," 0.242953162","-0.130786662"," 0.186722571","-0.264768988","-1.412630917"," 0.172641699"," 0.159668188","-0.138991966","-0.352412200"," 0.086162554"," 0.272047308"," 0.149051432"," 0.086255079"," 0.308597366"," 0.205065383","-0.010367448"," 0.283699585"," 0.080574108"," 0.063149884"," 0.357485035","-0.174497211"," 0.044983472"," 0.002471394"," 0.033372389"," 0.130963805","-0.288690004","-0.381008165"," 0.489053731"
"M902.575T1473.64","-0.584405435"," 0.180375162"," 0.231712423","-0.391381238"," 0.397855117","-0.459884481","-0.589974972"," 0.343221261","-0.159115145","-0.157995597","-0.188053455","-0.256810029"," 0.337274671"," 0.742910561","-0.734709754"," 0.376707009","-0.007193752","-0.442846782","-0.368363344"," 0.080204881","-1.036228931"," 0.677431215"," 1.047042170","-0.085519802","-0.199057744","-0.256263574"," 0.623318993"," 0.185593076"," 0.144697705"," 0.549459793"
"M650.569T1641.124","-0.3333260"," 0.1906767","-1.7721621","-0.2827351"," 0.3186077","-0.7491822","-0.4829297"," 0.1531943"," 0.2701287"," 0.1163596"," 0.1658797"," 0.9944760"," 0.3109984","-1.7724242","-0.2064078"," 1.2625051"," 0.8479008","-0.4059826","-0.2310263","-0.4828415","-0.6593102"," 0.2582291"," 0.3247907"," 0.4273634"," 0.1771469"," 0.6873646"," 0.2737004"," 0.3143574"," 0.1296288"," 0.1550193"
"M999.709T1492.083","-0.58904498"," 0.06395453"," 0.18170639","-0.21635877","-0.09332508","-0.57812636","-0.59797304"," 0.27662378","-0.03349122","-0.27855809","-0.29827035","-0.16523075"," 0.50751768"," 1.17934065","-1.38343195"," 0.67826447","-0.12096068","-0.20635688"," 0.22989733","-0.50743299","-0.07950886"," 0.41892989"," 1.63364382","-0.43352573","-0.21999738","-0.01983787"," 0.39446696"," 0.04487570","-0.49150137"," 0.70371114"
