"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"M1085.78T15.949",-0.0061796,0.0021171,-0.064784,-0.10933,-0.089493,-0.050199,0.00047355,0.033426,-0.00065291,0.0014267,-0.0090281,-0.10491,0.0099942,-0.054642,0.054646,-0.068373,-0.0111,0.0039129,0.0019001,0.099726,0.10043,-0.063449,0.014496,-0.09198,0.052299,-0.047475,0.038079,0.033057,-0.10563,-0.040984,0.00052576,-0.0078299,-0.076171,-0.10146,-0.0036738,-0.053363,0.078119,0.028482,0.017166,0.022268,0.05938,-0.073162,0.038344,-0.0070699,0.037547,-0.0083707
"M1086.109T15.006",-0.0016003,-0.022023,-0.037876,-0.049648,-0.02522,-0.0091562,-0.028681,-0.016887,-0.016841,-0.099722,0.00063225,-0.02309,0.027857,-0.041087,-0.042075,0.061324,-0.052471,0.038979,-0.06892,-0.096799,-0.017162,-0.076409,0.047814,-0.11455,0.066645,-0.049914,-0.038744,-0.049987,0.072606,-0.062956,0.13713,0.041671,0.025049,-0.0060035,-0.0087766,-0.062308,-0.028673,0.017988,-0.035173,0.031717,0.025194,0.033388,-0.061253,0.014215,0.010005,-0.017556
"M1086.78T17.14",0.0092838,-0.063021,0.022895,-0.021228,0.051949,0.020513,-0.002729,-0.021315,0.073391,-0.0045068,0.0019167,0.050014,0.016562,-0.071804,-0.012496,-0.047407,0.0052697,-6.5617e-05,0.019548,0.019899,-0.0020688,0.036019,0.012311,-0.0066823,0.021176,0.022088,0.024149,0.032982,-0.0079901,-0.021611,-0.0063866,0.021179,0.040011,-0.024335,-0.018554,-0.0096818,0.02659,0.026543,-0.030462,-0.026066,0.038462,0.0023981,0.038467,0.040478,-0.02219,0.0064127
"M1086.789T12.111",-0.014122,-0.011258,-0.090865,-0.050421,0.055155,0.011204,-0.021764,0.0068423,0.090272,0.008901,-0.10859,0.012517,-0.022724,0.01269,-0.021718,-0.080973,-0.013817,-0.055929,-0.025273,-0.039319,-0.047308,0.016987,0.033914,0.0042277,-0.028318,0.013959,-0.01605,-0.020014,-0.038971,0.030506,-0.023873,-0.078181,0.0021648,0.033487,-0.053821,-0.0076384,0.014028,-0.041777,0.051179,-0.017769,0.0018153,-0.043937,0.011101,-0.0049043,-0.010926,0.0091697
"M1087.458T13.111",-0.010651,0.0066196,0.0021291,0.049953,0.0034517,-0.037049,0.064223,0.018405,0.068472,0.016322,-0.036434,0.012063,-0.0070498,0.0049665,-0.080938,-0.14418,-0.023504,-0.0064871,-0.065814,-0.065341,0.00085679,-0.070504,-0.0031155,0.052928,-0.044096,-0.063556,0.031136,-0.04005,0.016,-0.046411,-0.067644,-0.015445,-0.039828,0.15572,-0.0016356,-0.017737,-0.04452,0.089955,-0.045279,-0.0061629,0.05128,-0.10514,-0.04582,-0.009897,0.063529,-0.0025721
"M1092.281T16.125",-0.02001,-0.070979,-0.00043121,-0.0065469,0.06372,0.011078,0.0028443,-0.015569,0.039099,-0.11113,-0.054345,-0.082221,-0.0086809,0.0055307,-0.015737,-0.02978,-0.029988,0.01913,0.078574,-0.063212,-0.054551,-0.0027769,-0.036097,-0.044486,-0.0072666,-0.012117,0.0098332,-0.028681,0.047648,0.010087,0.03569,-0.0088665,0.0085409,0.001201,0.0065072,0.025767,0.051839,-0.0060641,0.044933,-0.012894,-0.0066934,0.020564,0.036809,-0.038831,-0.05321,0.014104
"M1092.287T12.108",0.0033669,0.04812,-0.076247,0.051594,-0.04661,0.012918,0.0053578,0.0028695,0.021785,0.066375,-0.0091674,0.00019937,0.064455,0.0025892,-0.031506,-0.056868,0.036939,-0.02,-0.025044,0.047895,0.041422,-0.013997,-0.068722,0.032823,-0.064208,-0.018896,-0.063257,0.092969,0.032222,0.080118,-0.084689,-0.0074201,-2.5549e-05,0.032805,0.025598,0.039904,0.0082962,0.012125,0.009485,-0.010623,0.015385,0.058396,0.097059,-0.029219,0.056474,0.0043643
"M1093.444T17.115",0.014146,-0.064462,0.041172,0.01617,-0.018968,0.014618,-0.038427,-0.019824,-0.0011573,-0.0032518,-0.02286,-0.028722,0.025233,-0.014895,-0.016662,0.049719,-0.033441,-0.018762,-0.0013572,0.087597,0.012994,-0.024838,-0.0050494,0.018483,0.029925,0.045901,0.069879,0.012571,0.059848,-0.028664,-0.039378,0.11271,0.043634,0.064993,-0.048283,-0.024025,-0.038235,0.016807,-0.016189,0.062228,0.04415,-0.054606,-0.047856,0.1396,-0.076825,-0.00090643
"M1094.782T12.105",0.005025,0.0024979,-0.070136,-0.0049195,-0.091527,0.02187,0.0030509,-0.00179,-0.021231,-0.0025143,-0.011398,-0.06862,0.078861,0.017202,0.038177,0.0085987,-0.021434,-0.033635,0.0028407,-0.024178,-0.015217,-0.01369,-0.0070739,-0.025636,-0.033771,0.010631,0.057536,-0.060879,0.019829,0.034573,0.018509,0.012978,-0.026396,0.062798,-0.022455,-0.01131,0.03369,-0.014152,0.055761,-0.075498,-0.021202,0.023652,0.052602,-0.016037,-0.050795,-0.012958
"M1097.789T13.111",0.0043024,-0.0253,-0.01979,0.0044049,-0.0098461,-0.0016065,-0.022876,0.0081635,0.030463,-0.036676,-0.0094545,0.0094123,-0.0034616,-0.016851,-0.010279,0.017662,-0.01053,-0.026286,-0.047403,-0.0082015,-0.020549,0.019159,0.028218,-0.012771,-0.0024885,0.041344,0.016399,-0.03906,-0.020914,0.0021566,0.07539,-0.0074082,0.021705,0.023567,-0.041823,-0.013827,-0.0065588,-0.0088519,0.068802,0.0017189,0.036573,-0.037504,0.044663,0.007355,0.0021015,0.012145
