"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","QC.1.Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Test","Test","Test","Test","Test","Test","Test","Test","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third"
"M1501.706T13.11","17193.426","18117.577","15163.68","15871.804","17777.808","17462.837","16579.59","18237.916","17366.26","17883.267","17950.815","16923.658","17011.957","14894.55","15989.826","17510.854","18636.128","18302.744","17182.167","17650.882","14683.257","17415.175","18954.926","17308.438","15672.517","13680.34","16726.855","16529.875","19046.576","17700.871","15429.675","15429.675","15429.675","15429.675","17979.885","17979.885","16764.726","18404.762","17953.081","17595.027","13905.224","17345.544","16872.669","15821.423","17531.194","17802.076","20211.3967","18099.261","20157.912","19762.694","15683.056","16714.453","11446.236","17217.694"
"M1502.707T13.11","11361.806","13975.802","12833.08","12643","15289.075","13175.809","12979.752","13631.426","12679.894","14308.377","14015.844","14713.606","12681.918","14619.552","14726.181","14470.504","13773.1699","13583.766","13008.308","12841.57","11145.089","13539.341","13667.948","13810.39","11421.186","10753.862","13160.998","13191.014","13390.211","14353.022","12947.502","12947.502","12947.502","12947.502","13514.931","13514.931","12303.637","13547.173","13647.886","15135.35","11534.05","14048.623","12610.407","12835.556","12773.094","13267.282","12119.1297","13905.377","15251.392","14360.65","8337.279","14230.966","11392.614","15318.7"
"M1505.377T13.111","20107.077","18559.205","15350.005","20318.734","20770.847","17893.696","17894.72","17375.652","17281.69","16656.184","19170.131","18949.929","19474.312","18730.022","15638.997","20356.518","18056.522","18960.712","17317.645","18684.094","15149.573","17820.412","19576.779","17821.533","16794.197","16440.921","18139.292","16818.104","16919.901","16321.656","16264.528","16264.528","16264.528","16264.528","17297.841","17297.841","16819.091","18168.084","16968.952","18300.511","15670.296","17123.325","16665.758","17388.958","17548.143","17374.682","18597.4522","16779.806","18912.829","20268.196","16029.112","18056.021","14134.276","19523.205"
"M1505.382T13.111","19861.406","19919.392","15983.778","20562.283","21126.467","17279.536","17907.005","19453.411","17087.809","18972.327","19578.864","17993.513","18673.163","18150.565","18216.861","20356.097","18076.8703","19658.183","17945.996","18684.094","15559.874","17820.412","18149.518","17520.516","16745.791","16591.348","18139.698","17509.665","17947.349","16881.263","16450.41","16450.41","16450.41","16450.41","16154.534","16154.534","18274.66","16750.018","17191.723","18974.982","15153.476","16098.346","17008.262","17309.318","17974.934","17374.682","19408.6509","19092.844","19410.134","20268.196","17081.257","18136.901","17115.994","20623.849"
"M1508.456T13.111","14790.238","15020.009","11873.098","15929.513","16120.743","13739.143","13376.008","14983.07","14484.754","14486.324","14890.423","14757.876","15545.668","15131.258","16678.191","16224.679","15131.9897","16888.174","13787.624","15859.212","13879.077","15664.671","17030.21","14465.509","15056.693","13408.923","12855.769","14855.977","14812.631","15026.207","13868.031","13868.031","13868.031","13868.031","12762.547","12762.547","15580.602","15324.142","13896.216","15501.65","13437.503","14483.721","15858.856","14932.605","16304.51","15692.401","17092.5923","16486.526","16743.518","14771.745","14093.268","14673.057","13504.741","16482.347"
"M1514.419T12.108","9623.75","12260.672","13136.267","9903.203","8579.486","9922.632","7117.442","9530.669","9850.402","11412.596","10346.202","11058.79","11824.379","10401.987","7668.812","9884.818","10940.0692","10444.329","8140.761","9043.789","9195.787","9347.084","9173.698","8547.659","7207.326","7480.047","9415.379","9998.567","10008.508","14649.447","8292.136","8292.136","8292.136","8292.136","12219.334","12219.334","12328.876","11226.463","9944.109","11608.037","8335.177","8463.328","10908.735","9483.063","10584.388","10731.714","11169.7611","10784.701","10666.149","8921.103","7823.277","11395.647","8478.784","13125.716"
"M1518.703T13.111","52447.401","49187.585","47353.533","47774.576","51558.619","50497.292","46133.5","47661.279","48255.011","47492.05","51878.454","47604.645","55131.831","51179.773","52453.81","52548.427","44782.114","48738.641","49017.197","50535.387","43610.779","49030.079","52338.495","48959.849","46617.434","40730.156","39904.549","48448.813","46187.516","49107.863","42726.216","42726.216","42726.216","42726.216","42293.83","42293.83","46835.581","49420.359","49195.177","46398.78","43360.528","50318.25","47754.769","46018.758","47718.345","45875.77","48123.7702","53323.517","53933.551","48577.808","52158.72","51209.355","44510.662","54468.085"
"M1522.706T13.16","10056.01","10955.564","11031.256","11549.441","10597.519","10158.639","9230.061","10873.001","10689.332","11799.932","10714.832","12737.206","9597.413","10495.184","9869.725","10667.495","10792.4435","10658.777","10693.888","11474.106","9020.495","7468.854","5237.06","10368.874","11230.782","8784.432","9608.6","9898.958","10568.482","8541.938","10167.385","10167.385","10167.385","10167.385","11137.472","11137.472","10764.189","10215.103","11633.971","9539.211","8647.435","10265.584","11652.755","12265.023","9876.31","11348.83","10921.99","10723.924","10667.613","11386.679","10568.839","10420.057","8203.962","11690.272"
"M1529.701T14.614","10886.559","9396.809","10322.378","10716.252","11319.97","11716.951","10142.004","12061.115","9840.612","10765.422","11661.487","11558.634","9339.603","10211.203","11584.168","11486.626","11688.3486","9888.212","9457.344","11218.799","9206.543","11620.157","13581.721","10949.063","10846.112","9059.948","8480.82","10217.499","12258.716","11736.407","10169.275","10169.275","10169.275","10169.275","11138.084","11138.084","10980.844","12447.857","11588.357","11007.345","8035.654","10216.802","10577.23","9959.916","10665.492","12158.528","11020.489","6911.527","11214.967","11735.654","9782.016","12720.406","9718.115","11797.287"
"M1531.95T13.112","12539.506","12274.684","12104.701","12773.383","13060.715","14725.376","11610.197","11195.486","12149.959","11091.174","10508.124","12850.063","12036.63","11396.086","11578.752","12835.556","13042.0801","11536.095","13468.093","13251.202","11849.347","13737.947","13157.429","10360.647","12633.282","11115.866","12275.176","12156.028","11366.24","12499.243","12050.597","12050.597","12050.597","12050.597","11000.97","11000.97","13188.671","13757.439","11510.562","12634.588","11963.063","11307.395","12634.751","12865.684","13186.532","13197.053","14345.0593","13568.935","12561.102","12647.563","12106.297","13558.378","11579.299","14008.805"
"M1536.025T13.11","18621.154","19541.745","16803.646","19184.353","19267.311","20124.146","16956.675","19944.587","18675.531","20220.393","18416.08","20510.727","18120.351","18233.347","18538.428","21372.54","18730.5264","17684.939","19579.157","19657.12","16294.511","18973.935","20906.736","18858.593","17579.394","15909.17","18067.167","19830.868","18526.705","19114.141","17025.718","17025.718","17025.718","17025.718","15626.833","15626.833","21196.869","19981.282","20116.168","19042.958","15824.337","18706.2","18864.659","18167.524","19832.528","19611.981","18974.3734","18738.435","19889.246","19227.104","16972.554","18579.851","15560.059","21569.153"
"M1542.7T13.111","22294.684","22523.368","19778.975","22163.394","22228.996","20788.721","22688.85","21734.525","18932.628","22176.33","21215.693","22343.404","23088.973","23616.638","21144.463","22291.91","22159.2989","21420.068","21112.834","22553.95","19699.31","21627.52","22082.289","22707.41","22577.417","17904.267","19266.982","21648.599","22699.73","20399.084","18170.642","18170.642","18170.642","18170.642","18848.488","18848.488","21733.004","21329.677","21688.558","22844.299","19320.584","19128.099","20197.95","21643.956","21488.432","22174.34","20781.9518","22166.096","23724.743","24755.57","19592.107","19470.978","17628.919","25996.085"
"M1549.443T13.109","10277.129","8701.244","9402.494","7369.125","10081.709","8867.69","8956.816","10516.784","9119.554","10842.093","10709.122","10879.638","9795.272","10438.223","10991.598","9961.828","9804.2157","10265.441","9487.489","8961.865","9015.437","10550.214","9094.661","10549.631","9727.077","8511.793","10067.367","9386.91","9572.252","10750.211","8325.867","8325.867","8325.867","8325.867","11165.463","11165.463","10111.448","10756.837","9625.532","11496.192","8882.406","8516.353","9341.101","11796.939","9105.524","9765.859","9958.3382","10617.512","11588.694","11556.322","9595.99","9807.705","8366.615","10544.63"
