"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"D12.2",2.9114,0.45201,3.5361,-1.3799,0.83556,-2.1852,0.56912,0.22501,-0.69921,-0.25556,-0.84729,0.77205,0.72974,1.5161,2.477,-0.27281,0.45565,0.95503,0.16446,-0.32477,0.7818,1.1197,0.67531,0.091389,-0.15525,-1.0715,-0.68834,-0.83804,-0.81759,-1.5741,0.6766,0.34098,0.63417,0.019687,0.42214,-0.53951,0.63674,-0.11916,0.10244,-0.54617,0.54189,-0.46517,-0.2739,0.0070019,0.44556,6.8608e-16
"D12.3",1.5323,-1.602,-1.3625,-0.063403,-1.378,0.34401,-0.75987,0.38159,0.2654,-0.22014,-1.0222,-0.45744,0.69201,-0.014363,0.31313,-0.24947,1.0612,-0.70596,-1.798,0.07245,0.21238,-1.7716,-0.9034,1.1979,0.69197,1.875,-0.82387,0.23118,0.57171,-1.2145,0.38362,-0.75697,0.45318,0.8738,0.97843,-0.11158,1.3181,0.59821,0.83818,-0.45266,-0.28493,-0.012346,-0.24475,0.13477,0.3213,7.4463e-16
"D12.4",1.7862,-1.719,-2.0465,0.27684,-1.7069,-0.078434,0.10161,1.0896,0.1383,1.6059,-0.36834,-2.2574,-0.049796,1.9979,-0.4289,0.72482,-0.02663,1.3209,-0.19799,-0.20644,-0.66826,1.5502,0.15945,-1.1099,1.2348,1.2868,-0.2338,-1.5446,-0.028442,0.55479,-0.35062,0.22357,-0.22894,-0.6833,1.0299,0.46261,-0.39176,0.52019,-0.46009,0.046437,0.69915,-0.18211,-0.072755,0.12912,0.13618,-1.3687e-15
"F12.1",2.5867,-1.185,1.9756,-0.64209,-0.69157,-0.2493,-0.47863,0.10882,0.1063,-1.4579,1.1054,0.094202,0.20988,-0.072778,-0.58852,-0.79584,-0.7142,-0.18798,0.64296,0.068455,1.8883,0.33897,-0.99603,0.047956,1.179,0.2334,-0.085361,0.6177,-1.1336,0.72219,-0.0050022,1.0355,-1.6673,1.1354,1.0423,0.093705,-1.1191,0.035462,0.5893,-0.44183,-0.27252,0.23685,-0.48748,1.2334,0.012056,1.6992e-15
"F12.2",2.7933,0.4927,-0.51488,-0.7476,0.058896,-0.45246,-0.45301,-0.16573,-0.52825,-1.1202,-0.051232,-0.021631,0.33598,0.32946,-1.0091,0.24075,0.11639,-0.31987,-0.057525,0.17627,-0.48352,0.018903,1.0238,-0.20949,-0.48276,0.98708,0.99406,0.16519,0.11489,-0.64192,-0.53386,0.57714,0.31145,1.1617,-0.27273,-0.9963,0.20943,-0.42926,-0.16763,1.4739,0.73687,-1.8855,0.47755,1.0465,-1.3967,1.5359e-15
"F12.3",-4.6382,7.8613,-1.1009,-0.26514,1.0927,0.74751,-0.22525,-0.69065,0.85917,-0.13062,0.19338,0.57093,-1.5104,0.45036,0.086199,1.6502,-1.0887,-1.5736,-0.045544,0.47521,0.24482,-0.41414,0.65812,-0.20462,1.0575,0.20203,0.21208,-1.2941,-0.46418,-0.40515,-0.10116,1.1275,-0.57799,0.30183,0.37124,-0.2978,0.78529,0.75464,-0.16376,-0.6044,-0.25651,-0.10695,-0.027902,-0.37494,0.13623,-1.2212e-15
"F12.4",2.6709,3.867,-1.4135,-2.2958,0.15001,0.20338,-0.73895,0.41241,-0.26238,-0.92634,0.6296,-0.41992,-0.67243,-1.5761,-0.15441,-1.4097,0.7034,0.52825,0.7982,0.17574,-0.41165,0.15405,0.73588,0.82026,-0.79339,1.543,-0.62619,-1.0377,-0.17985,1.0435,0.28907,-0.04099,0.44473,-0.8366,-0.053723,0.10973,0.40389,-1.9787,-0.12399,-0.69615,0.12251,0.35385,-0.83474,0.37162,0.19805,1.1362e-15
"X12.1",2.6371,-2.064,-0.1947,-0.97761,-1.3762,-0.58603,-0.55148,-0.99853,-0.28447,-1.9028,0.38652,-1.1425,-0.055336,0.63433,0.86444,1.1794,-0.19584,0.47811,0.33896,1.0755,-0.7122,-0.010936,-0.77071,1.1839,0.13331,0.1799,0.46247,0.62895,0.13151,-0.11187,-0.5898,1.6681,0.11528,-0.34726,-2.2825,0.70342,0.57573,0.5964,-0.21446,-0.80838,0.45724,0.68681,0.52942,-0.14538,0.10182,-4.9223e-17
"X12.2",1.7319,-1.8637,-1.2072,0.55211,-0.01623,-0.57006,0.70293,-0.25298,-0.17876,0.47185,0.39914,-0.59734,0.53434,-0.616,0.64072,-0.94081,0.41932,-0.44499,0.11336,0.51895,-1.4461,-0.61352,1.8618,0.20429,0.68477,-1.5969,1.9323,-0.3076,1.1403,-0.017995,0.079231,0.95947,-0.92007,0.47796,0.98088,0.74349,0.33917,-0.65588,1.3987,0.25995,0.14456,0.28995,-0.38639,-0.40149,0.46698,5.2454e-16
"X12.3",2.1473,0.12175,1.3613,-1.1518,0.14166,-1.4372,-0.71984,-0.55916,0.28394,1.2765,-0.61934,-1.7936,0.61505,-3.492,1.7401,1.433,-0.45287,-0.49538,-0.61533,-1.9732,-0.0065538,0.54136,0.02114,0.43548,0.93424,0.062169,0.066395,-0.22354,-0.45741,0.60662,-0.43187,-0.2274,0.11596,0.52364,-0.19213,-0.23543,-0.43049,-0.085368,-0.31607,0.33344,-0.59411,-0.036204,0.6488,-0.43748,-0.32889,-5.5294e-16
"C15.1",0.0041919,-0.98704,-0.57199,0.47675,0.15019,0.72605,-0.039314,-0.33502,0.54305,-0.67741,1.2763,0.025441,0.27263,0.01737,-0.82835,-0.47992,0.42158,-1.2847,-0.96793,0.659,0.60617,0.60118,-0.52636,0.64664,0.059964,-0.82763,-0.97402,-0.66008,0.18771,-0.31527,-0.080242,0.40243,1.1121,1.0587,0.85728,-0.043728,-0.92962,-0.92795,-1.0666,0.22579,1.5862,0.93382,0.90467,-1.3202,-0.17332,1.2865e-16
"C15.2",0.41284,-2.1025,-1.5744,-0.23379,-0.86859,1.1461,-0.010654,-0.61962,0.50345,-0.19399,-0.0018044,1.0917,-2.3594,-0.42574,1.427,0.98012,0.069144,1.0327,0.069821,-0.25023,0.3461,-1.0671,0.99447,-0.36275,-0.44746,-0.046113,0.37201,0.92223,-0.94106,0.090436,-1.127,-0.17044,0.89695,-0.84853,1.0794,-1.3918,-0.6285,0.285,0.83089,0.1686,0.80713,0.98352,0.42255,0.51004,0.12126,4.6577e-16
