"","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M819.312T959.199","1646.1351","155304.4262","101000","146014.373","9026.4508","50269.657","94382.057","323608.071","93600","104727.526","291000","82000","202415.04","8717.6817","117735.119","89282.943","102316.206","98100"
"M984.375T812.644","6347.0247","41043.5015","31600","50456.338","5917.039","23830.033","53441.069","65112.541","47100","33440.707","62000","31400","65083.142","3000.4894","50125.406","42023.038","46341.078","37000"
"M472.321T1423.013","62040.1895","95477.3933","103000","114171.473","52315.6171","78630.631","99362.063","130867.774","101000","91548.407","104000","115000","107928.802","52462.8984","121193.291","134947.865","90177.626","80700"
"M513.269T1221.408","5702.1198","381905.637","363000","405710.703","18664.8657","343377.333","406320.523","450886.446","320000","554153.021","355000","286000","352542.31","15418.7404","389227.413","277453.285","587442.056","424000"
"M849.325T990.311","9834.0654","84722.1712","81400","80528.572","7997.3789","46657.047","64605.769","120627.971","71700","71298.26","118000","69400","115826.966","7650.5418","89544.484","79558.54","77262.926","88300"
"M844.318T843.183","4237.5449","73758.4615","52400","57671.102","2001.3281","30963.43","81941.759","104344.627","71200","57336.396","115000","51800","88489.862","4619.3296","63169.485","45801.537","72211.258","51000"
"M981.368T857.905","23586.6407","111411.8199","94300","99819.617","14979.1962","51363.735","113024.343","159958.936","144000","92441.342","145000","104000","113473.042","16897.1774","127288.361","120466.228","112625.479","88300"
"M711.567T1574.614","49045.4888","143527.7433","134000","103100.706","460345.0839","82044.503","94357.761","137073.473","156000","101536.107","103000","2e+05","119712.712","113172.3472","460010.738","121615.818","95504.996","190000"
"M424.206T1456.482","108322.2023","179654.8704","153000","201316.557","121440.3538","180690.178","134425.805","114968.437","162000","194208.326","146000","153000","158015.606","118649.8511","190313.439","131006.385","167000.249","179000"
"M1111.407T857.905","3419.8739","49832.5029","27100","36874","5140.2381","21219.652","40974.695","83077.552","53900","38071.799","67900","42400","63517.336","4000.8445","51881.273","32509.448","36270.553","38200"
"M659.432T1389.647","26610.6543","118271.6652","120000","132017.057","24593.3481","118901.001","125107.444","139861.852","134000","144625.705","104000","154000","169691.535","22983.6079","117675.628","150383.419","149944.582","224000"
"M822.841T1023.188","4386.2361","46794.1069","47700","44131.366","1934.4979","19055.782","40289.472","54377.637","39600","43562.369","65500","48500","65293.944","1590.8947","39486.641","42478.792","44358.157","31600"
"M960.389T959.199","4220.0139","83245.2192","82400","90260.294","5466.7656","36995.201","85241.431","108924.085","117000","55789.644","121000","101000","89194.044","6786.2753","115060.999","99111.378","74485.432","96400"
"M862.501T1125.643","7448.2723","206404.1471","202000","239061.006","8205.7259","295427.985","306068.811","173433.325","187000","246614.806","230000","218000","187178.56","4451.8302","277580.038","188076.653","199352.456","225000"
"M867.589T1591.283","29533.1982","101965.1101","73200","70343.214","97229.6754","80231.412","72193.748","123784.015","155000","307183.738","52700","48900","55980.592","30155.3629","93253.831","97899.187","86467.672","114000"
"M1017.391T843.183","4593.168","71086.8185","61000","62110.256","3566.067","37984.178","64245.977","75784.242","66400","63511.824","104000","56200","73452.485","2990.651","77922.613","52770.7","74352.946","59500"
"M955.379T843.183","1832.0927","99028.5403","82100","89838.182","4947.7844","25097.259","87171.353","100101.092","106000","75740.822","120000","74500","117924.386","3876.0965","97153.47","90925.188","70249.71","83200"
"M447.25T1372.484","57646.2564","90151.0096","103000","92943.43","57836.1738","118146.953","126569.863","75333.523","113000","107960.363","122000","125000","123341.376","48039.0088","113330.687","123961.714","113031.12","78700"
"M519.225T1025.439","6390.1904","267834.7441","143000","264379.61","2596.0179","34676.039","129507.647","448614.275","190000","191944.522","388000","116000","237803.141","8510.0997","163429.823","103614.575","153872.438","163000"
"M867.338T941.124","13999.4911","139708.7422","128000","131635.052","20156.5143","80942.485","126105.169","196647.179","140000","128502.027","183000","101000","172427.45","11804.8342","144838.257","124388.521","124886.428","169000"
"M817.32T1025.439","813.3316","75782.5518","74600","77431.419","4833.8009","10536.783","41665.759","95930.257","54000","46374.544","84900","48900","86247.989","4066.658","73676.076","52476.337","58008.278","51000"
"M629.459T1473.698","88275.6055","285452.661","301000","258083.082","154737.2125","288053.576","279524.287","315554.708","317000","212653.253","226000","432000","338296.082","97407.3634","400797.367","377048.767","296942.408","344000"
"M505.273T1221.035","26732.9461","212521.2225","177000","196878.892","17478.2207","211475.111","233840.688","211003.377","209000","246073.269","212000","173000","184778.182","10568.0455","235180.712","149800.552","264162.881","222000"
"M655.418T1406.703","27929.5529","124504.5371","138000","137046.34","20059.7343","134994.194","135847.393","159154.212","155000","137045.682","145000","191000","163992.815","27123.9248","153278.613","192526.84","169102.027","125000"
"M847.517T1163.004","6238.8333","328151.5409","157000","423660.328","2174.9207","874899.681","875194.389","279290.478","192000","224740.629","348000","117000","102017.624","6572.7834","174655.045","109854.253","162387.237","307000"
"M936.367T941.78","7669.1949","98132.7508","98600","100959.09","18128.4047","53947.286","96706.992","143194.094","86700","87848.461","142000","85800","136056.657","8859.0401","89012.857","85109.179","103768.12","104000"
"M985.385T959.199","3662.677","104439.6406","115000","126705.033","373.43188","44245.975","89409.508","155853.666","104000","83359.681","121000","101000","161880.184","1867.1594","142282.279","114016.788","97979.538","135000"
"M549.39T1245.233","15194.3918","37529.0283","17600","45415.64","8326.376","38883.172","59297.024","52508.501","29400","38696.375","46000","21700","44677.273","2894.4146","34476.456","40809.332","25380.148","20300"
"M898.349T936.403","10802.243","91227.812","96800","95952.429","9190.3884","48918.711","69643.952","102085.497","78500","75940.387","112000","80100","103903.108","8246.6208","112179.365","87182.225","81659.572","88300"
"M871.337T832.505","9751.9165","187196.9211","121000","204785.372","3965.4848","81448.409","131620.318","480520.922","150000","162048.116","592000","115000","211922.944","14282.783","147979.804","100878.801","137612.842","151000"
"M519.185T891.73","7597.0029","101562.7079","115000","97678.978","2094.0162","52810.148","146944.41","128546.247","175000","89652.573","84300","103000","107036.224","4788.4806","111855.001","126076.785","116232.876","134000"
"M427.165T783.656","4585.9859","158831.6658","151000","131025.977","1950.8516","69195.721","156135.523","258953.206","129000","81657.371","314000","67200","148993.704","4692.2098","125364.362","113799.735","132966.913","85800"
"M970.4T881.272","6331.51","180487.5457","119000","228076.522","4405.7085","70493.614","142577.565","311444.298","196000","101511.472","345000","136000","172175.277","7723.59","201929.089","155966.173","101916.292","155000"
"M1147.442T940.951","5681.7371","76585.6198","69600","102816.078","2523.7221","43104.626","63663.305","140468.275","70300","65847.972","166000","58700","93520.489","9912.8056","87054.421","75810.728","75157.301","58900"
"M346.253T1607.605","110609.2652","115232.1439","117000","122459.874","112210.1183","95216.735","111004.481","110222.377","109000","104249.891","102000","112000","120147.155","109438.8792","113672.894","123808.173","117242.387","110000"
"M652.416T1356.524","38683.3068","201532.9432","164000","230921.226","28020.5514","162743.201","209119.406","179345.927","174000","193038.666","187000","233000","253448.438","17937.724","246905.74","176182.552","222380.918","237000"
"M874.349T992.353","1749.1125","110889.6751","97700","103567.86","7767.984","39626.999","80771.256","111245.34","75200","77669.277","126000","86800","123041.89","10886.265","97262.183","78325.43","89473.572","96000"
"M958.387T951.54","2464.7815","66799.4385","86700","82566.438","1656.0304","24702.294","91870.043","131538.806","108000","64627.464","125000","92100","111566.436","1509.546","115097.966","103444.145","82883.25","113000"
"M901.354T973.898","10421.739","84525.5615","77900","93836.296","13514.1183","42125.945","83102.23","120877.305","102000","83336.612","120000","88000","107934.919","6961.7831","80836.086","74106.074","84974.161","87800"
"M993.368T827.274","11264.1661","58436.7376","68800","68648.377","2908.0895","47349.443","81278.842","74476.675","73400","50079.044","92900","44900","69809.342","13771.0846","58300.431","57844.302","56351.086","46600"
"M1072.353T784.45","14036.205","65778.6965","70300","69022.899","7652.1222","41812.866","66883.443","104020.5","82700","59791.25","92200","45100","75902.759","11968.3285","46212.394","86349.874","69517.237","52600"
"M889.313T769.174","13562.2836","55870.3288","55400","42040.323","4661.8395","27177.717","64571.654","86418.561","76800","51283.989","79800","45600","60284.908","7455.9783","29841.204","50934.859","58851.785","47600"
"M319.223T1240.387","117083.4437","228389.3219","402000","241776.997","107542.2336","210717.335","453839.687","218099.268","576000","335730.606","175000","209000","184318.618","112740.8468","143035.668","208208.53","308333.29","280000"
"M423.198T1436.378","919230.8769","941244.7479","952000","954792.985","906362.9853","1000244.166","974833.022","934315.523","949000","1002883.944","9e+05","943000","964894.372","863990.5645","1005860.28","835711.486","825856.465","911000"
"M919.363T957.42","22774.3222","93485.3092","79300","92388.691","18119.1351","46965.134","76059.71","100230.453","76300","94111.306","122000","72200","102615.723","13792.7522","81167.232","89200.855","92513.294","90800"
"M576.483T1456.027","29333.6603","255479.329","396000","195982.41","66802.9162","180474.621","218188.808","265766.253","312000","274382.428","245000","304000","290960.043","35270.378","152353.248","363275.214","241756.573","281000"
"M861.498T1154.618","8452.5205","149432.0965","119000","205118.34","2995.0756","358892.755","264369.161","121216.271","146000","185739.441","182000","140000","115971.558","1962.9051","230524.14","137413.431","169518.785","273000"
"M449.365T1540.699","177806.3072","185330.088","231000","204355.953","155479.3609","174479.126","204876.936","208962.22","225000","163592.969","196000","341000","277249.221","156073.219","317794.473","205463.853","208933.328","232000"
"M608.261T1390.374","7230.9089","130853.7443","215000","134112.113","5789.9392","74133.612","10697443.3","135223.701","1070000","198995.28","99700","153000","63917.618","12858.6733","141642.205","329039.466","197643.812","529000"
"M862.51T1288.291","9838.9099","216243.545","230000","260321.048","24674.7305","307382.951","325794.177","185366.158","204000","270347.497","242000","269000","218682.255","12145.2341","358820.02","235350.896","223872.832","298000"
"M861.315T941.124","4076.1441","114566.6494","80200","102202.288","4278.6798","37557.42","89168.815","147703.392","92900","90276.315","150000","99100","146559.323","6707.9824","121774.231","94833.984","94018.546","96100"
"M809.525T1340.052","16943.8931","204911.6175","108000","98551.563","12583.6049","165211.387","103865.291","117483.792","120000","150510.288","88800","113000","108610.591","24451.54","103933.163","108481.942","118770.328","129000"
"M537.533T1295.888","10747.8212","18270.7546","17700","9084.323","8050.1714","68647.361","58469.949","9693.615","38800","16166.711","13300","7970","8347.275","9502.7629","1281.699","6408.495","13261.754","9820"
"M561.396T1195.638","24687.1412","51353.1282","51000","63529.138","17371.921","85726.851","778915.499","71730.84","48900","68542.446","51500","57000","41886.214","34395.2096","37385.455","62164.298","48253.015","54300"
"M393.235T1355.605","43740.2807","63566.992","56900","70139.031","51002.2406","84396.442","82325.448","50428.408","65200","67581.552","55900","65500","53076.775","31508.631","63343.295","67322.383","71294.197","52500"
"M903.354T957.42","12129.0551","99363.4384","104000","100893.891","15699.057","57570.831","104843.385","161907.543","109000","81366.832","156000","93500","131526.926","15157.9107","100616.054","102380.548","96203.493","105000"
"M576.484T1418.277","17375.5486","241014.7812","370000","180566.096","48041.9431","168362.155","212399.25","234540.994","294000","259882.15","215000","277000","265946.219","18564.9013","279722.645","336583.857","215097.554","243000"
"M1077.401T940.951","1688.9479","61938.3073","72000","66077.527","2923.9362","24343.896","74775.842","95406.634","80000","62356.868","86700","63300","117299.331","1932.4778","72573.964","64097.022","70523.951","63200"
"M735.275T891.807","4003.8116","58734.0557","53000","69955.08","800.76232","52182.247","63697.87","79362.571","65600","65250.658","99600","60700","69346.931","8920.5207","80141.306","60598.418","71036.583","77400"
"M530.218T901.604","301.88564","108216.9492","131000","94612.667","1903.1543","39487.65","108556.667","116481.239","147000","92985.446","105000","137000","180134.215","1509.4282","181839.103","132686.191","123697.391","142000"
"M903.341T917.809","10086.5612","87421.618","99300","94879.682","16231.3637","57489.111","102806.039","143528.826","108000","79882.529","156000","90000","124831.493","13345.2467","89912.923","97932.738","96294.784","90600"
"M495.181T880.56","11014.3386","219263.9426","175000","253702.362","7026.0268","130288.959","178112.313","288464.304","180000","158194.973","362000","169000","191211.606","7113.2969","257892.41","228340.47","200626.221","234000"
"M825.34T905.493","12123.8691","165094.2061","162000","164303.801","8120.0754","52609.622","144101.915","317463.041","173000","142562.861","239000","148000","285225.872","14917.9175","135652.157","135859.036","154247.384","163000"
"M967.56T1352.622","2587.2686","189384.0404","157000","210008.814","17407.8823","265028.612","206016.3","194803.334","153000","192085.271","265000","209000","183012.26","12022.4182","243959.613","230381.782","225140.213","199000"
"M855.342T925.437","11221.2431","176532.1039","170000","193362.325","9659.9596","78345.879","177493.296","271338.161","185000","131734.306","286000","177000","225138.948","17383.612","213984.11","138666.981","150238.073","183000"
"M806.333T841.952","4149.4849","125392.0893","104000","133876.746","3531.0761","50151.304","154215.935","211508.675","140000","87867.886","198000","114000","170440.126","3629.2786","104662.655","98332.393","120387.041","114000"
"M950.358T940.951","6343.6089","67759.6478","72200","60434.695","7299.1632","34203.484","69425.947","90649.942","96000","56866.566","88600","67600","88848.339","3141.6216","74053.848","64293.016","69253.286","81600"
"M826.526T1130.872","8083.4835","55341.5063","43600","52588.87","2496.1546","45099.642","73291.867","63054.852","45100","58815.412","67200","55900","47083.93","4611.0253","46943.14","47753.065","52781.472","49400"
"M771.505T1209.593","13484.0945","1374470.456","753000","1496722.889","22956.9861","2499895.161","1134653.693","1213572.817","767000","1944686.96","1250000","701000","658484.464","11789.607","1638036.83","637657.441","902746","1420000"
"M566.199T909.479","184.08208","107983.5564","69200","130574.923","920.4104","59063.715","71089.961","160600.696","73300","104097.986","192000","73100","100541.857","184.08208","117886.568","79149.299","81686.597","82100"
"M850.319T858.821","4049.21","79260.2568","58300","69864.13","5062.137","32382.168","75454.718","99298.621","56800","48883.78","80700","43100","91814.154","5624.8141","60993.013","61343.871","68078.472","68300"
"M975.373T872.624","9448.1836","99785.8768","73000","106301.832","4138.3921","45645.66","94142.643","128481.869","104000","76617.956","133000","89000","110810.647","10899.1908","96056.462","90488.243","95786.736","95000"
"M908.359T973.898","15881.4409","81767.3473","104000","98764.522","12561.0624","34910.536","80298.97","110431.618","80300","88137.457","122000","89600","119378.358","14420.4642","99142.889","69677.825","85794.263","90200"
"M886.334T992.353","5387.9969","85161.1782","58000","76696.497","6851.3867","32892.218","64916.02","133667.9","75800","78123.843","85300","70800","91928.339","5591.0822","104562.173","51647.484","57814.267","68200"
"M932.854T973.898","12432.1538","53207.0038","54600","52812.947","11457.0266","28954.471","39071.493","55084.277","48900","63642.672","75600","34500","69585.255","6818.12","60149.422","58615.431","64289.579","57900"
"M1063.337T834.347","22336.5317","56551.3115","79500","61843.698","13107.0945","37841.913","73710.843","87076.179","70700","60886.392","74200","44600","56925.51","14838.8511","30666.947","61193.809","81179.578","61700"
"M803.491T1372.736","26747.5754","380282.7679","364000","384009.775","24204.974","371264.241","373509.117","309372.124","259000","426295.186","320000","408000","386326.223","35748.8231","453637.379","415686.401","417740.312","407000"
"M812.538T1253.346","16771.6336","55497.2738","69600","67563.564","24249.117","81771.399","99545.275","41197.952","68700","59027.318","61400","41800","37960.585","11133.278","39303.614","54445.107","57125.786","46800"
"M545.399T1295.888","63890.9878","112637.9132","94700","117541.098","69551.1562","137019.679","509354.02","142429.823","119000","100184.824","137000","117000","102950.53","32317.1514","117847.971","132672.791","112160.073","107000"
"M850.324T910.27","4049.1539","98282.2344","75200","86025.743","3597.4338","37833.068","81414.959","118315.868","67600","77858.866","105000","61300","121105.696","5693.6843","87871.075","66197.649","94377.994","93600"
"M293.172T1591.081","68126.8577","90810.3284","73000","68012.374","61138.1102","59066.874","46366.641","87244.933","93400","42819.223","82600","75300","94943.132","73573.2266","112418.255","82563.876","58180.404","101000"
"M1001.365T875.234","34739.254","128817.63","133000","131800.804","14793.2442","83992.659","116197.275","152697.483","135000","103856.603","159000","86900","138551.841","26384.2163","111161.504","127153.2","119203.795","126000"
"M937.358T812.644","23707.8166","103981.8745","122000","117615.605","16182.4721","70386.24","107746.915","134111.918","103000","123120.844","132000","87800","136960.524","24782.6881","77164.041","131530.067","115574.054","83500"
"M425.216T1473.286","303672.1155","484076.4313","337000","415218.395","256721.5635","370042.778","336308.516","423612.592","346000","345544.527","343000","340000","328019.731","292993.3018","348030.952","268229.882","305068.617","332000"
"M853.347T926.093","6955.4013","263505.428","220000","236739.576","8884.8384","91200.025","215254.888","456455.858","312000","226244.853","488000","214000","307551.015","14557.3559","352137.823","164266.624","181568.883","409000"
"M481.203T929.492","6140.2626","306069.1898","188000","244035.452","6160.7305","99355.168","236226.633","391656.63","2e+05","311999.944","253000","150000","287289.457","7603.8158","225835.014","248611.333","294616.141","231000"
"M675.452T1372.394","50455.158","116182.7344","150000","112370.845","57729.6905","137473.732","154270.908","141696.734","155000","137345.425","98100","155000","142905.257","45180.4047","148881.676","185039.945","153568.551","143000"
"M1013.72T1325.086","439.9608","2999.5424","439.9608","4993.55","6394.598","12072.833","2917.403","2295.259","5200","26627.787","2810","10900","3250.444","439.9608","7164.671","2199.804","2591.745","12600"
"M958.38T975.822","2506.1762","79440.6166","95400","90059.198","1893.6453","28800.019","113477.877","150468.873","128000","68918.406","139000","94400","120112.148","4341.6077","118587.961","103404.555","90193.876","119000"
"M842.492T1254.627","5034.6049","110707.2282","97200","125759.421","9501.41","134433.744","132226.442","104879.547","101000","135803.111","108000","133000","105008.185","7633.3799","160123.756","107873.257","107068.886","132000"
"M1017.397T924.482","9512.3209","79883.1091","77300","76663.675","5035.6432","42106.069","68535.192","93402.361","74200","74345.041","119000","66400","95357.577","5384.6007","96706.588","72633.513","87131.999","81400"
"M655.217T820.228","36099.1998","113353.5796","130000","129275.708","12978.0532","70524.362","144949.002","152862.391","144000","113390.592","128000","107000","143189.39","23548.4449","96875.831","154355.52","162187.747","127000"
"M806.336T927.31","4389.643","170138.1518","172000","177607.845","3966.4716","43829.745","154010.184","331100","188000","128938.082","283000","155000","274803.988","3589.8502","175018.799","154055.632","168084.396","164000"
"M1119.432T843.183","4846.3648","33553.927","32200","43013.253","3494.9376","13590.764","52323.919","53031.828","40100","45907.36","51900","17300","67551.368","1520.7243","33384.808","49900.811","59285.046","27700"
"M609.452T1220.972","42672.2678","660410.4125","497000","661642.115","42951.4263","980652.333","612070.097","604701.718","536000","947924.419","618000","440000","432538.626","18744.5654","727448.238","445436.573","629502.292","670000"
"M985.395T851.401","343.528","83174.2417","62000","71244.117","343.528","42914.375","75130.897","110129.974","61500","34024.813","95500","56800","87625.873","1717.64","80659.721","79817.736","59145.584","92700"
"M621.419T1456.849","90447.8212","192972.1506","287000","232427.459","104876.1359","197133.995","271083.921","258763.694","310000","154538.745","219000","370000","287438.315","134061.9188","254809.977","394021.238","229229.147","229000"
"M365.193T1440.036","118812.5928","146429.5426","175000","160323.041","122626.8069","146711.666","193573.223","201824.291","212000","146680.748","148000","186000","168485.857","115242.8603","173471.953","200402.447","185217.918","153000"
"M980.373T973.898","6358.3217","58904.4532","37900","56670.722","1184.6378","26330.307","30427.078","85155.938","54800","36951.724","109000","43100","56708.273","1738.9515","69854.33","32193.972","63359.752","57400"
"M691.43T1301.409","20750.6866","345396.2435","320000","346293.563","25629.1602","282462.132","510880.036","309945.228","274000","368606.382","313000","387000","337671.141","22858.8281","347903.338","356887.673","403117.327","358000"
"M541.47T1540.699","153023.5538","232116.9877","276000","210394.592","131298.8114","155849.971","236030.695","235061.853","287000","331535.792","215000","338000","391555.369","135738.7288","261440.459","290267.64","248840.86","241000"
"M883.58T1438.11","29946.4607","170069.2638","145000","127173.583","144202.3295","111983.737","137690.919","134809.307","191000","527796.065","105000","168000","133618.185","21927.3127","129881.981","166492.152","166552.829","207000"
"M803.315T940.951","6316.7504","118172.8162","93300","114502.373","3568.9765","33517.845","114999.138","141157.183","104000","92305.586","124000","101000","144110.628","5758.0722","119227.619","91768.549","120778.871","134000"
"M439.314T1352.626","75978.616","190232.8984","162000","215215.55","61089.4057","153176.884","217393.53","224856.114","188000","116940.573","192000","229000","209500.125","61579.3575","174933.934","239218.676","151282.055","136000"
"M898.347T1006.792","13511.5468","91232.0668","109000","103157.896","10946.449","52311.146","76483.601","114507.892","81000","84415.551","116000","83100","118009.148","8602.8097","112198.96","90750.484","93599.29","97400"
"M930.353T957.42","13962.1631","97551.5468","75300","90482.212","13322.3708","43820.636","64563.33","121679.492","106000","71006.779","125000","62000","107165.968","13886.96","97937.109","74854.96","79595.855","83000"
"M941.389T959.199","7368.4143","135937.2864","113000","173973.872","10618.5177","45731.871","98571.84","201413.717","195000","83220.391","309000","97300","131398.014","6672.7934","166304.611","124114.559","98513.244","134000"
"M805.508T1280.356","20715.7951","408786.3547","441000","430767.939","20409.029","470285.65","545934.629","374932.637","339000","543514.039","354000","451000","434216.519","25853.9849","461320.175","377111.878","467349.725","455000"
"M512.762T1189.92","1199.68858","139933.7417","203000","140852.386","5998.4429","149857.495","197823.812","152521.067","145000","266024.832","143000","166000","154840.093","13766.2313","172508.567","146792.79","192967.424","151000"
"M951.371T857.905","7070.3295","79903.7161","68300","94283.986","9014.2447","30303.092","84331.583","126161.72","86200","67958.097","128000","56700","85309.114","5570.4381","71696.676","64975.006","79523.6","84100"
"M495.298T1036.333","621.66138","80532.315","63100","70780.1","3108.3069","141614.109","135255.078","77717.034","102000","58880.389","87900","28300","41769.5","621.66138","69761.11","52455.281","61529.43","33600"
"M763.456T1354.833","45029.8728","291161.0026","130000","185680.358","137339.3615","388992.195","400057.435","135391.66","179000","146632.5","229000","172000","102293.587","34086.6853","343813.384","143167.59","185307.436","135000"
"M367.15T410.425","14097.3879","145910.3187","165000","177967.835","23149.3148","39264.813","73062.191","150378.66","202000","51157.363","188000","26100","67136.915","21682.0108","28918.809","53419.755","86948.198","43400"
"M551.201T893.689","5672.1288","106869.2057","128000","136821.094","3120.3109","63993.367","105010.438","221670.195","98500","108989.472","255000","115000","170068.655","5780.5882","126955.511","125645.567","112134.769","123000"
"M861.313T812.644","2939.0903","98576.8424","65700","81150.829","3475.8977","44517.84","87628.007","144167.115","88500","71469.588","131000","77900","111321.743","3682.6338","73405.567","73746.581","75538.002","73500"
"M1102.847T817.469","18332.2998","31647.3691","52800","45094.363","9496.4609","22911.09","37110.256","47784.064","56900","48689.227","48500","28300","49979.341","6456.0833","25402.235","46351.903","63585.147","42500"
"M299.109T1341.992","51960.9898","81541.0817","70600","78514","64206.2419","104974.939","97471.808","91546.246","81200","76778.89","87200","71400","69077.461","54060.3513","90898.912","79026.008","55440.141","84700"
"M804.315T943.327","3895.4417","71199.9221","91700","85426.922","4134.0173","37051.193","95586.187","141763.383","89100","85897.743","116000","81800","121809.588","779.08834","114859.999","91576.045","87451.517","95000"
"M987.384T843.183","1619.676","49639.1859","61800","57309.686","2690.357","22368.137","61189.25","76633.481","69300","49260.343","87800","31100","74130.615","4668.2518","59431.57","48374.124","43459.884","55000"
"M589.228T896.878","403.9183","45681.1605","49000","57040.066","2019.5915","24321.582","49432.362","69535.283","59500","55760.024","62300","52800","83163.393","3383.002","102191.767","63849.123","64742.988","96400"
"M1057.414T847.292","4722.4584","135037.1725","101000","137952.177","1016.6971","73259.772","151309.476","162521.033","95000","72656.551","160000","116000","133592.636","3327.7018","174269.023","118843.043","107377.977","146000"
"M991.383T954.894","6801.4072","184674.7766","105000","245621.011","2811.2981","58451.656","100546.06","257711.437","119000","89813.699","412000","96700","142808.772","7018.3209","158311.359","119647.877","107615.176","113000"
"M593.234T877.183","19779.7692","137849.5852","144000","150773.957","30063.3523","145977.937","144916.759","173469.346","145000","137249.626","187000","124000","149310.054","20346.2289","154806.616","151044.224","189604.822","151000"
"M649.243T924.482","15047.2679","114848.6673","95700","103886.027","7094.2395","83632.253","107826.143","129349.647","108000","106509.436","132000","88500","120724.608","17311.019","103504.708","105187.648","104300.377","104000"
"M393.25T1170.538","44711.1385","132795.4601","132000","107388.902","60833.98","209193.263","145452.738","123263.635","172000","172789.388","107000","87300","95466.37","56016.7522","145785.944","101083.649","131437.584","140000"
"M897.335T957.42","10819.5114","110386.4916","106000","109384.134","11134.0273","64515.634","109452.399","145091.217","110000","109181.735","132000","113000","148795.359","11125.3052","107034.55","102186.744","95912.24","99200"
"M617.489T1624.961","137437.2228","246421.2727","365000","236456.361","89331.7896","117002.527","178159.556","230807.574","247000","336486.533","262000","325000","322768.168","71725.8192","467331.438","280149.602","228825.193","276000"
"M747.539T1372.761","11863.937","82156.6553","47800","32774.156","12610.2184","46072.992","35068.485","31253.678","124000","62260.78","38200","34900","44475.369","18585.7803","41348.002","47883.529","49107.225","86300"
"M866.357T1023.188","21840.7314","137059.5059","138000","137472.378","23485.8813","62080.442","137888.309","166276.783","163000","114730.776","172000","127000","162047.67","20622.9112","182247.149","131531.707","121235.007","153000"
"M819.302T866.333","3374.7911","147313.2473","89400","125141.626","11181.5656","56938.803","107598.989","331989.522","98200","84948.198","282000","77000","176733.992","10027.2478","99486.935","85845.895","100720.675","91700"
"M595.491T1621.712","77648.5293","108167.0586","106000","93640.286","73306.8312","101540.023","93369.006","102274.753","123000","112653.038","86900","123000","126727.918","79186.4499","173407.165","108933.114","113254.122","104000"
"M942.381T940.951","3503.4078","99473.5291","98300","120094.273","4971.0745","44143.098","83193.589","149404.676","117000","65083.037","212000","99500","83084.863","3734.9658","114693.712","74402.453","71216.602","88000"
"M832.52T1373.493","15088.924","187311.0732","154000","212161.824","31246.9565","263357.206","147040.665","190439.791","204000","237204.372","212000","168000","138631.376","30850.1075","236741.953","121518.891","157343.116","217000"
"M768.289T941.124","7245.7036","76108.9488","83400","65788.379","2256.1768","46591.065","89058.474","117777.289","82400","72298.909","124000","51100","88938.814","8980.0884","96974.362","94224.987","77144.719","72300"
"M417.157T908.195","15075.2083","125950.6873","151000","124010.791","4105.8999","80473.97","191774.633","180927.323","204000","124777.825","184000","186000","154195.624","15465.5742","113130.731","167093.492","155540.978","169000"
"M818.274T858.699","26390.0213","199830.1901","125000","178331.647","15123.1837","73124.216","122491.325","388130.834","123000","123168.792","336000","102000","171965.8","26943.4735","77896.029","122521.367","149957.513","113000"
"M365.192T1471.536","121639.0431","156734.6841","179000","173622.942","139595.5083","151671.509","186040.837","211360.461","220000","147371.999","188000","199000","171262.342","124339.9993","174650.18","208055.587","193533.934","165000"
"M853.492T1222.109","24107.0487","187715.1368","186000","246913.454","9799.6408","234632.064","262873.628","160293.018","204000","192551.356","222000","212000","203093.025","12978.2044","248193.142","201383.453","221958.366","246000"
"M493.153T817.469","7681.5877","42563.7085","42700","43112.193","4822.4216","33369.102","80400.245","72417.457","37100","35829.172","50500","42900","50508.573","13283.9829","40011.811","57906.676","58548.699","38000"
"M850.319T935.639","6688.2966","108216.4836","89500","100535.853","5285.0843","43148.978","91940.613","137268.356","89600","89721.06","138000","70500","134634.148","8073.2277","106734.296","82704.149","97489.321","101000"
"M1049.412T957.42","359.19614","67534.2323","62700","64546.784","1795.9807","25851.871","69037.256","98269.537","65200","55219.849","81300","73800","85689.264","3099.6202","74960.725","75949.172","67733.146","63300"
"M690.261T940.951","5700.9589","124409.8836","113000","107942.046","10692.0957","64202.36","119632.982","163448.14","127000","98984.123","164000","93300","156696.682","13628.25","141093.585","97294.965","126000.053","128000"
"M827.321T940.951","820.86108","211683.7744","114000","218980.266","8236.4797","28331.175","65589.414","567895.882","91800","122726.207","499000","89800","299066.541","4104.3054","93727.383","94130.02","105270.271","99900"
"M677.439T1269.605","18146.4819","195616.3625","86400","273457.865","6558.4024","225218.619","138045.774","210684.972","144000","101106.306","265000","94300","87271.569","2421.7207","124561.252","98692.462","105935.029","187000"
