"","filter","C12.1","C12.3","C12.4","F12.1","F12.2","F12.3","F12.4"
"M722.259T892.9",274570.6758,10426.6994,540138.794,6109886.122,63100,82529.257,8841.8462,71557.1
"M523.599T1382.768",78550.1834,218080.0938,317868.564,315921.916,189000,187901.643,136725.8644,211283.462
"M549.431T1507.08",77636.06305,99370.8879,96042.493,103299.308,198000,166259.475,89217.532,184426.032
"M330.262T1456.934",16091.20365,110351.8984,137110.335,140737.016,109000,113688.708,109616.6357,104960.973
"M435.346T1540.43",15101.16745,74630,62488.279,56945.862,75600,87098.201,80222.4129,89019.633
"M576.484T1557.453",110720.2787,43791.0566,64461.487,67670.811,161000,168693.101,32816.8324,168850.105
"M467.383T1523.593",70582.46985,52699.2113,57843.559,69790.605,178000,150611.838,41926.7419,101095.872
"M951.603T1424.253",280361.0167,56709.9076,69557.287,92135.708,395000,291989.228,11904.0538,538493.035
"M477.403T1542.988",32850.45545,68754.7701,72109.807,93786.975,128000,94716.514,53846.9849,111848.974
"M477.407T1590.788",37133.20695,83304.4861,82232.177,104177.767,137000,115987.442,72678.4973,123815.635
"M549.426T1489.95",107502.7891,92561.8468,100676.424,133273.353,234000,189085.359,93543.9258,220140.569
"M471.336T1557.26",65462.4134,75170.5993,74425.386,96848.858,151000,152414.519,86749.9269,141845.353
"M330.263T1439.913",16888.75255,113723.4082,142481.663,144695.624,112000,116439.588,113143.7459,104941.687
"M629.529T1601.79",191098.48755,132953.3609,136004.841,102248.094,359000,258398.43,99408.1433,363855.34
"M505.27T1240.129",271599.139,36869.3834,496398.964,487628.523,365000,401896.939,65216.201,281110.983
"M576.533T1641.124",46316.69725,28320.6636,22442.071,14288.021,85100,70381.221,26382.3995,71076.644
"M619.438T1245.233",191645.42625,12008.9388,387624.432,451165.77,79900,81726.498,22931.4815,63128.596
"M313.161T1621.4",16667.21105,61415.9419,68126.836,53976.472,80600,62762.731,86826.8179,51501.376
"M505.253T1269.605",155429.6966,14742.2336,348384.973,275499.654,202000,296611.507,59251.7678,205886.039
"M494.565T1319.161",98953.19175,188625.3734,417460.715,297804.155,237000,181237.479,325727.6019,241284.985
"M535.447T1540.43",81586.36155,63646.6289,65862.823,65775.467,153000,150770.061,62284.7386,141824.758
"M477.398T1574.327",41373.04645,75046.8231,72226.53,93786.975,128000,113245.367,65287.2167,116774.079
"M691.433T1253.346",236431.49495,112036.4451,461054.068,487173.897,423000,299154.633,25347.4399,334288.159
"M341.283T1305.932",66204.4723,94925.3883,710584.568,226058.778,99000,99290.489,98014.9341,90301.759
"M330.261T1473.013",15315.24405,105049.7819,129928.674,132830.97,109000,110712.569,104715.9323,104960.973
"M339.172T1490.329",17125.7562,44191.5894,27250.668,21719.252,41500,24189.409,55847.73,40215.54
"M477.343T1423.013",7353.80839999999,48754.9512,56632,58826.353,60700,65143.335,38625.1666,59394.568
"M332.328T1440.13",20956.39705,115359.5825,142796.475,167103.206,122000,114870.313,129346.2146,107630.86
"M494.563T1509.9",108674.1566,304154.6608,234099.816,171452.201,359000,314190.655,489330.3933,396602.79
