"","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M661.446T1372.452"," 82780.95","278917.55","254000.00","309641.04"," 66802.65","249731.94","361387.71","414278.39","430000.00","316500.25","276000.00","481000.00","331208.90"," 88917.61","288082.19","585495.45","358379.09","391000.00"
"M695.45T1338.973"," 59599.97","172594.09","190000.00","180167.90"," 47343.46","158427.90","167379.07","317757.79","282000.00","174016.90","178000.00","332000.00","194603.21"," 44540.48","206525.97","412897.06","196517.52","229000.00"
"M593.49T1490.213"," 61226.37","289607.08","301000.00","267183.40","171483.42","224110.02","270191.11","289759.18","325000.00","329718.67","291000.00","350000.00","353585.38"," 77789.38","392041.70","348798.00","243878.15","328000.00"
"M951.567T1289.006","     0.000","455518.470","600000.000","462160.274"," 24373.865","625716.120","945922.886","468561.800","758000.000","605740.006","524000.000","625000.000","515510.664","  7328.717","842412.909","830381.536","834391.642","870000.000"
"M593.489T1431.043"," 53528.72","278719.13","287000.00","264624.74","167661.91","225704.32","270372.99","286507.00","317000.00","315523.48","288000.00","345000.00","332874.36"," 66508.48","376182.36","336220.79","236681.92","320000.00"
"M639.424T1291.55"," 20888.27"," 95363.57","100000.00"," 92325.35"," 13470.63","114977.20","139862.17","136206.79","109000.00","101587.38"," 89700.00","121000.00","126508.99"," 10545.58","119890.22","121164.46","118571.56","121000.00"
"M986.591T1195.638","  7312.201"," 91905.500"," 87000.000","101335.693","  6681.598","148335.411","172198.193"," 88307.664"," 92900.000","123095.507","113000.000"," 78600.000"," 86026.052","     0.000"," 86764.012"," 79847.172","107246.557","100000.000"
"M591.473T1440.13"," 39822.06","320033.59","383000.00","323955.05","102319.45","258777.08","423415.33","494381.17","502000.00","418309.91","391000.00","647000.00","533389.53"," 51319.04","439960.80","648536.46","352962.13","438000.00"
"M590.465T1389.456","  9143.107"," 68957.012"," 86900.000"," 92086.329"," 45682.932"," 69297.082"," 81279.234","137435.686","109000.000"," 78769.187"," 74700.000","139000.000","118731.564"," 13324.763"," 78136.957","133781.599"," 92121.017"," 65500.000"
"M631.469T1330.308"," 12331.53","180761.84","147000.00","202509.70"," 27724.84","239666.90","526293.26","283319.59","340000.00","184922.88","215000.00","224000.00","211915.94"," 16421.68","191342.84","227774.07","184548.27","164000.00"
"M637.415T1439.736"," 48220.59","136427.40","166000.00","132917.49"," 64129.60","129229.37","157639.29","198095.65","184000.00","134135.86","169000.00","188000.00","154925.61"," 58428.98","180903.87","217514.25","172058.97","170000.00"
"M759.217T1590.788","  31405.91","  35046.94","  42000.00","  54984.05","1533255.10","  52339.53","  40756.45","  47595.26","  29900.00","  36855.34","  44900.00","  30800.00","  33618.39","  17432.74","  27609.61","  33621.49","  67734.79"," 115000.00"
"M711.441T1125.643","  5702.063"," 46186.745"," 52900.000"," 52426.556","  2186.308"," 68537.152"," 52038.028","100472.655"," 89200.000"," 66010.274"," 41500.000"," 54700.000"," 46452.883","  5997.332"," 42836.497"," 68389.547"," 72390.350"," 39500.000"
"M810.527T1193.498"," 74217.54","267208.26","257000.00","223969.62"," 68833.88","154703.81","266502.22","210730.02","254000.00","268971.77","229000.00","206000.00","178549.51"," 65520.52","204265.71","224351.33","255941.51","266000.00"
"M646.453T1439.754"," 36889.52","174656.23","184000.00","172548.51"," 58064.98","160050.92","225569.77","210095.28","221000.00","193981.07","171000.00","287000.00","200142.54"," 35283.11","194193.41","239650.66","216815.19","215000.00"
"M379.265T1372.423","114838.5","223915.0","181000.0","187283.4","177909.5","187020.1","271713.6","186825.4","247000.0","190819.8","196000.0","160000.0","170399.9","122126.5","200606.2","217106.1","213400.6","138000.0"
"M926.605T1358.969"," 2755.358","17132.194"," 8480.000","17400.043"," 8431.946","11644.476","25191.321","21307.465","29900.000","47911.428","24300.000","26900.000","35548.104"," 5609.031","31699.993","22894.754","31885.377","36000.000"
"M951.568T1338.092","     0.000","430890.689","582000.000","467608.063"," 25107.170","607426.254","907274.748","440801.546","759000.000","595107.007","520000.000","626000.000","512210.273","  7325.739","834861.426","826826.322","817880.719","858000.000"
"M651.516T1408.532","  7808.986","112391.040","166000.000","114844.201"," 13616.284","106220.531","203600.788","194364.950","179000.000","150701.366","126000.000","177000.000","158079.871"," 19914.782","138792.006","190671.273","146166.657","130000.000"
"M593.49T1557.453"," 63930.32","292353.56","311000.00","276348.13","180130.22","227135.22","272513.50","299213.90","330000.00","336005.66","302000.00","361000.00","353179.64"," 77778.78","399154.39","352067.14","250656.70","338000.00"
"M881.483T1130.872","     0.0","131580.8","161000.0","138647.8","     0.0","159456.4","232283.5","121424.6","148000.0","162522.8","142000.0","164000.0","137070.3","     0.0","151542.2","130969.8","152952.8","169000.0"
"M967.557T1267.284","  4630.208","230010.132","243000.000","300051.656","  6329.451","378047.751","340579.051","264996.714","274000.000","288666.357","365000.000","253000.000","259540.009","  7816.915","282857.776","272804.045","323114.982","273000.000"
"M574.468T1330.445","  5208.555","107313.088","123000.000","121376.204"," 17838.335","106933.687","141210.388","167000.269","191000.000","151337.554","119000.000","168000.000","178686.944","  8197.761","115228.919","183587.969","113179.936","124000.000"
"M668.492T1305.416"," 11895.67"," 69897.15"," 72900.00"," 59717.90"," 23566.06"," 64032.75","114963.60"," 89497.01","122000.00"," 72073.43"," 67800.00","119000.00"," 84268.08"," 15320.41"," 84119.46"," 94049.98"," 80552.39"," 97100.00"
"M587.442T1269.605"," 5165.632","44571.114","45100.000","37939.253","13190.031","76765.522","79488.415","63126.516","74100.000","52482.374","46900.000","52300.000","43834.814"," 8001.361","44082.819","64047.741","36880.046","54100.000"
"M711.566T1557.453"," 49052.26","149920.83","137000.00","103074.87","479046.22"," 92419.17","101394.06","137094.02","162000.00","106910.80","112000.00","201000.00","119666.08","113170.68","482604.77","127166.86","100002.84","190000.00"
