"","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M894.333T843.183"," 0.01618208","-0.18713139"," 0.05623126","-0.62034114","-0.04046917"," 0.67255701"," 0.09615060","-0.32869033"," 0.82156708","-0.54468598"," 0.06848783"," 0.40903016","-0.42924183","-0.24886153"," 0.25921536"
"M749.513T1384.421"," 0.32738855","-0.37309919","-0.36397552","-0.03484205"," 0.04635021","-0.12263374"," 0.44981177"," 0.28524698"," 0.04518246","-0.30177399","-0.19437865"," 0.09966245","-0.04897289","-0.12802133"," 0.31405496"
"M955.384T902.791"," 0.08000022"," 0.01607752"," 0.10450838","-1.30323503","-0.06161638"," 0.12371820"," 0.26964813","-0.07713614"," 0.33856997","-0.16151376"," 0.44121574"," 0.19537054"," 0.11209281","-0.16861984"," 0.09091964"
"M441.224T1179.269","-0.20849385","-0.05166521","-0.11841076"," 0.82174245"," 1.00183958","-0.37206441","-0.38169432"," 0.06254497","-0.12352422","-0.02421917","-0.03905910","-0.18603394","-0.16124522","-0.05863824","-0.16107857"
"M984.394T881.272","-0.02643315","-0.10038650"," 0.11738902","-0.97918864","-0.14814903"," 0.40726141"," 0.12482216","-0.25830425"," 0.40700030","-0.20859360"," 0.43898046"," 0.38428586","-0.10140012","-0.10702179"," 0.04973788"
"M654.247T924.482","-0.130153752"," 0.071106828"," 0.001013619","-0.498070769","-0.227530926"," 0.649393000","-0.022702270","-0.073294741"," 0.455059648","-0.248122531"," 0.408470128","-0.029584533","-0.213616461"," 0.048410201","-0.190377439"
"M830.512T1280.542"," 0.1933233880","-0.3660260631"," 0.2353621073"," 0.8535443755"," 0.1360032876"," 0.0901865286","-0.4636270102"," 0.6060746686"," 0.1276460453","-0.5716334651","-0.3167244482"," 0.2782658188","-0.6809045691","-0.0008744936","-0.1206161705"
"M351.181T1136.851"," 0.51619976"," 0.07953624"," 0.28519338","-0.07357524","-0.11757116"," 0.40827833","-0.21448579"," 0.50152453"," 0.21437822","-1.04650810","-0.11378519","-0.39209236","-0.36375947"," 0.46805594","-0.15138908"
"M349.193T1438.11","-0.219008637","-0.068648353","-0.218010499","-0.275791421"," 0.158878978"," 0.418463989"," 0.186539879"," 0.099543221"," 0.081958500"," 0.005458127"," 0.092085378","-0.677333732"," 0.317697924"," 0.205293081","-0.107126435"
"M805.507T1228.528","-0.02912421","-0.02280508"," 0.03934711"," 0.38485538"," 0.66920177","-0.12003837","-0.42416624"," 0.44158114","-0.14669460","-0.28587313","-0.31665191"," 0.24068816","-0.43505844","-0.04076690"," 0.04550532"
