"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"M987.494T1327.158",0.017731,-0.016289,0.02123,0.0062929,-0.003383,0.015055,0.022074,0.013274,-0.016124,-0.027347,-0.003134,-0.0063362,0.019984,-0.0016934
"M863.484T1242.374",0.018243,0.0016315,0.03352,0.014923,0.0033703,-0.0032672,0.018434,-0.0044872,0.0133,-0.015692,-0.0057824,-0.016417,-0.012444,0.00071568
"M869.849T1307.413",0.021049,-0.0082642,0.01451,0.0057324,0.0055916,-0.0044549,0.013842,-0.0074654,-0.011447,-0.00048473,0.005204,0.010487,0.0054296,2.3194e-05
"M867.515T1204.699",0.019844,-0.0072138,0.029662,0.015152,0.0062039,0.0019479,0.0092675,0.019738,0.023705,-0.022031,-0.0039223,-0.0084622,-0.0056907,-0.0019584
"M1071.559T892.477",0.025124,0.010828,0.010088,-0.0030783,0.031051,-0.016654,0.014482,0.011567,0.026027,0.00027256,-0.01945,-0.0062637,0.00084636,0.0011399
"M751.392T1268.098",0.016942,-0.01396,0.030828,0.0055043,-0.002272,-0.0058198,0.0056678,-0.0012301,0.034215,-0.010775,0.017921,-0.0093734,-0.0052222,-0.0024509
"M306.171T797.884",0.017383,-0.018344,0.015027,-0.033636,0.01567,0.010998,0.0023182,-0.034293,-0.0073132,0.0034914,-0.0062387,0.04814,-0.016175,0.0002936
"M1000.263T316.358",0.028307,0.042163,-0.020258,0.0037874,0.035258,-0.0031331,-0.01051,0.0020842,0.0018827,-0.0046185,0.0066585,0.0045193,-0.0080199,0.00051717
"M699.398T1124.853",0.012427,-0.012144,0.040014,0.018668,-0.00032107,0.0014926,0.018793,0.039959,0.035567,0.022453,-0.013183,-0.0070167,-0.0096004,-0.001301
"M767.194T317.413",0.026118,0.015021,-0.0061141,0.0096295,0.016767,-0.014768,-0.0048034,-0.007766,-0.0047566,-0.0047856,0.0097156,0.02391,-0.012101,0.00050838
"M280.961T95.439",0.019473,-0.0082048,0.024463,-0.0025399,-0.0045844,-0.0059232,0.020006,0.019406,0.026904,-0.0036379,-0.003675,0.027445,0.01372,1.4317e-05
"M650.407T1378.088",0.023592,0.013978,-0.0035597,0.011628,0.0020067,0.0092403,0.0066492,-2.3737e-05,-0.0021595,7.8962e-05,0.0019741,-0.017718,-0.0027676,-0.001829
"M653.891T318.024",0.026766,0.013928,-0.0084956,0.0034136,0.013042,-0.0034684,-0.0094605,0.0066217,-0.0063922,-0.0044472,0.011729,-0.0013943,-0.0033827,0.00048319
"M560.841T1187.938",0.02613,0.0034521,-0.00095585,-0.0079369,0.01052,-0.0081537,0.0071264,0.016303,0.0080467,0.032212,-0.014803,0.0088488,0.00081818,0.0017047
"M354.957T108.842",0.019691,-0.018652,0.016967,0.0017066,-0.0082596,0.005287,-0.0029455,0.013828,-0.010775,-0.0001254,-0.00038326,0.0062864,0.0013528,-0.0026767
"M590.775T907.789",0.015296,-0.0050245,0.018143,-0.019696,-0.014455,-0.0066145,-0.0091355,0.05339,-0.0092658,0.02597,0.00895,-0.010312,0.031786,-0.00022106
"M455.14T941.827",0.023254,0.011678,-0.006976,0.020751,0.024424,0.024887,-0.01689,0.0106,0.025925,0.0075621,-0.013769,-0.013338,0.012465,-0.00025564
"M478.858T67.274",0.016245,-0.026994,-0.0038323,-0.0099025,0.018861,0.0072557,0.0074176,-0.019948,0.019533,0.027104,0.014755,-0.002365,0.022942,-0.00083868
"M991.585T1378.099",0.016586,-0.0044505,0.022541,0.032204,0.011377,0.014759,0.0036536,-0.010868,0.007434,0.0078432,-0.0081903,-0.01102,-0.0090153,5.5865e-05
"M184.986T90.923",0.019128,-0.030037,0.010151,0.027893,-0.011371,-0.029754,0.0060846,0.01122,-0.0024976,0.0037781,0.032703,-0.01974,0.00054823,0.00024834
"M206.082T164.917",0.016364,-0.025433,0.030328,-0.031101,-2.7945e-05,-0.016338,-0.031743,-0.026267,0.0067913,-0.0094152,-0.014712,-0.012251,-0.016864,0.004719
"M1161.521T895.466",0.022996,-0.0010591,0.01351,-0.00072609,0.024095,-0.030176,0.020895,0.021406,0.011519,0.032828,-0.010458,-0.002367,-0.0020261,0.0023392
"M418.218T902.438",0.0204,0.022772,0.010496,0.0093626,-0.026902,0.0081762,0.0047547,0.0066086,0.004491,0.002042,0.0036866,-0.010014,-0.0069881,-4.9434e-05
"M632.783T316.499",0.025605,0.022968,-0.020563,0.020147,0.0045281,-0.021505,-0.0089829,-0.016438,0.0099235,0.020342,0.0061817,0.01334,-0.0086696,-0.002205
"M1074.325T1193.301",0.020064,-0.011524,0.012556,-0.016405,0.019923,0.02857,-0.023107,-0.0059707,0.099881,-0.022275,0.073959,-0.0014291,0.01867,0.0024754
"M451.218T291.531",0.023659,0.025195,0.0063009,0.0078279,0.0054861,0.0059634,0.0014457,-0.0021369,-0.0060402,0.011862,-0.003068,0.0062618,-0.016394,-0.00067912
"M344.099T126.621",0.02354,0.0046849,0.0073509,-0.00093013,-0.0012438,0.012027,-0.0054189,-0.019373,0.026503,0.0023317,0.018728,-0.0022094,0.0047179,-0.0011203
