"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M649.026T106.128","-0.35316596","-0.31782477","-0.19613641"," 0.06727027"," 0.05811113"," 1.33959111","-0.11829335","-0.50459495","-0.20913188"," 0.84251934","-0.57409543"," 0.16001369","-0.24370020"," 0.04943741"
"M1097.561T894.34","-0.24069955","-0.68821703"," 0.55614415","-0.21293168","-0.09534668"," 1.62475671","-0.34300928","-0.66293308","-0.63729468"," 0.96993005","-0.32732943"," 0.64195686","-0.37980904","-0.20521733"
"M1014.585T1248.122","-0.46534004","-0.77777873"," 0.03084004"," 0.10972291","-0.11996436"," 1.35530901","-0.23971683","-0.34506991","-0.19343040"," 0.46835958","-0.24494555"," 0.50500988","-0.30280196"," 0.21980636"
"M868.517T1202.592","-0.2582074","-0.3427215"," 0.3923917"," 0.2323030","-0.4871662"," 0.9619289","-0.5462358","-0.2342061","-0.2917458"," 0.5772498","-0.3687917"," 0.8009284","-0.5469683"," 0.1112410"
"M1015.588T1248.088","-0.24562971","-0.74537523","-0.02830556"," 0.10809855","-0.07429057"," 1.34930660","-0.32948637","-0.31871248","-0.20192323"," 0.42370579","-0.36280051"," 0.63861058","-0.40463744"," 0.19143959"
"M921.374T936.829","-0.293259974","-1.358858485"," 0.430001065","-0.451167601"," 0.174591813"," 1.047125997","-0.635173785","-0.261147904","-0.110969911"," 0.546692836","-0.113852500"," 0.585943678","-0.004479608"," 0.444554379"
"M851.794T1356.146","-0.25152908","-0.20284725","-0.05299783"," 0.16440560","-0.19897002"," 1.38731348","-0.20380338","-0.73460090","-0.17518462"," 0.48071140","-0.23081684"," 0.50096251","-0.43015648","-0.05248659"
"M451.007T107.467","-0.51323328","-0.16672258"," 0.10696914","-0.04060354","-0.07690985"," 1.26890783","-0.06189011","-0.78133728","-0.21272245"," 0.86190871","-0.35169376"," 0.15832758","-0.32161729"," 0.13061688"
"M808.919T1196.341","-1.2381653","-0.4114774"," 0.4143096"," 0.1425600","-0.2227248"," 0.4966375"," 0.1894172","-0.5378924","-0.5942556"," 0.7527713"," 0.8089399"," 0.5643255","-0.1950266","-0.1694188"
"M1013.97T1244.591","-0.17273493","-0.78765522","-0.28916934","-0.03659431"," 0.01841010"," 1.37157218","-0.11270206","-0.30588894","-0.44671041"," 0.57109438","-0.06248554"," 0.65818207","-0.57336956"," 0.16805157"
