"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M613.488T897.436",0.43646,0.87041,0.7708,0.76136,0.75501,0.75593,0.75592,0.75592
"M695.12T755.765",0.43502,0.68387,0.64541,0.63252,0.627,0.62686,0.62684,0.62684
"M407.9T66.13",0.43439,0.29345,0.38869,0.46879,0.47722,0.48148,0.48146,0.48146
"M858.344T1120.576",0.43348,0.65117,0.77204,0.74651,0.7405,0.74136,0.74132,0.74132
"M1015.588T1248.088",0.43206,0.82131,0.73903,0.72358,0.71685,0.71625,0.71622,0.71622
"M732.876T67.374",0.43199,0.45778,0.59829,0.73914,0.77425,0.77655,0.77651,0.77651
"M311.138T170.155",0.43163,0.91326,0.8134,0.78193,0.77508,0.77448,0.77446,0.77446
"M671.384T1191.062",0.4309,0.74785,0.85893,0.82568,0.82815,0.8276,0.82758,0.82758
"M353.181T807.324",0.43075,0.90577,0.83503,0.81057,0.81381,0.81315,0.81311,0.8131
"M354.093T750.969",0.43044,1.3024,1.162,1.1317,1.1291,1.1285,1.1285,1.1285
"M1079.633T1147.237",0.42909,0.71442,0.70033,0.94826,1.0611,1.0616,1.0623,1.0623
"M415.167T872.593",0.42888,1.1294,1.0642,1.0377,1.0351,1.0344,1.0344,1.0344
"M509.875T67.374",0.42657,0.50505,0.59923,0.60502,0.68166,0.68115,0.68113,0.68113
"M611.538T834.844",0.42637,0.94536,0.87702,0.84557,0.85534,0.8548,0.85479,0.85479
"M1323.575T889.628",0.42633,0.99481,0.94592,0.91614,0.90997,0.90954,0.90949,0.90949
"M987.494T1327.158",0.42626,1.2253,1.0921,1.0529,1.0519,1.0511,1.051,1.051
"M1255.613T888.434",0.42382,0.98626,0.95763,0.9445,0.93676,0.93672,0.93669,0.93669
"M440.855T1728.569",0.4234,0.6445,0.63648,0.84809,0.90553,0.90579,0.90578,0.90578
"M289.886T1868.955",0.42284,0.72708,0.75977,0.74262,0.7361,0.7355,0.73551,0.73551
"M377.162T1630.7",0.42165,0.81554,0.79547,0.76806,0.76128,0.7607,0.76067,0.76067
"M723.577T942.094",0.42151,0.61155,0.5442,0.52917,0.66448,0.66518,0.66521,0.66521
"M317.087T121.975",0.42095,0.87414,0.7834,0.75575,0.75334,0.75271,0.75268,0.75268
"M501.129T722.199",0.41988,0.93879,0.83236,0.80689,0.79943,0.79993,0.80036,0.80036
