"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M808.368T1195.332",0.02097,-0.036547,0.024197,-0.011484,0.022171,-0.000237,0.021216,-0.017249
"M942.469T1308.469",0.023454,-0.022681,0.019102,0.012029,-0.001253,0.0088345,-0.013475,0.021025
"M575.826T1054.493",0.022209,-0.028645,0.016111,0.013656,-0.023465,-0.023072,0.012884,-0.020964
"M453.17T879.981",0.0082216,0.024469,0.033269,0.018143,-0.00062647,-0.010412,-0.037681,0.013461
"M349.088T88.189",0.029952,0.0043895,0.026487,-0.0565,0.012987,0.013048,-0.005862,-0.016457
"M421.069T767.549",0.022917,-0.033995,-0.0041067,0.0035291,-0.029198,0.032294,0.010535,-0.02405
"M643.245T813.714",0.035753,0.0033452,-0.0097772,0.0056496,0.0074118,0.0082554,-0.01653,-0.012083
"M745.161T766.586",0.033084,-0.014787,-0.029204,-0.012787,0.0038124,0.020355,0.024535,-0.0046643
"M603.339T1194.269",0.017106,-0.032683,0.032204,0.014026,-0.0049119,-0.015944,-0.011728,-0.017576
"M1128.561T892.565",0.016123,-0.034616,-0.0038824,0.074398,0.014456,-0.037167,0.049361,-0.077448
"M875.523T1196.25",0.026527,-0.031556,0.01471,-0.0090411,0.015925,-0.016369,0.01103,-0.023449
"M442.823T96.43",0.022475,-0.027046,0.022526,6.2937e-05,-0.025234,0.0027292,-0.013484,-0.0072868
"M316.508T323.984",0.029413,-0.021603,0.0048369,0.0087855,0.00020031,-0.0013875,-0.003837,-0.0045467
"M698.005T988.342",0.019778,-0.037785,0.00566,0.010784,-0.027002,0.005655,-0.014325,-0.0083172
"M729.273T847.264",0.032564,-0.01346,0.0031739,0.0040887,-0.017478,-0.0091065,0.00022568,0.00091276
"M417.764T850.924",0.044543,0.001476,-0.029365,-0.018091,0.023298,-0.027991,0.012746,0.0085186
"M442.938T91.386",0.021551,-0.036422,0.0080758,0.0072979,0.0053298,-0.010662,-0.0014174,0.0062569
"M653.752T320.843",0.034484,-0.010922,-0.018466,0.0051273,0.014839,-0.007189,-0.00046637,-0.00079607
"M683.129T316.242",0.042222,-0.0047964,-0.023092,0.0058911,0.023176,-0.030003,0.021952,-0.0095145
"M924.454T1327.66",0.020126,-0.032579,0.011424,0.0082631,-0.0073057,-0.0036584,-0.009407,0.010847
"M653.783T316.318",0.035977,-0.0062017,-0.018804,-0.00088386,0.011334,-0.011439,0.015633,-0.01247
"M503.141T749.726",0.0046066,-0.040464,0.036591,0.0061908,-0.018857,0.0062288,-0.019101,-0.009155
"M489.058T766.222",0.023728,-0.031994,0.0084074,0.0039261,-0.019247,0.0030886,0.017277,0.0061698
"M429.664T316.504",0.029133,-0.02266,0.00028538,0.014643,-0.0078654,-0.018657,0.0047145,-0.016257
"M455.098T785.732",0.016197,-0.034093,0.014394,0.011133,-0.024426,0.019487,-0.031145,0.009862
"M1047.557T895.369",0.028059,-0.023528,-0.011911,0.029433,-0.032238,0.025315,-0.001637,-0.031606
"M327.108T784.235",0.025634,-0.016336,-0.0084651,0.00036186,-0.014673,0.060332,-0.050224,-0.026442
"M633.494T312.856",0.038835,-0.0070996,-0.020568,0.01436,0.0048134,-0.007403,-0.0043813,-0.015777
"M1074.386T1195.935",0.030658,-0.023813,-0.0026063,-0.030727,0.033834,-0.008659,0.023022,-0.045674
"M1143.637T1195.221",0.022511,-0.034191,0.012665,0.0091486,-0.0061822,-0.0058837,-0.011024,-0.0066543
"M851.819T1425.446",0.023367,-0.024804,0.0025384,0.023516,-0.030123,-0.0066554,0.017693,-0.0027022
"M530.968T106.005",0.03014,-0.019996,0.00041694,0.0024531,-0.00054479,-0.0019113,-0.0068592,0.0099566
"M1009.607T1323.757",0.017785,-0.022754,-0.016157,0.0332,0.00045412,-0.00042386,0.0091948,-0.017511
"M867.513T1306.189",0.019371,-0.030368,0.00042238,0.022718,-0.0081658,0.011408,-0.004566,-0.00033193
"M653.717T312.26",0.038538,-0.0047835,-0.026727,0.01251,0.030611,-0.011303,0.0048426,-0.0048529
"M1031.899T1225.646",0.019851,-0.016484,0.0044748,0.029871,-0.015431,0.031592,0.027212,-0.011114
"M1452.478T314.239",0.023332,0.011918,-0.061197,0.0034161,-0.0016733,-0.00042461,-0.041608,0.0052716
"M297.119T136.686",0.024137,-0.021741,0.0010067,0.010242,-0.0042594,0.017759,0.019278,0.0010891
"M591.167T896.642",0.029366,-0.0088357,0.00045516,0.0058846,-0.019701,0.01887,-0.01249,-0.0017147
"M781.218T930.113",0.023625,-0.015459,-0.0017109,0.013255,0.036123,-0.037658,-0.014448,-0.024982
"M236.093T125.57",0.0067792,-0.047736,0.022886,0.0017931,0.012831,-0.011084,0.0083896,-0.049122
"M517.159T795.678",0.021045,-0.027684,0.0099633,0.0055053,-0.013025,0.013357,-0.014229,-0.00029946
"M489.854T902.138",0.014717,-0.032807,-0.0075175,0.0058937,0.0325,-0.026252,-0.0084586,-0.017189
"M769.419T945.253",0.021991,-0.028147,-0.0071911,-0.0045945,-0.0072192,0.035117,0.024347,-0.024149
"M1201.918T909.936",0.028433,-0.013759,0.011352,0.0016496,-0.0033136,-0.016432,0.013908,0.007011
"M1028.637T1187.508",0.02759,-0.035571,0.0050388,0.0096546,0.015904,-0.032201,-0.010434,-0.024712
"M864.188T806.912",0.032015,-0.0090407,-0.017942,0.011489,0.00017945,-0.0042029,-0.016162,0.030251
"M865.489T1291.829",0.018433,-0.026119,-0.013963,0.037255,-0.0090656,0.013353,-0.0044788,-0.01022
"M799.191T949.166",0.026564,-0.027608,0.010515,0.0072056,0.0028196,-0.00506,-0.027886,0.0097967
"M920.512T1327.64",0.018043,-0.032334,-8.3347e-06,0.020996,-0.02156,0.0082169,-0.012168,0.0089272
"M1265.573T897.223",0.023928,-0.038216,0.0043395,0.0042276,-0.001369,-0.0088918,-0.00063947,0.019479
"M1263.489T907.902",0.022884,-0.022944,0.021032,0.016721,-0.014264,-0.025979,0.0081005,0.00018515
"M809.13T1195.374",0.026917,-0.026902,0.0093213,-0.023118,0.01918,-0.0070942,0.036225,-0.033158
"M611.295T772.909",0.020201,-0.028654,0.020517,0.0092821,0.025795,-0.0027162,0.020812,-0.0066051
"M504.146T749.726",-0.0014792,-0.055964,0.0088992,-0.0035361,-0.0036543,0.061296,-0.010137,0.011898
"M1285.466T316.098",0.0357,-0.015821,-0.045792,0.034777,0.025957,0.028164,0.050716,-0.0055641
"M1141.612T1194.343",0.020783,-0.028646,0.00518,0.0049598,-0.014054,0.0060861,-0.0054319,-0.020213
"M1028.412T1193.412",0.021582,-0.023821,0.012526,-0.019188,0.0016102,-0.019598,0.011622,-0.033355
"M412.91T65.205",0.010969,-0.028761,0.027815,0.014336,-0.013602,-0.011999,-0.0022113,-0.012912
"M851.879T1330.864",0.022088,-0.034611,0.012171,0.020803,-0.020317,0.0088878,0.0022494,0.020488
"M451.174T880.577",0.035623,0.011338,-0.040579,0.017465,0.010615,0.0090471,-0.016352,-0.014763
"M405.08T802.267",0.014365,-0.04133,0.014124,0.011289,-0.010686,0.0063502,-0.010316,0.01348
"M309.119T137.634",0.029174,-0.019064,0.00013772,0.0050799,-0.0049994,-0.011733,-0.0047247,-0.0076228
"M385.077T746.611",0.020049,-0.03865,-0.0010302,0.011966,0.015262,0.0025991,-0.012531,0.032013
"M287.071T1080.355",0.022696,0.016898,-0.027728,0.030525,0.016335,0.001151,0.097048,-0.065815
"M192.103T133.173",0.017374,-0.037032,0.0098599,0.014833,-0.01696,0.0091845,0.020762,-0.018013
"M1030.642T1193.369",0.03138,-0.021639,-0.012122,-0.001205,-0.0035173,-0.00013989,-0.001929,-0.0021005
"M429.414T851.13",0.029161,-0.019548,0.0048953,-0.0042832,0.0036298,-0.041454,-0.011677,0.0051562
"M808.023T1198.408",0.014295,-0.035363,0.031084,0.019148,0.031037,-0.0040003,0.024418,-0.055758
"M1389.862T1193.369",0.034072,-0.020864,-0.0060253,-0.020626,0.020868,-0.016226,0.021918,-0.019313
"M485.199T845.365",0.032353,-0.010407,-0.00514,0.020578,-0.0019882,-0.0014064,0.0026582,0.001032
"M423.898T65.661",-0.0015825,-0.0023219,-0.011675,0.031696,0.019587,-0.038763,-0.0031534,-0.049066
"M337.186T949.475",0.031354,-0.0055646,-0.021913,-0.0066577,0.049559,0.013668,-0.0098155,-0.01586
"M684.137T316.584",0.035617,0.0018806,-0.026026,-0.00020323,0.019493,-0.010135,0.0056547,0.0038593
"M723.577T942.094",0.021013,-0.013754,0.00064939,0.01956,-0.058831,-0.026306,0.017841,0.012998
"M1096.003T892.843",0.030831,-0.028071,-0.0045323,-0.0049174,0.013651,-0.0031684,0.017306,0.021712
"M420.228T902.138",0.035206,0.0074531,-0.017111,0.027612,-0.018227,-0.023265,0.072133,-0.019877
"M677.303T904.97",0.020809,-0.012679,0.017219,0.0054286,-0.025128,0.015582,0.016353,0.0037771
"M1071.439T878.893",0.035414,0.006659,-0.013432,0.01063,-0.01634,-0.010709,-0.0085045,-0.0042695
"M1069.501T1402.821",0.022654,-0.023893,0.0062209,0.022434,-0.0067447,0.024721,-0.022385,-0.0093483
"M281.07T709.104",0.023209,-0.015926,0.022768,-0.007887,-0.027617,-0.0023913,0.05542,-0.013217
"M562.073T1194.756",0.026395,-0.026117,0.01362,0.0087909,0.0067671,-0.023205,0.011449,-0.018387
"M561.649T1230.897",0.022486,-0.030046,0.010014,0.0061888,0.0040796,-0.0055699,-0.014184,-0.0092429
"M577.137T781.037",0.026043,-0.014789,-0.010429,0.011546,0.022411,0.0025564,-0.010662,0.0057504
"M1029.561T1129.699",0.022292,-0.035023,-0.00072396,-0.010888,0.0013434,-0.019673,-0.010221,-0.014361
"M397.075T138.684",0.02652,-0.015755,0.017433,0.0080307,-0.005735,-0.0014149,-0.0015059,0.0082165
"M1029.237T1191.812",0.031939,-0.024246,0.01003,-0.019053,0.010723,-0.031927,-0.026172,0.0062291
"M575.957T1047.31",0.023736,-0.036101,0.0038487,0.0046513,0.0076528,0.011045,0.0077731,-0.02584
"M1014.043T1346.26",0.023313,-0.024266,-0.0099127,0.020382,-0.0028986,0.010318,-0.00037822,-0.0045541
"M299.652T1305.804",0.029435,-0.025317,0.028425,0.0099971,0.024014,0.027145,0.0079292,-0.049364
"M304.981T94.204",0.012219,-0.044012,0.041532,-0.0029168,-0.0034624,-0.0066341,-0.001403,-0.0042006
"M611.336T770.019",0.022686,-0.024993,0.011073,0.018628,0.012463,-0.017576,0.0088895,0.0045523
"M653.861T317.501",0.031741,-0.010902,-0.024639,0.0048618,0.012677,-0.0061115,0.012347,0.0082736
"M375.104T216.821",0.02987,-0.020386,0.001155,0.029788,0.00088508,-0.0071144,0.0064748,-0.0027032
"M384.097T310.658",0.03752,-0.010672,-0.012828,0.0017363,0.01553,-0.011849,0.0073956,0.0057555
"M591.094T89.826",0.033312,-0.015738,-0.01618,0.0012717,-0.0011663,-0.005839,-0.0094492,-0.017243
"M1133.847T912.408",0.019014,-0.026323,0.026155,0.0031436,0.014439,0.01688,-0.003956,0.0022071
"M351.085T316.423",0.033714,-0.013524,-0.0059015,0.0048514,0.0023852,-0.0082021,0.0013061,0.0012479
"M460.969T105.772",0.025853,-0.025088,0.014071,0.0056271,-0.00437,0.010252,-0.00093886,-0.00087517
"M241.033T103.182",0.017247,-0.037859,0.022867,0.0016321,-0.021529,-0.011817,-0.012334,0.0050416
"M576.062T1050.158",0.02569,-0.033175,0.0024426,0.0090798,0.00025776,0.011603,0.023711,-0.010886
"M1095.607T1194.413",0.02209,-0.026402,0.0063927,0.0014996,-0.020955,0.0090018,-0.0076385,-0.01372
