"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","C12.1","C12.4","X12.1","X12.2","X12.3"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point"
"M506.357T1325.086","-0.07404720","-0.15343827","-0.31316100"," 0.07954906","-0.04696309","-0.09554091"," 0.50872370","-0.30456928","-0.16755696","-0.75978264"," 0.16775353","-0.15611047","-0.29850863","-0.22350425","-0.19759656"," 0.01087051"," 0.05372756","-0.17718991"," 0.29666906","-0.08135596"," 1.17444406","-0.04142190"," 0.22213495"," 0.12708196"," 0.19256823"," 0.10193080"," 0.30406319"," 0.04573843","-0.21811344"," 0.02360541"
"M533.435T1510.689","-0.522773573","-0.519095050","-0.390733171"," 0.080887449"," 0.511801061","-0.381218996"," 0.231591525"," 0.131631673"," 0.056028959","-0.354466248","-0.655238965","-0.366955981"," 1.094003758","-0.273764912","-0.221231091","-0.039325970"," 0.944131939","-0.102629336"," 0.053336278"," 0.136719269","-0.392023287","-0.107503276"," 0.475467910"," 0.341043883"," 0.501206385","-0.661695518","-0.218697167"," 0.404262594"," 0.002384759"," 0.242855098"
"M312.106T122.685","-0.469599555"," 0.384599672"," 0.277496317"," 0.891807705"," 0.002820671"," 0.569095945","-0.237007436","-0.194800685","-0.093867813"," 0.205377874","-0.649316019"," 0.828770687"," 0.036625483"," 0.337205154"," 0.485815510"," 0.928407567"," 0.688121733"," 0.072105762"," 0.040917999"," 0.744005035","-0.085372825"," 0.020049039","-0.430828222","-0.495202647","-0.125288839","-2.742974634","-0.233128316","-0.496705585","-0.744169063"," 0.485039490"
"M256.263T1575.098","-0.052511929"," 0.181240870"," 0.195065878"," 0.005957551"," 0.159952770"," 0.162917902","-0.054433828"," 0.090257392"," 0.063942582"," 0.066588192","-2.450607460"," 0.275414429"," 0.236161708"," 0.177489270"," 0.174592360"," 0.143064713"," 0.089730255"," 0.040189385"," 0.042999779"," 0.098018385","-0.051168871"," 0.018629278"," 0.152613797"," 0.220919586","-0.033445731","-0.043663892","-0.419698940"," 0.194828169"," 0.079170186"," 0.235786216"
"M469.421T1591.154","-0.021489808"," 0.270908338","-0.085411298"," 0.006745081","-0.006981604","-0.035608672"," 0.423702851","-0.067026648"," 0.030871455"," 0.024618351","-1.401438106","-0.011648465"," 0.074403654","-0.117419732"," 0.003697938"," 0.049290939","-0.050982934"," 0.076599356","-0.150109599"," 0.027581298"," 0.493522357"," 0.031048897","-0.134753864"," 0.187916199"," 0.165571323","-0.097924078","-0.067005447"," 0.094731744"," 0.135014638"," 0.151575835"
"M693.468T1473.286","-0.40999450"," 0.70658825"," 0.94042742","-0.33928576","-0.21006313","-0.16781510","-0.46225810","-0.42280022"," 0.59433322","-0.22269115","-0.27930893","-0.02529315","-0.65325357","-0.40126883","-0.68413955"," 0.45723503","-0.18225962","-0.36527776","-0.19846601"," 1.59935337","-0.23066880","-0.10709710","-0.27080594","-0.11329012"," 0.46508238"," 1.10401019","-0.41900643","-0.25818419","-0.35370975"," 0.90990785"
"M257.959T60.451"," 0.04973196"," 0.22289886"," 0.11708022","-0.50508493"," 0.01587368"," 0.13642909"," 0.01074969"," 0.11740349"," 0.15141473"," 0.05293792","-0.12472418"," 0.11078785","-0.48994131"," 0.01773083"," 0.05956738","-0.41391578","-0.02840871"," 0.30936806"," 0.16669770","-0.22808286"," 0.11128651"," 0.02395844","-0.03455888"," 0.05610962","-0.11700825","-0.11211382"," 0.12243810"," 0.19481481"," 0.26897687","-0.26241709"
"M823.518T1283.896","-0.006728427"," 0.158110560"," 0.208865844"," 0.303306360"," 0.335823373"," 0.052353041","-0.105821168","-0.026611596"," 0.036383665"," 0.178032456"," 0.358184073","-0.361968508"," 0.087636856"," 0.259855112","-0.551615789","-0.087864854"," 0.058519871","-0.139772170","-0.011005792"," 0.068293548"," 0.217432964","-0.231758584"," 0.143702835"," 0.023155320"," 0.367510751","-1.857455727"," 0.276900406","-0.042261334"," 0.034774106"," 0.254022810"
"M673.587T1576.856","-0.18966644"," 0.27774051"," 0.93726500"," 0.09465017"," 0.34927669"," 0.26069175"," 0.16190647","-0.41209373"," 0.45888096","-0.06375408","-0.06323623"," 0.22973005","-2.28935064","-0.62198824","-0.46996496"," 0.52796077"," 0.23615970","-0.31012278","-0.19715051"," 0.87786262"," 0.14972190"," 0.03906118"," 0.25909397","-0.30358072","-0.16002416"," 0.96269874","-0.52473406","-0.14946461","-0.49759799"," 0.43002866"
"M423.265T1220.872"," 1.033429885"," 0.098717528","-0.314251649","-0.244228244","-0.745950254"," 0.108962039"," 0.161188089"," 0.353092135"," 0.579261464"," 0.360562728","-0.159232686"," 0.792218512","-0.184308907"," 0.992341067"," 1.045145715","-0.000814902","-0.256125535"," 0.185580487","-0.165921681"," 0.076384208","-0.134602837"," 0.349023315","-0.918995953","-0.494361792","-0.194520873","-1.345362772","-0.135548867","-0.671838471","-0.138479948","-0.031361802"
