"",F.stat,p.value,-log10(p),FDR
M430.319T1390.137,3.5068,0.04427,1.3539,0.43343
M547.402T1437.709,3.4994,0.04453,1.3513,0.43344
M297.239T1269.605,3.4924,0.044777,1.3489,0.43344
M672.553T1440.036,3.486,0.045006,1.3467,0.43344
M535.375T1490.352,3.4854,0.045028,1.3465,0.43344
M557.47T1591.049,3.4649,0.045767,1.3394,0.43705
M385.289T1269.605,3.4631,0.045833,1.3388,0.43705
M544.447T1588.441,3.4592,0.045975,1.3375,0.43705
M719.539T1371.072,3.4501,0.046311,1.3343,0.43843
M621.422T1439.586,3.4261,0.047203,1.326,0.44498
M449.347T1490.033,3.4189,0.047476,1.3235,0.44498
M592.476T1352.626,3.4095,0.047835,1.3203,0.44498
M423.273T1204.064,3.3992,0.048229,1.3167,0.44498
M305.242T1373.292,3.3931,0.048466,1.3146,0.44498
M341.269T1269.605,3.3897,0.048596,1.3134,0.44498
M649.479T1423.325,3.3879,0.048669,1.3127,0.44498
M574.468T1330.445,3.3874,0.048688,1.3126,0.44498
M537.533T1295.888,3.3857,0.048751,1.312,0.44498
M576.484T1473.551,3.3451,0.050364,1.2979,0.45787
M886.58T1457.506,3.3358,0.050741,1.2946,0.45948
M623.428T1423.013,3.3202,0.051378,1.2892,0.46341
M547.387T1389.173,3.303,0.052093,1.2832,0.46802
M723.497T1490.314,3.2978,0.052312,1.2814,0.46815
M405.264T1204.461,3.2776,0.05317,1.2743,0.47369
M576.484T1557.453,3.2735,0.053345,1.2729,0.47369
M298.885T1775.701,3.2526,0.05425,1.2656,0.47987
M543.444T1574.274,3.2381,0.054889,1.2605,0.48366
M589.459T1264.044,3.2262,0.055418,1.2563,0.48569
M535.409T1440.116,3.2234,0.055543,1.2554,0.48569
M650.482T1423.013,3.2179,0.05579,1.2534,0.48598
M617.489T1624.961,3.1939,0.056883,1.245,0.49256
M312.106T122.685,3.1919,0.056974,1.2443,0.49256
M589.501T1621.712,3.1738,0.057813,1.238,0.49793
M423.273T1190.664,3.1592,0.058503,1.2328,0.50042
M654.541T1386.472,3.1584,0.058539,1.2326,0.50042
M367.15T410.425,3.1341,0.059704,1.224,0.50848
M917.578T1423.395,3.1028,0.061245,1.2129,0.513
M481.362T1591.564,3.0999,0.061388,1.2119,0.513
M641.443T1389.187,3.0999,0.06139,1.2119,0.513
M477.403T1542.988,3.0948,0.061644,1.2101,0.513
M855.591T1523.593,3.0932,0.061725,1.2095,0.513
M513.351T1439.707,3.0925,0.061756,1.2093,0.513
M577.494T1463.866,3.0885,0.061959,1.2079,0.513
M617.506T1594.034,3.0832,0.062226,1.206,0.513
M903.587T1358.969,3.0764,0.062574,1.2036,0.513
M792.472T1524.351,3.0753,0.062629,1.2032,0.513
M621.422T1335.803,3.0672,0.063045,1.2003,0.513
M659.418T1406.262,3.0655,0.063131,1.1998,0.513
M461.356T1493.495,3.0587,0.063484,1.1973,0.513
M353.341T1280.542,3.0539,0.063732,1.1956,0.513
