"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","BLANK.2","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","C12.1","C12.3","C12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","F15.1","F15.2","F15.3","F15.4","D15.1","D15.2","D15.3","D15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point","Third_Time-point"
"M514.252T1322.055","158562.223","148904.296","200739.937","179809.083","245187.564","204248.172","191000","245000","246253.841","232221.293","117957.411","149655.587","152433.188","250000","113120.797","10206.8693","6345.8542","134173.5863","158000","142481.275","113219.833","208000","156862.533","172000","165000","152241.644","9811.7599","180922.944","6666.8994","168601.71","207064.89","207112.303","200935.149","209000","162466.278","221849.024","176529.07","131094.829","12857.5657","117000","8542.6932","125392.705","7625.5789","115387.072","8163.0836","3459.0064","101429.457","133000","142244.7615","163238.952"
"M863.507T1099.137","148347.176","150873.359","157550.161","226768.923","212308.72","162632.067","164000","154000","138341.884","183433.574","215666.027","106298.118","105693.898","169000","102716.764","443.47618","5064.7704","115178.2715","152000","128621.196","98624","148000","188042.818","105000","134000","114056.056","2293.4336","133947.364","3964.801","231516.366","244318.158","110133.911","137102.277","199000","119323.912","190446.927","135883.136","108807.727","4170.1788","89700","2983.6721","91703.274","443.47618","45189.903","2217.3809","6726.0909","88249.856","143000","60594.3596","145507.059"
"M775.529T1416.7","388895.54","406240.881","463947.085","353579.054","445282.209","388020.78","377000","379000","403777.426","460757.244","194959.045","346028.673","425749.263","309000","159038.269","70685.6445","83252.8408","391284.0145","363000","399655.141","424261.686","342000","597059.218","408000","339000","341410.003","69289.9546","354971.918","75803.8158","380067.715","415817.646","391129.134","565393.227","481000","506880.824","419948.298","460889.56","498122.262","68354.5426","308000","78962.1827","483976.591","59579.0986","243810.954","61178.6491","170250.4548","171362.812","335000","316727.5095","438515.887"
"M645.449T1440.08","234080.431","190238.991","268377.593","330183.158","381250.344","238531.394","237000","399000","306011.529","257343.856","272827.835","197460.399","236097.973","265000","193560.581","55213.1872","74690.997","282226.8658","348000","345333.269","402583.819","443000","381313.812","304000","611000","405101.884","53196.541","368598.9","109757.4188","315212.093","414807.714","563561.368","390197.045","413000","248302.994","310516.086","302932.469","247714.57","93751.1987","148000","59899.7697","218254.796","82025.898","397886.882","94648.4018","83074.6772","346863.724","434000","307828.5292","424624.13"
"M937.594T1308.231","86978.223","99490.176","150462.418","116012.239","148715.916","146530.789","77800","88900","91209.223","95006.108","161147.79","83962.722","89579.952","65000","54114.389","5764.6155","2149.6466","98085.649","108000","90341.215","122478.139","103000","202172.217","105000","91300","118375.764","2284.7134","86680.399","10077.5151","76491.293","147058.63","123830.783","187331.071","139000","174917.869","112692.29","109143.68","152400.608","2330.2985","105000","7534.2869","120978.818","2126.7729","79667.119","5572.4592","11815.6504","324937.09","137000","114117.3272","97659.007"
"M826.525T1272.551","197050.998","187148.496","247545.772","287599.789","343034.67","236716.984","183000","182000","171162.726","164217.88","260692.728","165136.663","211388.321","209000","103430.246","11093.9976","7183.0726","193312.8091","227000","202042.099","208441.331","216000","273540.371","190000","255000","152546.934","15731.4794","239710.837","8280.4285","158680.494","265312.719","222598.808","260079.198","225000","185842.601","137930.313","134765.415","220468.633","18434.2172","81300","13876.2289","144001.204","7055.725","156907.792","8461.0488","17605.4546","128445.189","174000","115721.2667","160526.247"
"M333.203T1120.498","778399.589","584323.301","463497.491","390259.448","341110.452","726619.628","739000","1120000","776299.267","832235.821","304007.226","1560578.43","625927.902","811000","573329.176","44665.535","39243.4929","911729.375","6e+05","953787.346","1026358.976","852000","1320047.277","719000","217000","424316.678","45313.882","418300.892","49483.1453","878891.789","506419.766","327908.797","1199383.855","918000","1818988.917","1396189.658","1005415.081","842564.426","25326.3799","540000","23264.6117","1096196.605","26304.2234","358048.639","32256.4025","40457.6776","734786.077","1120000","2174427.449","666544.008"
"M618.492T1624.789","60177.542","61529.997","81559.233","99251.195","190016.366","97308.513","130000","142000","96533.401","74302.622","52560.788","92143.759","119404.286","67200","40318.057","48673.0678","56998.3487","137223.9275","134000","129062.144","128297.163","123000","151873.744","122000","163000","143552.872","43068.2222","214683.51","50694.5957","70032.295","106798.057","157368.423","121387.96","145000","77505.059","82921.404","80531.304","95221.536","48763.4212","73900","32298.4821","94401.792","25826.5903","163012.248","30009.2971","63438.7514","139241.929","117000","118886.1469","126673.626"
"M590.444T1439.586","132809.321","198782.059","216923.796","216439.274","217979.584","227350.721","175000","233000","157701.886","190919.518","225592.335","189544.094","183697.196","132000","157301.328","155223.4575","188296.5711","222279.6478","228000","206715.748","283317.342","238000","224270.193","174000","244000","260850.421","148520.9685","252713.689","169662.3139","158139.977","239543.606","265990.294","242178.208","265000","240613.982","187868.665","220789.858","211736.973","116457.3244","95800","111353.7963","192353.736","138744.9704","292810.085","137208.0932","206817.9613","258804.523","266000","233332.8017","268908.409"
"M839.557T1356.291","100680.253","108431.933","100105.16","121694.67","127709.487","98646.243","78000","109000","106661.064","102967.463","47734.854","80578.566","88187.626","107000","73498.934","49274.0827","28723.1933","97468.5591","89500","82199.115","83608.592","98800","102321.515","85800","96400","100588.96","34746.5088","120249.216","46984.5539","94388.706","133440.453","130056.54","107321.499","123000","90800.896","96895.635","122858.788","95427.638","30708.2463","68100","36719.5792","75487.472","52281.5373","90603.524","37322.4394","30279.6323","93849.386","78200","69234.5078","80949.408"
"M558.473T1423.364","83867.69","216542.577","118329.232","152624.388","198517.525","172359.787","99500","231000","105199.54","93127.702","71707.244","113167.474","175049.201","72800","52711.294","34517.7234","32031.2079","136550.5474","229000","141890.765","204641.705","296000","226595.748","172000","171000","219660.511","25963.4088","127695.68","18245.085","118621.263","164592.407","243947.35","195183.969","168000","111517.451","124329.202","107476.922","111135.964","68127.3913","43100","19588.353","115583.994","5680.8468","174811.252","50935.4004","26848.0733","153774.3","153000","177110.9585","160241.739"
"M986.572T1421.54","139818.512","116745.938","158548.093","158471.31","196990.342","168043.661","161000","152000","166318.559","156580.097","104300.579","119448.327","136662.432","149000","56995.612","4726.5981","10413.3237","123391.0838","138000","113642.417","122224.879","173000","168593.354","135000","153000","122049.915","440.09788","190114.124","12101.6673","174445.106","173855.908","183391.393","170723.086","188000","157892.549","152610.623","163182.03","122247.056","7173.2327","80800","4856.8947","108510.069","3107.9323","106875.724","2200.4894","15323.3543","115972.623","131000","176272.1691","172040.193"
"M933.56T1145.906","584443.897","319739.329","379525.141","326823.591","441713.455","428089.003","520000","572000","651814.619","501934.373","673552.433","333249.776","301598.24","552000","230865.252","4234.0477","2314.3638","383345.0872","353000","352371.808","407986.624","373000","621262.333","388000","238000","288726.519","7884.4913","485400.795","376.67826","795675.273","507421.788","285248.039","493103.123","475000","459000.619","562075.421","464447.668","412185.279","2223.8436","195000","1883.3913","294888.27","376.67826","272901.276","376.67826","4578.2381","337390.409","454000","308725.916","370857.556"
"M933.558T1114.912","601578.762","343261.815","409829.641","371733.653","480840.523","442460.088","542000","604000","664955.189","524673.167","771165.453","359023.105","323280.108","611000","242288.857","8273.3648","9022.7302","405097.2529","379000","366461.666","426648.164","420000","645051.09","413000","264000","297593.867","14985.1433","507464.75","4615.6379","818206.384","531349.886","307166.673","499303.037","490000","480257.633","572214.856","485309.604","430005.83","6621.3818","223000","3357.3484","315941.595","2599.9469","280995.592","519.98938","9189.1435","329949.139","486000","330930.5104","388860.929"
"M987.596T1238.129","200898.904","157752.03","270307.224","236254.974","291701.283","292582.509","210000","223000","192897.719","230968.422","92644.37","197838.179","175994.131","256000","117182.227","449.9177","2249.5885","168526.8838","194000","182785.407","170122.177","214000","216131.38","174000","214000","183344.735","5543.3447","275032.325","4545.6132","190910.758","238713.67","223192.866","254320.502","318000","160608.033","261730.864","212515.391","161823.177","2560.5975","48800","449.9177","174475.571","449.9177","112301.707","7355.2211","2294.9177","100665.581","135000","151974.3165","201273.926"
"M773.52T1456.872","2084320.678","2055456.248","2344304.588","1884914.854","2036380.633","1944543.543","1800000","1930000","1988374.267","2313859.824","653096.131","1510636.736","2237075.319","1530000","666298.582","35845.6291","37950.6152","1807221.067","1840000","1903000.359","2058676.51","1710000","3144292.38","1930000","1580000","1919705.084","58506.2745","1825729.557","29019.2047","1934410.57","2096871.526","1976733.073","3109221.806","2720000","2697347.746","2135063.263","2579135.953","2809202.599","54647.585","1310000","25995.9943","2260133.379","63790.3667","872905.802","29497.7642","52674.422","1600579.612","1610000","1267133.521","2426186.659"
"M642.504T1347.309","46204.498","41486.339","51708.036","58643.717","68134.923","31952.416","79900","75500","63246.3","74562.915","90959.174","89198.203","56166.303","63700","46805.163","24702.2634","26967.5882","141808.3791","66300","59230.807","78386.328","119000","61704.218","76400","59400","75717.479","21025.6374","148761.847","119015.5057","86783.699","109528.833","76259.862","82184.527","57200","55536.452","71551.571","55904.875","59216.331","41271.2039","58300","31096.5702","49084.513","22673.5332","93146.769","32507.3564","76483.249","139790.735","185000","84943.5034","73905.855"
"M773.519T1472.663","2104538.436","2061598.605","2350033.575","1904158.965","2049638.748","1956731.779","1830000","1930000","2014483.582","2316449.118","630526.08","1518132.174","2239531.183","1520000","677312.004","38502.7007","44725.8588","1816313.77","1850000","1911381.96","2075880.84","1720000","3165061.812","1940000","1590000","1926191.91","59584.4698","1840600.942","40377.4251","1931341.425","2105525.342","1989492.459","3124527.211","2740000","2706004.407","2139018.397","2600230.441","2820180.355","51867.8294","1330000","33504.675","2262968.445","70175.5726","888354.984","40215.5377","70634.3477","1567746.996","1600000","1276514.641","2436091.818"
"M773.52T1405.986","2076275.946","2049383.576","2336936.539","1873921.925","2059572.598","1938207.757","1810000","1900000","1989782.336","2307777.771","616211.469","1504341.299","2235531.821","1510000","660454.523","35893.7096","37956.4762","1805694.395","1830000","1888409.796","2048675.31","1700000","3134850.382","1930000","1580000","1914962.014","54507.3408","1824920.574","33546.6392","1900683.908","2085451.462","1966673.359","3094351.275","2720000","2691001.597","2127534.85","2573159.81","2802492.092","49405.3704","1310000","26040.8381","2249999.016","63750.1152","873129.392","29527.551","52681.3716","1543547.984","1580000","1260751.531","2424329.647"
"M631.469T1456.902","226707.84","215183.798","295454.633","518960.103","654613.487","350804.319","385000","856000","380521.18","348602.86","139844.073","241370.604","348764.909","268000","125125.237","48263.5665","49344.3267","497587.3269","594000","487627.277","663988.702","801000","534998","511000","873000","721518.218","74941.7301","873370.643","92494.6564","464176.656","655006.154","901839.961","551744.529","688000","301497.313","499354.427","478183.845","363563.421","70915.1689","127000","67117.5629","345412.326","47251.1599","751066.943","47773.5433","65511.6105","307970.644","357000","580550.6752","684128.316"
"M660.517T1313.696","35402.739","39016.802","37325.468","44467.974","72545.683","48152.751","56600","88300","61029.866","54860.282","100206.98","55242.736","43322.679","39000","39299.021","7983.8145","14552.2628","81167.327","69600","68236.963","123896.851","117000","73679.805","87300","162000","122750.858","18375.7526","92065.949","24717.3904","66408.535","92042.047","126300.09","70727.124","77900","54985.882","76649.695","84210.351","47719.2","8808.9146","54700","17912.4799","68767.437","14965.1478","147582.229","17101.457","20908.2363","207582.169","211000","71383.0744","82392.171"
"M979.612T1358.969","56782.587","43956.903","49487.067","54671.398","76700.293","76812.971","82600","54300","72761.12","63107.822","51702.907","70585.826","61247.282","42700","28017.635","2707.505","2991.5653","54019.8866","60700","59385.877","59172.113","73400","135287.092","46300","45600","53375.921","541.501","67961.555","13289.0352","65399.091","64502.974","57923.606","88187.144","74300","72994.681","60075.568","65081.285","73222.077","541.501","95300","8394.7687","64294.485","541.501","42897.151","5442.857","18645.0932","246779.11","70200","64744.822","82631.657"
"M680.472T1423.013","175767.308","142552.899","185240.909","222884.224","209501.29","175920.028","172000","228000","213268.776","198528.958","263077.829","165877.664","144376.374","158000","129730.531","179132.7175","188435.8484","315550.1938","314000","260844.883","411053.291","417000","224057.374","310000","435000","312137.98","167928.088","825295.793","204339.1353","216180.603","283440.522","522751.53","330049.77","265000","261642.604","248439.301","249771.597","174648.69","154693.5016","141000","151160.7305","225834.448","157578.2974","765885.843","148466.2272","728821.7595","388238.23","505000","293675.9492","249662.721"
"M333.204T1139.313","783191.85","595272.499","468772.807","407131.594","350909.206","743276.47","727000","1140000","783990.572","837026.288","152692.267","1572283.698","627537.521","817000","577521.432","43067.6161","44745.0936","1064072.63","612000","967956.439","1040678.592","867000","1331702.843","729000","223000","434479.489","48615.3538","428882.683","53284.0486","890901.701","512381.767","343250.332","1210084.484","921000","1827980.911","1405068.978","992182.706","850635.214","25394.9509","547000","20821.2286","1114595.684","28394.6868","357506.748","31791.159","47781.7141","727682.178","1180000","2182197.565","686665.506"
"M664.46T1406.422","348841.854","268826.213","293169.753","358484.893","430272.767","276935.854","382000","457000","404788.252","385542.029","328010.539","316705.452","288811.717","347000","299705.074","196331.3881","243710.1791","461769.6947","456000","516366.776","604753.851","571000","463137.173","506000","654000","473294.015","206332.7993","1910512.013","328059.533","473582.207","510589.464","810051.779","464022.498","513000","356586.65","447557.009","450669.83","432276.065","264513.8642","378000","260799.6073","296861.403","271773.2397","2676717.454","240091.8496","1106878.135","508239.321","727000","512030.0709","598452.092"
"M986.584T1323.28","136448.056","107922.634","153328.499","153748.291","190784.099","152678.445","152000","148000","154030.983","148240.194","102683.414","112308.664","123866.912","143000","54518.234","2339.8867","6788.0055","117185.3284","138000","106200.32","119368.16","167000","143724.997","127000","149000","113126.604","439.3655","187817.212","4621.4644","168250.786","172493.663","174160.951","161527.753","174000","144558.915","146959.688","156244.998","118119.01","4946.5444","69200","439.3655","99007.521","3108.7001","97274.845","2196.8275","2729.9701","97744.774","121000","172055.1691","152983.282"
"M676.511T1297.075","17974.342","25797.652","22359.729","15736.142","33257.359","36729.575","19400","33000","14088.982","26285.257","81859.109","20775.438","15920.855","16500","9226.026","2095.4967","6010.5916","37086.7131","24900","23186.833","67400.529","36800","19852.666","38300","60100","20548.473","5106.6545","38955.662","5555.7495","32413.145","40068.487","57847.696","41062.845","28200","23730.136","36496.961","33611.614","27150.183","11219.46","8780","2161.9814","11455.254","5331.1569","30698.099","8940.9798","9977.0581","149375.765","132000","26871.6278","28436.218"
"M607.446T1439.489","234156.172","198999.519","211963.752","285098.801","397864.749","263255.042","288000","407000","242239.934","270041.815","402328.448","201733.6","266478.526","223000","138348.923","73514.275","75723.682","287267.4012","375000","320024.093","375163.454","368000","254329.264","291000","332000","383317.72","102344.2169","398187.129","75811.6065","251373.552","405309.278","577548.814","337345.932","328000","230481.427","285165.072","281485.046","242143.408","163217.739","126000","79018.3857","215890.691","121941.9438","370064.954","81348.6719","88458.4616","374801.408","517000","392392.3076","311441.916"
"M770.485T1321.424","127158.32","155280.527","192317.84","207089.435","248619.128","219889.558","185000","2e+05","162334.286","197188.124","156924.071","177253.514","131934.815","171000","96291.264","34080.7907","35538.6936","204671.1457","169000","123239.974","120063.846","237000","205505.86","115000","189000","132669.324","34923.9589","263315.982","36552.3456","186650.913","184901.828","197609.647","182430.872","293000","138018.201","154721.484","171198.197","195610.494","30174.4722","76600","72134.0845","115106.998","22394.1574","127278.493","18058.0511","47543.9558","116289.532","147000","148536.6828","222336.721"
"M650.482T1423.013","340266.988","310296.551","283073.114","445581.608","676185.478","327293.039","387000","714000","438644.683","374251.91","358048.248","282242.866","273756.459","321000","183439.52","59028.6388","95408.525","512193.058","591000","604426.906","797215.238","757000","584496.861","693000","857000","732034.373","83191.8336","789115.638","59795.6055","436110.829","665066.158","974451.509","537692.013","635000","377870.847","480654.686","507539.552","395269.276","342495.387","178000","454682.1865","365050.867","84375.5945","867418.919","163033.5827","55813.3035","891809.863","994000","630827.8526","660225.593"
"M592.477T1456.705","97229.172","94563.616","79875.848","157000.529","218048.608","111672.681","120000","232000","132641.822","98806.175","137065.8","115648.063","123184.799","90300","43260.707","35285.4633","36834.8188","167733.8953","195000","162959.726","213969.267","246000","179892.666","189000","3e+05","235415.74","40815.9744","265748.214","53174.349","130126.02","189866.643","304077.37","160373.563","214000","96870.852","142100.64","177708.151","142153.905","55440.8072","60900","45197.876","138015.2","31375.2966","272393.215","32022.5047","77048.2081","286809.977","263000","192106.8872","203952.746"
"M863.512T1152.355","218603.92","266693.893","230817.855","329151.319","288094.446","223449.566","205000","187000","177758.627","239452.849","255359.071","148565.326","171706.889","247000","134452.733","2076.6685","5064.8285","165311.4805","206000","183308.742","134634.463","204000","266353.921","140000","185000","156243.268","2330.3044","203577.51","4114.7148","267707.09","307252.632","148202.423","183223.902","273000","176394.595","234295.465","201930.488","175832.6","2059.5411","134000","4971.8347","127844.913","411.90822","84902.323","2219.2419","6784.6094","86092.805","162000","72978.3108","223332.65"
"M333.203T1105.19","770027.691","580011.718","463497.491","386901.342","338061.047","722832.118","736000","1120000","765155.665","832552.383","173711.073","1557955.504","619523.371","806000","561314.664","42142.9651","39243.6255","1040071.957","597000","950375.47","1018458.06","784000","1316969.382","707000","212000","421131.673","45313.882","412209.107","46228.5681","865138.966","494976.912","323495.04","1195892.445","910000","1814522.059","1326574.399","975510.127","833973.169","20826.1628","482000","20031.3432","1091899.903","26304.958","349971.073","27069.7347","40457.6776","698765.792","1090000","2160005.233","701053.339"
"M393.189T1440.567","160736.312","199225.146","187169.771","178459.375","187066.256","184456.854","170000","221000","179865.422","232243.594","195422.843","181845.857","181046.91","177000","170384.66","159076.3606","143534.668","157167.9668","168000","161297.751","157820.758","165000","174654.81","156000","175000","170158.796","163621.3769","179369.326","146768.0189","169388.244","155747.588","179523.573","184871.039","196000","168126.499","205917.532","163490.104","168985.869","150580.2351","184000","155738.8502","161656.275","148544.646","175656.983","180242.4811","154901.9111","173337.612","201000","181203.684","204264.438"
"M512.261T1189.341","275181.61","250317.805","354380.194","352579.982","383475.737","363470.48","242000","384000","269802.651","339599.514","218085.389","209006.691","367672.031","285000","172623.919","19402.7073","23218.8488","259006.3886","274000","232985.549","288040.388","316000","497001.818","240000","332000","237441.516","24626.0201","346902.719","52701.0232","327698.723","319219.749","345238.905","410626.731","306000","363705.541","286042.694","276899.991","322223.911","38194.5524","152000","19255.644","269936.849","22783.0107","189868.524","34681.1791","13584.7734","159759.971","223000","166780.9359","259804.916"
"M646.454T1406.122","113801.711","114922.169","132360.101","172188.241","179556.293","140785.988","130000","148000","151389.856","137098.82","110166.029","103748.03","124009.502","129000","86664.935","35919.0036","33031.3806","171541.3959","177000","165990.514","203242.716","221000","191192.197","165000","282000","176522.428","35289.4391","191527.741","58082.9273","152291.422","225935.721","236041.248","209219.857","206000","129481.156","163916.05","148126.16","120819.674","42146.7339","86000","42746.1745","134714.37","33038.739","220227.259","65477.6031","49877.0358","145200.312","223000","152108.4765","183152.841"
"M555.368T1312.999","82506.53","106351.286","80121.318","86498.295","133427.176","82943.332","92500","151000","103564.483","70503.418","191083.677","69822.892","82468.588","80000","53571.709","22547.4481","20760.1292","141023.1728","122000","121783.313","220667.387","191000","137284.764","131000","164000","151775.371","20557.6674","141805.885","53369.2064","122999.639","181852.733","193618.525","129958.661","165000","101554.405","115023.368","130313.116","98630.098","34521.2984","54500","23494.9196","101458.112","13440.1069","164181.614","25909.4697","26869.3538","164829.693","359000","151686.5533","127898.637"
"M512.262T1169.348","227009.821","257146.344","320183.485","334125.562","416000.631","352706.225","315000","302000","355266.53","280642.363","327201.728","227727.536","293292.216","243000","185752.73","18801.1363","23218.5189","261472.1572","288000","245780.976","289348.663","376000","412642.986","257000","307000","242262.278","21144.0527","354518.205","49991.9395","407866.249","412325.872","281887.853","382362.127","316000","308308.984","259426.234","282544.744","268527.985","36264.2574","119000","17454.6668","274052.739","25181.5888","198454.725","35466.5095","12677.8672","184679.837","269000","200821.6091","263829.614"
"M967.561T1163.004","211242.669","141032.064","146250.004","173661.616","180811.355","167892.464","148000","175000","166955.723","169572.932","361447.017","163262.082","161671.764","268000","163320.754","6898.0165","4628.8028","140100.3832","131000","165574.039","171296.942","166000","187203.781","183000","99300","128309.908","7610.4028","170005.438","3883.5978","202208.769","296922.666","111215.397","182798.991","166000","160712.992","154945.7","144347.371","142091.805","2718.5195","106000","3284.6298","135238.329","5638.4218","89981.348","5699.3477","4771.308","154373.473","172000","142308.7315","132794.873"
"M629.464T1456.367","271501.552","218285.282","243750.795","284508.772","347188.603","247096.352","264000","4e+05","294823.954","237864.279","302190.392","192275.766","287046.157","246000","148915.106","116569.8706","90429.305","304003.377","325000","298773.943","337661.667","341000","344133.568","290000","462000","363209.301","100140.6145","420063.859","156744.2698","286333.224","305526.038","399494.738","322401.825","361000","260640.758","299887.853","261239.975","255127.185","214576.8871","154000","99855.8951","225635.185","74410.7199","346564.025","78439.1796","132782.8352","301644.275","351000","272317.2084","350417.866"
"M565.397T1373.252","112856.133","120046.045","124403.533","227952.812","268845.073","144931.782","142000","194000","198475.054","123206.041","226862.322","121985.962","110913.059","103000","95990.069","74775.4815","57224.3169","224974.0115","237000","178784.636","239544.61","269000","163876.848","209000","407000","192171.701","61528.7534","829810.716","1014321.921","151501.556","204229.998","335853.273","194091.019","355000","142918.984","142312.897","163200.059","139514.307","60395.6091","81200","62399.8248","127126.02","63123.5934","1269337.67","62072.2113","270463.512","240197.806","335000","229834.8688","536122.804"
"M293.211T1204.461","371920.561","360909.193","237800.171","260630.139","175151.158","477507.292","375000","622000","362294.758","519122.978","186390.273","593278.834","292344.7","362000","278744.208","26529.8445","30355.0979","416076.3558","316000","362998.769","416931.429","404000","639075.758","310000","127000","242593.902","25419.9385","252635.16","42250.921","439373.719","300588.127","152078.386","584695.809","509000","859706.177","741534.932","519528.31","433260.94","41368.3828","276000","25634.3403","634996.111","42272.3464","163432.71","40702.6285","27446.5178","288799.012","651000","789944.3171","344957.424"
"M571.45T1291.55","125588.277","130269.352","141946.121","155613.907","153911.824","120401.937","131000","199000","112395.035","161427.066","245953.876","142535.089","131023.862","95700","88028.908","112629.0705","119691.7336","152621.6951","168000","163525.899","199714.837","205000","217070.778","179000","203000","165736.839","143389.5715","130818.577","75059.5896","146915.654","195695.142","259107.963","204128.626","157000","231287.679","188011.635","164911.19","131182.648","52620.3075","103000","41562.7624","194004.362","68484.5511","200797.273","41145.8192","105546.7689","239532.202","318000","360741.0102","150613.103"
"M993.569T1356.685","299193.255","192009.982","305615.229","255714.028","349535.824","310836.198","321000","318000","346803.683","308783.538","108896.937","228460.183","225345.124","364000","138980.071","4603.41","419.68534","216454.4405","254000","207649.023","216700.343","313000","303995.604","239000","240000","192626.978","3626.3584","376712.672","5529.9915","213210.211","287441.986","270145.754","332967.011","388000","254489.276","300466.889","316554.478","169165.614","2098.4267","142000","419.68534","201909.164","4321.25","198362.335","419.68534","4458.1202","163048.432","196000","177703.9155","283697.855"
"M729.452T1207.169","147589.232","89273.147","109626.834","135832.745","145419.342","125041.496","95400","127000","136900.68","106498.347","212122.15","77433.54","95241.01","115000","73537.277","68216.2332","24528.3316","167916.8168","153000","150422.372","279553.659","239000","180907.12","146000","180000","116950.983","21761.1563","161983.675","16324.1009","211739.492","194121.525","264562.845","171045.123","188000","203738.356","189111.913","290290.377","130582.855","12618.386","87200","18462.9922","100999.917","17787.0461","231768.228","11789.8827","9038.9847","209976.516","381000","134271.7097","196953.221"
"M949.6T1341.992","336084.408","191412.293","227585.7","322593.643","430309.299","309911.001","372000","339000","375408.57","367363.483","27340.45","182444.753","322911.396","346000","167294.695","466.01376","466.01376","370532.1361","152000","401430.167","395228.699","310000","447523.043","379000","220000","318019.795","7289.2383","324964.844","22618.4126","372582.08","132220.732","282826.715","350132.153","448000","367926.615","272831.255","411684.712","345070.603","4699.7654","201000","4772.4056","293721.236","2330.0688","181733.323","2601.0811","20276.8729","206267.497","73600","221729.165","345582.185"
"M723.451T1338.726","90460.061","82864.155","68261.833","77899.148","79687.002","68568.408","68700","86600","80455.21","73056.373","99022.309","73316.049","74073.124","77400","53799.081","28518.6417","30947.2261","74737.8557","67900","94428.964","76442.197","93500","88159.467","89400","74000","65441.365","21229.2441","84522.498","29202.9232","91674.641","71844.992","85048.769","85374.189","82500","91937","84432.576","70141.088","49468.958","22868.7199","53700","27025.9808","67100.743","27666.4361","57814.94","9280.3268","22014.5169","99063.848","118000","72972.2237","72745.359"
"M986.593T1340.539","136559.231","107922.634","153418.421","153748.291","178961.811","152678.445","152000","148000","154030.983","148240.194","102683.414","112308.664","123866.912","143000","54518.234","2339.8867","6788.0055","117185.3284","138000","106200.32","119368.16","167000","150487.928","127000","149000","115655.935","439.3655","187817.212","4621.4644","168250.786","172493.663","174160.951","161527.753","174000","144558.915","146959.688","156244.998","118119.01","4946.5444","69200","2441.6742","99007.521","3108.7001","97274.845","2196.8275","2729.9701","97744.774","121000","172055.1691","152983.282"
"M393.201T1439.586","169835.703","219938.409","205856.207","189718.582","205799.93","208780.555","184000","229000","189228.601","244420.634","224447.12","196446.835","193106.79","215000","179331.21","171468.9461","159260.6551","168555.9787","186000","166576.385","167531.986","186000","190376.686","169000","187000","186685.842","171569.1741","202371.651","159576.6627","184458.477","174850.838","172815.966","206267.901","237000","184070.834","216701.003","202577.965","186662.415","156835.113","190000","159649.3916","164826.321","169393.2139","193857.514","183441.2551","166673.5189","227629.179","235000","190523.012","218103.377"
"M973.671T1456.538","5571.708","10219.846","512.74394","3366.879","9002.639","23916.515","10500","35800","44077.255","9927.341","9588.756","20661.159","5953.792","16400","17354.151","2563.7197","512.74394","28672.5605","21500","30474.625","41603.399","79000","18224.735","4790","11900","15656.705","7928.1754","13831.895","28320.4185","32121.705","512.74394","31477.965","64369.675","56300","98810.741","80973.872","45727.677","9292.92","12219.3062","35900","7803.6782","31364.443","7985.4325","25811.142","7700.2656","18745.8935","51252.206","46900","69168.7654","41027.499"
"M293.21T1109.944","448785.613","415314.764","294189.665","293892.974","197129.467","527110.368","437000","705000","440288.246","570013.8","286118.368","726561.194","338253.343","470000","340270.506","21254.6899","24624.8438","483615.8099","381000","431775.661","480136.731","473000","714792.939","357000","151000","301529.213","22942.1751","273903.991","33054.7489","531284.566","357007.206","166017.094","672283.889","537000","951797.715","807510.564","561834.282","474921.338","27250.3704","415000","15066.245","728154.405","27134.6336","204932.741","19023.2603","16584.8779","471148.681","720000","980793.5358","367013.668"
"M555.454T1439.586","112419.834","127419.126","133833.769","150007.866","208427.543","128628.953","121000","202000","130688.188","104446.473","160364.675","110897.501","120608.758","108000","91220.343","66438.6845","63742.674","178568.0123","184000","171041.456","264694.247","223000","177272.735","193000","288000","232846.781","66422.4307","228223.782","86625.4791","158662.419","198439.434","194350.883","203618.288","205000","151995.47","147702.079","153415.141","143430.738","75354.2864","74400","44069.1379","159962.639","41035.334","270396.454","53325.8757","57646.2826","176501.387","328000","218238.6717","184913.015"
