"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"M853.347T926.093",0.032976,-0.0098387,-0.0028351,0.027424,0.015652,0.016488,-0.0085309,0.00017256,0.023929,-0.025886,0.0018483,0.013653,-0.014644,-0.0090504,-0.012701,0.013009,-0.02338,-0.023245,-0.015288,-0.02304,0.010385,0.011217,0.01466,-0.0015137,-0.045068,-0.0084958,-0.01166,0.00044936,-0.017858,0.0079712
"M481.203T929.492",0.034505,-0.0077575,-0.0025735,9.2384e-06,0.015969,-0.010589,0.014585,0.0029319,-0.013163,0.020158,0.016048,0.0067386,0.0054175,-0.013918,0.0063673,0.013214,0.0062749,-0.006097,-0.010342,0.022305,-0.015218,-0.0093385,-0.0049822,-0.0076518,0.024204,0.005467,0.0088573,0.0035451,-0.0041613,-0.00031938
"M675.452T1372.394",0.013788,-0.017946,0.01683,-0.015358,-0.012841,-0.014825,-0.0029849,0.0037133,0.004985,-0.0023498,0.0073889,0.02397,-0.013318,0.019283,-0.0034597,-0.026281,0.0091619,0.0087313,0.0031706,0.0056741,-0.022602,0.010523,-0.016916,-0.0041249,-0.0045877,0.00603,0.00066386,0.0023059,-0.0043908,-0.0071794
"M1013.72T1325.086",-0.0052798,-0.018496,-0.020174,-0.036001,0.016869,0.032324,0.0036674,0.038491,-0.018581,0.045101,-0.083427,0.056966,-0.034043,-0.0033447,-0.072133,0.016262,-0.17289,-0.11682,-0.039446,0.021213,0.04713,0.0090198,0.019623,0.045633,-0.052781,-0.063856,-0.055704,0.1353,0.040671,-0.0056803
"M958.38T975.822",0.037269,-0.0029986,0.0030275,-0.0041865,0.014711,0.0086222,0.0016197,-0.011152,0.012823,-0.019419,-0.0049416,-0.0066688,-0.000851,1.4568e-05,-0.00090797,0.0082702,0.0029636,-0.0066086,-0.019002,-0.0011014,-0.0055122,0.011095,-0.0083257,-0.0020647,0.012093,-0.0020197,0.0013496,-0.011481,0.0010043,0.0010659
"M842.492T1254.627",0.026565,-0.0036006,-0.0065784,-0.0060229,-0.022603,0.0077667,-0.020186,-0.0052679,-0.018274,0.017464,-0.01953,0.0026279,0.0072314,0.00070942,0.0032123,0.0015276,-0.00041793,-0.005413,-0.0036457,0.0028556,0.0037587,-0.0029679,-0.021381,-0.002683,-0.0095246,-0.0011709,0.0045271,-0.015962,0.012512,0.0040095
"M1017.397T924.482",0.030423,-0.0065264,0.0040852,0.0081758,0.012861,-0.0054746,0.00331,-0.010533,-1.1076e-05,0.0096472,0.010294,0.001251,-0.0093336,-0.012833,-0.011676,0.002325,-0.0065136,0.010017,0.010975,-0.015191,0.006987,0.0039341,0.0097156,0.010848,-0.0010501,0.030542,-0.011808,0.016625,-0.0054101,-0.005026
"M655.217T820.228",0.026073,-0.0055219,-0.0020841,0.011934,-0.015629,-0.012705,0.015829,0.0025416,0.027824,-0.005936,0.0040084,0.0016908,-0.013079,0.0073317,-0.0054547,-0.0045074,-0.002013,-0.011281,0.0095755,0.0024947,-0.033786,-0.0068615,-0.0031172,-0.00026233,0.021608,0.011473,-0.0056064,0.024713,-0.0021415,-0.00081148
"M806.336T927.31",0.036342,-0.0032192,0.0042566,0.0050707,0.022319,-0.0018879,0.0074992,-0.0035965,0.00086345,-0.014739,0.012348,-0.0095239,-0.00069365,-0.013484,0.014986,-0.014434,0.0072177,0.003472,-0.0081422,-0.0051544,-0.00041218,0.012674,0.0021446,0.0056525,-0.0062304,-0.0070016,0.0077013,-0.00020274,0.0022357,-0.00016989
"M1119.432T843.183",0.027699,0.0062732,-0.0084854,-0.012916,0.021076,-0.0061635,-0.0012496,0.010025,-0.00060529,0.0022077,-0.024074,0.035298,-0.017305,0.0014362,0.0023954,0.0040466,0.008243,0.03428,0.051154,-0.011784,-0.0081113,-0.010703,0.0053772,-0.0047866,0.085357,-0.0053946,0.03852,0.027259,-0.029112,-0.00038694
"M609.452T1220.972",0.026191,-0.0031427,-0.0213,-0.0061888,-0.018939,0.006123,-0.024065,0.0053781,-0.035542,0.010145,-0.0015002,0.011044,0.010237,-0.00247,-0.0045587,-0.00020862,0.015328,0.010632,0.0055575,-0.011166,0.0029646,-0.013623,-0.0054068,-0.0060224,0.0010501,0.0026172,-0.010479,0.009537,-0.019462,-0.0059958
"M985.395T851.401",0.043699,0.0016954,-0.0078346,0.00439,0.0015639,0.015032,-0.0014313,-0.010967,0.0004848,-0.0080231,0.022326,-0.013843,-0.0055256,-0.0091268,0.011112,-0.0206,0.014258,-0.011718,0.021664,0.026897,-0.0083258,0.020692,0.0029965,0.0075969,0.0012341,0.011875,0.0033703,-0.010278,-0.0020783,-0.0055849
"M621.419T1456.849",0.01443,-0.00943,0.03587,-0.01739,0.0065831,-0.00031107,-0.012411,0.015379,0.021915,-0.02339,0.0011736,-0.0027348,-0.014215,0.015902,-5.8297e-05,0.0015288,0.012875,-0.0048921,0.0035614,0.014685,0.018948,0.0036746,-0.0068899,0.02448,-0.00058436,-0.0070139,0.0094396,-0.010939,-0.011745,-0.0036941
"M365.193T1440.036",0.0049164,-0.008558,0.013114,-0.017918,-0.011095,0.0071637,0.020234,0.027172,0.0095114,0.023321,0.017747,-0.026742,-0.011093,0.01768,0.015314,0.0060422,0.020698,0.028111,0.012196,-0.018776,-0.0054873,0.033699,-0.0047856,0.0072885,-0.0072039,-0.0029708,0.0046143,-0.021813,-0.0026743,-0.0095045
"M980.373T973.898",0.035797,-0.002387,0.0064995,0.019514,0.016979,0.011176,0.0092419,-0.013993,-0.011752,-0.0073366,-0.019739,0.010181,0.013236,-0.0097347,-0.015197,0.0042967,0.011843,0.017673,-0.021147,-0.013552,0.0048425,-0.00058829,-0.0048266,0.0015114,-0.0049938,0.0043159,-0.012916,0.043095,-0.019021,0.0017447
"M691.43T1301.409",0.026675,7.0629e-05,-0.0032395,-0.021995,-0.025177,-0.0060737,-0.0063625,-0.010428,-0.022493,0.0081706,-0.0089803,0.02656,0.011636,-0.0026888,0.025626,-0.0085065,-6.2463e-05,-0.00058207,0.0069247,0.0096434,-0.012332,-0.007933,-0.012372,0.0030286,0.0012703,0.010708,0.0032763,0.0017438,0.0067139,-0.0068733
"M541.47T1540.699",0.011087,-0.013269,0.023526,-0.028266,0.010021,-0.024949,0.013042,-0.0066974,-0.01613,0.011401,-0.0017232,0.012318,-0.013499,-0.023009,-0.017873,-0.0052462,-0.020135,-0.0057982,0.0039403,0.0027499,0.024565,-0.010575,-0.020977,-0.02036,0.017784,-0.0273,0.0019722,0.030764,0.0046343,-9.2858e-05
"M883.58T1438.11",0.00087983,-0.038046,-0.0097155,-0.0067105,-0.0058564,-0.033759,-0.0039973,0.020228,-0.0046503,-0.023434,-0.030172,0.036091,0.011345,-0.0074799,-0.017201,0.0040872,-0.020546,-0.0023872,0.0094553,0.014359,-0.010695,-0.015964,-0.013489,-0.0059416,-0.0056748,-0.011324,-0.010467,-0.0011902,-0.0093037,-0.0041876
"M803.315T940.951",0.034301,-0.006168,0.00045667,0.008356,0.011601,0.0042975,0.0048793,-0.0071658,0.0053057,-0.0032216,-0.0099481,0.017518,0.0018698,0.00082162,0.0012205,0.0022692,0.013573,-0.022978,-0.0057631,0.0059911,0.0087089,0.01266,-0.0070232,0.0039495,-0.0064459,0.0003422,0.0057985,-0.0044802,0.0009419,0.00092804
"M439.314T1352.626",0.01728,0.0073164,0.019771,-0.026642,0.016683,0.0059757,0.0045432,0.0026697,-0.0044445,0.00098904,0.0020244,-0.017445,-0.011891,0.014259,0.014025,0.0049785,-0.013627,-0.022962,-0.0013544,0.010331,-0.0019927,-0.021982,-0.0070024,0.022303,-0.0016655,0.0066139,0.018009,0.0023734,-0.018468,-0.0056867
"M898.347T1006.792",0.027188,-0.0058254,0.0087776,0.010873,0.010614,0.0003995,0.0057212,-0.0086336,0.0042671,0.0020111,-0.0136,0.0075452,-0.0084638,-0.0096217,-0.013622,-0.0049367,0.0057506,-0.0085022,-0.0037064,-0.01418,-0.0032114,-0.012041,0.017302,0.0029976,0.0068346,0.00056683,-0.0026964,-0.014477,0.0035062,-0.0019955
