"","M393.189T1440.567","M513.25T1338.968","M477.343T1423.013","M882.48T1339.403","M652.416T1356.524","M343.224T1621.712","M629.459T1473.698","M423.321T1473.286","M510.367T1523.593","M589.501T1621.712","M578.503T1590.788","M635.491T1472.841","M628.529T1624.373","M628.528T1608.773","M609.518T1624.418","M652.503T1490.314","M558.46T1591.049","M297.239T1626.197","M841.471T1389.363","M545.456T1607.833","M605.416T1473.993","M477.403T1542.988","M477.407T1590.788","M477.398T1574.327","M879.468T1338.726","M630.465T1474.173","M629.464T1456.367","M629.463T1474.173","M449.365T1540.699","M669.539T1543.447","M669.531T1507.08","M669.562T1624.559","M449.369T1557.545","M449.347T1490.033","M535.447T1540.43","M567.43T1421.35","M295.151T1624.873","M492.408T1557.26","M534.444T1557.26","M535.375T1490.352","M534.402T1422.678","M533.436T1590.96","M549.424T1473.203","M516.411T1568.021","M886.353T1006.792","M467.383T1523.593","M329.158T1625.781","M329.157T1608.526","M475.412T1607.605","M494.563T1509.9","M576.484T1557.453","M576.484T1473.551","M575.479T1473.048","M575.481T1540.694","M576.533T1641.124","M541.474T1573.977","M542.478T1573.977","M575.479T1456.772","M640.557T1608.472","M737.493T1439.78","M577.49T1591.335","M618.492T1624.789","M617.489T1624.961","M617.506T1594.034","M549.431T1507.08","M629.529T1601.79","M629.509T1624.418","M660.517T1423.005","M535.409T1440.116","M549.426T1489.95","M471.336T1557.26","M605.427T1490.314","M549.428T1523.962","M533.435T1510.689","M516.434T1624.418","M481.362T1591.564","M325.162T1642.868","M951.603T1424.253","M628.514T1473.756","M1085.421T973.898","M659.418T1406.262","M820.327T1006.792","M813.332T1056.081","M869.334T919.017","M479.188T913.185","M899.349T990.311","M433.152T909.874","M677.438T1339.916","M564.208T942.149","M817.317T940.819","M430.319T1557.453","M832.307T992.353","M956.379T959.199","M438.146T926.75","M313.161T1621.4","M787.545T1575.098","M339.172T1490.329","M523.36T1271.932","M487.775T1256.694","M386.164T943.456","M807.348T918.929","M1123.351T817.469","M889.305T842.452","M919.292T824.161","M1102.351T817.469","M979.313T847.893","M1114.854T834.347","M682.262T843.183","M415.326T1295.888","M465.26T1373.143","M425.216T1401.37","M425.215T1355.365","M556.445T1212.039","M812.538T1253.346","M985.571T1146.934","M772.55T1170.538","M537.533T1295.888","M374.303T1319.161","M847.517T1163.004","M986.591T1195.638","M808.52T1220.972","M771.504T1195.638","M609.455T1145.906","M392.284T1436.378","M828.538T1289.688","M495.298T1036.333","M471.796T1446.028","M471.313T1295.888","M619.438T1245.233","M399.308T1262.042","M443.333T1262.042","M383.284T1439.726","M455.315T1295.888","M341.283T1305.932","M513.307T1059.952","M351.253T1019.694","M285.134T1052.907","M569.292T994.771","M605.427T1212.039","M867.584T1358.969","M331.187T1104.601","M585.283T918.479","M351.179T1358.969","M351.108T857.905","M291.195T1053.001","M465.265T1237.073","M764.518T1295.888","M764.517T1325.086","M691.436T1356.203","M691.433T1253.346","M494.565T1319.161","M494.565T1422.678","M423.211T1338.363","M821.505T1179.269","M765.518T1313.696","M522.261T1109.944","M423.212T1319.031","M523.599T1382.768","M561.396T1195.638","M330.263T1492.022","M545.37T1372.761","M722.259T892.9","M332.328T1440.13","M441.224T1179.269","M504.265T1099.137","M330.261T1473.013","M330.262T1456.934","M330.263T1439.913","M423.198T1506.423","M722.581T1518.016","M722.58T1595.75"
"M867.584T1358.969",-0.46032,-0.34637,-0.54966,-0.63755,-0.68072,-0.66434,-0.64214,-0.65904,-0.9425,-0.85704,-0.70327,-0.83288,-0.85631,-0.85493,-0.6029,-0.6232,-0.65544,-0.44079,-0.80606,-0.63387,-0.54105,-0.65867,-0.61953,-0.64361,-0.69047,-0.51478,-0.69696,-0.69892,-0.80714,-0.7189,-0.68048,-0.74786,-0.67168,-0.74344,-0.69117,-0.73049,-0.66741,-0.67525,-0.65939,-0.64612,-0.64231,-0.52862,-0.47031,-0.50196,-0.39994,-0.18646,-0.2854,-0.44357,-0.35058,-0.44566,-0.41495,-0.31399,-0.33681,-0.33175,-0.31943,-0.28562,-0.33211,-0.35861,-0.52949,-0.52122,-0.56585,-0.61571,-0.58646,-0.58348,-0.52147,-0.56684,-0.61719,-0.3729,-0.52715,-0.58173,-0.48539,-0.49598,-0.5507,-0.56217,-0.42987,-0.47777,-0.55768,-0.33796,-0.47947,-0.20631,0.03576,0.00261,-0.05993,-0.0616,-0.03413,-0.21961,-0.07444,0.04909,-0.10995,-0.08898,0.09648,0.12109,-0.13343,-0.13711,0.13141,-0.22102,-0.23583,0.31807,0.12233,0.20576,0.18216,0.67248,0.59955,0.57506,0.70716,0.77245,0.84613,0.62116,0.48707,0.01781,0.06987,-0.01066,0.49307,0.42799,0.4515,0.47764,0.70181,0.60496,0.27002,0.26998,0.25339,0.18681,0.38775,0.36656,0.00826,0.31153,0.35209,0.30619,0.32861,0.24585,0.29293,0.25953,0.1813,0.15953,0.49731,0.46086,0.53588,0.55873,0.74622,1,0.84522,0.69847,0.53686,0.45937,0.58475,-0.3171,-0.53533,-0.5979,-0.51781,-0.29794,-0.21715,-0.36066,-0.04916,-0.2033,-0.05908,0.21747,0.17934,0.09028,0.24119,0.09574,0.03202,0.1463,0.13765,0.06903,0.13125,-0.04332,0.00438,0.05471,-0.32702,-0.19514,-0.35417
"M331.187T1104.601",-0.34751,-0.30905,-0.59246,-0.56227,-0.53855,-0.73754,-0.82813,-0.81687,-0.78419,-0.80794,-0.67725,-0.80076,-0.79382,-0.79891,-0.83063,-0.77459,-0.77294,-0.63276,-0.75951,-0.61527,-0.66923,-0.71926,-0.70476,-0.75601,-0.64243,-0.68427,-0.76798,-0.72908,-0.88507,-0.74514,-0.73682,-0.75821,-0.79928,-0.87947,-0.87508,-0.76345,-0.67395,-0.7547,-0.75862,-0.67595,-0.70597,-0.54413,-0.58306,-0.46295,-0.2969,-0.41224,-0.49058,-0.45434,-0.39508,-0.52864,-0.52281,-0.403,-0.44697,-0.44486,-0.43539,-0.39686,-0.43348,-0.47143,-0.45822,-0.37564,-0.49508,-0.49755,-0.4654,-0.47317,-0.67518,-0.73178,-0.67994,-0.65853,-0.65383,-0.68019,-0.6648,-0.67648,-0.74527,-0.72767,-0.59022,-0.76143,-0.50887,-0.37566,-0.53758,-0.25152,-0.29288,-0.04851,-0.11793,-0.14845,-0.02664,-0.15536,-0.011,-0.11341,-0.12392,-0.08669,0.15664,0.08006,-0.08027,-0.05487,-0.13005,-0.21913,-0.19071,0.16541,0.33028,0.20749,0.36366,0.58878,0.54188,0.51513,0.81316,0.75479,0.77737,0.59888,0.54005,0.05101,0.23871,0.12429,0.64206,0.57164,0.63547,0.59634,0.61273,0.60838,0.48248,0.56543,0.49306,0.34924,0.47813,0.37527,0.1623,0.50513,0.30472,0.16847,0.3543,0.23671,0.29823,0.27905,0.20058,0.16604,0.7303,0.70155,0.7389,0.76532,0.73168,0.84522,1,0.84021,0.70063,0.60719,0.86198,-0.33738,-0.32089,-0.34759,-0.35789,-0.25242,-0.26846,-0.36882,0.14945,0.08712,0.18636,0.3601,0.36634,0.30557,0.36685,0.23345,0.11331,0.26515,0.32687,0.17868,0.28701,-0.00236,0.0586,0.10763,-0.09917,-0.16361,-0.30543
"M585.283T918.479",-0.28567,-0.24577,-0.40916,-0.55073,-0.48334,-0.5892,-0.65918,-0.65077,-0.70804,-0.56534,-0.64001,-0.69728,-0.64133,-0.68203,-0.76879,-0.76743,-0.81387,-0.64807,-0.82368,-0.59125,-0.78713,-0.6175,-0.70479,-0.70235,-0.58405,-0.62655,-0.73166,-0.67511,-0.71279,-0.56768,-0.60425,-0.62382,-0.85622,-0.81672,-0.8405,-0.59115,-0.67541,-0.6346,-0.79944,-0.73193,-0.75472,-0.57799,-0.79628,-0.60128,-0.56663,-0.70653,-0.54937,-0.48629,-0.46605,-0.63212,-0.7109,-0.5935,-0.63697,-0.62883,-0.64237,-0.54962,-0.62424,-0.64699,-0.63086,-0.55608,-0.5941,-0.6306,-0.6078,-0.5958,-0.78666,-0.74469,-0.71511,-0.73129,-0.79087,-0.86956,-0.82493,-0.81207,-0.73609,-0.75463,-0.67514,-0.83546,-0.40362,-0.36472,-0.49026,-0.40696,-0.36268,-0.36525,-0.33712,-0.31822,-0.42047,-0.43179,-0.22831,-0.34678,-0.3056,-0.40385,-0.15513,-0.19415,-0.3152,-0.26422,-0.25557,-0.30102,-0.23169,-0.02263,0.06714,-0.0792,0.10687,0.37007,0.19296,0.24612,0.53425,0.47817,0.56194,0.43944,0.41235,-0.08718,0.30366,0.09085,0.74064,0.76742,0.57069,0.71465,0.81915,0.68756,0.66848,0.71011,0.71969,0.55949,0.56339,0.55231,0.28789,0.62537,0.46067,0.34338,0.53583,0.51797,0.51332,0.56337,0.42125,0.39187,0.7816,0.76218,0.787,0.74302,0.64539,0.69847,0.84021,1,0.75806,0.70666,0.68515,-0.15233,-0.05123,-0.12963,-0.13931,0.08329,0.02759,-0.11734,0.34129,0.35436,0.42387,0.73744,0.53339,0.63331,0.47464,0.3248,0.32653,0.45253,0.47917,0.37575,0.46371,0.12448,0.19879,0.23786,0.14838,0.25724,0.1288
"M351.179T1358.969",-0.5124,-0.45449,-0.39512,-0.64346,-0.61551,-0.77311,-0.73414,-0.58864,-0.51126,-0.65837,-0.58703,-0.50923,-0.49337,-0.54768,-0.68544,-0.5859,-0.64937,-0.71828,-0.72431,-0.66416,-0.5863,-0.45367,-0.52875,-0.5207,-0.4716,-0.59468,-0.63373,-0.65517,-0.6623,-0.50949,-0.55671,-0.52929,-0.68359,-0.6687,-0.70112,-0.63602,-0.85195,-0.71173,-0.70759,-0.701,-0.63243,-0.39602,-0.58696,-0.46073,-0.36932,-0.47173,-0.627,-0.54746,-0.51779,-0.51773,-0.5134,-0.36004,-0.45032,-0.44881,-0.53287,-0.45787,-0.54261,-0.46688,-0.28765,-0.40342,-0.50847,-0.44672,-0.38198,-0.31768,-0.69136,-0.71126,-0.69893,-0.52006,-0.75725,-0.73072,-0.66298,-0.66732,-0.65566,-0.67548,-0.74988,-0.65407,-0.59188,-0.43332,-0.50674,-0.39108,-0.52251,-0.14862,-0.22906,-0.12207,-0.34327,-0.26505,-0.2827,-0.21142,-0.28793,-0.24828,-0.07639,0.00542,-0.13203,-0.15521,-0.34855,-0.45872,-0.41437,0.06853,0.16611,0.13923,0.24875,0.30557,0.1925,0.11493,0.49572,0.54362,0.36408,0.54039,0.62302,0.19581,0.27707,0.15642,0.70034,0.78612,0.43299,0.4273,0.65795,0.65903,0.54332,0.61191,0.47051,0.39775,0.51959,0.5154,0.32803,0.73025,0.47967,0.27629,0.50438,0.45351,0.4661,0.48768,0.45233,0.40028,0.51561,0.47943,0.52631,0.41953,0.42833,0.53686,0.70063,0.75806,1,0.62349,0.63502,0.17868,0.1021,0.01561,-0.25226,-0.08716,-0.00065,-0.12419,0.41748,0.2373,0.31756,0.4198,0.54117,0.54449,0.41268,0.27195,0.29488,0.36496,0.42339,0.30907,0.26488,0.2088,0.2417,0.23368,0.18785,0.0986,-0.01034
"M351.108T857.905",-0.38326,-0.61914,-0.33559,-0.70289,-0.5878,-0.5558,-0.564,-0.52498,-0.38892,-0.45677,-0.49894,-0.44254,-0.36816,-0.38325,-0.46077,-0.47876,-0.57876,-0.40383,-0.61706,-0.37039,-0.76343,-0.82136,-0.85975,-0.81524,-0.75904,-0.68134,-0.65626,-0.53496,-0.6027,-0.46168,-0.4793,-0.44074,-0.69544,-0.64147,-0.6353,-0.56222,-0.50907,-0.43257,-0.56191,-0.74694,-0.69301,-0.35805,-0.55005,-0.19747,-0.35677,-0.54503,-0.45276,-0.36935,-0.24787,-0.50405,-0.56918,-0.54648,-0.4958,-0.49399,-0.51401,-0.53944,-0.4555,-0.50018,-0.40827,-0.59081,-0.4789,-0.5652,-0.50774,-0.55171,-0.64581,-0.52345,-0.40647,-0.67454,-0.70559,-0.76778,-0.74249,-0.86419,-0.73603,-0.73259,-0.52745,-0.71668,-0.48164,-0.51925,-0.59011,-0.69237,-0.65286,-0.27621,-0.41991,-0.34387,-0.37004,-0.27358,-0.25686,-0.3617,-0.56776,-0.55862,-0.04879,-0.06705,-0.18365,-0.0219,-0.49882,-0.15079,-0.26863,0.23901,-0.02449,0.24726,0.27559,0.16448,-0.00507,-0.03009,0.32453,0.13566,0.15894,0.67161,0.62927,0.41441,0.67375,0.58595,0.35302,0.44613,0.41954,0.64652,0.5287,0.50351,0.66317,0.5134,0.58053,0.58866,0.49438,0.57598,0.50904,0.74215,0.42878,0.44984,0.44494,0.5662,0.59133,0.59028,0.5829,0.53137,0.4593,0.41909,0.46976,0.42445,0.34976,0.45937,0.60719,0.70666,0.62349,1,0.76438,0.01568,0.05791,0.10839,-0.37779,-0.1607,0.03061,-0.09952,0.50869,0.39296,0.41782,0.4848,0.66491,0.66099,0.14808,0.27038,0.22695,0.24444,0.24655,0.20684,0.34894,0.02214,0.083,0.13274,0.34504,0.16722,0.08845
"M291.195T1053.001",-0.45068,-0.56597,-0.49458,-0.52661,-0.46835,-0.67677,-0.77733,-0.71915,-0.49228,-0.69095,-0.57458,-0.62035,-0.62658,-0.63233,-0.77955,-0.68134,-0.73127,-0.60416,-0.59288,-0.45925,-0.66027,-0.80853,-0.76305,-0.80144,-0.64231,-0.75212,-0.74746,-0.64911,-0.75205,-0.62227,-0.62227,-0.62324,-0.64543,-0.76238,-0.77985,-0.69352,-0.50824,-0.60889,-0.60365,-0.60835,-0.59832,-0.34432,-0.41773,-0.24295,-0.05751,-0.4111,-0.59436,-0.43103,-0.42334,-0.57685,-0.51483,-0.45607,-0.44962,-0.45257,-0.48944,-0.5175,-0.4829,-0.46292,-0.3603,-0.38625,-0.46003,-0.41238,-0.38141,-0.40975,-0.63304,-0.68772,-0.53247,-0.68876,-0.62262,-0.57766,-0.61085,-0.72301,-0.74818,-0.71061,-0.63601,-0.7698,-0.52808,-0.56037,-0.66571,-0.41882,-0.63178,0.02528,-0.11763,-0.12154,-0.03426,0.00141,0.05752,-0.17737,-0.24622,-0.17758,0.12705,0.20081,0.08358,0.15568,-0.43886,-0.21583,-0.27523,0.12426,0.20347,0.42072,0.54704,0.46997,0.41537,0.28937,0.7311,0.50029,0.50696,0.74161,0.72054,0.38965,0.58962,0.48684,0.53856,0.43861,0.65714,0.655,0.40179,0.52471,0.62519,0.58583,0.55171,0.41377,0.48446,0.42005,0.45374,0.65515,0.29326,0.1409,0.37203,0.27451,0.36293,0.28387,0.32485,0.25519,0.53717,0.50832,0.5569,0.57944,0.50279,0.58475,0.86198,0.68515,0.63502,0.76438,1,-0.17132,-0.04622,0.01321,-0.41436,-0.32698,-0.24297,-0.33778,0.3039,0.24604,0.31959,0.32032,0.5031,0.4648,0.36736,0.3246,0.21654,0.33065,0.33956,0.19331,0.31664,-0.02401,0.03624,0.09886,0.10971,-0.20205,-0.3228
"M465.265T1237.073",-0.2214,-0.15597,0.69033,0.17788,0.18188,0.13821,0.17993,0.43435,0.3638,0.04442,0.04887,0.27567,0.1669,0.11774,0.04684,0.13158,0.23827,-0.07195,-0.00832,-0.07626,0.09391,0.21142,0.1624,0.31702,0.15226,0.07418,0.11199,0.05574,0.3576,0.42589,0.37224,0.3849,0.17506,0.32886,0.34965,0.10016,0.03508,0.03646,0.13586,0.05378,0.20954,0.34677,0.15461,-0.00372,-0.03549,-0.05258,-0.17694,-0.09733,-0.32249,-0.23235,-0.06578,-0.0646,-0.06934,-0.07485,-0.3572,-0.09563,-0.25603,0.00521,0.18998,-0.14374,-0.0509,0.00917,0.05369,0.15058,-0.0864,-0.07588,-0.14336,0.21007,0.03715,-0.05269,0.11935,0.06888,0.08913,0.05565,-0.24613,0.154,-0.14597,-0.243,-0.05256,-0.0544,-0.33975,-0.11895,-0.11493,-0.02981,-0.47328,-0.19319,-0.45596,-0.4253,-0.20891,-0.28645,-0.25085,-0.02049,0.01216,-0.14086,-0.61595,-0.5964,-0.7233,-0.44753,-0.6547,0.03021,-0.42274,-0.47754,-0.40283,-0.48278,-0.35079,-0.29167,-0.53994,0.10579,0.29534,0.25084,0.32436,0.31605,0.19409,0.21458,-0.08644,-0.11811,0.09661,0.19495,0.14424,0.21245,0.25404,0.20375,0.24545,0.34296,0.31468,0.36439,0.57032,0.22388,0.40117,0.39833,0.36047,0.4909,0.48102,0.3895,-0.32128,-0.26621,-0.30846,-0.47504,-0.50077,-0.3171,-0.33738,-0.15233,0.17868,0.01568,-0.17132,1,0.80482,0.71428,0.22889,0.30382,0.34884,0.3034,0.47141,0.39052,0.47261,0.21951,0.40937,0.43209,0.29635,0.38168,0.43496,0.43878,0.36427,0.40575,0.20165,0.55943,0.56214,0.51893,0.64657,0.4275,0.4018
"M764.518T1295.888",-0.02076,-0.02776,0.67324,0.33308,0.36084,0.32093,0.2687,0.47194,0.55229,0.31866,0.0809,0.30717,0.27115,0.20808,-0.11401,0.03965,0.05762,-0.08644,0.13935,0.05557,0.1065,0.26789,0.19816,0.2894,0.2374,0.03583,0.1154,0.14812,0.41667,0.51566,0.42989,0.43353,0.14959,0.28165,0.22452,0.30188,0.21412,0.18389,0.1827,0.18619,0.29809,0.3454,0.04335,-0.00395,0.00229,-0.34801,-0.30429,-0.02419,-0.38118,-0.27401,-0.21442,-0.20448,-0.22745,-0.23235,-0.4814,-0.31254,-0.45227,-0.15479,0.06812,-0.09083,-0.05542,0.07704,0.04804,0.12913,-0.11282,-0.10656,-0.07213,-0.01701,-0.0127,-0.00387,0.0569,-0.02277,0.08393,0.053,-0.34512,-0.08394,0.08391,-0.21266,-0.05314,-0.09444,-0.54374,-0.2692,-0.19427,-0.14644,-0.53114,-0.17611,-0.30861,-0.49486,-0.19483,-0.34905,-0.44197,-0.15845,-0.02675,-0.1475,-0.68772,-0.48416,-0.46126,-0.73418,-0.59911,-0.14165,-0.31079,-0.46401,-0.52711,-0.49523,-0.29016,-0.44835,-0.58607,-0.05927,0.11353,0.10718,0.39296,0.26754,0.28746,0.29804,0.04655,0.05478,-0.01406,0.08917,0.37028,0.39864,0.47643,0.33433,0.25885,0.32502,0.5442,0.47263,0.40531,0.12369,0.42032,0.39283,0.35162,0.44856,0.50208,0.38015,-0.08712,-0.02911,-0.08594,-0.23447,-0.49828,-0.53533,-0.32089,-0.05123,0.1021,0.05791,-0.04622,0.80482,1,0.9455,0.45196,0.48784,0.47758,0.46144,0.50215,0.60103,0.64212,0.44092,0.4101,0.6103,0.45148,0.53417,0.61868,0.60733,0.51326,0.49637,0.3826,0.57511,0.57525,0.54009,0.68997,0.45862,0.50999
"M764.517T1325.086",-0.05194,-0.14231,0.57952,0.28908,0.33849,0.26275,0.18704,0.36638,0.57221,0.31482,0.05654,0.26661,0.25215,0.22048,-0.09593,-0.00692,0.04358,-0.13126,0.18126,0.06707,0.05074,0.13092,0.08003,0.14855,0.13591,-0.12209,0.02104,0.06697,0.35659,0.39276,0.30554,0.33418,0.14733,0.21485,0.16872,0.20217,0.20803,0.12635,0.18093,0.12004,0.2095,0.27512,0.01448,0.05579,0.03787,-0.3811,-0.35707,-0.07811,-0.37034,-0.30135,-0.26846,-0.33518,-0.32762,-0.33499,-0.47433,-0.40955,-0.42539,-0.26108,-0.00413,-0.14709,-0.11456,-0.00069,-0.01406,0.0315,-0.17462,-0.15615,-0.06458,-0.15401,-0.03776,-0.00907,-0.0121,-0.10133,-0.01183,-0.04506,-0.2452,-0.02,0.04817,-0.36644,-0.21075,-0.25913,-0.68006,-0.31005,-0.28453,-0.25889,-0.49979,-0.13092,-0.32043,-0.55288,-0.34712,-0.40969,-0.4571,-0.2082,-0.08006,-0.1238,-0.65454,-0.41019,-0.45258,-0.64161,-0.56804,-0.08764,-0.21708,-0.55393,-0.61342,-0.63126,-0.32134,-0.59157,-0.677,-0.00216,0.17878,0.2579,0.43439,0.3501,0.17541,0.21684,0.17433,0.16351,-0.07123,0.11051,0.45133,0.42887,0.48204,0.43155,0.32081,0.37442,0.66374,0.45306,0.34583,0.15631,0.40748,0.4289,0.41023,0.42675,0.53796,0.47759,-0.14317,-0.08924,-0.18495,-0.27877,-0.4864,-0.5979,-0.34759,-0.12963,0.01561,0.10839,0.01321,0.71428,0.9455,1,0.44895,0.44004,0.47325,0.4539,0.52983,0.67409,0.65649,0.38585,0.45227,0.63091,0.37399,0.58173,0.61061,0.5748,0.50232,0.53482,0.43778,0.50155,0.5135,0.50636,0.68774,0.46584,0.51217
"M691.436T1356.203",0.53294,0.6851,0.44243,0.65406,0.47831,0.35099,0.31614,0.28631,0.35434,0.50645,0.22674,0.21142,0.27681,0.29183,0.00734,0.02408,0.1967,-0.0202,0.23029,-0.00947,0.18313,0.46325,0.2926,0.31601,0.36202,0.18543,0.31741,0.27004,0.26048,0.218,0.15431,0.19023,0.03806,0.14349,0.11417,0.26478,0.20906,0.06347,-0.01125,0.1494,0.14621,-0.16306,-0.26587,-0.31159,-0.35634,-0.29128,-0.13457,-0.08379,-0.11299,-0.02953,-0.21357,-0.20911,-0.19941,-0.20238,-0.2584,-0.07138,-0.14706,-0.10934,-0.0195,0.19562,0.13443,0.09803,0.02527,0.06999,-0.11446,-0.02516,-0.0988,-0.12005,0.00524,0.01904,-0.05608,0.05317,0.00985,-0.00129,0.06442,0.03627,0.21775,0.14269,0.25638,-0.01143,-0.04752,-0.63372,-0.51298,-0.57507,-0.4586,-0.53743,-0.51567,-0.61015,-0.24227,-0.34127,-0.4378,-0.76748,-0.57527,-0.6239,-0.03823,-0.24469,-0.04006,-0.7237,-0.22563,-0.83492,-0.67995,-0.71353,-0.72431,-0.51457,-0.53588,-0.5396,-0.46005,-0.72414,-0.46513,-0.51734,-0.30467,-0.32625,0.16614,0.24329,0.16477,0.00724,-0.02038,-0.05152,0.1222,0.36957,0.34515,0.41412,0.29242,0.17913,0.0711,-0.08389,0.15915,0.23684,0.28122,0.26806,0.21784,0.30286,0.16198,0.24766,0.19361,0.24577,0.02008,0.00312,-0.05612,-0.51781,-0.35789,-0.13931,-0.25226,-0.37779,-0.41436,0.22889,0.45196,0.44895,1,0.88973,0.52889,0.62002,0.41108,0.61094,0.57469,0.37049,0.21956,0.20605,0.3259,0.47056,0.43547,0.39346,0.5092,0.59765,0.56181,0.59891,0.61683,0.59909,0.49034,0.6732,0.76689
"M691.433T1253.346",0.28982,0.47531,0.36071,0.47074,0.18837,0.2236,0.30763,0.27659,0.12898,0.38031,0.03991,0.03976,0.10418,0.09625,-0.12646,-0.07722,-0.05695,-0.12567,-0.03421,-0.1994,0.02072,0.31398,0.10193,0.15637,0.14985,0.11221,0.16255,0.14038,0.13214,0.10418,0.04216,0.0303,-0.09005,0.01267,-0.03354,0.14884,0.02257,-0.01769,-0.1985,-0.07994,0.00118,-0.32708,-0.45554,-0.59422,-0.60674,-0.42631,-0.34416,-0.34023,-0.36933,-0.25828,-0.44981,-0.41388,-0.36856,-0.36803,-0.53213,-0.3254,-0.44729,-0.25206,-0.29604,-0.15353,-0.1483,-0.18176,-0.28962,-0.21575,-0.28796,-0.16163,-0.26815,-0.18067,-0.26887,-0.17647,-0.21628,-0.1618,-0.11818,-0.14015,-0.22751,-0.15616,-0.02271,-0.04935,0.08721,-0.26123,-0.12142,-0.78481,-0.67216,-0.65769,-0.75717,-0.79727,-0.67831,-0.6727,-0.45402,-0.63779,-0.68794,-0.83763,-0.72537,-0.77455,-0.1116,-0.42694,-0.21549,-0.76193,-0.48483,-0.90165,-0.7549,-0.56425,-0.73631,-0.54024,-0.50904,-0.50796,-0.33928,-0.55556,-0.29791,-0.50078,-0.15089,-0.26471,0.40119,0.45378,0.26843,0.25121,0.29164,0.15378,0.35786,0.47313,0.52209,0.58244,0.49731,0.46686,0.26349,0.12388,0.39689,0.53776,0.58777,0.56067,0.50706,0.56191,0.42892,0.47718,0.25543,0.28748,0.11847,0.05501,0.14291,-0.29794,-0.25242,0.08329,-0.08716,-0.1607,-0.32698,0.30382,0.48784,0.44004,0.88973,1,0.72876,0.73727,0.56334,0.66343,0.6994,0.6122,0.4065,0.41982,0.55354,0.61497,0.69268,0.62687,0.63271,0.75403,0.70975,0.69603,0.73103,0.72986,0.52712,0.78083,0.84158
"M494.565T1319.161",0.1721,0.11914,0.20279,0.10268,-0.128,0.21963,0.36202,0.41179,0.15189,0.31322,-0.17478,-0.07342,0.04945,0.06091,-0.09623,0.07537,-0.08284,0.06898,0.051,-0.1085,0.20717,0.24049,0.09013,0.12362,-0.1986,-0.02514,0.00447,0.05466,0.04666,0.12027,0.07914,0.05607,-0.02835,0.03448,-0.02286,0.09806,-0.07966,-0.02457,0.03712,-0.14296,0.08689,-0.34969,-0.38362,-0.44672,-0.64358,-0.53759,-0.31334,-0.25554,-0.39283,-0.07941,-0.3616,-0.40202,-0.39479,-0.39259,-0.47709,-0.55406,-0.55904,-0.29178,-0.37728,-0.48263,-0.34987,-0.33075,-0.44497,-0.35851,-0.2342,-0.09156,-0.14216,-0.19447,-0.29689,-0.1097,-0.12747,-0.1507,-0.01487,-0.08518,-0.29571,-0.08627,0.01584,-0.18376,-0.10731,-0.39777,-0.25258,-0.80842,-0.70494,-0.65223,-0.81975,-0.68442,-0.66116,-0.39674,-0.5848,-0.69458,-0.72223,-0.70958,-0.65494,-0.70207,0.0697,-0.23468,-0.23007,-0.5588,-0.52997,-0.66824,-0.68809,-0.36176,-0.71191,-0.44338,-0.34183,-0.48694,-0.45426,-0.26119,-0.21433,-0.39169,-0.20475,-0.34749,0.31168,0.46403,0.16998,0.208,0.26322,0.08823,0.46997,0.34151,0.39035,0.54233,0.4547,0.53129,0.52473,0.33947,0.25329,0.60387,0.63279,0.65278,0.60032,0.59639,0.69202,0.6703,0.21939,0.24041,0.19808,0.11377,-0.01527,-0.21715,-0.26846,0.02759,-0.00065,0.03061,-0.24297,0.34884,0.47758,0.47325,0.52889,0.72876,1,0.96673,0.50428,0.47547,0.46651,0.51459,0.37839,0.45487,0.35626,0.69355,0.70088,0.54962,0.34671,0.59217,0.46018,0.61624,0.62666,0.608,0.28348,0.49936,0.62794
