"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M578.503T1590.788",0.066441,0.055753,0.0028212,0.02002,0.069222,0.11185,0.017085,-0.11511,-0.089886,-0.048308,0.0089707,-0.032378
"M549.428T1523.962",0.080875,0.045075,0.024129,-0.069627,-0.072678,-0.10465,-0.013179,0.040116,-0.051246,0.048001,0.019681,0.03862
"M807.348T918.929",0.028696,-0.25354,0.1826,0.063354,0.23025,-0.032574,0.21572,-0.038459,-0.051911,0.3036,-0.18536,0.019988
"M542.478T1573.977",0.11558,-0.024391,-0.067376,0.13912,-0.016483,0.14581,-0.011699,0.042458,0.053641,-0.077678,0.015904,-0.0057153
"M522.261T1109.944",-0.080413,0.054458,-0.035339,-0.058748,0.095322,-0.0051398,-0.08064,0.044509,-0.20626,-0.033107,0.046359,0.013096
"M425.215T1355.365",-0.0083048,-0.013078,0.087759,0.053931,0.058596,0.060687,-0.060616,-0.023038,-0.014706,-0.079442,-0.11955,0.0049639
"M605.427T1490.314",0.071024,0.026004,0.014362,-0.068695,-0.083189,-0.019775,0.027235,0.035151,0.036954,-0.016607,0.056672,0.00041044
"M475.412T1607.605",0.097855,-0.0019601,-0.11259,0.14296,0.077893,0.017081,-0.092716,0.056671,0.015788,-0.060284,-0.075067,0.066529
"M330.263T1492.022",-0.048913,0.040422,0.020248,-0.042444,0.0039846,-0.04092,0.035574,0.0044044,0.094609,-0.089772,0.030314,0.01592
"M629.463T1474.173",0.061746,0.06595,-0.016438,-0.022085,0.039189,-0.00042067,-0.018995,-0.10885,-0.016765,-0.026974,-0.099466,-6.1949e-05
"M722.259T892.9",-0.16298,0.11192,0.14548,-0.26777,0.00674,0.0066223,0.071183,-0.035872,-0.077702,-0.11497,0.023054,-0.082346
"M737.493T1439.78",0.062954,0.0078072,-0.026421,-0.034765,0.066005,0.12984,0.050524,0.0052725,0.1077,0.064983,-0.075113,-0.00015923
"M523.599T1382.768",-0.065364,0.036112,0.052686,0.0078162,0.10432,-0.0088091,-0.0728,0.025366,-0.091873,0.014882,0.077793,-0.018726
"M549.431T1507.08",0.083569,0.017518,0.011273,-0.023503,-0.030691,-0.054563,-0.0037061,-0.035826,-0.0024292,-0.0015773,-0.080823,-0.0032597
"M351.179T1358.969",-0.04031,-0.040786,0.0062201,-0.018982,0.041919,0.031467,-0.10095,-0.042759,0.048684,0.18461,0.096097,0.015603
"M330.262T1456.934",-0.038115,0.056494,0.0046235,-0.052553,-0.037522,0.018472,-0.031434,0.024499,0.13984,-0.0051473,-0.053026,0.0015551
"M576.484T1557.453",0.10095,-0.0062964,-0.0045489,-0.00028264,-0.0021753,0.0082593,-0.055932,-0.073833,0.047883,-0.052274,0.12675,-0.010211
