"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas","Xanthomonas"
"M339.172T1490.329","-0.35146689","-0.61782954"," 0.09098158"," 0.06996207","-0.04170261","-0.18422254"," 0.14067267","-0.45296723"," 0.25979748"," 0.20471517"," 0.55825176"," 0.32380808"
"M558.46T1591.049","-0.27513963","-0.64520847","-0.32581896","-0.10583233","-0.01247533","-0.23646007"," 0.36455104"," 0.60190370"," 0.57350245"," 0.22020704","-0.20629040"," 0.04706096"
"M516.434T1624.418","-0.130042128","-0.825864879","-0.129204887","-0.227652373","-0.122080412","-0.059635765"," 0.398262687"," 0.443613578"," 0.158323831","-0.006095373"," 0.405249747"," 0.095125974"
"M722.58T1595.75"," 1.19724835"," 0.40052198","-0.98789806"," 0.01422733","-0.05497181","-0.79262356"," 0.45724949","-0.07412643"," 0.36148221","-0.52175147"," 0.14238531","-0.14174332"
"M477.343T1423.013","-0.01239098"," 0.10435957","-0.16611196"," 0.03058981","-0.22627711","-0.24808444"," 0.07262400"," 0.37647889"," 0.29934493","-0.07535710"," 0.04765820","-0.20283383"
"M332.328T1440.13"," 0.26274020"," 0.58631453","-0.13672737","-0.13740701"," 0.06540967","-0.09396965","-0.08870326","-0.07231414","-0.08757553","-0.15081581"," 0.11894263","-0.26589428"
"M494.563T1509.9","-0.36716738","-0.74346021","-0.20169199"," 0.06421161","-0.06230366","-0.07065432"," 0.13818226"," 0.05632296"," 0.42506864"," 0.47864747","-0.04417716"," 0.32702178"
"M481.362T1591.564","-0.18018112","-0.52698252","-0.22545966","-0.25534718","-0.46620735"," 0.22107404"," 0.64723060"," 0.60640590"," 0.07503232"," 0.18552158"," 0.04941057","-0.13049719"
"M443.333T1262.042"," 1.66736842"," 0.89812170","-0.04666947","-0.05045441","-0.09457053","-0.11221200","-0.32872329","-0.29261007","-0.46101267","-0.32403750","-0.36690980","-0.48829037"
"M510.367T1523.593","-0.227080018","-0.208734997","-0.218783395","-0.224915539","-0.273132833","-0.130124587"," 0.232909370"," 0.129140416"," 1.108598257"," 0.008381798","-0.137044061","-0.059214410"
"M545.456T1607.833","-0.39706193","-0.47152762"," 0.02699844","-0.04752083","-0.22156765","-0.13666573"," 0.15636268"," 0.18068920"," 0.61511197","-0.07306259","-0.16524360"," 0.53348766"
"M669.539T1543.447","-0.424826055","-0.105860370","-0.232364681"," 0.259223160","-0.553470444","-0.348826780"," 0.240438826"," 0.376637405"," 0.834945618"," 0.003582612","-0.073034035"," 0.023554743"
"M669.531T1507.08","-0.5047788","-0.1861587","-0.1630512"," 0.2572927","-0.5460616","-0.4015852"," 0.2354754"," 0.4356037"," 0.8432443"," 0.0796699","-0.1550662"," 0.1054156"
