"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M399.308T1262.042","  64986.72","2172556.17"," 632565.32"," 132589.42"," 214000.00"," 135846.55"," 141000.00"," 128000.00"," 117667.68","  72558.20","  91878.45"," 100576.93"," 122073.05"," 151000.00"," 158872.98"," 102347.39"," 110044.56","  96100.00"
"M578.503T1590.788"," 78102.53"," 76917.48"," 84838.43","103383.05"," 94800.00","119438.37"," 88200.00","158000.00","113745.49"," 48435.60","145511.68"," 49150.93","101718.83","128000.00"," 77546.30","100801.48"," 85156.68","130000.00"
"M549.428T1523.962"," 60481.75"," 69344.60"," 85810.02","106404.59","120000.00"," 65794.91","103000.00","161000.00","135569.58"," 63593.82","140501.98"," 46480.23","116249.23"," 99400.00"," 99281.89","142936.03","112454.87","119000.00"
"M807.348T918.929","    4041.138","  253963.057","  691204.147","11604876.950"," 1200000.000"," 2373636.177","11300000.000","  891000.000","  320161.972","   12989.179"," 1231520.939","    1847.936"," 4863569.698"," 1290000.000"," 5306926.053","  480118.833"," 2051316.747","  722000.000"
"M542.478T1573.977","  9044.000"," 29286.757"," 15302.819"," 60094.731"," 55400.000"," 99626.698"," 60200.000","108000.000","109751.451","     0.000"," 79386.131","  3359.136"," 56845.286"," 64400.000"," 46201.986"," 69384.993"," 68707.273"," 73800.000"
"M522.261T1109.944","  5867.81","154053.76","181417.95"," 76183.45","113000.00"," 87559.79"," 74200.00"," 75300.00"," 73667.37"," 19380.72"," 75303.92"," 18615.36"," 90833.07"," 71300.00"," 77331.43"," 58708.41"," 90665.46","121000.00"
"M425.215T1355.365","214667.2","312005.0","301813.6","364219.7","294000.0","321482.8","311000.0","302000.0","305736.8","259515.8","295044.3","279098.3","442896.3","280000.0","383134.9","250842.7","273266.4","269000.0"
"M605.427T1490.314"," 168167.6"," 191592.0"," 237539.3"," 268498.5"," 265000.0"," 221955.8"," 283000.0"," 369000.0"," 358048.9"," 219694.6"," 309230.8"," 205622.0"," 276919.1","1060000.0"," 247904.7"," 365409.5"," 289207.3"," 288000.0"
"M475.412T1607.605","33636.32","29122.15","12141.74","42608.11","50700.00","55928.28","33300.00","52900.00","54371.93","36194.64","66108.41","25983.56","58074.30","39800.00","40194.55","43617.62","53087.71","60000.00"
"M330.263T1492.022","146481.5","176199.2","177938.5","135283.9","121000.0","128550.5","140000.0","125000.0","132584.8","143946.0","126797.1","135806.4","157056.4","128000.0","144902.6","140695.5","135165.7","131000.0"
"M629.463T1474.173","192573.1","287930.2","303186.4","366995.4","353000.0","339980.9","276000.0","468000.0","364847.9","116945.4","489047.7","103705.6","343314.1","433000.0","285791.7","415905.7","323758.7","404000.0"
"M722.259T892.9","  10426.699"," 540138.794","6109886.122","  93337.556","  66400.000","  57704.086","  82800.000","  63100.000","  82529.257","   8841.846","  71557.100","  11995.725","  68042.554","  58100.000","  67617.770","  71196.574","  70023.067","  82300.000"
"M737.493T1439.78"," 72204.24"," 71122.17"," 90444.85","102202.67"," 97800.00","135077.16","102000.00","130000.00","111826.54"," 67710.22","134458.51"," 57008.16"," 86077.02","140000.00"," 92131.20","119919.43","122662.45","104000.00"
"M523.599T1382.768","218080.1","317868.6","315921.9","208311.9","235000.0","209973.2","234000.0","189000.0","187901.6","136725.9","211283.5","210897.3","264040.2","206000.0","195436.7","148600.1","189794.4","216000.0"
"M549.431T1507.08"," 99370.89"," 96042.49","103299.31","168451.47","149000.00","118372.84","134000.00","198000.00","166259.48"," 89217.53","184426.03"," 79866.95","145549.24","147000.00","130258.34","185634.64","145343.02","154000.00"
"M351.179T1358.969"," 90762.55","164496.38","177100.23","150617.18","184000.00","175417.84","186000.00","137000.00","129161.96"," 93360.97","128317.16","109444.11","168496.36","124000.00","201169.75","144920.14","143340.36","135000.00"
"M330.262T1456.934","110351.9","137110.3","140737.0","102729.0","107000.0","109555.2","103000.0","109000.0","113688.7","109616.6","104961.0","114084.6","123822.0"," 97300.0","122322.8","119751.6","113404.8"," 94500.0"
"M576.484T1557.453"," 43791.06"," 64461.49"," 67670.81","126762.88","131000.00","122421.81","134000.00","161000.00","168693.10"," 32816.83","168850.11"," 25245.28","119350.21","274000.00"," 98509.22","172602.88","101121.04","152000.00"
