"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M549.431T1507.08",0.086119,-0.020034,-0.0090936,0.024454,-0.059427,-0.026031,0.040985,0.007156
"M351.179T1358.969",-0.042768,-0.021096,0.0023586,-0.083301,-0.048052,-0.017258,-0.067483,0.0047648
"M330.262T1456.934",-0.038269,0.030836,-0.067982,0.055114,-0.055941,0.067136,0.0038709,-0.064397
"M576.484T1557.453",0.10362,-0.034391,-0.014781,-0.0279,-0.0011467,0.038129,0.064558,0.024962
"M467.383T1523.593",0.079475,-0.090794,0.021489,-0.043367,-0.026164,0.038141,0.071279,-0.13136
"M951.603T1424.253",0.13654,0.17227,-0.13774,-0.077023,-0.048328,0.048937,-0.068069,0.044914
"M477.403T1542.988",0.054468,0.04815,-0.085897,0.065602,-0.12703,0.0060684,-0.052155,-0.029871
"M477.407T1590.788",0.057793,0.026056,-0.030414,0.064937,-0.11599,0.014795,-0.030394,-0.037551
"M549.426T1489.95",0.082837,-0.024601,0.036403,0.087065,-0.087664,0.0080985,0.028188,0.020277
"M471.336T1557.26",0.077022,-0.035021,0.023481,0.06929,-0.11768,0.033916,0.069634,-0.04258
"M330.263T1439.913",-0.042391,0.027719,-0.057862,0.056459,-0.042144,0.06889,0.0084941,-0.061591
"M629.529T1601.79",0.10759,-0.0036538,-0.092653,0.023368,-0.01672,-0.075123,0.09937,0.047422
"M449.369T1557.545",0.076135,-0.077421,-0.037302,0.084593,-0.07109,0.02092,0.05963,0.042752
"M576.533T1641.124",0.1278,0.0081804,0.0409,-0.052954,0.10521,-0.075691,0.034518,-0.020685
"M619.438T1245.233",-0.13258,0.016135,-0.087626,0.051371,-0.12943,0.053551,0.095451,0.01535
"M652.503T1490.314",0.077845,-0.03007,-0.11948,0.022096,-0.026284,-0.055948,0.11031,0.060753
"M313.161T1621.4",0.028468,0.12348,0.076264,0.0041198,0.0067578,-0.12128,0.084721,-0.050088
"M295.151T1624.873",0.046691,-0.010215,-0.028048,0.066732,0.0037737,0.064047,0.009707,0.047969
"M772.55T1170.538",-0.11731,0.0060547,0.07022,0.0041663,0.065617,-0.0091352,-0.022482,0.1051
"M494.565T1319.161",-0.038055,0.083503,-0.1293,0.11898,-0.091826,-0.095324,0.1312,0.081347
"M423.321T1473.286",0.055523,-0.012016,-0.12786,0.11884,-0.1502,-0.0041042,0.11076,0.021897
"M722.581T1518.016",-0.095942,0.064871,-0.36226,0.122,0.13676,0.007102,-0.10354,-0.16611
"M535.447T1540.43",0.084462,-0.069075,-0.11007,0.079759,-0.038903,0.035153,0.092538,-0.050645
"M477.398T1574.327",0.060659,0.011254,-0.073338,0.0642,-0.12127,0.04381,-0.0056258,-0.045193
"M691.433T1253.346",-0.031914,0.096284,-0.1557,0.093298,-0.052149,0.028757,-0.050326,-0.020519
"M605.416T1473.993",0.066725,0.032446,-0.0018382,0.095008,-0.12398,-0.017113,0.066208,-0.012077
"M465.26T1373.143",-0.022161,-0.25792,0.083182,-0.0051887,0.094926,-0.080905,-0.010822,-0.058612
"M341.283T1305.932",-0.1222,-0.010417,-0.09166,0.098034,0.056202,-0.13159,0.13265,-0.025238
"M330.261T1473.013",-0.030972,0.028553,-0.060325,0.054774,-0.065645,0.047115,-0.00099901,-0.069229
"M533.435T1510.689",0.09748,-0.014271,-0.028456,0.059887,-0.13196,0.006259,0.050962,0.0095594
"M471.796T1446.028",-0.057877,-0.036891,-0.05198,0.0027818,-0.041513,0.059967,0.025093,-0.12124
"M339.172T1490.329",0.061762,0.10948,0.045246,-0.019724,0.037886,-0.17087,-0.10697,0.08281
"M558.46T1591.049",0.08508,-0.0262,-0.12865,0.046984,0.082152,0.056006,0.081169,-0.062269
"M516.434T1624.418",0.070298,0.026363,0.012236,0.054917,0.17379,-0.058636,0.037633,-0.12494
"M722.58T1595.75",-0.064842,0.10273,-0.34962,0.15302,0.091868,-0.079786,-0.10144,-0.10917
"M477.343T1423.013",0.01228,-0.02654,-0.073003,0.06809,-0.032423,0.078896,0.0031425,-0.067376
"M332.328T1440.13",-0.052074,0.0084824,-0.022811,0.041454,-0.038588,0.068841,-0.095489,-0.04986
"M494.563T1509.9",0.084329,0.053704,-0.038507,-0.008204,0.031457,-0.065877,0.062031,0.058695
"M481.362T1591.564",0.06531,-0.044571,0.015088,0.10566,0.039095,-0.06031,0.10759,-0.19771
"M443.333T1262.042",-0.16639,-0.014175,-0.11601,0.071004,0.0084409,-0.089305,0.14619,-0.027781
"M510.367T1523.593",0.062425,-0.074836,-0.12779,0.1265,0.0049746,0.0026791,-0.092811,0.096787
"M545.456T1607.833",0.07442,-0.02125,-0.052091,0.038006,0.048135,0.020034,0.031127,0.15921
"M669.539T1543.447",0.070099,-0.04493,-0.12989,0.092285,-0.11387,0.04726,-0.01009,0.03298
"M669.531T1507.08",0.081545,-0.045265,-0.13022,0.08188,-0.11558,0.065638,0.030944,0.052247
"M629.509T1624.418",0.11108,-0.035617,-0.059287,0.036626,0.032221,-0.086815,0.06518,0.14714
"M383.284T1439.726",-0.063659,0.010171,-0.095277,0.012908,0.0014017,0.013197,0.059373,-0.020034
"M589.501T1621.712",0.086216,0.057258,-0.22256,0.16374,0.00049282,-0.11944,-0.10095,0.15816
"M534.444T1557.26",0.08461,-0.039318,-0.0077483,0.11059,-0.04083,-0.018745,0.09382,0.053207
"M494.565T1422.678",-0.016635,0.084478,-0.12502,0.10305,-0.063651,-0.059624,0.090652,0.086465
"M516.411T1568.021",0.046128,-0.063389,0.020177,0.014307,0.062722,-0.017642,-0.0073136,0.019199
"M492.408T1557.26",0.058052,-0.025134,-0.06395,0.047556,-0.044744,-0.038294,0.0067908,0.061325
"M533.436T1590.96",0.068054,-0.14524,-0.0019918,0.056095,-0.086818,0.044396,-0.063994,-0.057739
"M628.514T1473.756",0.094901,0.081008,-0.15231,-0.025253,-0.054569,0.06371,-0.038075,0.011511
"M628.529T1624.373",0.088024,-0.05066,-0.21559,0.055826,0.032846,-0.10263,-0.1043,0.094701
"M609.518T1624.418",0.072184,-0.037337,-0.10205,0.02687,0.069849,-0.10709,0.087922,-0.047368
"M465.265T1237.073",-0.013644,-0.091811,-0.10803,0.043758,-0.067011,0.081721,0.036433,-0.057051
"M669.562T1624.559",0.074716,-0.047071,-0.1378,0.068649,-0.053702,0.045756,0.001105,0.045211
"M628.528T1608.773",0.089961,-0.037969,-0.20829,0.063351,0.077648,-0.097116,-0.072762,0.10226
