"","filter","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"M386.164T943.456",254043.87945,1204.3293,120658.838,152366.76,782838.279,321000,235741.102,849000,153000,448393.002,1521.1824,239809.191,1517.7063,431999.2196,188000,543112.995,149485.127,187249.068,157000
"M635.491T1472.841",66479.64625,186608.0476,219478.899,228644.718,270925.463,286000,283925.041,251000,430000,306625.501,121561.6736,460405.348,102626.0057,243537.5992,726000,218693.366,271525.377,230879.698,289000
"M399.308T1262.042",47480.452225,64986.7223,2172556.166,632565.324,132589.419,214000,135846.553,141000,128000,117667.682,72558.2042,91878.445,100576.9347,122073.0509,151000,158872.979,102347.387,110044.556,96100
"M578.503T1590.788",38228.640425,78102.5331,76917.48,84838.431,103383.055,94800,119438.366,88200,158000,113745.494,48435.5997,145511.681,49150.9287,101718.8313,128000,77546.297,100801.48,85156.683,130000
"M549.428T1523.962",46289.042,60481.7533,69344.604,85810.02,106404.593,120000,65794.911,103000,161000,135569.581,63593.8205,140501.978,46480.2344,116249.2284,99400,99281.886,142936.033,112454.871,119000
"M807.348T918.929",1932905.13225,4041.1379,253963.057,691204.147,11604876.95,1200000,2373636.177,11300000,891000,320161.972,12989.1786,1231520.939,1847.9355,4863569.698,1290000,5306926.053,480118.833,2051316.747,722000
"M542.478T1573.977",39180.684,9044,29286.757,15302.819,60094.731,55400,99626.698,60200,108000,109751.451,671.82714,79386.131,3359.1357,56845.2864,64400,46201.986,69384.993,68707.273,73800
"M522.261T1109.944",18899.322725,5867.8096,154053.761,181417.946,76183.448,113000,87559.793,74200,75300,73667.373,19380.7157,75303.924,18615.3622,90833.0683,71300,77331.426,58708.411,90665.459,121000
"M425.215T1355.365",37029.409525,214667.2112,312005.001,301813.579,364219.686,294000,321482.766,311000,302000,305736.751,259515.8335,295044.325,279098.2759,442896.3333,280000,383134.881,250842.71,273266.363,269000
"M605.427T1490.314",78373.2295000001,168167.6138,191591.976,237539.332,268498.53,265000,221955.81,283000,369000,358048.858,219694.5914,309230.791,205621.9622,276919.1232,1060000,247904.699,365409.484,289207.307,288000
"M475.412T1607.605",19774.979475,33636.3167,29122.145,12141.735,42608.113,50700,55928.277,33300,52900,54371.933,36194.638,66108.413,25983.5593,58074.3031,39800,40194.546,43617.621,53087.707,60000
"M330.263T1492.022",15500.517925,146481.4689,176199.229,177938.484,135283.934,121000,128550.539,140000,125000,132584.786,143946.0237,126797.13,135806.3923,157056.408,128000,144902.555,140695.51,135165.686,131000
"M629.463T1474.173",108422.524,192573.1383,287930.169,303186.438,366995.413,353000,339980.927,276000,468000,364847.883,116945.4012,489047.742,103705.5945,343314.113,433000,285791.716,415905.687,323758.719,404000
