"","Comp 1","Comp 2","Comp 3","Comp 4"
"M316.385T321.843",0.02751,0.021071,0.045783,0.037864
"M967.407T978.889",0.046006,-0.070485,-0.0048991,-0.027701
"M524.981T106.871",0.034341,-0.016618,0.0089476,0.067875
"M950.342T882.081",0.055203,-0.037993,-0.042121,0.0024197
"M822.313T886.782",0.040707,-0.049903,-0.011761,-0.026609
"M497.109T889.816",0.029422,-0.1084,-0.010973,0.043975
"M1461.92T936.679",0.033554,-0.050176,-0.011957,0.011747
"M970.768T318.573",0.035792,0.0049179,0.00044331,-0.014668
"M857.325T1034.658",0.059184,-0.061615,-0.042518,-0.03325
"M1005.392T917.562",0.040404,-0.012097,0.017787,-0.020258
"M357.576T759.445",0.02366,-0.023889,-0.027144,0.03092
"M365.052T459.24",0.036062,-0.06295,0.038884,0.0963
"M271.021T88.704",-0.0016197,-0.049604,0.0031921,0.017542
"M968.386T889.852",0.043388,0.0029639,0.010516,-0.0074219
"M593.686T850.456",-0.012993,0.014016,0.045336,0.06763
"M505.029T765.672",0.046181,0.039434,0.02429,-0.00066751
"M1035.367T890.845",0.045349,-0.0054218,0.016834,-0.0146
"M565.054T1199.484",-0.021949,0.021944,-0.056943,-0.007185
"M491.208T833.798",0.052702,-0.081378,0.023988,-0.020722
"M728.286T863.521",0.049027,0.0040806,-0.018397,0.0060498
"M969.4T973.77",0.051737,-0.062498,0.0030915,-0.014294
"M333.135T1582.426",-0.0057983,-0.027439,0.029792,0.030896
"M377.181T797.379",0.032323,0.0015057,0.059824,0.0093366
"M369.388T763.979",-0.0052023,-0.0145,-0.012783,0.060221
"M1161.526T895.081",-0.022258,0.0030187,-0.0041022,0.049633
"M266.946T113.686",-0.010766,-0.03967,0.018099,0.027713
"M696.3T853.355",0.047437,-0.020691,-0.051856,0.0077517
"M1007.373T920.82",0.042743,-0.022078,0.015421,-0.0070669
"M589.773T907.878",-0.034871,-0.026557,-0.012584,0.059531
"M445.037T424.564",0.00090428,-0.020208,-0.017615,0.025174
"M988.804T68.066",0.027401,-0.034141,-0.010343,0.08538
"M595.261T805.416",0.0479,-0.06988,0.013677,-0.029348
"M1323.606T888.291",-0.00878,0.027149,-0.079352,0.041788
"M688.263T861.089",0.046525,-0.012593,0.019883,-0.027891
"M971.627T318.415",0.034248,0.00085295,0.042643,-0.0064422
"M1143.444T941.11",0.051618,-0.032417,0.013206,-0.009918
"M1094.293T897.844",0.023332,-0.032042,0.040692,-0.044059
"M967.394T924.933",0.044389,-0.046206,0.0097124,-0.012871
"M702.255T837.404",0.037021,-0.00054092,-0.02108,-0.027219
"M379.067T781.128",0.023159,-0.030152,0.064357,0.090926
"M714.253T913.384",0.045057,-0.0056447,0.0078507,-0.017474
"M773.211T817.036",0.028882,-0.031936,-0.00067209,-0.04514
"M589.271T908.408",-0.041609,-0.024242,-0.023789,0.044267
"M795.27T865.806",0.045565,0.0017333,-0.023224,0.02533
"M264T169.106",-4.4752e-05,-0.042939,-0.0096637,0.076999
"M1095.906T894.31",0.033034,0.016688,0.068341,0.01156
"M625.024T106.841",0.039518,0.020506,0.025003,0.063582
"M311.065T863.883",0.018581,0.040251,0.086359,-0.0033428
"M631.833T319.717",0.027195,0.047063,0.00079918,0.0020658
"M644.248T900.496",0.03893,-0.045531,-0.01358,0.024041
"M889.313T902.886",0.034895,-0.063641,0.014823,0.0062723
"M273.314T67.476",-0.0031159,-0.135,0.010072,0.063248
"M950.337T882.881",0.053709,-0.036713,-0.046096,-0.018601
"M559.053T88.871",0.028502,0.0075014,-0.039955,0.024804
"M576.128T818.314",-0.027062,0.027147,0.064015,0.04617
"M569.273T895.199",-0.023179,-0.011929,-0.028922,0.05549
"M751.173T317.266",0.035511,0.013988,0.012194,0.012301
"M272.963T113.946",0.013662,0.018371,-0.0019409,0.024944
"M279.164T1614.563",0.022257,0.033371,-0.033614,0.034221
"M549.147T750.744",0.029728,0.014766,0.017223,0.041521
"M553.051T758.396",0.02715,-0.016561,-0.036924,0.015174
"M263.13T940.795",0.042876,-0.0076723,-0.059635,-0.0017154
"M445.207T780.093",0.03441,0.020641,0.039223,0.014877
"M631.863T318.629",0.034388,0.0061462,0.027562,0.004222
