"","PC1","PC2","PC3","PC4","PC5"
"M447.259T942.596",0.023548,-0.026194,0.0010575,-0.010195,0.0053804
"M355.067T660.488",-0.0071256,0.020222,0.023227,0.054645,-0.0027685
"M1134.038T907.684",-0.048649,0.044998,0.042535,0.051529,0.01402
"M819.254T316.358",0.038598,-0.0011301,-0.0044079,0.016577,0.0094236
"M383.609T322.831",0.021406,-0.022597,0.038989,-0.021362,0.0051968
"M341.31T626.276",0.043327,-0.037169,-0.0052931,0.0010573,0.0014865
"M579.151T798.32",-0.021134,0.044832,0.043736,-0.025137,0.0043297
"M784.154T761.471",0.035664,-0.014548,0.018228,-0.0068173,0.0010626
"M323.187T1016.246",0.041133,-0.057179,0.014929,0.0035151,0.004465
"M1099.581T1224.487",0.029325,0.0043544,-0.015324,0.038851,-0.0033482
"M206.988T126.118",0.020974,0.0016748,0.036971,-0.03142,0.0060387
"M685.228T857.881",0.039308,0.013944,-0.028654,0.033539,-0.0059627
"M441.162T763.637",0.037753,0.031768,-0.004794,0.0011022,0.0071158
"M963.275T732.778",0.028835,0.01978,0.038829,-0.0055212,-0.0014223
"M991.316T318.206",0.035211,0.016686,0.000589,-0.016272,0.00093901
"M867.206T809.129",-0.015823,0.049914,-0.038296,-0.036648,0.0065026
"M403.064T798.991",-0.033202,-0.009217,0.061946,-0.015327,-0.0085272
"M836.522T1479.692",0.030678,-0.045179,0.0078288,0.012473,-0.00041318
"M399.275T1363.391",0.015376,-0.031799,-0.0044997,0.028309,0.0065799
"M548.179T817.387",0.035869,0.019202,-0.062066,0.018126,0.0049171
"M524.183T892.811",0.04062,0.0044135,0.0063721,0.0098472,0.0067186
"M518.153T824.178",0.031419,0.017543,-0.0072767,-0.00018798,0.008858
"M1096.548T894.929",-0.022376,0.018375,0.04956,0.041312,-0.006123
"M999.268T316.316",0.040586,-0.025677,0.0017744,0.0167,0.0077622
"M266.366T1577.236",0.026802,-0.0211,0.027515,0.0048571,0.004658
"M836.743T1479.398",0.030919,-0.013503,0.024695,-0.026105,0.0044599
"M252.965T98.618",0.027983,0.029106,0.036012,-0.073073,-0.002751
"M529.154T821.794",0.042601,-0.011875,-0.031342,-0.015224,0.0036161
"M487.212T857.117",0.043183,-0.033242,0.010742,-0.016367,0.0020691
"M1323.386T316.247",0.03538,0.0046953,-0.053043,0.028706,0.0074672
"M501.206T823.684",0.055102,0.06013,-0.015053,0.011331,0.00066284
"M438.049T766.588",0.038347,-0.035843,-0.0045156,-0.031512,0.0012891
"M1013.583T1347.533",0.036709,-0.015078,-0.011951,0.0078811,0.0046498
"M407.045T415.442",0.031558,-0.026927,0.0081715,0.0018109,-0.0010971
"M331.068T223.104",0.029036,0.010366,0.036814,0.03033,-0.0059902
"M384.092T841.195",-0.0024837,-0.013106,0.066827,-0.047296,0.0066259
"M1611.697T937.933",0.053982,0.024527,-0.027461,-0.024044,0.0082008
"M653.913T316.046",0.036129,-0.026145,0.01582,0.038017,-0.0029092
"M969.317T316.321",0.041286,0.0062386,-0.011952,0.014489,-0.00029641
"M311.104T1075.82",0.058105,-0.0069313,-0.029558,-0.039543,0.01456
"M380.071T778.258",0.040779,0.035916,0.074928,-0.029412,0.0035273
"M638.078T817.768",0.040121,0.038586,-0.0064633,0.020912,0.0039294
"M651.317T893.83",0.026362,-0.019275,-0.0089899,0.021842,-0.0029528
"M1167.557T907.179",-0.032203,0.023107,0.040765,0.066297,-0.0085966
"M221.066T891.624",0.042515,-0.00052996,0.04535,-0.017528,0.011735
"M204.085T413.719",0.072019,-0.075292,-0.014317,-0.035624,0.002408
"M621.125T857.148",0.022299,-0.0095034,0.04357,0.093693,0.0018589
"M1009.554T1308.282",0.024178,-0.033062,-0.0096709,-3.3257e-05,-0.0020675
"M483.178T941.182",0.041,-0.049173,0.03309,0.049926,-0.0003143
"M1057.411T880.24",0.045263,0.047088,-0.0069433,-0.02524,0.0063241
"M469.208T948.545",0.04852,0.0073538,0.017382,-0.065963,0.0042446
"M673.289T892.945",0.04114,-0.003899,0.0099473,0.018927,0.0058838
"M833.365T968.818",0.053471,0.026633,0.017213,0.024262,-0.0019211
"M893.38T934.735",0.050035,0.05514,-0.039174,-0.0094054,-0.006972
"M393.176T847.594",0.040856,-0.0025128,0.026996,0.0030819,0.0067193
"M981.364T901.259",0.037491,0.033904,-0.0063642,0.020912,-0.001337
"M653.935T315.929",0.036721,-0.004188,-0.005991,0.012759,0.0077973
"M865.491T1326.551",0.027608,-0.006272,0.012412,0.010909,-0.0011022
"M449.202T630.506",0.035316,-0.0049279,0.022068,-0.023665,0.0021339
"M437.065T776.272",0.011631,0.011784,0.028688,0.00044243,-0.00051545
"M268.959T125.12",0.038005,0.0025017,0.023013,0.00023193,0.0036043
"M551.272T837.928",0.039981,0.017823,-0.049269,-0.011319,0.011179
"M456.197T892.811",0.038754,-0.0025298,0.0081048,0.023865,0.0052859
"M356.995T88.504",0.019212,-0.0065813,-0.032319,-0.050665,0.0055351
"M391.157T830.263",0.064206,0.074652,-0.051842,-0.00066668,0.0074888
"M567.778T908.116",-0.029448,0.034738,0.049347,0.038221,-0.0060487
"M559.667T1200.71",0.0032814,0.036284,0.032343,-0.071089,0.0059879
"M455.193T892.238",0.053956,-0.00079012,0.021645,0.054053,0.0048707
"M651.363T1268.695",-0.029356,-0.038391,0.0020059,0.028811,-0.00053012
"M1255.613T888.434",0.010549,-0.0016121,0.065165,-0.0093829,0.0019046
"M701.195T940.853",0.013473,-0.019285,0.034922,0.0069054,0.0013171
"M587.201T848.147",0.037397,-0.032749,0.0086734,0.032375,-0.0024646
"M1014.419T974.744",0.063908,0.0193,0.011994,0.02128,0.0002592
"M383.555T317.319",0.024525,-0.01429,0.033425,-0.018392,0.0030637
"M593.857T757.673",-0.02452,0.023225,0.11524,-0.003969,0.00075298
"M569.35T895.921",-0.028086,0.028108,0.089542,-0.0038463,0.001486
"M423.224T921.021",0.031856,0.018693,-0.047454,0.018535,0.0064177
"M325.2T1323.486",0.019836,-0.024932,-0.026713,-0.037343,0.0050066
"M269.103T792.774",0.036909,-0.0082854,0.0043494,-0.013148,0.00275
"M637.025T106.841",0.033947,-0.014388,-0.017736,0.043193,-0.0017927
"M334.932T113.331",0.017084,-0.008527,0.045652,-0.013938,-0.0024765
"M433.784T801.352",0.047291,0.018295,-0.0084006,-0.0155,0.0012917
"M1048.557T894.929",-0.0076819,-0.023036,0.046078,-0.046695,-0.0010475
"M295.104T156.471",0.031913,-0.027987,0.0097278,-0.034457,0.0012565
"M398.263T1317.762",0.035696,-0.044888,0.014118,-0.037401,0.00090248
"M653.828T318.352",0.028199,-0.012573,0.0059885,0.0197,0.0037588
"M1103.415T879.391",0.041133,0.055266,-0.0092983,-0.018685,0.0022794
"M997.975T1403.846",0.015839,-0.045381,-0.031466,0.03037,-0.0090473
"M1039.403T917.165",0.048976,0.058074,0.0069344,-0.016942,0.020915
"M1037.324T316.098",0.037466,0.0068326,0.0058165,0.0020989,0.0034262
"M509.218T928.864",0.036698,0.014068,0.020712,-0.0015645,0.0073094
"M1308.415T315.705",0.045001,0.0036763,-0.02073,-0.006818,-0.0010329
"M311.186T1077.614",0.026129,0.001256,0.050551,-0.043657,0.0021729
"M969.321T316.442",0.042454,-0.0015454,-0.025493,0.01348,0.0055259
"M333.083T110.42",0.024669,0.016268,0.052321,0.0015834,0.00058945
"M1063.398T908.83",0.05054,-0.00016681,-0.0023689,-0.074751,-0.0032601
"M361.512T316.902",0.037731,0.031634,-0.009158,-0.00086656,-0.0019909
"M485.178T783.442",0.040176,0.009002,-0.035869,-0.010055,0.0031523
"M449.205T834.832",0.057604,0.050898,-0.035884,-0.012803,0.01183
"M439.083T756.683",0.027965,-0.035199,0.0081338,-0.022285,-0.0023437
"M479.19T902.518",0.037134,0.014968,-0.027822,0.011284,-0.0033421
"M413.081T316.361",0.03526,-0.020074,0.0033327,-0.0034284,-0.0013383
