"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M265.093T134.502",1.0657,1.0052,1.0038,1.0038
"M895.304T938.238",1.0655,1.0508,1.0494,1.0494
"M385.113T835.894",1.0653,1.0497,1.0498,1.0498
"M173.008T106.871",1.0645,1.0235,1.0234,1.0234
"M863.373T951.624",1.0632,1.101,1.0997,1.0997
"M401.049T776.54",1.0629,1.0058,1.0055,1.0055
"M1015.586T1347.819",1.0616,0.99866,0.99752,0.99752
"M470.098T771.956",1.0595,1.0079,1.0065,1.0065
"M627.229T851.009",1.057,1.0333,1.0326,1.0326
"M669.182T316.584",1.0551,0.99335,0.99197,0.99197
"M1095.906T894.31",1.0549,1.0211,1.0249,1.0249
"M927.368T972.44",1.0547,1.0673,1.0659,1.0659
"M306.936T1813.234",1.0534,1.0291,1.0282,1.0282
"M819.254T316.358",1.053,0.99603,0.99491,0.99491
"M465.141T849.089",1.0521,1.0514,1.05,1.05
"M967.394T924.933",1.0513,1.0803,1.0789,1.0789
"M567.171T792.05",1.0511,0.98771,0.98633,0.98633
"M619.189T858.982",1.051,0.98909,0.98782,0.98782
"M549.174T847.493",1.0505,0.9897,0.98942,0.98942
"M1057.411T880.24",1.0498,1.0759,1.0761,1.0761
"M456.197T892.811",1.0495,0.99464,0.99387,0.99387
"M728.269T963.544",1.0493,1.1305,1.1292,1.1292
"M921.374T936.829",1.0491,1.0617,1.0602,1.0602
"M544.284T936.329",1.0478,1.0965,1.0956,1.0956
"M551.272T837.928",1.0478,1.001,1,1
"M329.089T195.942",1.0477,1.0162,1.0166,1.0166
"M351.13T801.057",1.0472,0.98609,0.9847,0.9847
"M361.589T316.501",1.0451,1.0053,1.004,1.004
"M449.202T630.506",1.0435,0.98135,0.98042,0.98042
"M590.015T907.684",1.0435,0.98821,0.98705,0.98705
"M413.167T733.785",1.0433,0.98072,0.97935,0.97935
"M595.261T805.416",1.0432,1.1834,1.1819,1.1819
"M709.31T874.193",1.0429,0.98358,0.98271,0.98271
"M475.187T823.258",1.042,1.066,1.0647,1.0647
"M626.212T761.224",1.042,0.98018,0.98159,0.98159
"M481.183T807.444",1.0394,1.0357,1.0347,1.0347
"M806.921T938.616",1.0394,0.99026,0.98955,0.98955
"M970.768T318.573",1.039,0.97752,0.97614,0.97614
"M1136.545T907.7",1.0383,1.012,1.0106,1.0106
"M268.959T125.12",1.0377,0.98089,0.97951,0.97951
"M649.302T900.549",1.0372,0.97466,0.97331,0.97331
"M503.126T874.193",1.0368,1.0002,0.99897,0.99897
"M507.151T845.473",1.0362,1.0133,1.0118,1.0118
"M702.255T837.404",1.036,0.974,0.97317,0.97317
"M702.25T942.066",1.0343,0.97248,0.97144,0.97144
"M399.165T851.906",1.0334,0.98521,0.98394,0.98393
"M545.846T78.22",1.0322,1.0145,1.0147,1.0147
"M729.273T847.264",1.0322,0.9704,0.96972,0.96972
"M323.019T128.103",1.0318,0.97451,0.97314,0.97314
"M454.975T107.571",1.0316,1.0402,1.0389,1.0389
"M418.896T66.885",1.0298,1.0905,1.0912,1.0912
"M642.242T817.768",1.0282,0.96751,0.96638,0.96638
"M967.561T1349.704",1.0257,0.96418,0.96335,0.96335
"M349.057T865.046",1.0253,0.97301,0.97175,0.97175
"M653.935T315.929",1.0242,0.96493,0.96376,0.96376
"M397.259T1311.545",1.0223,0.99512,0.99577,0.99577
"M579.301T894.416",1.0221,0.9762,0.97557,0.97557
"M631.863T318.629",1.0208,0.96368,0.96322,0.96322
"M345.082T140.774",1.0191,0.95983,0.95866,0.95866
"M407.045T415.442",1.018,0.97191,0.97068,0.97068
"M1097.561T894.34",1.0167,0.95563,0.95793,0.95793
"M808.342T938.944",1.0126,1.0284,1.0271,1.0271
"M429.074T115.482",1.0095,0.95452,0.95432,0.95432
"M433.122T384.02",1.0093,1.2776,1.2761,1.2761
"M661.226T856.483",1.0076,1.0114,1.0114,1.0114
"M448.965T106.062",1.0072,0.9888,0.9913,0.9913
"M804.318T962.853",1.0052,1.0908,1.0894,1.0894
"M823.337T914.416",1.0049,1.0263,1.025,1.025
"M632.783T316.499",1.0046,0.94696,0.94604,0.94604
"M998.841T1404.514",1.0042,1.0866,1.0851,1.0851
"M451.174T880.577",1.0041,1.1484,1.1468,1.1468
"M439.083T756.683",1.0034,0.9982,0.99689,0.99689
"M425.165T761.881",1.0034,0.95869,0.95889,0.95889
"M443.191T791.98",1.0025,0.97128,0.97027,0.97027
"M881.515T1351.787",1.0021,0.99788,0.99648,0.99648
"M1031.288T315.245",1.0015,0.96499,0.96486,0.96486
"M581.318T900.123",1.0012,0.94721,0.94709,0.94708
"M971.627T318.415",1.0008,0.94231,0.94316,0.94316
"M1037.324T316.098",1.0005,0.95095,0.94961,0.94961
"M180.971T1182.798",0.99802,0.95812,0.95677,0.95677
"M1036.399T977.849",0.99725,1.0854,1.0852,1.0852
"M941.306T938.915",0.99574,1.0055,1.0041,1.0041
"M631.833T319.717",0.99092,1.0377,1.0363,1.0363
"M467.051T320.771",0.98946,0.94472,0.94548,0.94548
"M418.218T902.438",0.98941,1.035,1.0353,1.0353
"M1009.607T1323.757",0.98913,0.93307,0.93215,0.93215
"M1095.84T892.791",0.98748,1.4001,1.4027,1.4027
"M911.26T1004.032",0.98672,1.1082,1.1069,1.1069
"M351.085T316.423",0.98582,0.92848,0.92717,0.92717
"M431.769T791.594",0.9853,0.98074,0.97989,0.97988
"M1094.047T894.516",0.98438,0.93133,0.93043,0.93043
"M385.188T793.619",0.98301,0.92424,0.92294,0.92294
"M405.177T839.252",0.97828,0.93005,0.931,0.931
"M795.198T1006.041",0.97734,1.0316,1.0306,1.0306
"M461.152T871.999",0.97727,0.9184,0.9174,0.9174
"M1053.286T316.584",0.97659,0.92902,0.92779,0.92779
"M967.407T978.889",0.97592,1.1484,1.1468,1.1468
"M359.098T671.316",0.97535,0.9172,0.91748,0.91748
"M335.137T198.47",0.97486,0.92872,0.92765,0.92765
"M380.071T778.258",0.97166,0.97547,0.97563,0.97563
"M459.149T771.729",0.97144,0.91501,0.9139,0.91391
"M836.743T1479.398",0.97088,0.92175,0.92091,0.92091
"M999.727T1404.686",0.96987,0.95335,0.95306,0.95306
"M530.968T106.005",0.96975,0.91687,0.91593,0.91593
"M685.228T857.881",0.96899,0.95643,0.95586,0.95586
"M333.109T769.719",0.96709,0.92983,0.9471,0.9471
"M576.861T67.042",0.96665,0.90863,0.90747,0.90747
"M593.763T756.056",0.96656,0.94468,0.94411,0.94412
"M970.001T316.098",0.96616,0.96361,0.96261,0.96261
"M937.334T882.127",0.96565,0.95506,0.95386,0.95386
"M313.275T1417.53",0.96106,0.95924,0.96101,0.96101
"M890.319T900.562",0.96039,0.96185,0.96058,0.96058
"M451.125T735.96",0.96006,0.91598,0.91587,0.91587
"M377.181T797.379",0.9593,0.90563,0.90887,0.90887
"M313.093T320.692",0.95824,0.91153,0.91032,0.91032
"M429.25T1071.941",0.95775,0.91091,0.90966,0.90966
"M476.876T67.016",0.95741,0.90801,0.9069,0.9069
"M429.504T310.912",0.95685,0.90529,0.90405,0.90405
"M565.23T844.341",0.95494,0.9266,0.92575,0.92575
"M885.489T1408.277",0.95407,0.90195,0.90075,0.90075
"M637.025T106.841",0.95352,0.89816,0.8994,0.8994
"M313.094T115.286",0.95057,0.89766,0.89771,0.89771
"M698.26T899.18",0.95009,1.0411,1.0397,1.0397
"M569.35T895.921",0.94902,0.91987,0.91866,0.91867
"M745.161T766.586",0.94783,0.90738,0.90838,0.90837
"M567.276T907.878",0.94734,0.93156,0.93088,0.93088
"M577.255T863.306",0.94475,0.89153,0.89027,0.89027
"M340.859T1719.351",0.94443,0.88801,0.89093,0.89093
"M509.218T928.864",0.94256,0.90836,0.90711,0.90711
"M429.141T889.195",0.94214,1.0177,1.0223,1.0223
"M1463.523T939.044",0.94178,1.2875,1.2856,1.2856
"M1094.946T896.052",0.94174,0.96169,0.96037,0.96037
"M479.19T902.518",0.94038,0.91287,0.9116,0.9116
"M767.194T317.413",0.93884,0.89739,0.89616,0.89616
"M399.092T115.22",0.93786,0.90431,0.90526,0.90526
"M799.289T814.54",0.93768,0.9114,0.91226,0.91226
"M329.088T425.59",0.937,0.89171,0.89049,0.89049
"M315.108T761.986",0.93687,0.96231,0.96324,0.96324
"M655.999T943.196",0.93536,0.87894,0.88209,0.88209
"M401.05T875.074",0.93158,0.90142,0.90103,0.90103
"M385.077T746.611",0.93035,0.92527,0.92441,0.92441
"M1136.99T908.053",0.92787,0.9258,0.92479,0.92479
"M941.317T938.576",0.92728,0.93465,0.93337,0.93337
"M401.144T790.222",0.9266,0.8707,0.87003,0.87003
"M609.153T789.212",0.92563,0.8754,0.87417,0.87417
"M988.312T316.465",0.92474,0.88659,0.88534,0.88534
"M527.309T1189.176",0.92467,0.88815,0.88953,0.88953
"M1323.386T316.247",0.9239,0.88588,0.88531,0.88531
"M937.388T970.431",0.9237,0.90643,0.90516,0.90516
"M549.147T750.744",0.92296,0.8829,0.88208,0.88208
