"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M420.91T18.56","-0.569321889","-0.043276132","-0.043276132","-0.127096721","-0.050315782"," 0.099666041"," 0.005358034","-0.039333282","-0.285847767"," 0.546305616","-0.029963788","-0.284274786"," 0.288963487"," 0.494671170","-0.288863044"," 0.659862351"," 0.169246148","-0.037088679","-0.158923873","-0.093253774","-0.213237199"
"M428.92T12.55"," 0.18888607","-0.08006725","-0.08006725"," 0.28881874"," 0.14923371"," 0.04716578"," 0.12415984","-0.38314796"," 0.04029051","-0.64262772"," 0.30371532","-0.05339530"," 0.10691115","-0.17805925"," 0.16055234","-0.16466444","-0.26739373"," 0.07435918"," 0.08529722"," 0.10011469"," 0.17991835"
"M428.92T17.56","-0.36436655","-0.29049608","-0.29049608","-0.19233649"," 0.11509840","-0.03598719"," 0.13305190"," 0.07054354","-0.03131601"," 0.10912352"," 0.21067417"," 0.70580389"," 0.16230428"," 0.05001154","-0.23169880"," 0.53511265","-0.10091230","-0.07445428"," 0.18679767","-0.60812751","-0.05833028"
"M468.42T1623.34","-0.082168334","-0.001048952","-0.001048952","-0.131281946","-0.356919047","-0.136754557","-0.126224707"," 0.094555959","-0.100052213","-0.101437875","-0.030562431","-0.256001667"," 0.175379622","-0.066328178"," 0.513253875","-0.260101000","-0.072266872"," 1.003700351","-0.092336891"," 0.161254166","-0.133610352"
"M468.91T17.56","-0.529431425","-0.461644047","-0.461644047","-0.063622214","-0.002446805","-0.038788862","-0.033625506","-0.091484346","-0.149004045"," 0.577198014"," 0.029164679"," 0.591433464"," 0.012845393"," 0.529529767","-0.117951260"," 0.535885718"," 0.010984553","-0.033559728","-0.011047266","-0.123237203","-0.169554832"
"M480.89T18.57","-0.64853314","-0.25607005","-0.25607005"," 0.03952170"," 0.09514191","-0.01642678","-0.14192835","-0.14443139","-0.12573617"," 0.38783591"," 0.13697934"," 0.46604822"," 0.22169118"," 0.63444454","-0.18162978"," 0.53777221","-0.06576396","-0.12288441","-0.03217485","-0.23517204","-0.29261403"
"M496.91T17.56","-0.51592231","-0.27895566","-0.27895566","-0.03570137","-0.01238024"," 0.02351019"," 0.06358790"," 0.03719866","-0.09256347"," 0.59559890","-0.04235495"," 0.53304619","-0.28618464"," 0.56983834","-0.06878210"," 0.56089082","-0.02135338","-0.40556193","-0.02240197","-0.11156166","-0.21099166"
"M501.91T13.55","-0.03130646","-0.06496674","-0.06496674"," 0.14899364","-0.24207837"," 0.56082232","-0.17799294","-0.35427151","-0.12314657","-0.08930403","-0.08962188","-0.15544240"," 0.23134748"," 0.03727912"," 0.07548915"," 0.13779199"," 0.07761114"," 0.15886707","-0.20260437"," 0.36197549","-0.19447540"
"M502.87T19.22","-0.35243782","-0.06147901","-0.06147901"," 0.20109248"," 0.05587084"," 0.05818583","-0.03309403","-0.63248769","-0.04057694"," 0.70953463"," 0.15306485"," 0.68309871"," 0.10533980","-0.08803890","-0.02684285"," 0.03765972"," 0.22855940","-0.33335087"," 0.01088460","-0.51947970","-0.09402403"
"M516.89T18.56","-0.35395645","-0.31405741","-0.31405741"," 0.03093668"," 0.08392378"," 0.13553519"," 0.19997916","-0.07477610","-0.13009412"," 0.53951177","-0.01426400"," 0.66185109"," 0.10455181"," 0.50456352","-0.05890502"," 0.01302862","-0.03133837","-0.36304164"," 0.08217462","-0.65148527","-0.05008045"
