"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M1570.69T13.55","9536.617","12699.53","12699.53","12172.408","11938.63","12874.282","10990.887","11300","12269.479","14022.7249","11157.153","12490.324","9085.302","10939.335","11894.262","11584.987","12385.687","9971.437","13837.636","9729.24","9126.272"
"M1572.44T14.02","8069.011","8871.381","8871.381","10080.15","8596.397","8879.304","7879.568","8250","8147.633","8421.7806","9809.915","9097.997","10260.638","9162.296","9029.169","7963.216","8786.967","9467.942","9585.294","8735.95","11119.554"
"M1576.95T13.55","8215.59","8806.146","8806.146","10328.894","9047.777","8463.444","8482.434","6930","9371.183","8505.7888","9584.438","10611.141","9653.902","8372.084","10071.01","9473.705","9115.868","10161.384","11617.598","8029.012","11353.45"
"M1580.69T13.55","11932.976","12590.407","12590.407","12649.836","13420.659","11728.489","12038.678","13100","11912.446","11987.6695","13325.448","13992.588","9455.58","13298.682","12893.282","13850.59","10293.67","12417.775","12607.793","11148.577","9974.875"
"M1582.95T13.55","10031.866","9352.431","9352.431","11711.028","13691.715","12968.491","13277.337","10500","11545.925","13354.6245","12089.489","12530.177","14238.925","11971.424","11423.031","11922.793","10896.981","11308.451","11965.327","10117.379","14442.879"
"M1585.7T12.66","7385.381","7392.43","7392.43","6968.844","8853.516","7262.051","7384.498","6860","7361.102","7288.6711","7372.244","9471.473","8540.452","6692.501","8012.845","6726.045","8219.61","7971.568","7598.813","7863.498","4942.818"
"M1587.37T13.55","13226.64","11841.948","11841.948","16619.71","16228.748","16180.822","15103.674","12700","15526.511","15079.7947","13218.608","13457.746","16081.704","16378.884","17426.197","16661.468","14249.535","15354.828","17979.307","14160.112","17299.695"
"M1587.38T13.99","13190.289","11834.759","11834.759","16649.8","16178.452","14468.612","13027.49","14200","15666.412","14766.0246","14111.76","13420.217","14753.376","15782.482","14356.078","16664.438","14247.841","18266.581","15678.458","13287.34","20553.389"
"M1588.01T13.55","8927.606","9156.477","9156.477","11368.002","10249.638","12334.433","11241.592","8380","7865.917","9689.2071","11566.039","11007.93","9556.36","8938.31","10238.925","10219.192","10777.609","8399.427","10467.84","8660.765","11286.081"
"M1592.69T13.55","8555.66","11807.795","11807.795","10304.822","8916.045","9189.979","12479.258","8080","8791.874","9488.9305","9177.626","8687.755","9410.431","8368.068","8688.73","9665.614","6773.136","8710.025","9614.019","9669.884","7787.375"
"M1594.19T13.55","8311.579","6786.298","6786.298","10240.63","9260.676","8688.748","10988.882","9730","9598.01","9401.6774","9030.563","9677.963","10026.029","8946.219","9200.503","11882.737","10365.913","10217.838","9849.788","6623.812","11460.366"
