"","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","Other","Other","Other","Other","Other","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Control","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Drought","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Fusarium","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas","Third_Time-Point_Xanthomonas"
"M650.48T1420.61","  38416.83"," 455895.65"," 455895.65"," 569376.15"," 455040.39"," 331793.04"," 232600.35"," 362000.00"," 352545.52","  44323.87"," 853035.30","  47776.82","  56132.25"," 247443.68"," 167311.20"," 387405.03"," 338109.44"," 852852.44","1071182.98"," 608857.39"," 605583.85"
"M650.48T1403.57"," 26475.91","400334.76","400334.76","481787.77","462658.65","266480.28","368994.80","387000.00","304266.32"," 25331.56","652536.85"," 53127.31"," 34213.89","127116.18","129504.50","329529.69","293357.58","662718.56","872506.54","502525.49","511046.85"
"M653.86T17.74"," 7314.992","10517.761","10517.761","12286.750","11159.794","11142.864","12714.223","12200.000","11166.601","13093.758","12676.014","20178.683","14579.537","11012.860","10204.522"," 9728.976","11562.483","11196.308","12529.918","11658.872","11601.647"
"M660.87T12.55","32754.00","34386.85","34386.85","32749.96","32420.97","31727.97","34281.72","33300.00","31095.34","68900.96","31908.40","32735.83","31960.52","31483.78","32617.56","31153.62","33820.43","32761.40","36420.94","50453.92","41335.94"
"M660.87T17.56","22777.08","29007.96","29007.96","40826.11","41373.87","42148.09","41475.18","34300.00","31085.92","38806.67","40069.54","69395.82","41778.04","68874.00","36575.34","62840.75","42797.93","30070.54","41820.29","17522.09","42621.37"
"M663.46T1386.95"," 471318.3"," 904769.7"," 904769.7"," 901914.6"," 949979.9"," 705078.3"," 964388.5"," 729000.0"," 717733.1"," 505108.2","2225382.1"," 519867.8","2392244.6"," 467417.6"," 654905.4"," 500649.2"," 636841.6","1114756.4","1302356.8","1147063.6","1045598.7"
"M664.85T11.54"," 9693.616","10194.492","10194.492"," 9929.700","10459.284","11417.336","11249.410"," 7430.000","10926.682"," 8838.436","11188.789"," 8170.407","11166.736","11277.732","10348.954","10900.436","14139.950","10316.806","10737.652"," 7671.664","11380.267"
"M664.85T18.57","16878.73","21336.79","21336.79","23526.37","23242.63","25561.19","25597.38","19000.00","23401.08","26703.02","24640.76","26084.02","23432.26","23656.76","24156.82","20818.27","24470.24","20087.42","22812.09","13075.59","27712.00"
"M665.47T1403.68","  63488.15"," 697703.25"," 697703.25"," 853613.22"," 667453.15"," 425016.47"," 516741.22"," 713000.00"," 427229.81","  70925.38","1821685.73","  61251.06"," 319909.57","  63328.39"," 175278.38","  94426.63"," 488737.93","1661505.62","2041365.00"," 872294.67"," 962460.44"
"M665.47T1386.55","  63530.90"," 667321.55"," 667321.55"," 879737.37"," 734407.28"," 473066.08"," 530126.72"," 655000.00"," 565242.97","  62618.75","1444802.35","  61265.75"," 280549.10","  56389.26"," 155412.03","  85607.70"," 467742.45","1522393.95","1820941.90"," 845119.20"," 898532.29"
"M666.48T1403.51"," 31366.50","322565.40","322565.40","359326.24","288704.57","195395.53","220095.07","285000.00","207245.00"," 29534.65","696750.22"," 26519.96","116050.49"," 34092.52"," 70003.96"," 43230.51","191757.79","724213.71","907415.44","357382.50","365685.73"
