"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M454.144T914.383",1.1165,1.146,1.1459,1.1459,1.1459
"M795.198T1006.041",1.1163,1.0999,1.1001,1.1001,1.1001
"M771.83T66.444",1.112,1.1221,1.1219,1.1219,1.1219
"M1095.063T894.34",1.1096,1.0864,1.0863,1.0863,1.0863
"M1269.507T907.7",1.107,1.0881,1.088,1.088,1.088
"M529.154T821.794",1.1064,1.0924,1.0922,1.0922,1.0922
"M264T169.106",1.1048,1.0831,1.0829,1.0829,1.0829
"M799.191T949.166",1.1018,1.0786,1.0784,1.0784,1.0784
"M864.188T806.912",1.1003,1.0794,1.0793,1.0793,1.0793
"M544.284T936.329",1.1003,1.0782,1.0781,1.0781,1.0781
"M225.002T107.866",1.0932,1.081,1.0808,1.0808,1.0808
"M824.816T67.434",1.0926,1.1023,1.1023,1.1023,1.1023
"M822.313T886.782",1.0908,1.0944,1.0941,1.0941,1.0941
"M503.126T874.193",1.0881,1.0807,1.0807,1.0807,1.0807
"M765.729T983.05",1.0879,1.1199,1.1198,1.1198,1.1198
"M551.272T837.928",1.0855,1.0736,1.0736,1.0736,1.0736
"M243.065T108.531",1.0852,1.0623,1.0622,1.0622,1.0622
"M418.896T66.885",1.0849,1.0728,1.0726,1.0726,1.0726
"M868.801T68.637",1.0841,1.1244,1.1243,1.1243,1.1243
"M1143.426T942.716",1.0837,1.1267,1.1265,1.1265,1.1265
"M807.007T938.915",1.0834,1.062,1.0627,1.0627,1.0627
"M924.351T839.79",1.0796,1.0823,1.0822,1.0822,1.0822
"M596.277T932.512",1.0796,1.0639,1.0637,1.0637,1.0637
"M493.136T809.014",1.0756,1.0651,1.0652,1.0652,1.0652
"M759.826T66.885",1.0745,1.1024,1.1022,1.1022,1.1022
"M557.187T899.436",1.0736,1.0513,1.0511,1.0511,1.0511
"M549.147T750.744",1.0728,1.0529,1.0528,1.0528,1.0528
"M285.243T1390.408",1.0706,1.0497,1.0495,1.0495,1.0495
"M617.247T870.852",1.0701,1.0478,1.0477,1.0477,1.0477
"M445.095T115.802",1.0677,1.0499,1.0497,1.0497,1.0497
"M367.08T114.463",1.067,1.0582,1.0582,1.0582,1.0582
"M697.905T994.286",1.0669,1.0469,1.0467,1.0467,1.0467
"M430.136T769.014",1.065,1.0933,1.0932,1.0932,1.0932
"M657.266T958.998",1.0645,1.0437,1.0435,1.0435,1.0435
"M848.315T857.496",1.0639,1.0986,1.0984,1.0984,1.0984
"M911.268T936.747",1.0613,1.0568,1.0568,1.0568,1.0568
"M289.446T802.654",1.0558,1.0338,1.034,1.034,1.034
"M714.826T66.684",1.0554,1.0846,1.0844,1.0844,1.0844
"M1044.425T908.907",1.0545,1.0731,1.0729,1.0729,1.0729
"M505.902T66.721",1.0545,1.0792,1.079,1.079,1.079
"M399.092T115.22",1.0467,1.0247,1.0249,1.0249,1.0249
"M415.161T821.344",1.0449,1.0255,1.0253,1.0253,1.0253
"M295.104T156.471",1.0422,1.0202,1.0201,1.0201,1.0201
"M585.15T892.945",1.0378,1.0245,1.0243,1.0243,1.0243
"M705.205T926.435",1.0364,1.0864,1.0864,1.0864,1.0864
"M760.823T66.885",1.0362,1.0656,1.0654,1.0654,1.0654
"M486.878T66.684",1.0328,1.0113,1.0111,1.0111,1.0111
"M1095.906T894.31",1.0318,1.022,1.0221,1.0221,1.0221
