"","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M637.415T1439.736","-0.48045033","-0.12005657"," 0.18962842"," 0.14779841","-0.38421804","-0.07117824"," 0.09884742","-0.11052262"," 0.24586278"," 0.44139693"," 0.02007497"," 0.02281687"
"M759.217T1590.788"," 0.195277512","-0.049106782"," 0.066430983","-0.367025406","-0.149432778"," 0.009570027","-0.388872682","-0.225751463","-0.371609929","-0.237177208"," 0.475913852"," 1.041783876"
"M711.441T1125.643"," 0.1600632","-0.1555220"," 0.5899871"," 0.5048628"," 0.1386888","-0.4796449","-0.1507195","-0.2654681","-0.2947496"," 0.1909839"," 0.2404189","-0.4789006"
"M810.527T1193.498","-0.59649563"," 0.27614763","-0.15909046"," 0.20851418"," 0.29730599","-0.02359054","-0.19712663","-0.31260505","-0.01392382"," 0.02630069"," 0.20656079"," 0.28800285"
"M646.453T1439.754","-0.47548436"," 0.13192520","-0.06331494"," 0.10520547","-0.11615200","-0.40559040"," 0.46192877","-0.03156366"," 0.01375934"," 0.25472438"," 0.05782639"," 0.06673579"
"M379.265T1372.423","-0.08637773"," 0.50129388","-0.13117088"," 0.36436538","-0.02584545","-0.05314032","-0.36778144","-0.16853204"," 0.16390149"," 0.18057451"," 0.13017327","-0.50746066"
"M926.605T1358.969","-0.94522920","-0.08710451","-0.31784159"," 0.10477687"," 0.61831665","-0.17053173","-0.06564208"," 0.31337255"," 0.25056326","-0.17823974"," 0.16518477"," 0.31237475"
"M951.568T1338.092","-0.1532614"," 0.3840160","-0.6034246"," 0.1600554","-0.1539292","-0.3856410","-0.1535021","-0.3231809"," 0.3798922"," 0.2797787"," 0.2449275"," 0.3242696"
"M651.516T1408.532","-0.58451206"," 0.39939391"," 0.26549294"," 0.21614560","-0.03848479","-0.36909268"," 0.12479997"," 0.05970771","-0.04835749"," 0.32019444","-0.09619097","-0.24909661"
"M593.49T1557.453","-0.52521493","-0.21979591","-0.14378530"," 0.08302433"," 0.11034683","-0.12370850"," 0.14350630"," 0.21619569"," 0.49311415"," 0.19424947","-0.35536393"," 0.12743180"
"M881.483T1130.872"," 0.03360626"," 0.66161831","-0.44899947","-0.05333744"," 0.09614624","-0.19212244"," 0.03006291","-0.14689064"," 0.10525718","-0.23758366","-0.01478967"," 0.16703243"
"M967.557T1267.284"," 0.41698480"," 0.25796914","-0.27094999","-0.12339848","-0.03057949"," 0.30945264","-0.35698285","-0.18766709"," 0.06852939","-0.11816713"," 0.15615371","-0.12134463"
"M574.468T1330.445","-0.44584292","-0.02278752"," 0.15511492"," 0.41904696"," 0.08324425","-0.32767842"," 0.16128506"," 0.34948457","-0.20048227"," 0.37253717","-0.34757106","-0.19635073"
"M668.492T1305.416","-0.48507580"," 0.36628304","-0.05122860"," 0.45709402","-0.28916891","-0.43933905"," 0.35009060","-0.04119220"," 0.03699355"," 0.09875297","-0.14365369"," 0.14044406"
"M587.442T1269.605"," 0.40977768"," 0.47757888"," 0.10863105"," 0.38959815","-0.07411153","-0.28539069","-0.14630912","-0.29081151","-0.20675760"," 0.20360326","-0.55937620","-0.02643239"
"M711.566T1557.453","-0.42536483","-0.32228926","-0.07732594"," 0.12810703","-0.26773707","-0.26617247"," 0.28521723","-0.14268376"," 1.23861449","-0.09534866","-0.33941773"," 0.28440096"
"M648.466T1423.012","-0.65613761","-0.04002597"," 0.08897354"," 0.30918579","-0.26159726","-0.39400292"," 0.41121404"," 0.06752760"," 0.24274828"," 0.49090798","-0.32150671"," 0.06271324"
"M951.572T1242.045","-0.06160506"," 0.51036996","-0.51294954"," 0.09529913","-0.15705521","-0.35915379","-0.22737969","-0.42244500"," 0.38448082"," 0.22251154"," 0.17891869"," 0.34900814"
"M639.422T1278.929","-0.25379564"," 0.21210953"," 0.33394434"," 0.14454393","-0.27450026","-0.46155357"," 0.04769692"," 0.16683273"," 0.01947596"," 0.05207982","-0.03424996"," 0.04741620"
