"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M579.301T894.416",0.030705,0.0087572,0.019299,-0.010765,-0.044603,0.021668,0.02865,0.0032122
"M593.947T757.746",0.030661,-0.12977,0.05109,0.028111,-0.0039887,-0.089011,0.030479,0.084524
"M367.102T765.544",0.038422,0.01486,0.052936,-0.050948,-0.023373,-0.01188,-0.017279,-0.0031414
"M585.15T892.945",0.038968,0.0028537,0.0118,0.003215,-0.015526,-0.011289,-0.03497,0.056626
"M988.312T316.465",0.032432,0.0036921,0.0086511,-0.0014616,0.025037,-0.011287,0.019774,0.039276
"M735.437T1351.512",0.034725,-0.013026,0.043637,-0.034917,-0.02211,0.053109,-0.013475,0.014815
"M851.154T319.552",0.03408,-0.021547,0.013064,-0.0094621,-0.032191,0.025263,-0.017704,0.025056
"M265.093T134.502",0.034907,0.0083715,-0.0041266,-0.0011717,-0.011007,0.019037,-0.019778,-0.046347
"M575.708T1045.732",0.028058,-0.058747,0.021269,0.018166,-0.023915,0.014661,-0.077414,0.081783
"M657.063T941.851",0.034508,-0.044342,0.070806,0.010155,-0.0054666,0.049568,-0.043872,-0.015188
"M632.663T319.55",0.034971,0.0012651,0.016442,-0.036887,0.020829,-0.017273,0.0060322,-0.036892
"M809.433T1339.33",0.035531,-0.024825,0.026569,-0.021418,-0.010765,0.037769,-0.027494,0.0067567
"M654.008T318.692",0.038033,0.011092,0.011935,-0.032976,0.0093342,-0.015215,-0.012577,0.042352
"M923.402T931.508",0.044985,0.025669,-0.065856,0.040346,0.010403,-0.027869,0.025765,0.012599
"M428.2T856.891",0.043801,0.019061,0.029341,-0.010458,0.027312,-0.017433,0.022142,0.01771
"M281.069T746.743",0.033664,-0.018113,-0.019469,0.003275,-0.052893,0.021307,-0.038033,-0.015765
"M703.247T844.715",0.041067,7.4112e-05,0.011913,-0.01214,0.037274,0.026793,0.029546,-0.04081
"M590.015T907.684",0.031232,-0.097768,0.034444,-0.016736,-0.0039826,0.011872,-0.026977,0.014036
"M455.081T704.884",0.033856,-0.033086,0.0064379,0.015831,-0.0025005,-0.032352,-0.032383,0.01023
"M970.813T317.253",0.034775,0.011792,0.0018153,0.003768,0.036456,0.015343,-0.0028189,0.023481
"M997.575T1403.78",0.033728,0.013252,0.024094,-0.0080924,-0.027803,0.053094,-0.0089243,-0.022706
"M1053.286T316.584",0.034657,0.0063223,-0.0048553,-0.0078944,0.0090374,0.0043825,-0.0032376,0.019049
"M1163.085T907.707",0.0091705,-0.18538,0.0072473,0.018246,0.0637,-0.074442,0.012684,0.011494
"M421.636T753.774",0.036524,-0.066671,0.021412,0.030187,-0.013031,0.0091803,0.012312,0.053052
"M709.31T874.193",0.043413,-0.014486,8.8621e-05,-0.0038272,-0.012747,0.012026,0.0016723,-0.0040821
"M361.589T316.501",0.035131,0.0017181,0.018447,-0.022975,-0.02445,0.025685,-0.038411,-0.0073057
"M517.099T802.454",0.03289,-0.061644,0.034352,-0.023691,-0.0038352,0.014788,0.038691,-0.033236
"M982.374T904.236",0.045455,-0.0053314,0.013254,-0.010875,0.04264,0.0085864,0.0078642,-0.017427
"M383.433T314.152",0.033753,-0.031157,0.034499,-0.010974,-0.034718,-0.0008815,-0.021372,0.027892
"M362.298T315.255",0.0381,-0.026074,0.022045,-0.015875,-0.012646,0.035926,0.0092086,-0.02681
"M481.183T769.795",0.04102,-0.034653,-0.001589,0.058107,-0.0077064,0.0095497,-0.071171,0.026926
"M407.173T414.983",0.021835,-0.049214,-0.10574,0.10591,-0.11067,-0.016558,0.065327,0.0063516
"M1297.451T316.098",0.030637,0.034282,-0.011017,-0.011236,0.064126,-0.020924,0.039698,0.026384
"M727.283T864.823",0.031435,0.042748,0.052395,-0.02124,0.030559,-0.021737,0.03854,-0.0094886
"M847.495T1389.03",0.032788,-0.026285,0.030611,-0.025614,-0.044505,0.062294,0.0098906,-0.0096667
"M1031.84T1213.333",0.031044,-0.025939,0.01823,-0.0066443,-0.0089201,0.049393,0.00051028,0.0035459
"M937.515T1306.76",0.03515,-0.0071479,0.0086758,-0.043135,-0.015362,0.050943,0.0019434,0.0017809
"M570.518T894.146",0.034475,-0.05973,0.047971,-0.036394,-0.04642,0.0038499,0.01317,-0.059545
"M1162.717T895.445",0.033642,-0.060248,0.057944,-0.044384,-0.03384,-0.0060579,-0.013582,-0.045858
"M289.446T802.654",0.029843,-0.076846,0.086452,-0.029692,0.0040551,0.022966,0.023057,0.041724
"M970.001T316.098",0.02852,0.00030942,0.056152,0.0099514,0.077381,0.021111,-0.0075604,-0.04955
"M647.193T836.421",0.043215,-0.025812,-0.025586,-0.0051272,0.0032513,0.015041,0.011755,-0.01042
"M968.365T965.957",0.039644,0.014031,-0.08484,-0.0031567,0.035342,-0.018755,0.022299,-0.0599
"M863.184T809.21",0.032802,-0.066357,0.074465,-0.0010266,0.041097,0.017701,0.014105,-0.043091
"M565.23T844.341",0.034619,-0.0076782,0.032163,-0.010339,-0.029592,-0.0049205,-0.00017233,-0.015463
"M293.118T1042.937",0.063247,-0.012871,-0.028561,0.037479,0.02216,0.051497,-0.067901,-0.11034
"M483.209T897.853",0.036907,0.01575,-0.0061097,-0.006031,-0.022982,0.0091667,-0.0077406,-0.017111
"M1094.047T894.516",0.034042,-0.091804,0.049993,-0.032167,-0.0062955,-0.0035986,0.011767,-0.024631
"M317.087T121.975",0.039501,-0.020406,0.021688,-0.019566,-0.010591,0.010221,-0.011466,0.040338
"M909.388T926.435",0.048138,0.0075741,-0.059786,-0.021825,0.024336,-0.020585,-0.0033387,0.031801
"M549.258T834.983",0.039883,0.044215,-0.096933,0.0062427,0.041559,-0.01254,-0.020402,-0.015754
"M415.744T872.34",0.037219,-0.0013143,-0.0028367,-0.036661,0.0080941,0.041199,-0.013748,0.015373
"M451.125T735.96",0.039211,-0.010457,-0.013591,0.01343,0.0094683,-0.0099798,0.017844,-0.01018
"M361.481T320.767",0.03444,-0.0093121,0.00073671,-0.017248,-0.048499,-0.015048,-0.028016,0.0090611
"M409.075T744.412",0.036059,-0.030031,0.021157,-0.0042516,-0.03358,-0.016194,-0.04336,0.0062314
