"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M1193.041T904.79",0.50272,2.4158,2.3182,2.2891,2.2841,2.2836,2.2835,2.2835
"M1097.037T893.528",0.49545,1.2754,1.3219,1.3052,1.305,1.3056,1.3055,1.3055
"M180.067T785.272",0.49454,1.4572,1.4309,1.4274,1.4269,1.4278,1.4278,1.4278
"M1354.628T902.5",0.49324,1.2831,1.2407,1.2289,1.2286,1.2279,1.2279,1.2279
"M271.021T88.704",0.493,1.1768,1.1289,1.1252,1.1224,1.1218,1.1217,1.1217
"M570.518T894.146",0.48876,1.1535,1.1093,1.1193,1.12,1.1194,1.1193,1.1193
"M781.183T974.609",0.48443,1.6787,1.614,1.5931,1.5892,1.5882,1.5881,1.5881
"M445.037T424.564",0.4823,0.98405,0.9469,0.93589,0.93365,0.93339,0.93337,0.93337
"M438.263T1164.917",0.47936,0.86877,0.92258,0.93654,0.93676,0.93624,0.93673,0.93673
"M209.025T89.634",0.47416,0.89276,0.8968,0.89432,0.8922,0.89233,0.89243,0.89243
"M1071.559T892.477",0.47414,1.2809,1.2735,1.2568,1.2545,1.2539,1.2539,1.2539
"M1162.717T895.445",0.4741,1.131,1.0921,1.109,1.1089,1.1083,1.1083,1.1083
"M1096.195T893.605",0.46956,1.2216,1.1763,1.1772,1.1743,1.1738,1.1738,1.1738
"M540.867T1245.744",0.45187,0.49985,0.69372,0.71949,0.71881,0.71841,0.71865,0.71865
"M867.206T809.129",0.44985,1.7222,1.658,1.6367,1.6328,1.6336,1.6335,1.6335
"M241.108T881.116",0.44744,1.1442,1.1,1.0918,1.091,1.0923,1.0922,1.0922
"M517.099T802.454",0.44607,1.1392,1.1021,1.0922,1.0895,1.0891,1.0891,1.0891
"M1363.57T899.951",0.44557,1.3487,1.3358,1.3242,1.3212,1.3204,1.3204,1.3204
"M1162.051T893.06",0.42895,1.346,1.2964,1.2882,1.2854,1.2846,1.2845,1.2845
"M289.12T769.482",0.42612,0.97382,0.93732,0.99086,0.9891,0.98993,0.9899,0.9899
"M466.978T106.664",0.4243,1.0317,1.017,1.0042,1.0024,1.0022,1.0021,1.0021
"M589.271T908.408",0.4124,2.1499,2.062,2.0349,2.0306,2.0295,2.0294,2.0294
"M576.128T818.314",0.40501,1.3308,1.4554,1.4462,1.4437,1.4429,1.4428,1.4428
"M385.077T649.201",0.40031,0.99175,0.95119,0.93991,0.93785,0.93822,0.93818,0.93817
"M266.946T113.686",0.39792,1.2936,1.2405,1.2252,1.2222,1.2215,1.2214,1.2214
"M1162.522T896.44",0.39785,1.2185,1.1714,1.1647,1.1621,1.1614,1.1614,1.1614
"M625.178T776.712",0.3969,1.1223,1.2852,1.2704,1.2677,1.2672,1.2673,1.2673
"M564.68T1183.74",0.38646,0.97888,0.94062,0.9593,0.95737,0.95791,0.9579,0.9579
"M1161.526T895.081",0.37872,1.3233,1.2897,1.2751,1.2723,1.2715,1.2715,1.2715
