"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"M317.087T121.975",0.038077,0.019463,0.0022231,-0.015441,0.015775,-0.020356,-0.0040923,0.007945,0.028524,-0.006629,0.012757,0.0043612
"M909.388T926.435",0.045352,-0.020012,0.024969,0.039163,0.036862,-0.017176,0.039744,-0.010656,0.058444,-0.01071,-0.018804,0.0019498
"M549.258T834.983",0.036367,-0.060407,0.039868,0.051054,0.042524,1.0459e-05,0.030499,-0.02466,0.0055629,-0.0021587,-0.034408,0.0055696
"M415.744T872.34",0.035307,0.011198,0.024033,-0.0070568,0.049341,0.01267,0.010564,-0.012085,0.018445,0.017445,0.0078067,-0.002806
"M451.125T735.96",0.037476,-0.011117,-0.0045804,0.014095,-0.01283,-0.019918,0.02972,-0.029944,0.0098916,0.025047,-0.011972,0.007967
"M361.481T320.767",0.032926,0.0039476,0.0035191,-0.029256,0.0063466,-0.025722,0.034077,-0.0085318,0.014352,-0.079344,-0.017848,0.0061521
"M409.075T744.412",0.035116,0.015642,-0.015487,-0.023187,0.0023225,-0.0040871,-0.024849,-0.02902,0.011927,-0.049546,-0.033246,-0.00028316
"M457.136T788.61",0.040113,-0.0029062,0.029387,0.035612,-0.0091513,0.014079,-0.013848,-0.037144,0.026602,-0.0067374,0.013867,-0.0034491
"M311.138T170.155",0.035916,0.0085094,0.015256,-0.030334,-0.0037443,-0.0020528,-0.0072689,0.0029986,0.017216,-0.0081315,-0.066528,-0.0084868
"M593.763T756.056",0.0343,0.062079,-0.08014,0.040858,-0.037952,0.0050087,-0.052104,-0.058006,0.043981,-0.044497,0.039521,-0.029244
"M392.068T765.784",0.033724,0.037695,-0.0128,-0.014493,0.020863,-0.0109,0.0039008,0.012599,-0.026555,0.0067519,-0.051669,0.01091
"M433.661T789.942",0.033536,0.011575,0.036506,-0.025309,0.0055264,-0.02146,-0.006708,0.0054793,0.029651,0.019122,-0.0021542,0.0058307
"M919.493T1102.884",0.033398,0.016628,-0.003779,-0.047074,0.025453,0.039095,-0.055134,0.047778,-0.022824,-0.0087922,0.058188,-0.003383
"M437.044T765.875",0.039619,0.016084,0.039442,-0.015349,0.0070714,-0.036702,0.019204,0.0080727,-0.024534,-0.024475,-0.021692,-0.01361
"M715.427T310.719",0.031165,-0.004624,-0.044597,-0.048913,0.023129,0.0041546,0.052994,-0.0072209,-0.047961,0.035308,-0.022697,-0.0023131
