"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M451.174T880.577","5203.8789","1291.0371","9016.923","3750.2568","3538.2924","258.20742","4227.6173","12759.8301","12834.8626","12464.218","14104.2027","258.20742","4381.8171","6916.6544","2965.5683","258.20742","4925.9344","10520.5"
"M405.08T802.267","9206.2882","8534.2726","7725.9926","6553.5564","9137.1039","1099.23172","5496.1586","7695.6609","8738.9742","8302.5216","7869.4472","1099.23172","6286.894","8241.6826","10784.0229","1099.23172","9789.0983","8895.52"
"M309.119T137.634","21811.2508","7463.2974","26047.17","22004.6308","23940.4991","280.71984","29035.972","23215.381","21987.7846","26038.1648","26332.4746","994.2271","20017.0782","15601.604","18114.4259","1160","30061.8834","24818.927"
"M385.077T746.611","15914.8104","17505.9651","20019.9396","18949.0556","8943.2743","234.18536","20081.39","9182.946","11291.8724","10583.0125","18320.6733","201.7368","11255.013","6829.0813","18457.9462","40.34736","6935.3268","6389.9746"
"M1030.642T1193.369","13580.7868","13920.2384","19958.6655","15183.9109","4408.6177","54.36088","17290.1824","14841.6466","4950.6355","11435.2394","17715.2147","271.8044","14405.3373","10610.8989","15883.393","54.36088","12667.7033","12515.6629"
"M429.414T851.13","11159.6007","2220.5555","7852.4297","6741.2578","5871.1082","1251.08893","6661.084","8449.2201","5539.1154","4052.7139","7343.5644","199.4384","2774.3108","9847.8848","9761.6039","493","7727.4939","8520.3088"
"M723.577T942.094","4129.0169","15287.4425","5854.5548","10414.5083","4109.7749","337.02554","9253.5212","7475.9689","7544.7917","7802.2985","9404.1557","337.02554","3994.3974","7588.4812","1685.1277","337.02554","4735.5153","5047.012"
"M1071.439T878.893","10812.4819","2224.7192","15106.5042","7969.9765","4952.5883","444.94384","8613.0626","16056.9555","11954.5412","15578.1585","14561.9701","444.94384","8748.6601","9521.7805","7098.5266","444.94384","13021.5587","17714.2697"
"M1069.501T1402.821","9880.502","9399.04","6711.9942","9459.2852","12236.9838","1342.39884","8298.6067","11338.1452","7893.5417","8797.9525","12674.4919","1342.39884","9424.9386","10136.0604","11143.1211","1342.39884","15518.2628","10538.0628"
"M281.07T709.104","2757.2339","3888.5599","3883.0944","2789.0285","3337.227","484.15254","6673.2376","3189.0357","2899.0949","4347.6267","5983.4786","484.15254","3636.5817","3857.0079","2420.7627","484.15254","2463.1168","2591.1702"
"M577.137T781.037","61698.7259","71085.3084","28335.9976","25667.3462","28828.041","55.2","54492.9771","80993.6015","117956.7484","37836.5646","135446.5995","55.2","20658.1535","45058.2249","29306.9822","276","15069.4784","19783.197"
"M397.075T138.684","11019.6784","9412.8009","17156.0917","11319.2779","14340.8693","40.8","19971.0514","13430.4906","13292.6667","10029.9005","18834.8458","40.8","6512.8786","11736.4444","13567.708","204","11589.24","14647.3623"
"M653.861T317.501","20752.1296","16795.8157","25850.4638","9654.8724","16932.0132","1271.55328","26652.3625","25376.3016","14625.791","24171.4685","22764.2019","1187.6438","20094.1272","20268.8659","18151.5637","847","22907.9005","24154.5745"
"M375.104T216.821","7449.803","6916.9771","13251.4047","8101.9373","10434.2802","705.72257","10576.1092","11755.1028","11385.3225","13089.2253","11278.4733","1774.4321","8820.1971","8199.7258","9199.5226","393","11860.5891","14998.3855"
"M384.097T310.658","53177.8221","55039.002","70831.0882","60812.1529","63242.2976","10269.11382","82470.4512","65150.7343","53119.5442","74788.9434","55749.1097","10269.11382","57242.0064","59745.8525","65019.8147","10269.11382","51345.5691","68445.7539"
"M351.085T316.423","44561.5036","40340.7004","53249.4638","48853.6657","47817.1667","37.6","54035.1892","48415.4944","39512.4727","54116.3125","52768.1016","37.6","43899.6494","48681.15","47535.1228","188","56131.4841","54037.7035"
"M460.969T105.772","5607.173","8705.4387","7079.5975","8997.7022","8608.2193","1113.92576","10681.5083","10174.5936","10353.2135","8707.9661","7771.9585","896.9235","7609.8811","9126.7998","10204.7272","1110","9704.4923","11187.4106"
"M665.267T889.419","6081.3928","6133.9099","10037.3939","5129.9092","5223.1892","493.40031","4899.3073","10289.162","8077.5212","10370.9483","11202.866","419.9263","6563.6127","5759.1149","7042.3399","83.98526","7012.8707","11258.4452"
"M969.939T315.438","15091.9249","10764.3235","6183.624","8487.7053","8386.6443","1119.04192","16520.224","14632.5552","5595.2096","16376.8184","23625.4512","1119.04192","12246.2194","11121.6617","11215.2885","1119.04192","21914.1039","12745.1085"
"M289.065T88.687","8832.5937","17710.2429","27687.5088","15445.1484","15664.752","412.58589","24766.7571","12561.5369","15431.5832","16116.8104","25025.4624","190.2908","22907.304","22846.7339","17342.8512","1250","26604.9937","25073.7896"
"M289.086T1163.856","5789.4471","3920.2336","10667.8624","4409.1582","5726.0067","542.69098","3954.2842","5732.5674","5949.3567","9012.4154","7665.3797","340.2681","4269.5629","5798.2355","1177.0312","347","6658.1956","6421.2978"
"M655.873T943.419","24102.3314","25769.4689","25574.3547","23694.6092","26660.4078","2949.23712","14746.1856","25038.0703","41440.4911","28366.2282","33054.6596","2949.23712","23028.4315","23227.0424","27333.049","2949.23712","24205.0196","25849.6727"
"M642.242T817.768","6164.0405","3622.0131","5576.9673","4687.1506","3440.4276","285.39087","19048.6753","10405.1424","3469.0027","6094.2613","7964.3973","425.6202","4966.0565","4320.3768","6874.7284","210","8877.3253","5204.9264"
"M695.12T755.765","2907.1973","6922.0117","5082.5034","1844.4954","739.1153","35.6734","5508.2576","6346.6239","7514.8227","4382.4864","6596.145","35.6734","4888.1643","2715.3087","3016.3629","35.6734","178.367","3461.2378"
"M487.016T806.181","2966.0623","1445.962","2591.1313","2082.534","563.2774","38.40408","2548.1177","3268.4915","2467.7783","2265.0146","2819.8976","192.0204","38.40408","2305.6875","4014.8716","220","1735.4048","2548.1793"
"M967.561T1349.704","6758.5232","5764.0565","9536.4997","7672.7326","8894.4934","70.1975","8845.4126","8327.1129","8264.9476","8232.5864","8163.3755","350.9875","6755.2693","7196.2282","7443.6668","70.1975","11803.3918","7645.6605"
"M821.606T900.199","4540.7992","3023.3098","5304.173","4277.472","6345.4867","604.66196","16743.1587","11451.0839","10772.8505","11284.1484","14933.0209","604.66196","10041.229","10861.2192","9617.5114","604.66196","10599.2347","8865.0727"
"M1095.063T894.34","35879.2257","54692.0919","42110.1724","16874.2354","15565.4428","2325.4129","30454.295","47202.4153","59051.791","40056.7457","43096.1634","2325.4129","22011.6678","32931.025","32803.3649","2325.4129","11627.0645","13941.5064"
"M279.139T1150.344","26.8","26.8","26.8","26.8","176.3313","26.8","192.6727","1153.2784","3148.7337","2007.2539","387.8876","26.8","26.8","1330.6201","1804.9098","134","332.8082","26.8"
"M579.301T894.416","27176.0772","31047.648","39447.1788","31907.8979","28276.7263","836.49765","43862.9723","27227.1271","21621.5121","22809.079","27113.4653","1686.9012","25379.6757","29212.9654","36567.8323","262","47453.1428","35178.5427"
"M593.947T757.746","3021.1398","9093.1425","3780.1023","3412.3812","886.1897","249.32812","7747.6531","5864.7496","12256.8975","3291.1896","7955.0095","37.36234","5921.4562","5772.2234","37.36234","37.36234","186.8117","2932.8572"
"M367.102T765.544","5603.0206","4468.9064","6613.633","3826.6741","4034.4019","765.33482","3889.8649","4826.32","7415.0833","6417.782","5807.7069","765.33482","6487.2115","7767.8424","6307.2541","765.33482","9328.3344","12057.481"
"M585.15T892.945","7048.6219","6360.09","9854.9316","10753.7688","10992.7147","1272.018","11521.4479","9162.53","9556.3742","10026.4148","14421.8383","1272.018","9540.4347","9756.1185","10727.9827","1272.018","8874.4676","18350.8607"
"M988.312T316.465","8423.3313","5898.222","10932.5552","10816.839","5205.3265","838.9907","10518.0346","9213.1888","4194.9535","7667.4959","11144.1585","838.9907","6283.1222","6904.2824","8055.757","838.9907","9575.0874","10194.7577"
