"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Xanthomonas","Xanthomonas"
"M643.245T813.714","-0.36830811","-0.85057689","-0.25907332","-0.30509184","-0.41763852","-0.23782911"," 0.29722755"," 0.94104136"," 0.68030720"," 0.52120330"," 0.09645637","-0.09771800"
"M745.161T766.586","-0.1565266","-0.7131435","-0.3461326","-0.2005009","-0.7098143","-0.7483515"," 0.5205828"," 1.2594920"," 0.4971786"," 0.3870744","-0.0677427"," 0.2778843"
"M316.508T323.984","-0.43669576","-0.39222608","-0.43075728","-0.05077232","-0.09039180","-0.50047376"," 0.35303109"," 1.11450916"," 0.38090969"," 0.27343319","-0.19489862","-0.02566752"
"M729.273T847.264","-0.57427589","-0.57364539","-0.23654874","-0.83648644","-0.14537191","-0.58022397"," 0.39019727"," 1.07600955"," 0.74104598"," 0.60983341","-0.01430319"," 0.14376934"
"M417.764T850.924","-0.56735319","-0.93447371","-0.06543394","-0.10195749","-0.13414439","-0.57875369"," 0.23668236"," 1.14702497"," 0.31516214"," 0.21087248"," 0.11913873"," 0.35323572"
"M653.752T320.843","-0.33560131","-0.34431473","-0.17939704","-0.88422038","-0.15882182","-0.31543810"," 0.63191433"," 0.86003585"," 0.43224191"," 0.37697624","-0.17607098"," 0.09269602"
"M683.129T316.242","-0.976620324","-0.474847511","-0.259715733"," 0.005915115","-0.070371577","-0.783035642"," 0.420815824"," 0.913276517"," 0.483902603"," 0.381369988"," 0.071547579"," 0.287763160"
"M653.783T316.318","-0.546168130","-0.600199265","-0.257229920"," 0.180222192","-0.296943639","-0.491404739"," 0.342617254"," 0.716699254"," 0.513154257"," 0.452039859","-0.006924417","-0.005862705"
"M489.058T766.222","-0.5020837","-0.8991118","-0.7604419","-0.1233542","-0.3549889","-0.6399779"," 0.3424267"," 1.2098069"," 0.7984386"," 0.2417117"," 0.3397514"," 0.3478230"
"M851.819T1425.446"," 0.005325209","-0.767317663","-0.886195006"," 0.125236375","-0.556446479","-0.718677009"," 0.367793237"," 1.246598440"," 0.414556122"," 0.334920431"," 0.086661097"," 0.347545246"
