"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought"
"M576.484T1557.453","43791.0566","64461.487","67670.811","126762.876","131000","122421.81","134000"
"M467.383T1523.593","52699.2113","57843.559","69790.605","155396.475","94000","124758.187","103000"
"M951.603T1424.253","56709.9076","69557.287","92135.708","142506.451","511000","335187.966","97900"
"M477.403T1542.988","68754.7701","72109.807","93786.975","70969.575","94100","77218.281","85400"
"M477.407T1590.788","83304.4861","82232.177","104177.767","93016.962","107000","87247.953","107000"
"M549.426T1489.95","92561.8468","100676.424","133273.353","193435.432","126000","117594.929","166000"
"M471.336T1557.26","75170.5993","74425.386","96848.858","130067.098","108000","80275.754","113000"
"M330.263T1439.913","113723.4082","142481.663","144695.624","108400.102","107000","112890.062","106000"
"M629.529T1601.79","132953.3609","136004.841","102248.094","246765.089","239000","164330.099","149000"
"M505.27T1240.129","36869.3834","496398.964","487628.523","338101.753","304000","316976.845","466000"
"M576.533T1641.124","28320.6636","22442.071","14288.021","56505.779","55200","58843.445","63900"
"M619.438T1245.233","12008.9388","387624.432","451165.77","104462.331","105000","103155.111","96100"
"M313.161T1621.4","61415.9419","68126.836","53976.472","65577.015","65400","60961.809","75400"
"M505.253T1269.605","14742.2336","348384.973","275499.654","199025.692","193000","209952.555","318000"
"M494.565T1319.161","188625.3734","417460.715","297804.155","170665.03","216000","148350.007","192000"
"M535.447T1540.43","63646.6289","65862.823","65775.467","86982.884","92400","65632.346","77100"
"M477.398T1574.327","75046.8231","72226.53","93786.975","79089.542","99800","77171.896","90100"
"M691.433T1253.346","112036.4451","461054.068","487173.897","255155.928","295000","323104.094","239000"
"M341.283T1305.932","94925.3883","710584.568","226058.778","98908.37","112000","94421.857","152000"
"M330.261T1473.013","105049.7819","129928.674","132830.97","102728.976","107000","105959.531","103000"
"M339.172T1490.329","44191.5894","27250.668","21719.252","39829.137","37300","34150.477","31900"
"M477.343T1423.013","48754.9512","56632","58826.353","54302.075","56600","50316.099","52100"
"M332.328T1440.13","115359.5825","142796.475","167103.206","118710.287","113000","125971.397","121000"
"M494.563T1509.9","304154.6608","234099.816","171452.201","274363.253","322000","291615.877","303000"
"M481.362T1591.564","33792.0262","45292.622","33077.863","44825.319","41600","34704.152","65600"
"M443.333T1262.042","40654.5627","2291206.757","726799.035","189027.685","179000","167800.688","171000"
"M510.367T1523.593","139590.3329","86069.976","86114.553","89218.123","84500","81016.558","96100"
"M545.456T1607.833","108912.1658","73195.075","68086.862","104034.303","93600","82007.949","91500"
"M669.539T1543.447","121295.6002","80496.051","105264.368","98310.4","145000","70367.84","88300"
"M669.531T1507.08","111179.8598","65231.819","86689.232","92604.528","131000","61504.121","73700"
"M383.284T1439.726","125217.2578","251315.529","205205.782","154353.278","180000","165413.507","152000"
"M589.501T1621.712","261732","73577.312","55522.835","56077.757","70000","47558.667","39700"
"M534.444T1557.26","85462.7331","77456.066","71460.738","111317.126","1e+05","59693.29","110000"
"M494.565T1422.678","263375.7243","463612.2","367002.545","254955.065","293000","249733.748","274000"
"M609.518T1624.418","60609.9359","55474.255","35151.344","60977.184","62300","53759.67","53900"
"M465.265T1237.073","42836.1105","242014.038","261681.816","201901.283","236000","203943.557","230000"
"M605.432T1239.559","77368.5134","396644.254","322817.741","185347.275","231000","151869.449","147000"
