"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","con_12","con_12","con_12","dro_12","dro_12","dro_12","dro_12","foc_12","foc_12","foc_12","foc_12","xvm_12","xvm_12","xvm_12"
"M773.342T12.107","-0.24882713","-0.24124389","-0.13490113","-0.16039522","-0.17893429"," 0.41425778"," 0.58820485","-0.09355381","-0.61877985"," 0.19497685"," 0.11160803"," 0.25613291"," 0.36776271","-0.25630782"
"M773.843T17.12","-0.05056079"," 0.04114489"," 0.15359393","-0.29725330","-0.04061726"," 0.07781382","-0.36961731","-0.01733543"," 0.21836580"," 0.04120187","-0.25316191"," 0.15206826"," 0.02011724"," 0.32424019"
"M774.824T18.125"," 0.64101770","-0.08486553"," 0.19763239"," 0.07878030"," 0.03410145"," 0.11838160"," 0.02114466","-0.24882774","-0.17357866","-0.40955322","-0.33204412"," 0.06409593"," 0.02028861"," 0.07342663"
"M774.828T14.53","-0.06926766"," 0.02716990"," 0.08827531","-0.07141048"," 0.18694859"," 0.14141468","-1.00499498","-0.01959313"," 0.06165141"," 0.28739529"," 0.21063791"," 0.12561058"," 0.06040420","-0.02424161"
"M780.837T18.123"," 0.19494728","-0.09906260"," 0.17449291"," 0.07358911"," 0.13091724"," 0.23180933"," 0.09197041","-0.23874562","-0.04867519","-0.76782165","-0.03004588"," 0.08771433"," 0.25393694","-0.05502662"
"M788.836T18.125"," 0.60170194","-0.68670769"," 0.16377501"," 0.06980818"," 0.07512083"," 0.21349199"," 0.21024389","-0.70342250"," 0.06447781","-0.16674877","-0.04423440"," 0.08004019"," 0.06321066"," 0.05924284"
"M788.841T11.105","-0.27031426","-0.14783923"," 0.01561313","-0.16568010","-0.48594102"," 0.36191195"," 0.36125421","-0.24557746"," 0.04458896"," 0.07074993","-0.02188550"," 0.10211671"," 0.13377258"," 0.24723011"
"M794.18T13.113","-0.13519681"," 0.03786270"," 0.12629008","-0.09179635","-0.24104877"," 0.16841316"," 0.33143458","-0.13278533","-0.12726455"," 0.08726014","-0.13991691"," 0.12273173","-0.03768517"," 0.03170149"
"M794.836T17.122"," 0.18002427"," 0.09734981","-0.12462612"," 0.22320625"," 0.34347035"," 0.07505605","-0.14934577","-0.11993179","-0.08845196","-0.31915537","-0.27882603","-0.12854530"," 0.24395053"," 0.04582507"
"M795.842T12.608","-0.3421634"," 0.1376041"," 0.1642748"," 0.0495676","-0.1824775"," 0.3324298","-0.2217267","-0.1668766"," 0.0143916"," 0.4679361"," 0.1835006","-0.1528445"," 0.1569480","-0.4405639"
"M799.252T819.392","-1.45856951","-0.02609904"," 0.25619840"," 0.30393033"," 0.24338466"," 0.34043171"," 0.30537250","-0.05072330"," 0.24860342","-0.82793710","-0.16845977"," 0.35669260"," 0.37244652"," 0.10472859"
